Descriptor,Average Value
QED,0.47
logP,1.74
Molecular Weight,142.42
Number of Heavy Atoms,7.73
TPSA,5.49
Rotatable Bonds,2.48
H-bond Donors,0.70
H-bond Acceptors,0.98
Ring Count,0.43
Formal Charge,0.00
Fraction of Sp2 Hybridized Atoms,0.81
Number of Aromatic Rings,0.05
Hydrophobic Surface Area,5.29
Molar Refractivity,44.65
Rotatable Bond Count,2.48
Number of Heteroatoms,2.08
Ipc,190.11
Kappa1,7.35
Kappa2,4.55
Kappa3,4.93
LabuteASA,56.36
PEOE_VSA1,1.90
PEOE_VSA2,4.31
PEOE_VSA3,4.63
SMR_VSA1,1.58
SMR_VSA2,0.00
SMR_VSA3,0.07
SlogP_VSA1,0.10
SlogP_VSA2,13.40
SlogP_VSA3,1.56
FCFP4 Count,11.44
ECFP4 Count,16.34
Num Bridgehead Atoms,0.01
Num Spiro Atoms,0.00
Num Macrocycles,0.00
Fsp3,0.81
Ring Atom Count,2.31
Ring Bond Count,2.33
Aliphatic Ring Count,0.38
Aliphatic Heteroatom Count,0.55
Aromatic Heteroatom Count,0.03
Saturated Ring Count,0.18
Aromatic Ring Count,0.05
Heteroatom Count,2.08
Hetero-Aliphatic Ring Count,0.31
Hetero-Aromatic Ring Count,0.03
Hetero-Saturated Ring Count,0.15
Largest Ring Size,2.20
Mannhold LogP,1.74
Wildman-Crippen MR,44.65
Average Molecular Weight,18.72
Exact Molecular Weight,142.19
Polar Surface Area,5.49
Atom Pair Fingerprint Count,21.14
Natural Product Likeness Score,0.47
Generated Valid SMILES (Fragrant Count),140
Generated Valid SMILES (Percentage Fragrant),28.57%
Generated Valid SMILES (Percentage Unique Fragrant),28.63%
Generated Valid SMILES (Novelty Percentage),94.27%
