SMILE,frag_likeliness
CCCCC(O)O,0
CC1C=CCC=C1,1
CC1=CC(C(C)(C)C)=CCC1,1
CC1CC1,1
CCOc1ccsc1,1
CCCSCS,1
C=CCNCCCCCCCC,0
CCCC(C)C,1
C=C(C)O,1
CCC1=CC=CC1,1
C1=CC=S2SC=CC=C2C=1,1
C1COSC1,1
c1csc2cccc-2c1,1
CC(C)CC(C)S,1
CC1CCOC1,1
COCC(O)S,0
CCCC(C)SCS,1
CCCCC(C)S,1
SS,0
CCSC1C=CCCC1,1
SC1CCCSC1,1
C1CCSCC1,1
CCCCC(S)OC,1
CCCCc1ccccc1,1
CC(S)CSC1CCCS1,1
SOSCCC1C=CCS1,0
CCSO,1
CC(O)CC1C=CC=CC1,1
CCc1coc(C)c1,1
C1CC1,1
CC1CCC(C(C)C)C1,1
CCCCC(C)OC,1
c1ccccc1,1
CCSCCCSS,1
Cc1cnc2c(c1)=CCCC=2,0
CCCCCCC(CC)Cc1ccccc1,1
CC1C=CCS1,1
CCCCOC,1
C=CCCCCCCCCSSC,1
SN1CCCCCC1,0
SC1=CC2C=CCC2=CC1,1
CCC(C)C,1
CCSSO,1
CCC,1
CSCCS(C)(C)S,1
CC1C=C(S)CS1,1
CCCCCSCC,1
CCCCOCC,1
C=C=C,1
CCCCCOC,1
CC1CCCCC1,1
C1CCCC1,1
CCCc1ccccc1,1
CCCCCCSC,1
CC(C)C,1
CCCCSC1=C=S=C=CS1,1
CC(C)(O)S,0
C=CCCCCSC,1
CCCCC,1
CSSC(C)C,1
CCCC(CCC)C1=CC=CC1,1
CCCC(C)CC,1
C1=CCSC1,1
CC1=CSCC1C,1
CC1CC(C(C)C)CS1,1
C1=CC1,1
CC(C)(C)C,1
CCCC(C)c1ccccc1,1
C=C1C=C(CS)CC1,1
OCCCSCS,0
CCCCSS,1
CC(C)SS,1
CC1CCCC1,1
CCCC,1
C1=CCC=C1,1
CCCCCC,1
CCC(C)CC(C)C,1
CCCC(C)SC,1
CCOC,1
C=C(C)C(C)C,1
CS1=NC=CS1,0
C=CC,1
CCCC(C)CSC,1
C=CCOCCC1=CCCSC1,1
Sc1cc2c(s1)=COSC=2,0
C=C(C)C,1
CC1(S)C=CCCC1,1
CC=CCCC,1
C=S=S=CCCCC,1
C=CSCC,1
C=CC(C)(C)S,1
C=S(CCC)C(S)(CCCS)SS,0
C=[SH](=C=CC)CC,1
CSCCC=S,1
CC(C)CCCC(C)S,1
CCCC(C)C1=CC=CSC1,1
CSO,1
CCCSSSCO,0
C=CCC,1
CCCCCCC(C)CC(C)S,1
CC1CCC(CO)C1,1
OS,0
COS,1
CCC1=S(O)C=C(C)C1,1
CCSCC(C)O,1
S=S1C=CCSO1,0
CC1CCSC1,1
CCCC(C)C(CC)CC,1
CS1=CC=C(S2=CC=CC=C2)C=C1,1
CCCCC(C)C(C)CCS,1
CSNCS,0
CCCC(CCC)CCSC,1
CCSCO,1
CC1=CCC=C1,1
CC1SC=CSS1,1
CCCCCCSCC,1
CCCSCCCS,1
CC1CCCC(C)C1,1
CSc1cccs1,1
CC(O)CCCCCCCCS,0
CCC(C)C(C)C,1
CCCCCc1ccccc1,1
CC,1
SCCCC1=CCC=C1,1
COCC1CSCCS1,1
CCCC=S(=S)=CSS,0
CCCCC(C)CCO,1
OC(CS)C1C=CC=CC1,0
COC1C=CSC(C)C1,1
CC=S(C)CSC,1
CCCSCO,1
CCCSC=S,1
C=C(CCCO)CCCOCC,1
CC(C)C1CCCOC1(C)C,1
CCCCSCSCCCC(C)C,1
CCCCCCCSS,1
CCCCOC1CCCC1,1
C=S1CCCCC1,1
CC1CCCC1S(C)=O,1
CC1CS1,1
