SMILE,frag_likeliness
CCCC(C)C1CCCCC1C,1
CCCCCCC1CCCC1C,1
CCC(C)CCCC(C)CCCC(C)C,1
CCCC(CCC)C1CCC2CCCC2C1,1
CC1CCCC2(C)CCCCC12C,1
CCC(CC)C1CCC(C)C1,1
CCCCCCCCC1CCCC(C)C1,1
CCCC(C)C(C)CCCC(C)CCCC(C)C,1
CCC(C)CC1CCCCCCCCCCC1,1
CCCC(C)CC1(C)CCC(C)C1,1
CCCCC(CC)CCCC,1
CCCC1(C)CCC2C(C)C1CCC2(C)C,1
CCCCC(C)C1CCC(C)CC1,1
CCC1(C)CCC(C(C)C)CC1C(C)C,1
CC(C)CCCC(C)CCCC(C)C(C)C(C)C,1
CC(C)CC1CCCC(C(C)(C)C)C1,1
CCCCC(C)CCC1CCCCC1,1
CCCC(C)CC(CC(C)C)C(C)C,1
CCC(C)C1CC1(C)CCC1C(C)CCCC1(C)C,1
CCCCCCCCCCCCCCCCCCC,1
CC(C)CC1C(C)C2CC1C1CCC(C)C21,1
CCC12CCC(C1)C(C1(C)CCCCC1)C2,1
CC(C)C1CCCCC1C(C)C,1
CCC1CCC(C)CC1CC,1
CCCCC(C)CCCCCC1CCCCC1,1
CCCCCCCCCCC(C)CCCCC,1
CCCCC1CCC(CC(C)C)CC1C,1
CCC(C)CC1CCCCC1C(C)CC,1
CC(C)CCCC(C)CCCC(C)C(C)C,1
CCCCCC(C)C(C)C(C)C,1
CCCCCC(C)CCCCC1CCCCC1,1
CC(C)C1CCC(C(C)(C)C)CC1,1
CCC1CC(C)CC(C)C1,1
CCCCCC(C)CC(C)CC(C)C,1
CCCCCC(CCC)CC(C)C,1
CCCCCC(C)CCCC(C)CCCC(C)C,1
OOOOO,0
CCC(C)CCC(C)CC(C)C1CCCC(C)(C)C1,1
CC1CCC(C(C)C)C(C(C)CCCC2CCCCC2)C1,1
CC1CCCC1C,1
CC(C)C(C)CCC(C)C1CCCCC1,1
CC1CCCC(C)(C)C1C,1
CCCCCCCCCCC(C)CCCC,1
CCCCC1CC2CC1C1CCCC21,1
CCCCCC1CCC(CC(C)C)CC1,1
CC1CCC(C2CCC3CCCC3C2)C1,1
CC(C)CCCC1CCCC1C,1
CC(C)C(C)CCC1CCC(C)C1(C)C,1
CCCCCCCCCC1CCCC(C)C1,1
CCCCCC(CC)CC(C)C(C)CC,1
