SMILE,frag_likeliness
OOOOO,0
CCC(C)C1CCCCC1CCCC(C)CCCC(C)(C)C,0
CCCCCCCCCCCCCCCCCC(C)CCCCCCC,0
CCCCCCCCCC(C)CC(CCCC)CCCCC(C)C,0
NN(N)NNNN(N)N(N)N,0
NNNNNNNN,0
CCCCCC(C)CC(CC(C)C)(CC(C)CCCCC)C(C)CCCCC,0
CCCCCCCCCCCCCCCCCCC(C)CCC,0
NNNNN(N)NNN(N)NNNN,0
CCCCCCCCCC(C)CCCC(C)CCCC(C)C,0
CCCCCCCCCC(C)CC(CCCCCCCC)C(C)C,0
CC(C)CCCCCCCCC(C)CCCCC(C)CCCCCCCCC(C)C,0
OOOOOOOOOOOOO,0
NNNNNNNNN,0
CCCCCCCCCC(C)CC(C)CCCCCCCCC,0
NN(N)NN1NNNNN1,0
SSSSSSSSS,0
SSSSS,0
CCCCCCCCCCCCCCCCCCCC(C)C,0
CC(C)CCCCCCCCCCCCCCC(C)CCC(C)CCCC(CCC(C)CCCCCCCCCCCCCCC(C)C)CC(C)CCCCCCCCCCCCCCC(C)C,0
OOOOOOOO,0
CCCCCCCCCCCCCCCCCC(C)CC1CC(C)CCC1C(C)C,0
CCC1CC(CC)C(C)C(C2CC(CC)CC(CC)C2C)C1,0
NNNNNN(N)N(N)N,0
NNNNNNNNN(N)NN,0
CC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)C,0
SSSSSSSSSSS,0
OOOOOOOOOO,0
SSSSSSS,0
CCC(C)C1CCCCC1CCC(C)CC1CCC2CCCC2C1,0
CCCCCCCCCCCCCCCCCC(C)CCC(C)CC,0
CCC1CCCC(CCC(C)C(C)CCCC2CCCCC2)C1CC,0
CCC(C)(C)CCC1C(C)(C)CCC2C(C)(C)CCCC21C,0
CCCCCCCCCCCCCCCCCC(C)CCCCC,0
OOO,0
NNN(N)N(NN)NNN(N)N,0
OOOOOOOOOOO,0
CC(C)CCCCCCCCCCCC(CCCCCCCCCCCC(C)C)CC(C)CCCC(C)(C)C,0
CC(C)CC(C)C(C)(C)CCC1CCCC2CC(C)C(C(C)C)C(C)C12,0
CCCCCCCCCCC(C)CCCC(C)CCCC(C)C,0
CCCCCCCCCCCCCCCCCC(C)CCC(C)C1CCC(C)C1C,0
CC(C)CCCC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)CCCC(C)C,0
CCCCCCCCCCCCCCCC(C)CCCC(C)C,0
CCCCCCC(CCC1CCCCC1C(C)CC)CC1CCCCC1,0
OOOOOOO,0
NNNN(N)NNN,0
CCCCCCCCCCCCCCCCCC(C)CCC,0
CCC1CCC(CCCC(C)CCC2CCC(CC)C(CC)C2)CC1CC,0
CCCCCCCCCCCCCCCCCC(C)CCCCCC(CCCC)C1CCC(CCCC)C1CCCC,0
SSSSSSSS,0
CC(CCCCC(C)C(C)CCCCC(C)CCC1CC(C(C)(C)C)C(C)C(C(C)(C)C)C1)CCC1CC(C(C)(C)C)C(C)C(C(C)(C)C)C1,0
CCC(C)C1CCCCC1CCC(C)CC1CCC(C(C)(C)C)CC1,0
CCCC1CCC(CC(C)CCC2CCCCC2)C(CC)C1,0
OOOO,0
CC(C)CCCC(C)CCCC(CCCC(C)CCCC(C)C)CC1CCCCC1,0
CC(CCCC(C)(C)C)CC(C1CCC2CCCCC21)C1CCC2CCCCC21,0
NN(N)NNNN(N)NN1NNNNN1,0
CCCCCCCCCCCC(C)CCCC(C)CCCC(C)C,0
NNNN(N)N(NN)NN,0
CCCCCCCCCC(C)CC1CC(C)CCC1C(C)C,0
CCC(C)C1CCCCC1CCC(C)CC1CCC(C(C)C)CC1,0
S=S1=S=S(=S)=S(=S(=S)=S)=S=1,0
CCC1CCC(CC2CC(CC)C(C)C(C)C2C)C(CC)C1,0
OOOOOOOOOOOO,0
CCC1CC(CCC(C)CCCCCCC(C)C)CCC1C,0
CC(C)CCCC(C)CCC1CC2CCC(C)CC2CC1C,0
NNNNN(N)NNn1[nH][nH][nH][nH]1,0
CC(C)CCCCCCCCCCCCCCC(C)CCC(C)C,0
NNNN(N)N(N)N,0
NN(N)n1[nH][nH][nH][nH]1,0
OO,0
NNNNNNNN(N)NNNNN,0
OOOOOOOOOOOOOOO,0
[BiH2][BiH][BiH][Bi]([BiH2])[Bi]([BiH2])[BiH][BiH][BiH2],0
CC(CCC(CCC(C)C1CCCCC1)CC(C)C1CCCCC1)C1CCCCC1,0
CC1C(C2CC3CCCCC3C2)CC(C(C)(C)C2CCCCC2)CC1C(C)(C)C1CCCCC1,0
CCCCCCCC(C)CCC(C)CC(C)CCCCCCC,0
CCCCCCCCCCCCCC(C)CCCCC1CCCCC1,0
CC(C)C1CC(CC2C(CC3CCC4(C)C(CCC5(C)C4C(C)CC4C6CC(C)(C(C)C)CCC6(C)CCC45C)C3(C)C)CC(C(C)C)C(C)C2C)C(C)C(C)C1C,0
NNNNNNN(N)NNN,0
