SMILE,frag_likeliness
CC(N)c1cccc(C(C)CC=O)c1,0
CC1CNSC1,0
CC1CCNC1C,0
CCOC(O)C(S)CC,0
C=C(C)C1CC(C(C)=O)=CC=N1,0
CCCCNC=CC=O,0
CCCCN=CCO,0
CCCCCC1CC(O)CC(C)C1C(O)CCC,0
CCCNCC1CCCC(=O)O1,0
C=C(O)C(=CC(C)O)CC(=O)O,0
CC1=C(OC(C)O)C(=O)C(C)O1,0
CNCC(C)Cc1ccccc1,0
CCCC=CCCN(O)CCCO,0
CCN(C)CC(C)CCC=C(C)C,0
CCCNCOC(O)C(C)CC,0
CC(C)(C)CC(N)CCCC=O,0
CC1=c2ccccc2=NC1C,0
CC(O)O,0
CC(C)CC(=O)C1=CCCC=C1N,0
COc1cccnc1C(C)C,0
C=CCNCCO,0
CC(C)CCCC(C)CCOC(O)C1=C(N)C=CCC1,0
CCCCCCCCN,0
NC=Cc1ccccc1,0
CC1CSC(c2cccnc2)C1,0
C=C(CCCCCCOCC)CC(CCCCCCCC)C(C)O,0
C=C(C)c1ccccc1N,0
OCCC(O)C1C=CC=C1,0
CC(=O)C1=NCCO1,0
CCC(C)C(O)O,0
CCC(O)(CC)C(C)N,0
CCCC(O)CC(C)N,0
CC(C)CC(O)C(C)O,0
CC(C)C(O)CCC1=NCC=C1,0
C=CC1(C)CCC(C(C)(C)CCNC(C)C)S1,0
CCCC(O)C(C)C(C)O,0
C=CNCC1C=CC(OC)CC1,0
CCCCCCCCCCCCC(O)O,0
CCCCCOCCCCOC(=O)Oc1ccc(C)cn1,0
Cc1ccc(C(C)C)c(C)n1,0
CCC(Cc1ccccc1)NC,0
CC=CC(O)C1C(C)CC=CC1(O)O,0
CC(C)C(O)O,0
CCCCCC=N,0
CC1CC=C2N(CCCC2(C)C)C1,0
CCCCCN1C(C)CCC1C,0
CCNC(=O)C1=C(CC)C(C)CCC1(C)C,0
CCC(C)CCN,0
CS(=O)C(O)CS,0
CCCc1ncccc1C,0
CC1OCC(C2=CC3SCOC3C=C2)O1,0
CCC1CC(C(C)NC)CC1C,0
CC1CCC(CNc2ccccc2)O1,0
CC(C)CCSC(N)C(C)C,0
CC1=NCCC1,0
CCC(=O)NCC(C)(C)CC(C)C1CCCC(C)(C)C1,0
Cc1cc(CCO)ccn1,0
O=C(O)C=CC(O)O,0
CCC(O)CCOCCCO,0
CC(C)CC(O)Cc1ccccn1,0
CCC(O)CCC(CC)CCNC,0
CCC1CCCC=N1,0
OCCCCCCCOCC1=CONC=C1,0
CC1CCSNC1,0
O=C(O)CCC(O)O,0
C=CCCCCCC(C)=N,0
CCc1cccc(CO)c1O,0
CCC=CC(C)CCONCCC,0
CCCCCCC(CC)CC(O)O,0
CCCC(C)(O)O,0
NC1=CC=CC1,0
CCCC(=O)C(S)CCO,0
CC=CC(O)CO,0
C=COCCC1CCCCN1,0
CC(=O)c1ccc(N)cc1,0
CC(C)NC(O)(CC(O)O)C(=O)O,0
CC1=NC(C(C)C)C=C1,0
CC1CCC(C)(C(C)C)N1,0
CCCCCCC(N)CCCc1ccccc1,0
OCOCCC1CCCCN1,0
C=C(CCCC)NCC,0
Cc1ccc(CN)cc1,0
CC(N)CS,0
CC1CC2C(CC3=COC=CN32)C(C)O1,0
C=CCC(CC)c1ccccn1,0
CC(=N)Cc1ccccc1C,0
NCCCS,0
CCCCSNSCC,0
CCCC(O)CC(O)CC,0
OC(OCCC1C=CC=CC1)C1=CCC=CN1,0
CC(C)CCC(O)C(C)O,0
CCC1C=NC=CC1CCCCOC,0
CC(C)C1C=CN(C(C)(C)C)C=C1,0
CC(O)C(C)CO,0
CCC1NC(C)C(O)C1C,0
CC1C=CCC(C)N1C,0
CSc1c[nH]cc1C,0
CC(C)CC1C=CC=NC1C,0
CNC=CCCCC(C)=O,0
NCOCCCO,0
CCC(=O)C1CCCN1,0
CC(C)CCCC(N)CC(C)C,0
CNC1=CCC(CCC(C)C)=CS1,0
CCCC(O)CCCC(C)CCCCS,0
CCCCC(=O)c1ccccc1N,0
CC(O)C1CCC(O)=CO1,0
CCC(N)S,0
CCCC(=O)CCCCc1ccccn1,0
CCC1=NC(C=O)=CC1,0
CCC(C)CNCC(C)(C)O,0
C=C(C)CC(O)C(O)O,0
C=CC(C)CCC(C)(C)C(NC)C(C)C,0
CCC(=O)C1=CCCC=C1NCC1CCC(CCCC(C)(C)O)CC1,0
Cc1ccn(C)c1,0
CCC=CCCN,0
CC(C)CCCC(C)CCNC(N)C(C)C,0
CC(C)CC(=O)CCCC(C)(C)N,0
CCC1CC=CN=C1C(C)C,0
CCCN(C)C(C)CCC(C)C,0
CC1=CC(O)CC(C)(S)C1(S)CCNO,0
COC1C=C(C(O)O)C=CC1C,0
OCS,0
OCCC(O)O,0
CC(C)=CCN,0
CCCOC(CCC)CCCNC,0
CSC1=C(C(C)(C)C)CC(C(=O)O)C(C)C1C(C)O,0
CCNCCCCCCC(C)CC(C)C,0
CCNCCCCCCO,0
CC1CC(C)NC(OO)C1,0
