SMILE,frag_likeliness
CCOC(O)C(S)CC,0
COC1CC(C=O)CC=C1OC(C)C(C)C,0
CC(=O)CCSCCCCO,0
CC(CC(C)(O)COC(=O)C1CC1)C1CCCC(C)(C)C1,0
CCCNCC1CCCC(=O)O1,0
CCCC(=O)OCCC(C)CCCC(C)S,0
C=C(O)C(=CC(C)O)CC(=O)O,0
CC1=C(OC(C)O)C(=O)C(C)O1,0
CCCC=CCCN(O)CCCO,0
CCCNCOC(O)C(C)CC,0
COCOOCCCC(C)C,0
CCC(O)SCOCc1ccccc1,0
CC(C)CCCC(C)CCOC(O)C1=C(N)C=CCC1,0
COCC(=O)C=O,0
C=C(CCCCCCOCC)CC(CCCCCCCC)C(C)O,0
CC(=O)C1=NCCO1,0
CCCCOC(C)CCC(=O)CCCCO,0
CCCCOCCCCC(=O)O,0
CCOC(C)SCCCSC,0
C=CC1(O)CCC(=O)O1,0
CC(=O)OCC1CC=COC1C,0
CCCCCOCCCCOC(=O)Oc1ccc(C)cn1,0
COC(O)C1OC1c1ccccc1,0
CC=CC(O)C1C(C)CC=CC1(O)O,0
CCCOCOC(=O)c1ccccc1,0
CS(=O)C(O)CS,0
CC1OCC(C2=CC3SCOC3C=C2)O1,0
O=C(O)C=CC(O)O,0
CCC(O)CCOCCCO,0
OCCCCCCCOCC1=CONC=C1,0
O=C(O)CCC(O)O,0
CCCOC1OCC(C)O1,0
CCCC(=O)C(S)CCO,0
CC(C)NC(O)(CC(O)O)C(=O)O,0
OCOCCC1CCCCN1,0
CCC(O)CCC1C(C)SOCC1(C)C,0
CC1CC2C(CC3=COC=CN32)C(C)O1,0
CCCCSNSCC,0
OC(OCCC1C=CC=CC1)C1=CCC=CN1,0
CC(=O)OCCC(C)(C)O,0
NCOCCCO,0
CC(O)C1CCC(O)=CO1,0
C=C(C)CC(O)C(O)O,0
CCC(=O)C1=CCCC=C1NCC1CCC(CCCC(C)(C)O)CC1,0
COSC(=O)CC(C)C,0
CC1=CC(O)CC(C)(S)C1(S)CCNO,0
COC1C=C(C(O)O)C=CC1C,0
COCSCOC,0
CCC1CC(C=O)=COO1,0
OCCC(O)O,0
CSC1=C(C(C)(C)C)CC(C(=O)O)C(C)C1C(C)O,0
CC1CC(C)NC(OO)C1,0
CC1=CC(O)CC(C)(C)C1(C)C=CC(O)O,0
C=CCCSOOC,0
CCCCCCCCSCC(O)OC,0
C=CC(C)(C)CCC1C(C)(O)CC=C2C(C)(C)C=CCC21C,0
COc1cc(C2CC(C)C(C)O2)ccc1O,0
CC(C)CC(C)OCCCCOCO,0
CCCCCCOC(=O)O,0
CCC1OCC(=O)C1S,0
CCCC1C=C(OC)C(O)C(OC)C1,0
COC1=CC=C(C)ON1C,0
COC(O)CO,0
CCNC(C)OC=O,0
CC(O)CCOCCOO,0
CC=Cc1ccc(OCO)c(OC)c1,0
COCSCCCC(=O)CCCC1C=COC1C,0
O=C(CCO)OCCCc1ccccc1,0
Cc1occc1OC(C)O,0
CSCC(SCO)C1C=CC2CCCC2=C1,0
CCCC(O)C(=O)C(C)CO,0
CCCCCOC(O)C1OC=CC=C1C,0
CC(=O)CCCCCOCC(C)O,0
CC(C)OCC(CO)OC(C)C,0
CCCCCOOCOCC,0
CCOC(=O)C1=C(O)C=CCC1,0
CC1=CC(O)C(C(O)CCS)CC1,0
CC1=C(C(=O)OC2CCCCC2)C=COC1,0
CSC(O)CC(C)O,0
CC1=S(CCO)C=CO1,0
CCCC(=O)OC1(C)CC(C)CO1,0
CCC(O)C1OC(C)C(O)C1O,0
CCCCCCCCCC(O)CC(CCCCCOCO)C(C)C,0
CCCN1C=CC(OC)=CO1,0
OCN1C=CC2=C(C1)OCC2,0
COc1cc(C(C)O)ccc1O,0
COC1C=CC(C=O)C(O)C1,0
CC1=CC(N)C(C(C)S)S1,0
CCC(=O)C(O)O,0
CCOC(=O)OCSc1ccccc1,0
CC(=O)OCC=C(C)OCCC(C)C,0
CON(O)CCc1ccccc1,0
CC(=O)OC(C)CCCO,0
CC(C)CCC1(O)C(C)CC(O)CC1(C)S,0
O=C(CC1=COCC=C1)C1CCC=CC1O,0
CSc1ccc(C(O)O)cc1,0
CCC(O)CCCCCCCCC(=O)OC,0
C=CC(C)(CCCC(C)S)CC(C)OOC,0
CC(C)=CCCC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)CCCC(C)C,0
CC1CCC(C(C)O)C2(C1)OC(C)C(C)O2,0
CCCSCCCCCCOC(C)O,0
CC(C)CCCC(C)CCCC(C)CCCC(C)CCCC(C)O,0
O=C1CCC(S)C1O,0
CC(S)OCCC(O)O,0
CC1C=CSC1OC1NC1(C)C,0
CC1C(O)C(O)CC1C(O)CN,0
CC(O)C1C=CS2=CC=CC=C2N1,0
COC(=O)CCCCNCO,0
CCOC(O)C1=CCCC=C1CO,0
COC1C=C(C(C)=O)C=CC1OO,0
CCOC(=O)C1C=CC(O)C(C)=C1,0
CSN1C=NC=CO1,0
CC(=O)CC(C)C(C)NCO,0
CC1CCC(C(C)(C)OC=O)OC1,0
CC(O)COC(=O)c1ccccc1O,0
CC(=O)OO,0
CSCC(=O)C1OC1C1C=CCCC1,0
COC(=O)OS,0
OCCCCCOCCCS,0
CC12CCN(CC1OCCO)C2(C)C,0
C=CCCCCCCOCC(=O)CCC=C(C)CCC=C(C)C,0
CC(O)CCC(=O)S,0
CCCCCCCCCCCCCCCCCC(O)OC,0
OCC(O)SO,0
CCSCCCCOOC(=O)CC,0
