SMILE,frag_likeliness
CCCOCC,1
COCCO,1
CSS1=C(C)COC1,1
CCCCCCCC=CSO,1
CCCOOC(C)OC,1
CCSSCO,1
CCOCCOC,1
COCCCO,1
CCCC(C)=S,1
CCS1=CCC(O)C=C1,1
CCC(=O)C=O,1
C=CCC=CCC,1
C=C(CCCSCCCCC)OC(C)CCC,1
Cc1occc1CS,1
C=C1CCCC(CO)O1,1
C=C(C)C(C)C(C)=O,1
CSC=C(C)C,1
C1CC1,1
C=C(SC)C1C=COCC1,1
C=CC(C)CC,1
OCS1=CCC=CO1,1
CCCCCSC(=O)CC,1
CC1CCCC1=S,1
CC,1
CC=CC(C)S,1
C=C(C)C(C)OC,1
CCOCC(=O)O,1
CCCCCSC,1
C=C(C)C,1
CCOC(=S)CC(O)CC,1
C=C(O)CCC,1
CCCCCCC(C)SCC,1
COC(C)(C)O,1
CCC(=O)C1=CCC(OC)=CC1,1
CC1CCOC1,1
CCC=C(C)C(=O)SC,1
C=CCOCC=CC,1
C=C(O)CCOCC,1
CC(=O)OCC1C=CC2=C(C1)OCC2,1
CCCCC,1
CCOCC(C)O,1
C=C(CCC)C(O)CC,1
C=CCCCC=O,1
CC1=CC=CC1,1
CCC(CC)CCCS,1
C=C1CC2CCC1C2(C)S,1
CCC(O)CC1=CCC=CS1,1
CCCCCC1OCCC1O,1
CCC=CC(C)OCS,1
CCC(O)SC,1
C1CO1,1
CCCCCC1=CC(C)=CC1,1
COCCSO,1
CC1=CC=CC(C)S1,1
CC1=CC=C(CO)OC1,1
CC1CC(C)(C)CCO1,1
CCOC,1
CCOCCCCS,1
CCC1=CC=CC1,1
CCC(C)CCC(C)(C)CC,1
CC1CCCCO1,1
CCCCCSO,1
CC1=CCC=C1,1
CC1OCCO1,1
CCC=CCC,1
CSC(C)C(C)(C)O,1
CCCCCC=CCS,1
CSCCSCCCCCCCCS,1
C=CCCC,1
CC1CCSCC1,1
CCC=CCCCSCC(=S)CC,1
CC1CCSCC1=S,1
CCC(C)OC(=O)C=C(C)C,1
CC1=CSC(CCO)=CS1,1
CSOO,1
CCCCCC,1
C=CC=CC,1
C=CC(=C)CCCC(C)(S)CC,1
CC1(C)C2CCC(C2)C1O,1
CC=COC,1
CCCCC1=C(C)SC(C)S1,1
CC1(C)C2=CC1C(OCC=O)=CC2,1
CC(=O)OCO,1
CCCCCCC(C)C,1
CC1CCSC1,1
CC(=S)CC(C)S,1
CCCCC(C)C,1
C=C(SC)C(S)CCCCCCCC,1
CCC(=O)SC(C)C,1
COCCOC(C)O,1
CSC(=O)CCCS,1
C=CCOOC,1
CC1CCCC1,1
C=CCOCCCCCCCC,1
C1=COCC1,1
CC=CC=CC(=O)CSCC,1
CC=COCC,1
CCC(CC)CS,1
C=CCCSC,1
CC(C)OC(C)C,1
CCC(C)C=S,1
O=CCCC=O,1
CCCCCC=COC1CCCC1C,1
C1COSSC1,1
C=CCCCOCCCC,1
C=CC1=COSC=C1C,1
CC1=CC(C)CC1,1
C=C1OCC(C)=C1CCCCC,1
CSCO,1
CC(C=O)CCCCO,1
CSCCC(C)O,1
C=CCC(C)C(=C)OCC,1
CCC,1
CCCCOC,1
CSC(C)CO,1
CCCOSC,1
C=C(CCCC)OCC,1
COC(C)C(C)O,1
S=C1CCCCCC1,1
CCCCCCCC(C)CC,1
C=CC(C)(C)S(=O)CC(C)C,1
CCCOCCC,1
CC1CCC(S)S1,1
CSC(=O)O,1
CC(C)COC1=CC=S2C=CC=CC2=C1,1
CCCCS(C)=O,1
CC1C=CC(C)O1,1
COSC,1
C=C(O)c1ccccc1,1
C[SH](=O)=Cc1ccccc1,1
CCCSC(=O)O,1
CC1C=CC(CC(C)C=O)C=C1,1
C=CCCC(=C)S,1
CC(C=S)c1ccccc1,1
C=CC=C,1
Cc1cc(CC(C)C)ccc1CCCO,1
CC1CCC(=S)C1=S,1
CCCOC,1
SC1CCSC1,1
CCSC(=O)CC1CCCCC1,1
C1=CCCC1,1
CSCS(C)=O,1
CCC(C)CCC(C)C,1
CC(C)=COC(C)C,1
C=C(CCC)OCCCCOCCCC,1
CC(C)C,1
C=C(CC)CO,1
CC1=CCC(C)C(C)C1O,1
CC1=CC(O)OC1C,1
CSCCC[O-],1
CCCCSCCC,1
CC(CC(=O)O)CS(C)(C)C,1
CCOC(=O)C1=CC=CCC1,1
CCCC,1
Cc1csc(C)c1,1
CCCSCCCCC1CCCC1=S,1
Cc1ccccc1C(=O)O,1
CC1CCC(C)C1,1
CC(C)C(C)C,1
CCCCCCCCCSSC,1
CCCOCCCCC(=O)CC(C)C,1
C=C(C)C(C)C(C)O,1
O=C(O)C1CCCCS1,1
CS(C)([O-])O,1
SCC1CC=CSS1,1
CCCC=CC(O)SC,1
CS1=CC=S(C)O1,1
C=C(OSCCCCC)SC,1
S=C1C=CCO1,1
CCC(C)C,1
CCOC(=O)C(C)(O)C(C)CC,1
CC(C)CC(C)C(=O)O,1
C=S1C=CC(O)C1,1
CCCCC=CCCCCS,1
