SMILE,frag_likeliness
NCS,0
C=CC(S)CNCCCC,0
CCCOC[NH-],0
CC1C=CN=CC1,0
NCCCCO,0
CC(C)OC=N,0
C1CSCCN1,0
CC(CCO)CCCSO,0
CC=NSCS,0
CC(=O)CCC(O)SCCO,0
OCC=CCO,0
O=C(O)O,0
OSCS,0
CC(O)S,0
NCCCC(=O)S,0
CSCSCSS,0
CCCC=CCC(=N)O,0
OS1=NC(OS)C(S)C=C1,0
CCCCc1cncs1,0
CN(C)N,0
C=C(C)c1cnc(C)o1,0
C=CCN,0
C=C1C(S)OC(C)C1NC,0
CC(O)CCO,0
CSCN,0
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,0
CCCCC(CC)NO,0
CC=CC(=O)SCCC(C)N,0
CNCCC=CCCCCCCCCCC=O,0
CC1CCC(N)CS1,0
CC(=O)CSC(N)=O,0
C=CNCCCCCCCSC(C)C,0
OCCCS,0
CCC(=O)C(N)CC,0
CNC(=O)CC(C)C,0
CCCCC1C=NOO1,0
CCC1=CN=C(C)SO1,0
CC1=CCS2(O)CC1C2(C)S,0
CNC(=O)C1CC2CC1C(C)(C)C2,0
NC1CCOC1,0
CNCCCCCO,0
CC=CC(N)=O,0
CCC(O)CCCCO,0
CC(N)CO,0
O=S(CO)c1ncco1,0
CC(S)c1ccc(O)cn1,0
CCNCCCC(O)C=O,0
C=CC(=C)NCC,0
CC1=CSCCN1,0
C=C(O)C=CC(CCC(=C)O)C(C)C,0
CC(O)CCC(O)SCCN,0
OCCCc1cccnc1,0
CCC(O)S,0
[NH-]CCCS,0
OCCC(O)S,0
CC(C)=CC=N,0
COC1=C=C=C(CCCS)N=C1,0
OOCC(O)O,0
Cn1cccn1,0
CCCS(=O)N1OC=CS1,0
CC1CC(C)SC(O)N1,0
C=CCC=CCCC(=O)NCC,0
C1ONSCSO1,0
CCCCNSCCC,0
CNCCCC1OC(C)C(C)O1,0
CC1=C(C)SC2=C(CCC2)N1,0
OO,0
CC(S)CCCC(C)S,0
O=C(CCO)C1=NC=CC1,0
CCc1cc(C)cnc1N,0
CCC(C)(O)SO,0
CSCC=CNC(C)=O,0
CCC(C)CNC=O,0
CCCCOCSSS,0
C=CC1C=CN(C)C=C1S,0
CCCCCOC(=O)OCCS,0
COCCN=CCCCC=O,0
Cc1cc(N)cc(S)n1,0
CCOCC1=C(N)C=CCC1,0
COc1ccc(C)c(C)n1,0
C=CC(C)(O)CNC=S(C)C,0
CCS(=O)CCC(=O)NC,0
CCNC(N)=O,0
COC(OC)OCCCCN,0
CCSC(C)S(O)(O)CC,0
CNN1CC=CC1C(C)=O,0
C=NCCC,0
CCC(C)C(N)=O,0
C1CNCOC1,0
O=C(OO)c1ccco1,0
O=S(C=CCO)OCCOO,0
CCOOc1cnccn1,0
OCCCCCCO,0
COCC(=O)CCCCCN,0
CCCC(O)CCO,0
C=CCOC(=O)[N-]CC,0
C=CCSOOSC=C,0
O=C1NCCCCS1,0
CCC(N)C(O)=S,0
CCS(=O)COC(C)O,0
CNCCS,0
OCOC1CC=C(S)C1(O)S,0
CCOC(=O)OCO,0
CSC1CSON(CO)S1,0
NCO,0
C=C1CCCCCN1,0
C=CC(O)C(O)CS,0
