SMILE,frag_likeliness
CCCOCC,1
COCCO,1
CSS1=C(C)COC1,1
NCS,1
C=CC(S)CNCCCC,1
CCCCCCCC=CSO,1
CCCOOC(C)OC,1
CCSSCO,1
CCOCCOC,1
COCCCO,1
CCCOC[NH-],1
CCCC(C)=S,1
CCS1=CCC(O)C=C1,1
CCC(=O)C=O,1
C=CCC=CCC,1
CC1C=CN=CC1,1
C=C(CCCSCCCCC)OC(C)CCC,1
Cc1occc1CS,1
NCCCCO,1
C=C1CCCC(CO)O1,1
C=C(C)C(C)C(C)=O,1
CSC=C(C)C,1
C1CC1,1
C=C(SC)C1C=COCC1,1
CC(C)OC=N,1
C=CC(C)CC,1
OCS1=CCC=CO1,1
CCCCCSC(=O)CC,1
CC1CCCC1=S,1
CC,1
CC=CC(C)S,1
C=C(C)C(C)OC,1
CCOCC(=O)O,1
CCCCCSC,1
C=C(C)C,1
C1CSCCN1,1
CC(CCO)CCCSO,1
CCOC(=S)CC(O)CC,1
C=C(O)CCC,1
CCCCCCC(C)SCC,1
COC(C)(C)O,1
CCC(=O)C1=CCC(OC)=CC1,1
CC1CCOC1,1
CC=NSCS,1
CCC=C(C)C(=O)SC,1
C=CCOCC=CC,1
CC(=O)CCC(O)SCCO,1
C=C(O)CCOCC,1
CC(=O)OCC1C=CC2=C(C1)OCC2,1
CCCCC,1
CCOCC(C)O,1
C=C(CCC)C(O)CC,1
OCC=CCO,1
O=C(O)O,1
OSCS,1
C=CCCCC=O,1
CC1=CC=CC1,1
CC(O)S,1
NCCCC(=O)S,1
CCC(CC)CCCS,1
C=C1CC2CCC1C2(C)S,1
CCC(O)CC1=CCC=CS1,1
CCCCCC1OCCC1O,1
CCC=CC(C)OCS,1
CCC(O)SC,1
CSCSCSS,1
CCCC=CCC(=N)O,1
OS1=NC(OS)C(S)C=C1,1
C1CO1,1
CCCCc1cncs1,1
CN(C)N,1
C=C(C)c1cnc(C)o1,1
C=CCN,1
CCCCCC1=CC(C)=CC1,1
COCCSO,1
CC1=CC=CC(C)S1,1
CC1=CC=C(CO)OC1,1
CC1CC(C)(C)CCO1,1
C=C1C(S)OC(C)C1NC,1
CC(O)CCO,1
CSCN,1
CCOC,1
CCOCCCCS,1
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,1
CCCCC(CC)NO,1
CCC1=CC=CC1,1
CCC(C)CCC(C)(C)CC,1
CC1CCCCO1,1
CC=CC(=O)SCCC(C)N,1
CCCCCSO,1
CNCCC=CCCCCCCCCCC=O,1
CC1CCC(N)CS1,1
