SMILE,frag_likeliness
CCCOCC,1
COCCO,1
NCS,1
C=CC(S)CNCCCC,1
CCCCCCCC=CSO,1
CCOCCOC,1
COCCCO,1
CCCOC[NH-],1
CCCC(C)=S,1
CCS1=CCC(O)C=C1,1
CCC(=O)C=O,1
C=CCC=CCC,1
CC1C=CN=CC1,1
C=C(CCCSCCCCC)OC(C)CCC,1
Cc1occc1CS,1
NCCCCO,1
C=C1CCCC(CO)O1,1
C=C(C)C(C)C(C)=O,1
CSC=C(C)C,1
C1CC1,1
C=C(SC)C1C=COCC1,1
CC(C)OC=N,1
C=CC(C)CC,1
CCCCCSC(=O)CC,1
CC1CCCC1=S,1
CC,1
CC=CC(C)S,1
C=C(C)C(C)OC,1
CCCCCSC,1
C=C(C)C,1
C1CSCCN1,1
C=C(O)CCC,1
CCCCCCC(C)SCC,1
COC(C)(C)O,1
CCC(=O)C1=CCC(OC)=CC1,1
CC1CCOC1,1
CCC=C(C)C(=O)SC,1
C=CCOCC=CC,1
C=C(O)CCOCC,1
CCCCC,1
CCOCC(C)O,1
C=C(CCC)C(O)CC,1
OCC=CCO,1
C=CCCCC=O,1
CC1=CC=CC1,1
CC(O)S,1
CCC(CC)CCCS,1
C=C1CC2CCC1C2(C)S,1
CCC(O)CC1=CCC=CS1,1
CCCCCC1OCCC1O,1
CCC=CC(C)OCS,1
CCC(O)SC,1
CCCC=CCC(=N)O,1
C1CO1,1
CCCCc1cncs1,1
CN(C)N,1
C=C(C)c1cnc(C)o1,1
C=CCN,1
CCCCCC1=CC(C)=CC1,1
CC1=CC=CC(C)S1,1
CC1=CC=C(CO)OC1,1
CC1CC(C)(C)CCO1,1
CC(O)CCO,1
CSCN,1
CCOC,1
CCOCCCCS,1
CCCCC(CC)NO,1
CCC1=CC=CC1,1
CCC(C)CCC(C)(C)CC,1
CC1CCCCO1,1
CCCCCSO,1
CNCCC=CCCCCCCCCCC=O,1
CC1CCC(N)CS1,1
C=CNCCCCCCCSC(C)C,1
CC1=CCC=C1,1
OCCCS,1
CCC(=O)C(N)CC,1
CNC(=O)CC(C)C,1
CC1OCCO1,1
CCC=CCC,1
CSC(C)C(C)(C)O,1
CCCCCC=CCS,1
C=CCCC,1
CNC(=O)C1CC2CC1C(C)(C)C2,1
CC1CCSCC1,1
CCC=CCCCSCC(=S)CC,1
NC1CCOC1,1
CC1CCSCC1=S,1
CCC(C)OC(=O)C=C(C)C,1
CCCCCC,1
CNCCCCCO,1
CC=CC(N)=O,1
CCC(O)CCCCO,1
C=CC=CC,1
