SMILE,frag_likeliness
CSS1=C(C)COC1,0
CCCOOC(C)OC,0
CCSSCO,0
OCS1=CCC=CO1,0
CCOCC(=O)O,0
CC(CCO)CCCSO,0
CCOC(=S)CC(O)CC,0
CC=NSCS,0
CC(=O)CCC(O)SCCO,0
CC(=O)OCC1C=CC2=C(C1)OCC2,0
O=C(O)O,0
OSCS,0
NCCCC(=O)S,0
CSCSCSS,0
OS1=NC(OS)C(S)C=C1,0
COCCSO,0
C=C1C(S)OC(C)C1NC,0
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,0
CC=CC(=O)SCCC(C)N,0
CC(=O)CSC(N)=O,0
CCCCC1C=NOO1,0
CSCCSCCCCCCCCS,0
CCC1=CN=C(C)SO1,0
CC1=CCS2(O)CC1C2(C)S,0
CC1=CSC(CCO)=CS1,0
CSOO,0
CC(=O)OCO,0
O=S(CO)c1ncco1,0
CC(S)c1ccc(O)cn1,0
CCNCCCC(O)C=O,0
COCCOC(C)O,0
CSC(=O)CCCS,0
CC(O)CCC(O)SCCN,0
OCCC(O)S,0
COC1=C=C=C(CCCS)N=C1,0
OOCC(O)O,0
C1COSSC1,0
CCCS(=O)N1OC=CS1,0
CC1CC(C)SC(O)N1,0
C1ONSCSO1,0
CNCCCC1OC(C)C(C)O1,0
O=C(CCO)C1=NC=CC1,0
CSC(=O)O,0
CCC(C)(O)SO,0
CSCC=CNC(C)=O,0
CCCSC(=O)O,0
CCCCOCSSS,0
CCCCCOC(=O)OCCS,0
CSCS(C)=O,0
COCCN=CCCCC=O,0
Cc1cc(N)cc(S)n1,0
C=CC(C)(O)CNC=S(C)C,0
CCS(=O)CCC(=O)NC,0
CCNC(N)=O,0
COC(OC)OCCCCN,0
CCSC(C)S(O)(O)CC,0
CNN1CC=CC1C(C)=O,0
CC(CC(=O)O)CS(C)(C)C,0
O=C(OO)c1ccco1,0
O=S(C=CCO)OCCOO,0
CCOOc1cnccn1,0
COCC(=O)CCCCCN,0
C=CCOC(=O)[N-]CC,0
C=CCSOOSC=C,0
O=C(O)C1CCCCS1,0
CS(C)([O-])O,0
O=C1NCCCCS1,0
CCC(N)C(O)=S,0
SCC1CC=CSS1,0
CCS(=O)COC(C)O,0
CS1=CC=S(C)O1,0
C=C(OSCCCCC)SC,0
OCOC1CC=C(S)C1(O)S,0
CCOC(=O)OCO,0
CSC1CSON(CO)S1,0
CCOC(=O)C(C)(O)C(C)CC,0
C=CC(O)C(O)CS,0
