SMILE,frag_likeliness
CCCCC=CS(C)=S,1
CCCCCOC(=O)O,1
CC[NH2+]N,0
CSCCC(C)O,1
CCC(=O)S(C)(C)C,1
CCC[SH+]CC,1
CCC(C)CCC(C)N,0
C=CCOCC(C)C(=O)O,1
CC1=CCC(O)(C(C)C)C[NH2+]1,0
COC(=S)C(C)O,1
CCCCC(C)(CC)C(=O)NCC,0
CCC(O)CC1=CC=CCC1,1
CC1=NC2C=CC=CC2C1,0
OC1CCCCC1S,0
CCC(CC)CC,1
CCC(O)C[NH2+]C,0
CCCCCC,1
C=S(C)C,1
CCC=CCOCS,1
CC(C)CC1=CC2=CC=CNC2=CN1,0
C[NH2+]CC[NH2+]C(CO)C(C)=O,0
c1c[nH+]ccn1,0
CSOSO,0
CC(N)CCOOC(=O)CC(C)O,0
C=[NH+]C1=C(O)C=C(C)NN1,0
C[NH2+]CCCCCCCC(=O)CCCCCCS,0
C=CCNC(=O)COC1=CC=CCN1,0
C=CCCCN,0
C=C(C)S1=CC=C(Cl)C=C1,0
CCCOC(=N)OCC(C)CC,0
C=C(CC)C1=[NH+]CCC1,0
CNCCCCN=CCS,0
CSCCCC1CC=CO1,1
C=CCOC(=O)ONCCC,0
CC1CCOC(CO)O1,1
CCCCCOC(C)CC,1
C=C(CC)COC(C)=O,1
CC([NH3+])CN,0
CCN1C=NN(C)S1,0
COCCC=[NH2+],0
CC(=O)OCC[NH2+]c1ccccc1,0
C=CC1SC=NC1C,0
CC(=S)SC(=O)O,0
CC(S)=CCOC(C)=CCCC=O,1
CCCNSC,0
[NH3+]c1cccc(C=O)c1,0
CCCC1=CCC=N1,0
CC1CNC(=O)C1,0
CCCCONO,0
CC[n+]1cc[nH+]nc1SC,0
CC=CCCC[NH2+]C=N,0
CCC(C)C(C)C(=O)O,1
CCC(C)[NH2+]C=O,0
OCCCCc1ccc2ccccc2c1,1
CCCC(CC)SC,1
CCC(O)C(C)C=O,1
C=[N+](C)c1ccc(C)o1,0
CCOC(OOC)C(C)S,0
CCC[SH2+],1
O=CNCCCC1CCCCC1,0
C=C(NCC(C)C)C(C)=CC,0
CC=CCN,0
CCCC=CCCCCC(C)=O,1
NO,0
CNS(=O)CCc1ccccc1,0
CCC(=O)CC(C)N,0
CCCCCC(O)C(C)=N,0
CNC(C)C(C)O,0
CCN=S,0
Cc1cc([SH2+])c(C)o1,1
CCCC=CCNC(=O)C(C)CC,0
CCCC,1
CC(C)=CCCC(C)(C)N1CO1,0
CCC1(C)C2(C)CCC(O2)C1(C)C,1
CC(C)[NH2+][O-],0
C=C(C=CSCCC)OCC,1
