SMILE,frag_likeliness
CCCCC=CS(C)=S,1
CCCCCOC(=O)O,1
CSCCC(C)O,1
CCC(=O)S(C)(C)C,1
CCC[SH+]CC,1
C=CCOCC(C)C(=O)O,1
COC(=S)C(C)O,1
CCC(O)CC1=CC=CCC1,1
CCC(CC)CC,1
CCCCCC,1
C=S(C)C,1
CCC=CCOCS,1
CSCCCC1CC=CO1,1
CC1CCOC(CO)O1,1
CCCCCOC(C)CC,1
C=C(CC)COC(C)=O,1
CC(S)=CCOC(C)=CCCC=O,1
CCC(C)C(C)C(=O)O,1
OCCCCc1ccc2ccccc2c1,1
CCCC(CC)SC,1
CCC(O)C(C)C=O,1
CCC[SH2+],1
CCCC=CCCCCC(C)=O,1
Cc1cc([SH2+])c(C)o1,1
CCCC,1
CCC1(C)C2(C)CCC(O2)C1(C)C,1
C=C(C=CSCCC)OCC,1
C=S(C)(=O)O,1
O=C(O)OC1CCCCC1,1
C=C(C)c1occc1C,1
COC(=O)CCO,1
C1CCSCC1,1
O=C1CCCOCC1,1
C=CCC(C)C1CC=C(C)CC1,1
C=C1CCC(CCCCC)O1,1
CC(C)CSC(C)C,1
CCCCCCCC1CCCC1=S,1
CCCOCCC,1
CCC1=COC(C)S1,1
CC(=O)SCC=CCCO,1
C=C(C)C(=C)OCCCC,1
OCC1=CCC2=C(C1)OCO2,1
O=C1C=CCC1,1
C=C(CC)CO,1
CC1=C(S)CCC1=O,1
CS1=C(CCO)C=CS1,1
C=CC=CCC,1
CSC(C)S1=CC=CO1,1
CC(C)C1C=CC(O)CC1,1
CC(C)c1ccc(C(C)O)cc1,1
CCCCC(O)C(=S)CC,1
COCCO,1
CCOS(=O)CC(C)C,1
C=C(C)OCc1ccc(C)cc1,1
CC=CC(C)OCC(C)C,1
CSC(S)c1ccco1,1
CC1CCCSS1,1
CCCCCC(=O)OCCCSCC,1
CC(C)COC(=O)C=CCCS,1
C=COCC(C)S,1
CC,1
CC(C)C1C=CC(C)(C)CC1,1
CC1=CSC=S1C,1
CC=C[SH+]C,1
CC1CCCC1,1
C=C(OC(C)CC)C(C)O,1
CCCC(=O)C(C)(C)OC,1
CCc1ccccc1C,1
C=S(C)C1CCC(C=O)CC1,1
CCCC(C)C=S,1
CC(C)(C)[O-],1
CCC1C=CC(=O)S1,1
CC1=C(S)C(=[SH+])CC1,1
CC(C)C,1
C=CS(=C)C,1
CCCCCCCCOSC(=O)c1ccccc1,1
C1CO1,1
CCCCCC=CC(=S)OCCCC,1
CCOC,1
CCCC(O)CCCC(C)=O,1
CCC1=COC=CC1,1
CCC=CCC(OC)SC,1
C=C(C)CCOC,1
COCCCO,1
