SMILE,frag_likeliness
CC[NH2+]N,0
CCC(C)CCC(C)N,0
CC1=CCC(O)(C(C)C)C[NH2+]1,0
CCCCC(C)(CC)C(=O)NCC,0
CC1=NC2C=CC=CC2C1,0
OC1CCCCC1S,0
CCC(O)C[NH2+]C,0
CC(C)CC1=CC2=CC=CNC2=CN1,0
C[NH2+]CC[NH2+]C(CO)C(C)=O,0
c1c[nH+]ccn1,0
CSOSO,0
CC(N)CCOOC(=O)CC(C)O,0
C=[NH+]C1=C(O)C=C(C)NN1,0
C[NH2+]CCCCCCCC(=O)CCCCCCS,0
C=CCNC(=O)COC1=CC=CCN1,0
C=CCCCN,0
C=C(C)S1=CC=C(Cl)C=C1,0
CCCOC(=N)OCC(C)CC,0
C=C(CC)C1=[NH+]CCC1,0
CNCCCCN=CCS,0
C=CCOC(=O)ONCCC,0
CC([NH3+])CN,0
CCN1C=NN(C)S1,0
COCCC=[NH2+],0
CC(=O)OCC[NH2+]c1ccccc1,0
C=CC1SC=NC1C,0
CC(=S)SC(=O)O,0
CCCNSC,0
[NH3+]c1cccc(C=O)c1,0
CCCC1=CCC=N1,0
CC1CNC(=O)C1,0
CCCCONO,0
CC[n+]1cc[nH+]nc1SC,0
CC=CCCC[NH2+]C=N,0
CCC(C)[NH2+]C=O,0
C=[N+](C)c1ccc(C)o1,0
CCOC(OOC)C(C)S,0
O=CNCCCC1CCCCC1,0
C=C(NCC(C)C)C(C)=CC,0
CC=CCN,0
NO,0
CNS(=O)CCc1ccccc1,0
CCC(=O)CC(C)N,0
CCCCCC(O)C(C)=N,0
CNC(C)C(C)O,0
CCN=S,0
CCCC=CCNC(=O)C(C)CC,0
CC(C)=CCCC(C)(C)N1CO1,0
CC(C)[NH2+][O-],0
c1csc(OCCc2c[nH+]cs2)c1,0
CC1=CC(S)C(C)C(C(=O)S)C1,0
CCC=C[NH2+]O,0
C=C(NC)OCC(C)C,0
CCCCCn1nccn1,0
CCCC(=O)CSOC(=O)O,0
CCOC(=O)C(C)(S)S,0
CC[n+]1ccccc1,0
CC(C)CC(=S)OON,0
C=COOCOCOC[NH2+]CCCCC,0
CCOC(C=C(C)NNC=C(C)S)OCC,0
CCSOCC=CC(=O)O,0
CC(S)C(C)CS,0
CCOCC1=CNC=CS1,0
Cc1cnc(C=O)o1,0
C1=CC2=CNO[NH2+]C2=C1,0
C=[N+](C)c1occc1O,0
CSS1=CN=C(C)NN1,0
