SMILE,frag_likeliness
CCCCC=CS(C)=S,1
CC[NH2+]N,1
CSCCC(C)O,1
CCC(=O)S(C)(C)C,1
CCC[SH+]CC,1
CCC(C)CCC(C)N,1
CC1=CCC(O)(C(C)C)C[NH2+]1,1
CCCCC(C)(CC)C(=O)NCC,1
CCC(O)CC1=CC=CCC1,1
CC1=NC2C=CC=CC2C1,1
OC1CCCCC1S,1
CCC(CC)CC,1
CCC(O)C[NH2+]C,1
CCCCCC,1
C=S(C)C,1
CCC=CCOCS,1
CC(C)CC1=CC2=CC=CNC2=CN1,1
c1c[nH+]ccn1,1
C=CCCCN,1
C=C(C)S1=CC=C(Cl)C=C1,1
C=C(CC)C1=[NH+]CCC1,1
CSCCCC1CC=CO1,1
CCCCCOC(C)CC,1
C=C(CC)COC(C)=O,1
CC([NH3+])CN,1
COCCC=[NH2+],1
C=CC1SC=NC1C,1
CCCNSC,1
[NH3+]c1cccc(C=O)c1,1
CCCC1=CCC=N1,1
CC1CNC(=O)C1,1
CC=CCCC[NH2+]C=N,1
CCC(C)C(C)C(=O)O,1
CCC(C)[NH2+]C=O,1
OCCCCc1ccc2ccccc2c1,1
CCCC(CC)SC,1
CCC(O)C(C)C=O,1
C=[N+](C)c1ccc(C)o1,1
CCC[SH2+],1
O=CNCCCC1CCCCC1,1
C=C(NCC(C)C)C(C)=CC,1
CC=CCN,1
CCCC=CCCCCC(C)=O,1
NO,1
CCC(=O)CC(C)N,1
CCCCCC(O)C(C)=N,1
CNC(C)C(C)O,1
CCN=S,1
Cc1cc([SH2+])c(C)o1,1
CCCC=CCNC(=O)C(C)CC,1
CCCC,1
CC(C)=CCCC(C)(C)N1CO1,1
CCC1(C)C2(C)CCC(O2)C1(C)C,1
CC(C)[NH2+][O-],1
C=C(C=CSCCC)OCC,1
CCC=C[NH2+]O,1
C=C(NC)OCC(C)C,1
CC[n+]1ccccc1,1
CC(S)C(C)CS,1
C=C(C)c1occc1C,1
C1CCSCC1,1
O=C1CCCOCC1,1
C=CCC(C)C1CC=C(C)CC1,1
C=C1CCC(CCCCC)O1,1
CCCC[NH2+]CCC1CC=CC(=S)C1,1
CC(C)CSC(C)C,1
CCCCCCCC1CCCC1=S,1
CC(C)CC(=N)C(O)C(C)C,1
CCCC(O)C(C)N,1
CCCC1=N[NH2+]C=C1,1
C=CCC[NH+]([O-])c1ccccc1,1
CCCOCCC,1
CCC1=COC(C)S1,1
C=C(C)C(=C)OCCCC,1
C=C(CN)C(C)(C)C,1
O=C1C=CCC1,1
C=C(CC)CO,1
CC(=S)c1ccccc1N,1
C=C(CCC)CCCN(C)C,1
CC1=C(S)CCC1=O,1
CCCCNCS,1
CCCCNCC(C)=O,1
COC1=CC=CNC1,1
C=CC=CCC,1
C=C[NH2+]SC,1
CCC(N)S,1
CC(C)C1C=CC(O)CC1,1
CC(C)c1ccc(C(C)O)cc1,1
C=CNCCCCCCC=O,1
CCCCC(O)C(=S)CC,1
COCCO,1
C=C(C)OCc1ccc(C)cc1,1
C=CC(NCC)NCC,1
CC=CC(C)OCC(C)C,1
CCC(C=O)C[NH3+],1
CCNC(=O)C(C)CC,1
CC1CCCSS1,1
CCCCCCC(=N)CCC=O,1
CNO,1
CC(CO)CC(N)c1ccccc1,1
c1ccnnc1,1
C=COCC(C)S,1
[SH2+]c1ccncc1,1
CCCCC(C)(C)NO,1
CC,1
CC(O)CCS,1
CC(C)C1C=CC(C)(C)CC1,1
CC1C2CC2(C(C)C)CS1=N,1
CON,1
CCOC(C)NCC(C)CC,1
CC1=CSC=S1C,1
CC=C[SH+]C,1
CC(=N)N,1
SCC1CC=CN1,1
CC1CCCC1,1
CSNc1ccccc1,1
CC(=N)C(C)N,1
C=C(OC(C)CC)C(C)O,1
CCCC(=O)C(C)(C)OC,1
CCc1ccccc1C,1
C=S(C)C1CCC(C=O)CC1,1
CCCCC(O)O,1
CCCC(C)C=S,1
C=NOCC,1
CC(C)(C)[O-],1
C=CC(O)CC[NH2+]CCC,1
Cc1ccc(C(O)O)cc1,1
CCC1C=CC(=O)S1,1
CNN,1
CS(C)=N,1
CC1=C(S)C(=[SH+])CC1,1
CC(C)C,1
C=CS(=C)C,1
CCC(C=O)CN,1
C1CO1,1
CCCCCC=CC(=S)OCCCC,1
CCOC,1
OCS,1
CCCC(O)CCCC(C)=O,1
CCC1=COC=CC1,1
CCC=CCC(OC)SC,1
C=C(C)CCOC,1
C=C(NCCC=CCC)C(C)CC,1
COCCCO,1
CC1=CC2C(=CC1)N(C)CCC2C(C)C,1
CCC1CSS(C)(C)C1,1
CC1CC1,1
CC(=S)Cc1ccco1,1
C=CCSCC[NH3+],1
C=CNCC,1
CC([NH3+])C(C)S,1
CCCCCCCC[NH+]=CC=CC=N,1
C=C(C)CC,1
SCC1CC=C[NH2+]1,1
C=CCCC,1
CCC(C)COC=S,1
CC(C)=CC(=N)[NH3+],1
C=C(O)CO,1
CCCCCc1ccc(C)[nH]1,1
CCCC1=COC=CC1,1
CCC(C)C(=N)N,1
OC1C=CC=CC1,1
CC(O)C1CCCCC=[NH+]C1,1
C=CCC(C)(C)Cc1ccccc1,1
CCCCCCCCNCC=O,1
CSCc1cccnc1,1
C=C(C)NC(C)=O,1
c1ccc2c(c1)CCNN2,1
CCCC(C)(N)S,1
C=CC(C)C,1
CC1=CCC(C)C(C)=N1,1
CCC[NH3+],1
CCCCOC(C)CCCC(C)S,1
C=S(CC)N(C)C,1
OCCc1cccc(O)c1,1
CC1CC=CSO1,1
SC1CCCO1,1
CCC=CCCCSO,1
COCSC,1
C=C1C=[NH+]C(CC)O1,1
CCCCCS1=CC=CC=C1,1
CCC(=O)C(C)(C)O,1
CCC(=O)C(C)CC,1
C=C(CC)C(C)S,1
C=C(C)C1=CCC(C)C=C1,1
CC1=C(C)SN(C)C1,1
CNCc1ccsc1,1
CC=CCCC,1
C=S(C)CC,1
CCCC(C)C(C)=N,1
CC=C(C=O)CCC,1
O=C1COc2ccccc2C1,1
CC(C)CC(=O)CC1CCCCC1,1
CCCCC1CCCN1,1
CC(C)CC(N)=O,1
C=COCCCCCCCC=O,1
C[NH2+]C=O,1
OCCc1ccco1,1
CNCC[NH2+]C,1
CCCC[SH+]CC,1
CC=CCC=CC,1
COS1=CC=CC(C)=C1,1
CCc1ccccc1,1
CCCCNCC,1
CC(C)=[NH+]CCC(C)CCCC(C)C=O,1
CCCOCC,1
CC1CC(C)(C)SO1,1
CC(C)(O)CN,1
C=CS(=O)CC,1
CC=C[NH+]([O-])CCCCC,1
CCC1C=CC(O)=CC1,1
CCCCCOC(C)SCCC(C)C,1
CCCc1ccc([NH3+])cc1,1
CNC(C)CCCC(C)(C)O,1
Cc1ccc[sH+]1,1
C=C(CC)[NH2+]CC,1
CN1CCSC1,1
CCC1=C[NH2+]C(CC)=C(C)O1,1
CCc1cc(C)sc1CC,1
CCC=[NH+]CC=CCCS,1
CC1C=CC(C(C)C)CO1,1
C=C[NH2+]CC=O,1
C=C(C)SCC=[NH2+],1
CCCCCCCSCCOC,1
c1ccc(CC2CCCC2)cc1,1
CC(C)On1cccc1,1
CCCCC(C)CCC(N)=O,1
C=CCCCCN=C=[SH+],1
C=CC(C)(C)C(C)C=C(C)C,1
CC(C)(O)c1ccc(C=O)cc1,1
CC(C)N=C=N,1
C=C(C)C(C)OC(=S)CCC,1
CCCCCC(N)CC,1
CCC(C=O)[NH2+]C,1
CC1=C(N)C(=O)CC(C)(C)C1,1
c1cn[nH]c1,1
C=CC1OC1CCCC,1
CC1=CCC2(S)CC1C2(C)C,1
CC(C)CC(=N)O,1
C=CC=CC(C)N,1
CCCCC(N)NC,1
CNC(=O)c1ccccc1C,1
C=CCC(C)C,1
C=S(=C)(C)NC,1
CCCCC(=O)C(C)S,1
CCC[NH2+]CCCC(C)C=O,1
CCC(=S)CC(C)C,1
C=CC(C)CS,1
C=CCNC=S,1
COC1=CC=S(C)C=C1C,1
CC1=CCN(C)N1,1
CCC(C)CC,1
CCCCC1=CCC(O)C=C1,1
CCCCC(CC)OC,1
NCCCS,1
CC(=O)CCCC(C)[NH3+],1
CCC=C(C)C(=O)CC,1
C1CCC2(CCOC2)CCSC1,1
CCCNC(C)CC[NH2+]C,1
CCCCC(C)C(=O)COCCC,1
CCCC(CS)C[NH2+]C,1
CC1CCC(=O)C1,1
CC(C)C(C)CS,1
CCc1ccc(CC)nc1,1
CCC(C)CCCCNS,1
CC(=O)CC1=CC=CC1,1
NCO,1
C1=CCC=C1,1
CC(C)C(N)S,1
O=CC=[NH+]c1ccccc1,1
C=CCCS(=O)CC1CCCCC1,1
CC1=C(C)OC(C(C)C)N1,1
CC(C)(C)C,1
CC1=NCNC1,1
CCCC1[NH2+]CCO1,1
C=C(C=CC)OCCC,1
C=C(C)CCC=CSCC,1
CC(O)c1ccccc1[NH3+],1
C=CCOC(=S)C(C)=CC,1
C=C(CC(N)O)C(C)CC,1
C=C(C)CC(C)=S,1
CCC(C)C,1
CCCC(=O)OC(C)(C)C1CCC(C)CC1,1
CC(C)(O)C1C=CN=CC1,1
CC(C)C1=CC=CC(C(C)C)=S1N,1
C=C1OCCS1,1
C=COC(S)CCCCC,1
COCC=O,1
CC[NH2+]NC,1
C=C(O[NH3+])C(C)CCC,1
O=CCCCC=S,1
CCNC1CCC(C(C)(C)CC)CC1,1
C=S(C)(C)=O,1
CC(=O)N=CC(C)C,1
CC1[NH2+]CC(C)(C)O1,1
C1=CS[NH+](c2ccccc2)C=C1,1
CSCCCS,1
CCCCNCc1ccccc1,1
CC1C[NH2+]CS1,1
CC1=CC=S(O)C=C1C,1
CCCC=CS(=O)CC,1
C=C(O)C=Cc1ccccc1,1
C[N+](C)=O,1
