SMILE,frag_likeliness
CCCCCOC(=O)O,0
C=CCOCC(C)C(=O)O,0
COC(=S)C(C)O,0
C[NH2+]CC[NH2+]C(CO)C(C)=O,0
CSOSO,0
CC(N)CCOOC(=O)CC(C)O,0
C=[NH+]C1=C(O)C=C(C)NN1,0
C[NH2+]CCCCCCCC(=O)CCCCCCS,0
C=CCNC(=O)COC1=CC=CCN1,0
CCCOC(=N)OCC(C)CC,0
CNCCCCN=CCS,0
C=CCOC(=O)ONCCC,0
CC1CCOC(CO)O1,0
CCN1C=NN(C)S1,0
CC(=O)OCC[NH2+]c1ccccc1,0
CC(=S)SC(=O)O,0
CC(S)=CCOC(C)=CCCC=O,0
CCCCONO,0
CC[n+]1cc[nH+]nc1SC,0
CCOC(OOC)C(C)S,0
CNS(=O)CCc1ccccc1,0
c1csc(OCCc2c[nH+]cs2)c1,0
CC1=CC(S)C(C)C(C(=O)S)C1,0
CCCCCn1nccn1,0
CCCC(=O)CSOC(=O)O,0
C=S(C)(=O)O,0
CCOC(=O)C(C)(S)S,0
CC(C)CC(=S)OON,0
C=COOCOCOC[NH2+]CCCCC,0
CCOC(C=C(C)NNC=C(C)S)OCC,0
O=C(O)OC1CCCCC1,0
CCSOCC=CC(=O)O,0
CCOCC1=CNC=CS1,0
Cc1cnc(C=O)o1,0
COC(=O)CCO,0
C1=CC2=CNO[NH2+]C2=C1,0
C=[N+](C)c1occc1O,0
CSS1=CN=C(C)NN1,0
CC(C)C[N+](=O)OCCC1CCCC[NH2+]1,0
CC(=S)C(=N)O,0
CC[N+]1=NCCC(OC)=C1,0
COS1=NC=C(C)N=S1C,0
CC1NC(=S)CO1,0
C[N+](=O)CCC=S(C)C,0
CCC=CCC[NH2+]S(=O)CCC,0
CC(=O)SCC=CCCO,0
CCCCOC[SH+]CC(=O)O[NH2+]C(C)C,0
OCC1=CCC2=C(C1)OCO2,0
Cc1c(=O)[nH]c(=O)n2c1ncn2C,0
O=C(O)CCCS,0
CCCSC[NH2+]SCN[NH2+]C,0
C=C[NH2+]CCCCCCCOC(=N)CC,0
CC(C)[NH2+]C1NCC(O)CO1,0
CS1=C(CCO)C=CS1,0
CC1(N)CCC=C2CC(C=O)CCN21,0
C1NSCSSO1,0
NC(=O)c1ccccc1S,0
CSC(C)S1=CC=CO1,0
CCOS(=O)CC(C)C,0
CC1=C(CC(C)C)[NH+]=CN(C)N1,0
OCc1cncc[nH+]1,0
CCC(O)SCCS,0
CC(=O)NC(C)C(C)=O,0
CSC(S)c1ccco1,0
CCCCCCNCCCOC(=O)S,0
COONc1ccccc1,0
CCCCO[SH+](=O)C(C)SCC,0
CCCCCC(=O)OCCCSCC,0
CCC[NH2+]C[SH+]COCCO,0
NCOc1ccccc1C=O,0
CC(C)COC(=O)C=CCCS,0
Cc1ccc(ONCO)cc1,0
O=C(S)[NH2+]c1ccccc1,0
CCOC(=O)CCS1=NC=CS1,0
CC(=N)c1nccs1,0
O=C(O)CSS,0
CCCC=CCOC(=O)CNCC,0
CCOS(=O)OC1CCCC[NH+]1C(C)(C)O,0
CCCOC(=O)C(C)=N,0
O[NH2+]OCC1C=CCC=C1,0
O=C(O)CC=CO,0
CC(S)NC(=O)C1C=CC=CN1,0
C=S(S)NCS1=CC=CO1,0
CC(O)C1=CCS2=NC=CC=C2O1,0
OCC1NCC2C3CC(OC3NO)C12,0
CC(C)=[NH+]CC(=O)S1=COC=C1,0
N=CSOCCC1=CC=CON1,0
CC(N)C(N)C(=O)O,0
COCCCCCN=C=S,0
C=CSCC(=O)[NH2+]CC,0
CCOS(=O)SC(C)CO,0
C=C(C)N1N=CC=C(C(C)=O)N1,0
c1nc2c(o1)CCCCCCCCSC2,0
CCCS(=O)OCn1cccc1,0
CCC=CCC(=O)O[NH3+],0
CCCCCCCCOSC(=O)c1ccccc1,0
CCCCCC(=O)SCCc1scnc1C,0
CCNc1nccnc1C,0
CNC(CC(C)OCC=C(C)C)OC,0
CCCCCONCC(=O)OOCCC,0
CC1NNCS1,0
CC1(O)C[SH+]C(C)(O)CS1,0
CC(S)OCCC(=O)O,0
CC(=O)C1=[NH+]CCS1,0
CC(=N)S[NH2+]CCCCCCS,0
CC(C)OC(=S)C1=C(N)SCC=C1,0
CCCC(=O)C(O)SSC,0
CCS(=O)C1=NCCC1,0
CCC1=NCC(=O)O1,0
Nc1ccc(C(=O)O)cc1O,0
COC1=C(C(C)C)N=C[NH2+]S1,0
CC(=CC=O)CCC=C(S)CCC=[N+](C)N,0
CCC(=O)C1=COCO1,0
CSc1[nH+]c[nH+]cc1O,0
CCC(OC(C)=O)C(=[NH2+])NC,0
CCC(=O)NCC(C)O,0
CC(CO)[NH2+]S,0
CCC(S)C(=O)OCSCNSC,0
CCCC=[NH+]SCN,0
CC(CCO)[NH+]=S,0
CC(=S)ON(C)c1ccccc1,0
CCCC(N)NC=N,0
C[NH2+]SS(C)=N,0
C=C(CCCCCCCC[NH2+]O)OC,0
CC(=O)C1=NCOO1,0
CC[NH2+]C(=O)OCC,0
COC(CC(C)=O)SC,0
CC(CC=O)S[NH3+],0
C[NH2+]C(=O)C(C)O,0
CC(S)NCN,0
C=CCCCCCNOCO,0
CSOC=O,0
CCCCC[N+](=O)CC(C)CO,0
CCCOC(=S)COC(C)O,0
COS(=O)CCCOc1ccco1,0
CS1=CC=C(C=S)C(O)=C1,0
CC(S)C1=CNC=CS1,0
CC1ONCC1S,0
CC(N)SC(N)[NH3+],0
CS[NH+]1N=CCS1,0
CCSSN[NH3+],0
CSc1nc(C)co1,0
CCCCCC(OCC)OCCO,0
CC(=N)CC(=O)OC1CCCCC1,0
C=CCSNNC,0
CC=CS[NH2+]CO,0
CN=C(N)S(C)=O,0
