SMILE,frag_likeliness
CCCCCCC=CC=N,0
CCC(C)C(C)CC=N,0
CCCCCCCCCCCCCCCC(C)C=N,0
CC(C)CCC=N,0
CCCCCCCCCCN,0
NCCCC1CCCCCCCCCCC1,0
CCCCC(C)N,0
C=C1CCC(=N)C(=C)C1,0
CCCCCCCCC=CCCCCCCCC(C)CC=N,0
CCCCCCCCCCCC=N,0
NC1CCCC1,0
C=C1CC(C)C(C)C1=N,0
CCC(C)CCCC(C)CC=N,0
CCCCCCCC(C=N)CC,0
CCCCCC(C=N)CC,0
CCCCC(=N)C(C)CC,0
C=CCCC(=N)CC(C)(CC)CCCC(C)C,0
C=CCCC=N,0
CCCCC1=CCC(CN)CC1,0
CCCC(CC)CCC=N,0
CC1CC(N)CC(C(C)C)C1,0
CCCC=N,0
CCCCCCCCC(C=N)CC,0
C=C(C=N)C(C)C,0
C=C(C=N)CC=CCCCCCC,0
C=C(C)CCCC(C)CCCCN,0
CCCCCCC(C)CCCCCCCCCCC(C)CCC,0
CCC(CC=N)CCCC(C)C,0
CC(C)CCCCCCCCCCCC(CCCCCCCCCCCC(C)C)CC(C)CCCC(C)C,0
CCCCCCCCN,0
CCCCCC(=N)CCC,0
CCC(=N)CCC1CCCC1,0
CC(C)(C)CCCN,0
CCC(C)CC(C)C=N,0
CC(C)CCCC=N,0
CC(N)CCCC=N,0
CCCCCCC=N,0
CCCCCCC=CCN,0
CC(CCN)CCCC(C)(C)C,0
CC(=N)CCCCCCC(C)C,0
CCCCCCCC(=N)C(C)(C)C,0
CCCC=CCCCCCN,0
CCCC(CC)CN,0
CCCCCC(=N)CC(C)C,0
CCCCCCCCCCC(C=N)CC,0
CC(C)C=N,0
CC1CCCC(CC=N)C1,0
NCCCCCC1CCCC1,0
CCCCCCCCCCCCCCCCN,0
C=C(CCCCCC)CCCCCCCCCCCCCCC,0
C=C(CCC=N)C(C)C,0
CCCCC=CCC(=N)C(C)C,0
C=C(CCCCC)CCCCCCCCCCCCCCCCC,0
C=C=CCC=N,0
CCCCC(CCC)C(C)N,0
CCCC(C=N)CCCC(C)C,0
CCC(=N)CC(C)C,0
CCCCCCCCCCCCCCCCCC(C)CCCCC,0
CCC(C)CCN,0
CCC(C)C=CCCCC=N,0
CCCCCCCCCCCCCC=N,0
CC(=N)CC(C)C,0
CCCCCCCCCC(=N)CCC,0
CCCCCCCCCCCCCC(C)CC(C)CCC(C)CC,0
