SMILE,frag_likeliness
C=CC(CC)CCCCCCCCCC,1
CCCC(CC)CCC,1
C=C(C)CC(CCCCCCCCCC)C(C)CC,1
C=C(C)CCCC,1
CC(C)CCC(C)C(C)C,1
CC1C=CCC(C)C1,1
CCCCCCCCCCCCCCCCCCC,1
CCCCCC(C)CCC(C)C,1
C1=CCC(CCC2CCCCC2)CC1,1
C=C(C)CCCC(C)(C)CC,1
C=CCC(=C)CCC,1
CCC(C)C(CC)CC,1
C=C(C)CCCCCCCC,1
C=C(CCCCCCC)CCC1C=CC=C1,1
CCC1C=CC=CCCCCCCC1,1
CC1CCCC=CCCCCCCCC1,1
CCCCCCC=CC=N,1
C=CC(CC)CCCCC,1
CC=CCCCCCC(CC)CC,1
CCCCCCCCCC(C)C(CC)CC,1
C=C(C)C(CC)CCCC,1
CC1C=CCC1,1
CCC(C)C(C)CC=N,1
CCCCCCCC1C=CC(C)C1,1
C=C(C)CCC(CC)CC,1
C=C(CCCCC(C)CC(C)C)CC(C)C,1
CCCC(C)CC(C)C(C)CCC,1
C1=CCCC1,1
CCCCCCCCCCCCCCCC(C)C=N,1
C=C=CC(C)CC,1
C=CC(CCC)CCCCCCC,1
CC(C)CC1=CCCC(C)C1,1
C=CC(C)C(C)C,1
CCCC=CCCCCCCC,1
CCCCCCCC(C)CC1CCCC1,1
CC(C)CCC=N,1
C=CCC(=C)C(C)CC(C)C,1
CC1CC=CCCCC=CCCCCCCC1,1
CCCCCC(CCC)CCCC(C)C,1
CCCCCC(CCCC)CCCCC,1
C=C(CCC(C)CC)C(C)C,1
CCCCCCCCCCN,1
C=CCCCC(C)C,1
NCCCC1CCCCCCCCCCC1,1
C=C1C=CCC(CCCCC)=C1,1
C=CCC(C)C,1
CCCCCC=CCCC(CCC)CCC,1
C=C1C=CC=C1CCCCCC,1
CCCC=CC1C=CC(C)CC1,1
CC(C)CC1CCCC1,1
CCC(C)C1CC(C)C(CC)C1,1
CCCCC(C)N,1
CC1CCC=CCCCCC=CCCCCC1,1
CCC(C)CCCC(C)(C)C,1
C=CC(=C)CCC,1
C=C(CCC)C(CC)CCC(C)C,1
C=C1CCC(=N)C(=C)C1,1
CC(C)C(C)CC(C)C(C)C,1
CCCCC(CCCC)CC(C)C,1
CCC(C)C,1
C=C(C)CCCC(C)CCCC(C)C,1
C=CC(C)(C)CCC,1
C=C(CCCCCCC)CC(C)C,1
C=C=C(CC)CCC,1
CCCCCCC(C)CCCC,1
CC(C)CC1CC(C)C(C)C1,1
C=C(CCCC(C)C)C(C)CCC,1
C=C1C=CC(CCCC)C1,1
C=CCCCCCC(=C)CCC,1
CCCCCCCC(C)CC(C)C,1
C=CCCCCC(C)C,1
CCCCCCCCC=CCCCCCCCC(C)CC=N,1
CCCCCCCCCCCC=N,1
CCCCCC(C)CCC(C)CCCCC,1
C=CC(CC)CCCCC=CCC,1
NC1CCCC1,1
C=C1CC(C)C(C)C1=N,1
C=CCCCCCCCC,1
CCCCCCCCCC1C=C(C)CCC1,1
C=CC(CC)CCCCCCC,1
CCC(C)CCCC(C)CC=N,1
C=C1C=C(C(C)C)CCC1C,1
C=CCC(C)(CC)CCCC,1
CCCCCC(CCCCC)CC(C)C,1
CCCCCCCC(C=N)CC,1
CCC(C)C(C)CC(C)C,1
CCCCCCCCCCC(C)CCCCCC,1
CCCCCCCC(C)CC,1
C=CCC=CC,1
C=CCCCCC(C)CCC,1
CC1=CCCC1C,1
C=C(C)CCCC(C)CCCC(C)CC(=C)C,1
CCCCCCCCC(C)C(C)C,1
CC1CCCCC=CCCCCCCCCC1,1
CCCCCC(C=N)CC,1
C=C(C)CC(C)CC,1
CC(C)CC1CCC(C)C1,1
C=C1CCC(CCC)C1,1
C=CCCCC(C)CCCC,1
CCC(C)(C)C(C)CC(C)C,1
CCCCCC1=CC=C=C=C1,1
CCCCC(=N)C(C)CC,1
C=CCCC(C)(C)C,1
CCCCCC(C)CCC(C)CC,1
CCCC(C)(C)CCC(C)(C)CCC,1
CCCCCC1C=CCC(CCCCC)C1,1
C=CCCC(=N)CC(C)(CC)CCCC(C)C,1
C=CCC(CCC)CCCCCCCCCCC,1
CC(C)C1CCC(C)C(C)C1,1
C=C=CCCC(C)C,1
C=C=CC=CCC,1
CC1C=CC=C1,1
C=C=CCCCCCCC,1
CCCCCCCCCCC(CC)CC,1
CCCCCCCC1CCCC1C,1
C=CC1=CC(=C)CC1,1
C=CC(C)(CCC)CCCC(C)C,1
CCC(C)CCC(C)CC,1
C=C(CCCCCC)CCC(C)C,1
C=CCCC=N,1
CC(C)CCCC(CCC(C)C)CC(C)C,1
CC(C)CCCC(CCCC(C)C)C(C)C,1
C=C(CCCC)CCCCCCCCC,1
C=C(CCC)CC(C)C(C)C,1
CCCCC=CCCCCCCC,1
C=C(CCC)CCC,1
CCCCC1=CCC(CN)CC1,1
CCCC(C)C(C)C(C)C,1
CCCCCC1=CCCC1,1
C=CC(C)C(C)CCCC,1
CCCC(CC)CCC=N,1
CCC(C)C(C)C(C)CC(C)C,1
CCCC(CCCC(C)C)C(C)C,1
CC1CC(N)CC(C(C)C)C1,1
C=CC(CCC)CC(C)C,1
C=CCCC(CC=C)CCCCC,1
C=C(C)CCCC(C)CC(C)(C)C,1
CCCC=N,1
CCCC(CC)CC(C)CC,1
CCCC(C)C(C)(C)CC,1
CCCC(CCC(C)C)C(C)C,1
C=CC(CC)CCCCCC,1
CCCCC(CC)CCC,1
CCCCCCCCCC(C)C(C)CC,1
C=C(CCCCC)CC(C)CCC(C)CCCCC,1
CCCCCCCCC(C)CCCCCCCC,1
C=C(C)CC(C)(CC)CCCC(C)C,1
