SMILE,frag_likeliness
CCCCCCCCC=CCCCCCCCC(C)CC=N,0
CCCCCCC(C)CCCCCCCCCCC(C)CCC,0
CC(C)CCCCCCCCCCCC(CCCCCCCCCCCC(C)C)CC(C)CCCC(C)C,0
C=C(CCCCCC)CCCCCCCCCCCCCCC,0
C=C(CCCCC)CCCCCCCCCCCCCCCCC,0
CCCCCCCCCCCCCCCCCC(C)CCCCC,0
CCCCCCCCCCCCCC(C)CC(C)CCC(C)CC,0
C=C(CCCCCCCCCCCCCCCCC)C(C)C,0
C=CCCCCCCCCCCCCCCCC(C)CCCCC,0
CCCCCCCCCCCCCCCC(C)CCCCC,0
C=C(CCCCCCCCCCCCCCCCC)CCC(C)CC,0
C=C(CCCCCCCCCCCCCCC(C)C)CCC(C)C,0
C=C(C)CCCCCCC=CCCCCCCCCCCC,0
C=C(CCC)CCCCCCCCCCCCCCCCC,0
CCCCCCCCCCCC(CCCCCCC)CCCCCCC,0
CCCCCCCCCCCCCCCCCCCC(C)C,0
C=C(CCCCCCC)CCCCCCCCCCCCCCCCC,0
C=C(CCCCCCCCCCCCCCC)CCCC(C)C,0
C=C(C)CCCCCCCCCCCCCCCCCCC,0
C=C(CCCCC)CCCCCCCCCCCCCCC,0
CCC(CC)CC(C)CCCCCCCCCCCCCCC(C)C,0
CC(C)CCCCCCCCCCCCCCC(C)CCC(C)C,0
CCCCCCCCCCCCCCCCCCC(C)CCC,0
CCCCCCCCCCCCCCCCCC(C)CCCC,0
C=CCC(=C)CCCCCCCCCCCCCCCCC,0
CCCCCCCCC=C=CCCCCCCC(C)CCC,0
C=C(CCCCCCCCC)CCCC(C)CCCC(C)C,0
C=N,0
C=C(CCC)CCCCCCCCCCCCCCCCCC,0
CCCCCCCCCCCCCCCCCC(C)CCC(C)CC,0
C=C(CCCCCCCCCCC)CCCC(C)CCCC(C)C,0
C=C,0
