SMILES,MaxSimilarity,NearestNeighbor
CCCc1cccc(C)c1,0.5416666666666666,CCCc1ccccc1
C=CC(C)CCC=C(C)S,0.41935483870967744,CC(C)=CCCC(C)C=O
CCCCCCC1C=CC(=O)C1,0.42105263157894735,CCCCCCC1CCOC1=O
CC(N)c1cccc(C(C)CC=O)c1,0.5151515151515151,CC(C)c1ccc(C(C)CC=O)cc1
CCCCSCCCCCCCC=O,0.6521739130434783,CCCCCCCC=O
CSC(O)c1ccccc1,0.5217391304347826,CC(O)c1ccccc1
CC(=O)CC(C)CCC=C(C)CCCC(C)O,0.5,CC(=O)CCCC(C)CCC=C(C)C
C=C(C)C(C)OCC,0.42857142857142855,CCOC(C)OCC
CCC1CCC(C)O1,0.6842105263157895,CCC1CCC(CC)O1
CC1CNSC1,0.1935483870967742,CC1CC(=O)CC(C)(C)C1
CC(C)C1CCCCC1,0.7368421052631579,CC(C)C1CCCCC1.CCO
CC1CCNC1C,0.2,CC1CCC(C(C)C)CC1
C=CC(C)CCCCCC,0.6,CCCCCCC(C)C=O
O=CC1=CC(O)=CC1,0.2972972972972973,C=C(C)C1CC=C(C=O)CC1
CC(C)OC(O)C(C)C,0.4666666666666667,CC(C)OC(C)C
CCOC(O)C(S)CC,0.375,CCOC(C)CC
CCC(C)OC1CC=CC=CCC1,0.2727272727272727,CCOC(C)CC
C=C(C)C1CC(C(C)=O)=CC=N1,0.3,C=C(C)C1CCC(C)CC1=O
CCCCNC=CC=O,0.4444444444444444,CCCC/C=C/C=O
C=CCC1=CC2=C(CCC2)CC1CC,0.2765957446808511,C=CCC1=C(C)C(O)CC1=O
CC=C(C)CCC(=O)C(C)CC,0.48148148148148145,CC=C(C)CCC(=O)O
OC(CCCCc1ccccc1)c1ccccc1,0.5925925925925926,OC(Cc1ccccc1)c1ccccc1
COC1CC(C=O)CC=C1OC(C)C(C)C,0.3333333333333333,CC1=CCC(C=O)CC1
CC(=O)CCSCCCCO,0.391304347826087,CC(=O)CCC(C)=O
CC1CCCC(C)(C)CC1S,0.40625,CC1CCCC(C)(C)C1CO
C=C(C)C1(OC(C)=O)CCCCC1,0.3793103448275862,CC(=O)C1(O)CCCCC1
CCC(C)C(C)CCCCCO,0.43478260869565216,CCCCCCCCO
CCCCCC1C(C)CCC1C,0.45161290322580644,CCCCCC1C(=O)CCC1C
CC(CC(C)(O)COC(=O)C1CC1)C1CCCC(C)(C)C1,0.2830188679245283,CCCCOC(=O)C1CCCCC1
CCCCN=CCO,0.36363636363636365,CCCCO
CC(C)CCC(=O)C(C)C,0.5714285714285714,CC(C)CCC(=O)O
CC1CCC2C(C)CCC(C(C)C)C2C1,0.5,CC1CCC(C(C)C)C(O)C1
CC(C)SC(S)CC1CCCCC1,0.32432432432432434,CC(C)OC(=O)CC1CCCCC1
CCCCCC1CC(O)CC(C)C1C(O)CCC,0.35714285714285715,CCCCCCCC1CCCC1O
COC1C=CC(C)C1,0.2857142857142857,CC=CC1=CCC(OC)C=C1
CCC(C)C(C)CC,0.46153846153846156,CCC(C)O
CC1CCC2=C(CCC2C)O1,0.42857142857142855,CC1CCC(=O)O1
CCCC(O)CCCc1ccccc1,0.6875,CCCCCCC(O)CCc1ccccc1
CC(C)CC(C)(C)C,0.4090909090909091,CC(CC=O)CC(C)(C)C
C=C1CCC(CCCCCC)CC1,0.6551724137931034,CCCCCCC1CCC(=O)CC1
CC(C)CCCCCC(C)O,0.8235294117647058,CC(C)CCCC(C)O
O=C1CCC2C=CCCC2O1,0.375,CC1CCC(=O)O1
CSC(C)O,0.45454545454545453,CC(C)O
CC(S)C1CCCCC1,0.4583333333333333,CC(CO)C1CCCCC1
CCCNCC1CCCC(=O)O1,0.5833333333333334,CCCCC1CCCC(=O)O1
CCC(C)COc1ccco1,0.4,CCC(O)c1ccco1
CC=CC1=CC(SC)C(CC)C(CC)=C1,0.22916666666666666,CC=CC1=CCC(OC)C=C1
COCCCCO,0.5882352941176471,COCCO
CCCC(=O)CCC(C)C,0.6818181818181818,CCC(=O)CCC(C)C
CCC1C=CCC(O)C1,0.3103448275862069,CCC1CCC(O)CC1
CC(=O)OCC(C)CC(C)C,0.6521739130434783,CC(=O)OCC(C)C
CCCCCCCCCCCCC(C)O,1.0,CCCCCCCC(C)O
