MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
116.11599999999997,0.2961,2,1,54.370000000000005,2,0,8,0,aromadb
150.177,1.7038,1,1,37.3,3,1,11,1,aromadb
122.12299999999996,1.2046999999999997,2,1,37.3,1,1,9,1,aromadb
60.05200000000001,0.09089999999999993,1,1,37.3,0,0,4,0,aromadb
44.053,0.2052,1,0,17.07,0,0,3,0,aromadb
88.106,-0.043800000000000006,2,1,37.3,1,0,6,0,aromadb
146.142,0.716,2,2,74.6,5,0,10,0,aromadb
89.09399999999998,-0.5802,2,2,63.32000000000001,2,0,6,0,aromadb
106.12399999999997,1.4990999999999999,1,0,17.07,1,1,8,1,aromadb
78.11399999999999,1.6866,0,0,0.0,0,1,6,1,aromadb
122.12299999999996,1.3848,1,1,37.3,1,1,9,1,aromadb
108.13999999999997,1.1788999999999998,1,1,20.23,1,1,8,1,aromadb
72.107,0.9854,1,0,17.07,2,0,5,0,aromadb
74.12299999999999,0.7787999999999999,1,1,20.23,2,0,5,0,aromadb
88.10599999999998,0.8711,1,1,37.3,2,0,6,0,aromadb
150.22099999999995,2.3023000000000002,1,1,20.23,2,1,11,1,aromadb
148.20499999999996,2.6225000000000014,1,0,17.07,2,1,11,1,aromadb
150.17699999999996,2.0438000000000005,2,1,29.46,2,1,11,1,aromadb
138.12199999999999,1.0903999999999998,2,2,57.53,1,1,10,1,aromadb
144.214,2.4314999999999998,1,1,37.3,6,0,10,0,aromadb
128.215,2.5458000000000007,1,0,17.07,6,0,9,0,aromadb
124.13899999999997,1.4008,2,1,29.46,1,1,9,1,aromadb
86.08999999999999,0.1644,2,0,34.14,1,0,6,0,aromadb
148.16099999999997,1.5381999999999998,2,0,26.3,0,1,11,2,aromadb
117.15099999999997,2.1678999999999995,0,1,15.79,0,2,9,2,aromadb
72.063,-0.2257,2,0,34.14,1,0,5,0,aromadb
130.23100000000002,2.3392000000000013,1,1,20.23,6,0,9,0,aromadb
256.4299999999999,5.552300000000005,1,1,37.3,14,0,18,0,aromadb
165.19199999999998,0.641,2,2,63.31999999999999,3,1,12,1,aromadb
94.11299999999997,1.3921999999999997,1,1,20.23,0,1,7,1,aromadb
120.15099999999997,1.428,1,0,17.07,2,1,9,1,aromadb
136.14999999999998,1.3137,1,1,37.3,2,1,10,1,aromadb
121.18299999999999,1.1878,1,1,26.02,2,1,9,1,aromadb
74.079,0.481,1,1,37.3,1,0,5,0,aromadb
88.06199999999998,-0.34000000000000014,2,1,54.370000000000005,1,0,6,0,aromadb
117.148,0.05430000000000007,2,2,63.31999999999999,2,0,8,0,aromadb
152.14899999999997,1.2133,3,1,46.53,2,1,11,1,aromadb
166.17599999999996,1.6033999999999997,3,1,46.53,2,1,12,1,aromadb
212.248,3.0436000000000014,2,0,26.3,3,2,16,2,aromadb
152.237,2.401700000000001,1,0,17.07,0,0,11,2,aromadb
242.44699999999992,5.460000000000006,1,1,20.23,14,0,17,0,aromadb
108.13999999999999,1.7006199999999996,1,1,20.23,0,1,8,1,aromadb
172.268,3.2117000000000013,1,1,37.3,8,0,12,0,aromadb
182.222,2.917600000000001,1,0,17.07,2,2,14,2,aromadb
164.20399999999998,2.1293,2,1,29.46,3,1,12,1,aromadb
244.37799999999996,3.8469000000000038,1,1,20.23,8,0,18,0,aromadb
200.32199999999997,3.991900000000002,1,1,37.3,10,0,14,0,aromadb
152.14899999999997,1.1787999999999998,3,1,46.53,1,1,11,1,aromadb
192.21399999999994,2.1524,3,0,27.69,3,1,14,2,aromadb
154.253,2.671400000000001,1,1,20.23,4,0,11,0,aromadb
164.20399999999998,2.0939,1,1,37.3,4,1,12,1,aromadb
274.272,2.3245000000000013,5,4,97.99000000000001,4,2,20,2,aromadb
86.138,-0.8208,2,2,24.06,0,0,6,1,aromadb
162.18799999999993,2.1437999999999997,2,0,18.46,2,1,12,2,aromadb
124.13899999999997,0.8844999999999996,2,2,40.46,1,1,9,1,aromadb
284.4839999999999,6.332500000000007,1,1,37.3,16,0,20,0,aromadb
121.16099999999999,-0.6719,3,3,63.31999999999999,2,0,7,0,aromadb
133.103,-1.1269999999999998,3,3,100.61999999999999,3,0,9,0,aromadb
99.15799999999999,1.2752,2,0,12.36,2,0,6,0,aromadb
122.16699999999997,1.2213999999999998,1,1,20.23,2,1,9,1,aromadb
131.17499999999995,0.44439999999999996,2,2,63.31999999999999,3,0,9,0,aromadb
100.16099999999999,1.7656,1,0,17.07,4,0,7,0,aromadb
155.15699999999998,-0.6358999999999995,3,3,92.0,3,1,11,1,aromadb
119.11999999999999,-1.2208999999999997,3,3,83.55,2,0,8,0,aromadb
174.20399999999998,-1.548099999999999,3,4,127.71999999999998,5,0,12,0,aromadb
45.084999999999994,-0.03499999999999981,1,1,26.02,0,0,3,0,aromadb
196.29,2.7643000000000013,2,0,26.3,1,0,14,2,aromadb
402.4840000000002,3.0984000000000016,8,0,105.20000000000002,15,0,28,0,aromadb
154.25300000000001,2.6698000000000013,1,1,20.23,4,0,11,0,aromadb
72.107,0.9854,1,0,17.07,1,0,5,0,aromadb
74.07900000000001,0.17930000000000001,2,0,26.3,0,0,5,0,aromadb
88.10599999999998,0.727,1,1,37.3,1,0,6,0,aromadb
136.238,2.9987000000000013,0,0,0.0,0,0,10,2,aromadb
136.238,2.9987000000000013,0,0,0.0,0,0,10,3,aromadb
112.12799999999999,1.1813,2,1,37.3,0,0,8,1,aromadb
334.4560000000002,5.016700000000005,4,0,52.60000000000001,11,1,24,1,aromadb
165.19199999999998,1.5149,3,1,38.33,2,1,12,1,aromadb
148.20499999999998,2.5060400000000005,1,0,17.07,1,1,11,1,aromadb
154.253,2.6477000000000013,1,0,17.07,1,0,11,1,aromadb
152.237,2.567800000000001,1,0,17.07,1,0,11,1,aromadb
152.23699999999997,2.711900000000001,1,0,17.07,0,0,11,1,aromadb
150.22099999999998,2.8240200000000013,1,1,20.23,1,1,11,1,aromadb
170.21099999999996,3.059200000000001,1,1,20.23,1,2,13,2,aromadb
154.16499999999996,1.4093999999999995,3,1,38.69,2,1,11,1,aromadb
129.16199999999995,2.2348,1,0,12.89,0,2,10,2,aromadb
154.21199999999996,3.353600000000002,0,0,0.0,1,2,12,2,aromadb
170.21099999999998,3.0424000000000015,1,0,17.07,1,2,13,2,aromadb
178.23099999999997,2.4323000000000006,2,0,18.46,4,1,13,1,aromadb
206.24099999999996,2.349,3,0,35.53,4,1,15,1,aromadb
206.24099999999996,2.653600000000001,3,0,35.53,3,1,15,1,aromadb
138.16599999999997,1.7092199999999997,2,1,29.46,1,1,10,1,aromadb
134.17799999999997,1.9889999999999999,1,0,17.07,2,1,10,1,aromadb
137.138,0.8681999999999999,3,0,39.19,1,1,10,1,aromadb
194.23,2.3491000000000004,3,1,46.53,4,1,14,1,aromadb
226.275,3.086100000000002,2,0,26.3,4,2,17,2,aromadb
135.19099999999997,2.2963000000000005,2,0,12.89,0,2,9,2,aromadb
87.16600000000001,0.9912000000000001,1,1,26.02,2,0,6,0,aromadb
86.13399999999999,1.2314,1,0,17.07,2,0,6,0,aromadb
86.09,0.3234,2,0,26.3,0,0,6,1,aromadb
194.27399999999997,2.850500000000001,2,0,26.3,2,0,14,1,aromadb
208.30099999999996,3.2406000000000024,2,0,26.3,3,0,15,1,aromadb
144.21399999999997,1.9857,2,0,26.3,4,0,10,0,aromadb
98.10099999999998,0.7719,2,1,33.370000000000005,1,1,7,1,aromadb
96.08499999999998,1.0920999999999998,2,0,30.21,1,1,7,1,aromadb
120.15099999999995,1.8892,1,0,17.07,1,1,9,1,aromadb
128.171,1.6513,1,1,37.3,1,0,9,1,aromadb
152.23699999999997,2.2797,1,1,20.23,1,0,11,1,aromadb
136.23799999999997,3.1648000000000023,0,0,0.0,1,0,10,1,aromadb
136.238,3.308900000000002,0,0,0.0,1,0,10,1,aromadb
136.238,3.308900000000002,0,0,0.0,1,0,10,1,aromadb
134.22199999999998,3.118420000000002,0,0,0.0,1,1,10,1,aromadb
150.17699999999996,1.8978,2,0,26.3,2,1,11,1,aromadb
152.14899999999997,1.3934,2,1,46.53,2,1,11,1,aromadb
124.20799999999998,2.1164,1,1,0.0,1,1,8,1,aromadb
150.22099999999998,2.0000000000000004,1,1,20.23,2,1,11,1,aromadb
210.27599999999998,3.0409000000000015,1,0,17.07,4,2,16,2,aromadb
256.301,2.9811000000000014,3,0,35.53,5,2,19,2,aromadb
240.302,3.0150000000000015,2,0,26.3,5,2,18,2,aromadb
164.248,2.390100000000001,1,1,20.23,3,1,12,1,aromadb
164.204,1.7921999999999998,2,0,26.3,3,1,12,1,aromadb
178.231,2.3858000000000006,2,0,26.3,3,1,13,1,aromadb
178.231,2.5299000000000005,2,0,26.3,4,1,13,1,aromadb
192.258,2.775900000000001,2,0,26.3,4,1,14,1,aromadb
192.258,2.4283,2,0,26.3,4,1,14,1,aromadb
198.26500000000001,3.403400000000002,1,0,9.23,4,2,15,2,aromadb
192.258,2.572400000000001,2,0,26.3,5,1,14,1,aromadb
190.24200000000002,2.6530000000000014,2,0,26.3,4,1,14,1,aromadb
178.231,2.55642,2,0,26.3,2,1,13,1,aromadb
180.203,1.7583,3,0,35.53,3,1,13,1,aromadb
150.22099999999995,2.6477000000000004,1,0,9.23,3,1,11,1,aromadb
134.17799999999997,1.8181,1,0,17.07,3,1,10,1,aromadb
136.14999999999998,1.3596,2,0,26.3,3,1,10,1,aromadb
156.225,2.2723000000000004,2,0,26.3,4,0,11,1,aromadb
150.177,1.4021,2,0,26.3,4,1,11,1,aromadb
184.27899999999997,3.052500000000002,2,0,26.3,6,0,13,1,aromadb
122.16699999999999,2.0036199999999997,1,0,9.23,1,1,9,1,aromadb
138.166,1.1874999999999998,2,1,29.46,2,1,10,1,aromadb
160.16899999999998,0.5027,4,0,52.60000000000001,4,0,11,0,aromadb
118.176,1.4054,2,0,18.46,4,0,8,0,aromadb
113.16,0.6766000000000001,1,1,29.1,0,0,8,1,aromadb
184.27899999999997,2.9320000000000013,2,0,26.3,7,0,13,0,aromadb
196.29,3.242200000000002,2,0,26.3,5,0,14,0,aromadb
158.285,2.831200000000002,1,1,20.23,6,0,11,0,aromadb
154.253,2.9579000000000013,1,0,17.07,5,0,11,0,aromadb
59.11199999999999,0.3551000000000001,1,1,26.02,1,0,4,0,aromadb
172.268,2.1527000000000003,2,1,37.3,6,0,12,0,aromadb
107.15599999999996,1.69844,1,0,12.89,0,1,8,1,aromadb
108.14399999999999,1.0934399999999997,2,0,25.78,0,1,8,1,aromadb
142.242,2.6477000000000013,1,0,17.07,4,0,10,0,aromadb
93.12899999999999,1.39002,1,0,12.89,0,1,7,1,aromadb
98.145,1.5196,1,0,17.07,0,0,7,1,aromadb
158.24099999999999,2.375800000000001,2,0,26.3,5,0,11,0,aromadb
144.21399999999997,2.1298000000000004,2,0,26.3,5,0,10,0,aromadb
314.46600000000007,4.7938000000000045,4,0,52.60000000000001,15,0,22,0,aromadb
102.13299999999998,1.2612,1,1,37.3,3,0,7,0,aromadb
73.139,0.7452000000000001,1,1,26.02,2,0,5,0,aromadb
90.19099999999999,1.7163,1,1,0.0,2,0,5,0,aromadb
84.14299999999999,1.7480999999999998,1,0,0.0,0,1,5,1,aromadb
200.32199999999997,3.6902000000000026,2,0,26.3,9,0,14,0,aromadb
258.3579999999999,3.2334000000000023,4,0,52.60000000000001,11,0,18,0,aromadb
186.295,3.3001000000000023,2,0,26.3,8,0,13,0,aromadb
114.18799999999999,2.1557000000000004,1,0,17.07,4,0,8,0,aromadb
87.16600000000001,1.1353,1,1,26.02,3,0,6,0,aromadb
104.218,2.1064000000000003,1,1,0.0,3,0,6,0,aromadb
