SMILES,MaxSimilarity,NearestNeighbor
CCCc1cccc(C)c1,0.41935483870967744,CCCc1ccc(OC)c(OC)c1
C=CC(C)CCC=C(C)S,0.41935483870967744,CC(C)=CCCC(C)C=O
CCCCCCC1C=CC(=O)C1,0.38461538461538464,CCCCCCCC1CCC(=O)O1
CC(N)c1cccc(C(C)CC=O)c1,0.34285714285714286,CC(C=O)c1ccccc1
CCCCSCCCCCCCC=O,0.6521739130434783,CCCCCCCC=O
CSC(O)c1ccccc1,0.38461538461538464,COC(OC)c1ccccc1
CC(=O)CC(C)CCC=C(C)CCCC(C)O,0.4473684210526316,CC(C)=CCCC(C)CC(=O)O
C=C(C)C(C)OCC,0.42857142857142855,CCOC(C)OCC
CCC1CCC(C)O1,0.6842105263157895,CCC1CCC(CC)O1
CC1CNSC1,0.1875,CC(C)=C1CCC(C)CC1O
CC(C)C1CCCCC1,0.43478260869565216,CC(C)C1CCC(CO)CC1
CC1CCNC1C,0.20689655172413793,CC1CCC(=O)OC1C
C=CC(C)CCCCCC,0.5769230769230769,C=CC(O)CCCCCCC
O=CC1=CC(O)=CC1,0.2972972972972973,C=C(C)C1CC=C(C=O)CC1
CC(C)OC(O)C(C)C,0.3125,C[C@H](O)[C@@H](C)O
CCOC(O)C(S)CC,0.34782608695652173,CCOC(C)OCC
CCC(C)OC1CC=CC=CCC1,0.2413793103448276,C1=CCCC=C1
C=C(C)C1CC(C(C)=O)=CC=N1,0.3,C=C(C)C1CCC(C)CC1=O
CCCCNC=CC=O,0.4444444444444444,CCCCC=CC=O
C=CCC1=CC2=C(CCC2)CC1CC,0.23809523809523808,C=CCc1ccc(O)cc1
CC=C(C)CCC(=O)C(C)CC,0.4074074074074074,CCC(C)C(=O)O
OC(CCCCc1ccccc1)c1ccccc1,0.45161290322580644,O=C(O)CCCc1ccccc1
COC1CC(C=O)CC=C1OC(C)C(C)C,0.24489795918367346,CC1=CCC(C(C)C=O)CC1
CC(=O)CCSCCCCO,0.35714285714285715,CCCCCC(C)=O
CC1CCCC(C)(C)CC1S,0.30303030303030304,CC1CCCC(C)(C)C1=O
C=C(C)C1(OC(C)=O)CCCCC1,0.6923076923076923,CC(=O)OC1(C(C)=O)CCCCC1
CCC(C)C(C)CCCCCO,0.43478260869565216,CCCCCCCCO
CCCCCC1C(C)CCC1C,0.36363636363636365,CCCCCC1CCC(=O)O1
CC(CC(C)(O)COC(=O)C1CC1)C1CCCC(C)(C)C1,0.22580645161290322,CC(C)CC(=O)O[C@@H]1C[C@H]2CC[C@@]1(C)C2(C)C
CCCCN=CCO,0.36363636363636365,CCCCO
CC(C)CCC(=O)C(C)C,0.36363636363636365,CC(C)CC(=O)CC(C)C
CC1CCC2C(C)CCC(C(C)C)C2C1,0.5,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
CC(C)SC(S)CC1CCCCC1,0.2631578947368421,CC(=O)OCCC1CCCCC1
CCCCCC1CC(O)CC(C)C1C(O)CCC,0.2894736842105263,CCCCCC(C)O
COC1C=CC(C)C1,0.17142857142857143,CC1=CC(=O)C2CC1C2(C)C
CCC(C)C(C)CC,0.4,CCC(C)SSC(C)CC
CC1CCC2=C(CCC2C)O1,0.36363636363636365,CC(C)=C1CC[C@H](C)C2=C(C1)[C@@H](C)CC2
CCCC(O)CCCc1ccccc1,0.6333333333333333,CCCC(O)Cc1ccccc1
CC(C)CC(C)(C)C,0.2777777777777778,CC(C)C(C)(O)C(C)C
C=C1CCC(CCCCCC)CC1,0.4166666666666667,CCCCCCCC1CCC(=O)O1
CC(C)CCCCCC(C)O,0.65,CCCCCCC(C)O
O=C1CCC2C=CCCC2O1,0.4117647058823529,O=C1CCC2CCCCC2O1
CSC(C)O,0.4166666666666667,C[C@H](O)[C@@H](C)O
CC(S)C1CCCCC1,0.28125,CC(C)CC(=O)OC1CCCCC1
CCCNCC1CCCC(=O)O1,0.5675675675675675,CCCCCC1CCCC(=O)O1
CCC(C)COc1ccco1,0.32432432432432434,CCCCc1ccco1
CC=CC1=CC(SC)C(CC)C(CC)=C1,0.18181818181818182,C/C=C/c1ccc(OC)cc1
COCCCCO,0.4,CCCCCCCCO
CCCC(=O)CCC(C)C,0.4230769230769231,CCCC(=O)CC(=O)[O-]
CCC1C=CCC(O)C1,0.2702702702702703,CC(C)C1=CCC(CO)C=C1
CC(=O)OCC(C)CC(C)C,0.5185185185185185,CC(=O)OCC(C)OC(C)=O
CCCCCCCCCCCCC(C)O,1.0,CCCCCCC(C)O
C=C1CC(C)CCC1C(C)(C)CC(C)O,0.3333333333333333,CC(=O)SC(C)(C)C1CCC(C)CC1=O
CCCC(=O)OCCC(C)CCCC(C)S,0.575,CCCC(=O)OCCC(C)CCC=C(C)C
C=C(C)OC(CS)CCC,0.325,CCCC(CCCC(=O)OCC)OC(C)=O
CCC(C)Cc1ccc(CC(C)C)cc1,0.34375,CC(C)CC(O)Cc1ccccc1
COC1=CC(C)=CCC1,0.25,CC(C)=C1C/C=C(\C)CC/C=C(\C)CC1
CCCC(O)CC(C)CC,0.55,CCCC(O)CCC
CC(CC1C=COC=C1)c1ccccc1,0.3142857142857143,CC(C=O)c1ccccc1
CC(C)CC(C)S,0.30434782608695654,CC(C)C[C@H](N)C(=O)O
CC=CC1=CC(OC)C(CC(C)O)C=C1,0.25,C/C=C/c1ccc(OC)cc1
C=C(O)C(=CC(C)O)CC(=O)O,0.3103448275862069,CC(C)CC(=O)O
CCCCC(C)CS,0.45454545454545453,CCCCC(C)O
C=COC(C)=CCC,0.34615384615384615,CCC=C(C)C=O
C=CCCCCCC(O)OC,0.42857142857142855,C=CCCCCCC
COC1CC=CC=C1C(C)C,0.24242424242424243,CC1=CC=CCC1
C1CO1,0.17647058823529413,O=C1CCCO1
CC1CCC2C(CCCC2(C)C)C1,0.2857142857142857,CC1CCCC(C)(C)C1=O
CC1=C(OC(C)O)C(=O)C(C)O1,0.46875,CC1=C(O)C(=O)C(C)O1
Cc1ccc(C)c2c1CCC(C(C)(C)C)C2,0.3333333333333333,CC1=CCC(C(C)(C)O)CC1
CCCCC=C(C)C,0.44,CCCCC=CC(C)=O
C=C(O)C(C)CC,0.5,CCC(C)C(=O)O
CNCC(C)Cc1ccccc1,0.4375,CC(C)CC(O)Cc1ccccc1
CC1=CC=C2C(CCCC2(C)C)C1,0.3333333333333333,CC1CCCC(C)(C)C1=O
CCCC1C=CC(O)C(OC)C1,0.21428571428571427,CCCC(=O)OC1CCCCC1
C=C(CCCC=CCC)CCc1ccccc1,0.43243243243243246,CC/C=C\CCCC(=O)O
C=C(C)C(C)c1ccccc1,0.39285714285714285,CC(C=O)c1ccccc1
CCOCCC1CCCCCCCCCCC1,0.5,CC(=O)OCCC1CCCCC1
CCCC=CCCN(O)CCCO,0.4482758620689655,CCCC/C=C\CCCCO
CCC1C=C(C)CCC1C,0.4117647058823529,CC1=CC2OCC(C)C2CC1
CC(=O)C(O)CCCC(C)C,0.4583333333333333,CCC(O)C(C)=O
c1ccccc1,1.0,c1ccccc1
CC(C)CCCC(C)COCC(O)Cc1ccccc1,0.5,CC(C)CC(O)Cc1ccccc1
OC(=S)CCC1=CC=CCC1,0.34375,CC1=CC=CCC1
CCCCCCCCCSCC,0.5,CCCCCCCCCC
CCC(C)C(=O)OCC1=CC=CC1,0.3235294117647059,CCC(C)C(=O)O
CCc1ccc(C(C)CC)cc1,0.39285714285714285,CC(C)c1ccc(CO)cc1
CCCCCSC,0.47368421052631576,CSCCCN
CC1=CC(C)C=CC1C,0.25806451612903225,CC1=CCC(C(C)C)C=C1
C=CCCSCC,0.391304347826087,C=CCCCCCC
CC(=O)C1=CCC=C1,0.29411764705882354,CC(=O)C1=CSCCN1
CCCC(=O)CCSC,0.4230769230769231,CCCC(=O)CC(=O)[O-]
CCCCC1CC=CC=C1C,0.2647058823529412,CC1=CC=CCC1
CCCCC(C)(C)C,0.4,CCCCCCCCCC
CC=CCOC,0.28,CC=CCCCCCCCC=O
CC(C)C1CCC(C)(C)C(C(C)O)O1,0.28205128205128205,CC(C)[C@H]1C=C[C@@](C)(O)CC1
CCC1C=CSC1C,0.23076923076923078,CCC1SSC(CC)S1
CC1=CC(CC(C)C)=CCC1CCC=O,0.2978723404255319,CC1=CCC(C(C)C=O)CC1
C=CCCCC=C,0.5294117647058824,C=CCCCCCC
CCN(C)CC(C)CCC=C(C)C,0.5161290322580645,CC(C)=CCCC(C)CCO
CC1=CCC(OC(O)CC2C=CCCC2)C=C1,0.32142857142857145,CC(C)=CCC[C@H](C)[C@@H]1C=CC(C)=CC1
CCCCCCCCC(C)CCCC,0.5714285714285714,CCCCCCC(C)O
C=C(CCCC)C(C)(C)C,0.375,CCCCC(=O)O
CCCCCCCOC,0.5333333333333333,CCCCCCCCCC
CCCCCCCC(O)OCC,0.52,CCCCCCC(C)O
CCCNCOC(O)C(C)CC,0.26666666666666666,CCCC(C)O
CCCCCCCOCCC(C)O,0.6,CCCCCCC(C)O
CCC(CC(C)C)OC,0.30434782608695654,CCC(C)CN
C=C(C=O)C(C)CC(C)(C)O,0.34285714285714286,CC(CC=O)CCCC(C)(C)O
CC(CO)CC1CCC(C(C)C)CO1,0.38235294117647056,CC(C)C1CCC(CO)CC1
COCOOCCCC(C)C,0.3,CC(C)CCCC(C)CCO
C1CCCC1,0.2727272727272727,O=C1CCCCC1
CCC(=O)C(C)CC1C(C)=CCCC1(C)C,0.41304347826086957,C/C=C/C(=O)C1C(C)=CCCC1(C)C
CC(C)(C)CC(N)CCCC=O,0.3448275862068966,CCCCCC=O
C=CC(C)CS,0.3684210526315789,C=CC(C)O
