MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
134.22199999999998,2.9475200000000017,0,0,0.0,2,1,10,1,Generated
156.29399999999998,3.422300000000003,1,1,0.0,4,0,10,0,Generated
166.26399999999995,3.102000000000002,1,0,17.07,5,0,12,1,Generated
191.27399999999994,2.3988000000000005,2,1,43.09,4,1,14,1,Generated
216.38999999999993,4.059200000000003,2,0,17.07,11,0,14,0,Generated
154.23399999999998,2.0404999999999998,2,1,20.23,2,1,10,1,Generated
240.38699999999994,3.879200000000004,2,1,37.3,9,0,17,0,Generated
114.18799999999999,1.9874999999999998,1,0,9.23,3,0,8,0,Generated
114.18799999999999,1.9639,1,0,9.23,1,0,8,1,Generated
103.19,0.8738999999999999,2,1,12.03,0,0,6,1,Generated
126.24300000000001,3.2227000000000023,0,0,0.0,1,0,9,1,Generated
99.17699999999998,1.0043,1,1,12.03,0,0,7,1,Generated
140.27,3.778900000000003,0,0,0.0,6,0,10,0,Generated
110.11199999999998,0.9572999999999998,2,1,37.3,1,0,8,1,Generated
132.20299999999997,1.3858,2,1,29.46,3,0,9,0,Generated
150.243,1.0497,3,2,29.46,4,0,9,0,Generated
180.29099999999997,3.466400000000003,1,0,9.23,3,0,13,1,Generated
163.22,1.921,2,0,29.43,2,0,12,1,Generated
127.18699999999995,1.0887,2,1,29.1,5,0,9,0,Generated
188.31399999999994,4.399300000000004,0,0,0.0,3,0,14,2,Generated
168.27999999999997,3.3480000000000025,1,0,17.07,5,0,12,0,Generated
240.34600000000003,4.133000000000004,1,1,20.23,6,2,18,2,Generated
226.31599999999997,2.555300000000001,3,0,35.53,5,0,16,1,Generated
176.28099999999998,1.4712,3,1,37.3,7,0,11,0,Generated
172.33700000000002,3.521100000000003,1,1,0.0,0,0,11,1,Generated
182.26299999999992,2.828500000000001,2,0,26.3,2,0,13,1,Generated
172.31199999999998,3.2213000000000025,1,1,20.23,7,0,12,0,Generated
168.32399999999998,4.2489000000000035,0,0,0.0,4,0,12,1,Generated
296.451,3.933200000000003,3,1,46.53,6,0,21,2,Generated
115.17599999999997,0.8496000000000001,2,1,32.59,4,0,8,0,Generated
142.242,2.6477000000000013,1,0,17.07,4,0,10,0,Generated
208.38899999999998,4.740900000000004,0,0,0.0,1,0,15,2,Generated
218.43099999999993,4.354300000000003,2,1,0.0,4,0,13,1,Generated
256.42999999999995,3.7509000000000032,2,2,40.46,7,0,18,1,Generated
112.172,1.5974,1,0,9.23,1,0,8,1,Generated
