SMILES,MaxSimilarity,NearestNeighbor
CCCc1cccc(C)c1,0.6666666666666666,CCc1cccc(C)c1
C=CC(C)CCC=C(C)S,0.40625,C=CC(C)CCCC(C)(C)O
CCCCCCC1C=CC(=O)C1,0.38461538461538464,CCCCCCCCC1CCC(=O)O1
CC(N)c1cccc(C(C)CC=O)c1,0.41935483870967744,CC(N)c1ccccc1
CCCCSCCCCCCCC=O,0.6521739130434783,CCCCCCCCCCCCCCCCCC=O
CSC(O)c1ccccc1,0.5217391304347826,C[C@H](O)c1ccccc1
CC(=O)CC(C)CCC=C(C)CCCC(C)O,0.4878048780487805,C/C(=C/CCC(C)CCO)CC/C=C(\C)CC/C=C(\C)CCCC(C)C
C=C(C)C(C)OCC,0.5652173913043478,CCOC(C)C(C)=O
CCC1CCC(C)O1,0.3448275862068966,CCC1CCC(=O)O1
CC1CNSC1,0.2631578947368421,CC1CCC(C)CC1
CC(C)C1CCCCC1,0.5263157894736842,CC1CCC(C(C)C)CC1
CC1CCNC1C,0.38095238095238093,C[C@@H]1CCCN1
C=CC(C)CCCCCC,0.6,CCCCCCCCCCCCCC(C)C=O
O=CC1=CC(O)=CC1,0.2972972972972973,C=C(C)C1CC=C(C=O)CC1
CC(C)OC(O)C(C)C,0.375,CC(C)C(C)O
CCOC(O)C(S)CC,0.3448275862068966,CCOC(C)C(=O)C(O)O
CCC(C)OC1CC=CC=CCC1,0.24390243902439024,CC(C)CC1C=CCCC1
C=C(C)C1CC(C(C)=O)=CC=N1,0.3023255813953488,C=C(C)C1CC=C(C(=O)O)CC1
CCCCNC=CC=O,0.5833333333333334,CCCCNC=O
C=CCC1=CC2=C(CCC2)CC1CC,0.25,C=CCc1ccc(OC)cc1
CC=C(C)CCC(=O)C(C)CC,0.4074074074074074,CC[C@@H](C)C(=O)O
OC(CCCCc1ccccc1)c1ccccc1,0.5357142857142857,[NH3+]CC(O)c1ccccc1
COC1CC(C=O)CC=C1OC(C)C(C)C,0.2692307692307692,CC1=CCC(C2=CCC(C=O)CC2)C1(C)C
CC(=O)CCSCCCCO,0.5416666666666666,CC(=O)CCCO
CC1CCCC(C)(C)CC1S,0.41379310344827586,CC1CCCC(C)CCC(C)(C)CCC1
C=C(C)C1(OC(C)=O)CCCCC1,0.3055555555555556,C#CC1(OC(N)=O)CCCCC1
CCC(C)C(C)CCCCCO,0.625,CC[C@H](C)CCCCCO
CCCCCC1C(C)CCC1C,0.46153846153846156,CCCCCCCC[C@H]1CCC[C@@H]1CCCCCCC
CC(CC(C)(O)COC(=O)C1CC1)C1CCCC(C)(C)C1,0.3333333333333333,CCOC(=O)C1CCCCC1
CCCCN=CCO,0.37037037037037035,CCCCC/C=C/CO
CC(C)CCC(=O)C(C)C,0.5714285714285714,CC(C)CCC(=O)O
CC1CCC2C(C)CCC(C(C)C)C2C1,1.0,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@H]21
CC(C)SC(S)CC1CCCCC1,0.2727272727272727,O=C(O)CC1CCCCC1
CCCCCC1CC(O)CC(C)C1C(O)CCC,0.375,CCCCCCCCCCCCCCCCCCCCCCCCC(C(=O)O)C(O)CCCCCCCCCCCCCCCC1CC1CCCCCCCCCCCCCCC1CC1CCCCCCCCCCCCCCCCCC
COC1C=CC(C)C1,0.35714285714285715,C[C@@H]1C=C[C@@H]2[C@H](C1)C2(C)C
CCC(C)C(C)CC,0.6666666666666666,CCC(C)C(C)C
CC1CCC2=C(CCC2C)O1,0.42857142857142855,CC1CCC(=O)O1
CCCC(O)CCCc1ccccc1,0.5714285714285714,CCCCc1ccccc1
CC(C)CC(C)(C)C,1.0,CC(C)CC(C)(C)C
C=C1CCC(CCCCCC)CC1,0.43333333333333335,CCCCCCCC[C@H]1CCC[C@@H]1CCCCCCC
CC(C)CCCCCC(C)O,0.6875,CC(C)CCCCCCC(C)C
O=C1CCC2C=CCCC2O1,0.375,CC1CCC(=O)O1
CSC(C)O,0.45454545454545453,CC(C)O
CC(S)C1CCCCC1,0.47619047619047616,CC(O)C1CCCC1
CCCNCC1CCCC(=O)O1,0.5675675675675675,CCCCCC1CCCC(=O)O1
CCC(C)COc1ccco1,0.375,CCOCC(OC)c1ccco1
CC=CC1=CC(SC)C(CC)C(CC)=C1,0.22727272727272727,CCC1=CC=C[C@H](O)[C@@H]1O
COCCCCO,0.5882352941176471,COCCO
CCCC(=O)CCC(C)C,0.631578947368421,CCCC(=O)CCC
CCC1C=CCC(O)C1,0.28,O[C@@H]1C=CC=C[C@@H]1O
CC(=O)OCC(C)CC(C)C,0.6521739130434783,CC(=O)OCC(C)C
CCCCCCCCCCCCC(C)O,1.0,CCCCCCC(C)O
C=C1CC(C)CCC1C(C)(C)CC(C)O,0.3235294117647059,C[C@H](O)CC(C)(C)O
CCCC(=O)OCCC(C)CCCC(C)S,0.5882352941176471,CCCC(=O)OCCC(C)C
C=C(C)OC(CS)CCC,0.3548387096774194,C=C(C)CC(C)CCC
CCC(C)Cc1ccc(CC(C)C)cc1,0.5416666666666666,CC(C)Cc1ccccc1
COC1=CC(C)=CCC1,0.25,CC(C)=C1C/C=C(\C)CC/C=C(\C)CC1
CCCC(O)CC(C)CC,0.5909090909090909,CCCC(C)CC(C)CC
CC(CC1C=COC=C1)c1ccccc1,0.45161290322580644,CCC(C)c1ccccc1
CC(C)CC(C)S,0.4117647058823529,CC(C)CC(C)C(C)C
CC=CC1=CC(OC)C(CC(C)O)C=C1,0.27450980392156865,C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1O)C(=O)O
C=C(O)C(=CC(C)O)CC(=O)O,0.3793103448275862,CC(C)C(=O)CC(=O)O
CCCCC(C)CS,0.5,CCCCC(C)CC(C)CC(C)C
C=COC(C)=CCC,0.4166666666666667,C=COC(C)=O
C=CCCCCCC(O)OC,0.5714285714285714,C=CCCCCC(C)O
COC1CC=CC=C1C(C)C,0.2564102564102564,CC(C)C1=CC=C(C(=O)O)[C@@H](O)[C@H]1O
C1CO1,1.0,C1CO1
CC1CCC2C(CCCC2(C)C)C1,0.5625,CC1CC[C@H]2C(C)CCCC(C)(C)[C@H]2C1
CC1=C(OC(C)O)C(=O)C(C)O1,0.46875,CC1=C(O)C(=O)C(C)O1
Cc1ccc(C)c2c1CCC(C(C)(C)C)C2,0.3333333333333333,CC1=CC[C@@H](C(C)(C)O)CC1
CCCCC=C(C)C,0.5,CC(C)=CCCO
C=C(O)C(C)CC,0.5,CC[C@@H](C)C(=O)O
CNCC(C)Cc1ccccc1,0.5714285714285714,CN[C@@H](C)Cc1ccccc1
CC1=CC=C2C(CCCC2(C)C)C1,0.38095238095238093,CC1=CC[C@@H]2C(=C1)C(C)(C)CCC[C@H]2C
CCCC1C=CC(O)C(OC)C1,0.25,CCCC1CCCCC1CC
C=C(CCCC=CCC)CCc1ccccc1,0.4358974358974359,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
C=C(C)C(C)c1ccccc1,0.56,C[C@@H](C(=O)O)c1ccccc1
CCOCCC1CCCCCCCCCCC1,0.391304347826087,CCOCCOCCOCCOCCOCCOCC
CCCC=CCCN(O)CCCO,0.45161290322580644,CCC/C=C\C=C\CCCCCCCCCO
CCC1C=C(C)CCC1C,0.39473684210526316,C=C(C)[C@@H]1CC[C@@H](C)[C@@H]2CCC(C)=C[C@@H]21
CC(=O)C(O)CCCC(C)C,0.5,CC(=O)OC(C)CCCC(C)C
c1ccccc1,1.0,c1ccccc1
CC(C)CCCC(C)COCC(O)Cc1ccccc1,0.4166666666666667,CC(C)Cc1ccccc1
OC(=S)CCC1=CC=CCC1,0.21428571428571427,C1=CCCC=C1
CCCCCCCCCSCC,0.5,CCCCCCCCCCCCCCCCC
CCC(C)C(=O)OCC1=CC=CC1,0.45454545454545453,CCOC(=O)C(C)CC
CCc1ccc(C(C)CC)cc1,0.5833333333333334,CCC(C)c1ccccc1
CCCCCSC,0.5,CCCCCC
CC1=CC(C)C=CC1C,0.25806451612903225,CC1=CC[C@H](C(C)C)C=C1
C=CCCSCC,0.42857142857142855,C=CCCCC
CC(=O)C1=CCC=C1,0.42857142857142855,O=C(O)C1=CCCC=C1
CCCC(=O)CCSC,0.631578947368421,CCCC(=O)CCC
CCCCC1CC=CC=C1C,0.275,CCCCC1COC(=O)C1
CCCCC(C)(C)C,0.45,CCCCCC(C)(C)CC
CC=CCOC,0.4117647058823529,CC=CCCC=CC
CC(C)C1CCC(C)(C)C(C(C)O)O1,0.3235294117647059,CC(C)C1CCC(C)(O)CC1
CCC1C=CSC1C,0.18421052631578946,CC/C=C\C/C=C\C/C=C\CCOS(=O)(=O)[O-]
CC1=CC(CC(C)C)=CCC1CCC=O,0.2978723404255319,CC1=CCC(C(C)C=O)CC1
C=CCCCC=C,0.8181818181818182,C=CCCCCC=C
CCN(C)CC(C)CCC=C(C)C,0.5333333333333333,CC(C)=CCCC(C)CO
CC1=CCC(OC(O)CC2C=CCCC2)C=C1,0.4318181818181818,CC(C)CC1C=CCCC1
CCCCCCCCC(C)CCCC,0.8333333333333334,CCCCCCCC(C)CCC
C=C(CCCC)C(C)(C)C,0.4782608695652174,C=C(CC)CCCC
CCCCCCCOC,0.55,CCCCCCCCOO
CCCCCCCC(O)OCC,0.5416666666666666,CCCCCCCCC(O)CCCCCCC
CCCNCOC(O)C(C)CC,0.35714285714285715,CCC(C)C(C)O
CCCCCCCOCCC(C)O,0.6,CCCCCCC(C)O
CCC(CC(C)C)OC,0.42857142857142855,CCC(C)CC(C)C
C=C(C=O)C(C)CC(C)(C)O,0.4074074074074074,C[C@H](O)CC(C)(C)O
CC(CO)CC1CCC(C(C)C)CO1,0.30303030303030304,CC1CCC(C(C)C)CC1
COCOOCCCC(C)C,0.391304347826087,CC(C)CCCCCCC(C)C
C1CCCC1,1.0,C1CCCCC1
CCC(=O)C(C)CC1C(C)=CCCC1(C)C,0.41304347826086957,C/C=C/C(=O)C1C(C)=CCCC1(C)C
CC(C)(C)CC(N)CCCC=O,0.4375,NC(CCCC=O)C(=O)O
C=CC(C)CS,0.4117647058823529,C=CC(C)C
C=C(CCC)C(C)(C)OC,0.375,C=C(C)CCC
CC1=c2ccccc2=NC1C,0.40625,C1=CC2=c3ccccc3=NC2C=C1
CCCOCCCO,0.65,CCOCCCO
C=CCC(C)C(=O)CCC,0.36666666666666664,CCCC(C)C(=O)CC
CC1=CCC=C1,0.36,C1=CC2=CCC=CC2=C1
CCC(C)c1ccc(C(C)C)cc1,0.6363636363636364,CCC(C)c1ccccc1
CC=CC=CCCC(C)=O,0.5384615384615384,CCCC=CCCC(C)=O
CCC(C)CSC(C)O,0.42105263157894735,CCC(C)CC
CC(C)CC(O)C(C)C,0.5,CC(C)C(O)CO
C=C(CC(C)C)OCCC(C)C,0.48148148148148145,CC(=O)OCCC(C)C
OCCCC1=CC=CC1,0.28205128205128205,COc1cc(CCCO)ccc1O
CCCCCOCCCCC(C)CC,0.56,CCCC(C)CCCCC(C)CC
CCC1=CCCC1CC,0.2647058823529412,CCC1=CC=C[C@H](O)[C@@H]1O
C=CC1=CCC(OC)C(CC)C1,0.23684210526315788,CCC1CC(=O)N1
CC(O)O,0.7142857142857143,CC(C)O
C=C(C)C,1.0,C=C(C)C
CCCC1=CCC=CC1C,0.25,CCCc1ccccc1
CCC=COCCCC(CC)OC,0.275,CC/C=C\CCOC(=O)OC
CC(C)CC(=O)C1=CCCC=C1N,0.3783783783783784,CC(C)CC(=O)c1c(O)cc(O)cc1O
CCCCCCCCOC(C)Cc1ccccc1,0.45161290322580644,CC(C)Cc1ccccc1
CC(C)=CCCC(C)CCCC(C)CC(C)C,0.6071428571428571,CC(C)=CCC[C@H](C)CCO
CC(C)C1=CCC(O)C=C1,0.3888888888888889,O=C([O-])C(=O)CC1=CCC(O)C=C1
CCC(O)SCOCc1ccccc1,0.4666666666666667,c1ccc(COCc2ccccc2)cc1
CC(C)CCCCC(=O)C1CC=CCC1C,0.4166666666666667,CC(C)CCCCCCCCCCC(=O)O
CCCCCOC(C)C,0.6086956521739131,CCCCCOC(C)OCC
COc1cccnc1C(C)C,0.44,COc1ccccc1OC
CC(C)CC1CC(C)CC(C)C1,0.2903225806451613,CC(C)CCCC(C)C1CCC(C)CC1
C=CCNCCO,0.5,OCCNCCO
CCCCCCC(C)COC(C)C,0.56,CCCCCCCC(C)CCC
CCCCCCCCCC(C)C,1.0,CCCCCCCCCCCC(C)C
CCCCCCCCCOCCC,0.6666666666666666,CCCCCCCCCCCCOCCO
CC(C)CCCC(C)CCOC(O)C1=C(N)C=CCC1,0.37254901960784315,CC(C)CCC[C@@H](C)CCC[C@@H](C)CCC[C@@H](C)CCOC[C@@H](CO)OCC[C@H](C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C
C=CCCOC,0.4375,COCCOC
