MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
75.11099999999999,-0.6741,2,2,46.25,1,0,5,0,flavordb
164.157,-2.1921999999999997,5,4,90.15,1,0,11,1,flavordb
130.143,0.6861999999999999,2,1,54.370000000000005,3,0,9,0,flavordb
116.11599999999997,0.2961,2,1,54.370000000000005,2,0,8,0,flavordb
146.09799999999998,-0.49509999999999993,3,2,91.67,4,0,10,0,flavordb
102.08899999999998,0.05009999999999998,2,1,54.370000000000005,2,0,7,0,flavordb
130.143,0.6861999999999999,2,1,54.370000000000005,3,0,9,0,flavordb
154.12099999999998,0.7959999999999998,3,3,77.76,1,1,11,1,flavordb
427.2030000000001,-1.7460000000000004,11,6,232.59999999999997,6,2,27,3,flavordb
150.177,1.7038,1,1,37.3,3,1,11,1,flavordb
103.12100000000001,-0.19009999999999982,2,2,63.31999999999999,3,0,7,0,flavordb
124.13899999999997,0.8844999999999994,2,2,40.46,1,1,9,1,flavordb
122.12299999999996,1.2046999999999997,2,1,37.3,1,1,9,1,flavordb
138.12199999999999,1.0903999999999996,2,2,57.53,1,1,10,1,flavordb
60.05200000000001,0.09089999999999993,1,1,37.3,0,0,4,0,flavordb
44.053,0.2052,1,0,17.07,0,0,3,0,flavordb
59.068,-0.5084,1,1,43.09,0,0,4,0,flavordb
88.106,-0.043800000000000006,2,1,37.3,1,0,6,0,flavordb
58.08,0.5952999999999999,1,0,17.07,0,0,4,0,flavordb
384.33400000000006,-4.826399999999993,12,7,195.6,5,0,26,2,flavordb
267.245,-1.979999999999999,9,4,139.54000000000002,2,2,19,3,flavordb
146.142,0.716,2,2,74.6,5,0,10,0,flavordb
427.2030000000001,-1.7460000000000004,12,6,232.59999999999997,6,2,27,3,flavordb
180.156,-3.2213999999999987,6,5,110.38000000000001,1,0,12,1,flavordb
17.031,0.16199999999999998,1,1,35.0,0,0,1,0,flavordb
347.22400000000005,-1.863,10,5,186.07,4,2,23,3,flavordb
427.2880000000001,-2.0358999999999985,13,5,229.43999999999997,6,2,27,3,flavordb
150.13,-2.5823,5,4,90.15,0,0,10,1,flavordb
507.18200000000013,-1.6290000000000004,14,7,279.12999999999994,8,2,31,3,flavordb
89.09399999999998,-0.5802,2,2,63.32000000000001,2,0,6,0,flavordb
106.12399999999997,1.4990999999999999,1,0,17.07,1,1,8,1,flavordb
122.12299999999996,1.3848,1,1,37.3,1,1,9,1,flavordb
108.13999999999997,1.1788999999999998,1,1,20.23,1,1,8,1,flavordb
117.14799999999998,-1.5574999999999983,2,0,40.129999999999995,2,0,8,0,flavordb
72.107,0.9854,1,0,17.07,2,0,5,0,flavordb
90.12199999999999,-0.252,2,2,40.46,1,0,6,0,flavordb
74.12299999999999,0.7787999999999999,1,1,20.23,2,0,5,0,flavordb
88.10599999999998,0.8711,1,1,37.3,2,0,6,0,flavordb
329.20900000000006,-0.8173999999999999,10,3,154.83999999999997,1,2,22,4,flavordb
44.009,-0.5835,2,0,34.14,0,0,3,0,flavordb
46.025000000000006,-0.29919999999999997,1,1,37.3,0,0,3,0,flavordb
342.297,-5.397199999999994,11,8,189.52999999999997,4,0,23,2,flavordb
174.10799999999998,-0.4433000000000001,3,3,111.89999999999999,4,0,12,0,flavordb
192.12300000000002,-1.2485,4,4,132.13,5,0,13,0,flavordb
36.461000000000006,0.4218,0,0,0.0,0,0,1,0,flavordb
146.14499999999995,1.7929999999999997,2,0,30.21,0,2,11,2,flavordb
150.22099999999995,2.3023000000000002,1,1,20.23,2,1,11,1,flavordb
