SMILES,MaxSimilarity,NearestNeighbor
CCCc1cccc(C)c1,1.0,CCCc1cccc(C)c1
C=CC(C)CCC=C(C)S,0.41935483870967744,CC(C)=CCCC(C)C=O
CCCCCCC1C=CC(=O)C1,0.43243243243243246,CCCCCC1C=CC(=O)O1
CC(N)c1cccc(C(C)CC=O)c1,0.39473684210526316,Cc1ccc(C(C)CC=O)o1
CCCCSCCCCCCCC=O,0.6521739130434783,CCCCCCCC=O
CSC(O)c1ccccc1,0.5217391304347826,CC(O)c1ccccc1
CC(=O)CC(C)CCC=C(C)CCCC(C)O,0.5,CC(=O)CCCC(C)CCC=C(C)C
C=C(C)C(C)OCC,0.42857142857142855,CCOC(C)OCC
CCC1CCC(C)O1,0.6842105263157895,CCC1CCC(CC)O1
CC1CNSC1,0.2631578947368421,CC1CCC(C)CC1
CC(C)C1CCCCC1,0.5263157894736842,CC1CCC(C(C)C)CC1
CC1CCNC1C,0.36363636363636365,CC1CCCCN1
C=CC(C)CCCCCC,0.6,CCCCCCC(C)C=O
O=CC1=CC(O)=CC1,0.2972972972972973,C=C(C)C1CC=C(C=O)CC1
CC(C)OC(O)C(C)C,0.375,CC(C)C(C)O
CCOC(O)C(S)CC,0.41379310344827586,CCOC(O)C(O)C(O)C(O)C(O)CO
CCC(C)OC1CC=CC=CCC1,0.29545454545454547,CC[C@@H](C)O[C@@H]1OC(C)[C@H](O)CC1O
C=C(C)C1CC(C(C)=O)=CC=N1,0.3,C=C(C)C1CCC(C)CC1=O
CCCCNC=CC=O,0.4444444444444444,CCCC/C=C/C=O
C=CCC1=CC2=C(CCC2)CC1CC,0.25,C=CCc1ccc(OC)cc1
CC=C(C)CCC(=O)C(C)CC,0.43333333333333335,C/C=C/C(=O)C(C)CC
OC(CCCCc1ccccc1)c1ccccc1,0.5172413793103449,OCCCCCc1ccccc1
COC1CC(C=O)CC=C1OC(C)C(C)C,0.2692307692307692,CC(C)=CCCC1=CCC(C=O)CC1
CC(=O)CCSCCCCO,0.6818181818181818,CC(=O)CCSCCC(C)=O
CC1CCCC(C)(C)CC1S,0.4642857142857143,CC1(C)CCCC(O)C1
C=C(C)C1(OC(C)=O)CCCCC1,0.6923076923076923,CC(=O)OC1(C(C)=O)CCCCC1
CCC(C)C(C)CCCCCO,0.5652173913043478,CC(C)CCCCCO
CCCCCC1C(C)CCC1C,0.4074074074074074,CCCCCC1OC(C)C(C)O1
CC(CC(C)(O)COC(=O)C1CC1)C1CCCC(C)(C)C1,0.3333333333333333,CCOC(=O)C1CCCCC1
CCCCN=CCO,0.37037037037037035,CCCCC/C=C/CO
CC(C)CCC(=O)C(C)C,0.5714285714285714,CC(C)CCC(=O)O
CC1CCC2C(C)CCC(C(C)C)C2C1,0.5,CC1CCC(C(C)C)C(O)C1
CC(C)SC(S)CC1CCCCC1,0.45161290322580644,CNC(C)CC1CCCC1.Cl
CCCCCC1CC(O)CC(C)C1C(O)CCC,0.3018867924528302,CCCCCC1OCC(O)C(C(O)C(O)CO)O1
COC1C=CC(C)C1,0.25,CO[C@H]1O[C@H](C)[C@@H](O)C[C@H]1O
CCC(C)C(C)CC,0.5,CCC(C)C(O)S
CC1CCC2=C(CCC2C)O1,0.42857142857142855,CC1CCC(=O)O1
CCCC(O)CCCc1ccccc1,0.6333333333333333,CCCC(O)Cc1ccccc1
CC(C)CC(C)(C)C,0.6428571428571429,CC(CC(C)(C)C)CC(C)(C)C
C=C1CCC(CCCCCC)CC1,0.4166666666666667,CCCCCCCC1CCC(=O)O1
CC(C)CCCCCC(C)O,0.65,CCCCCCCC(C)O
O=C1CCC2C=CCCC2O1,0.4117647058823529,O=C1CCC2CCCCC2O1
CSC(C)O,0.45454545454545453,CC(C)O
CC(S)C1CCCCC1,0.4074074074074074,CNCC(C)C1CCCCC1.Cl
CCCNCC1CCCC(=O)O1,0.6176470588235294,CCCC1CCCC(=O)O1
CCC(C)COc1ccco1,0.36363636363636365,CCc1ccco1
CC=CC1=CC(SC)C(CC)C(CC)=C1,0.19607843137254902,C/C=C/c1ccc(OCC)c(O)c1
COCCCCO,0.5,CCCCCCOC
CCCC(=O)CCC(C)C,0.631578947368421,CCCC(=O)CCC
CCC1C=CCC(O)C1,0.26666666666666666,CCC1CCC1O
CC(=O)OCC(C)CC(C)C,0.6521739130434783,CC(=O)OCC(C)C
CCCCCCCCCCCCC(C)O,1.0,CCCCCCCC(C)O
C=C1CC(C)CCC1C(C)(C)CC(C)O,0.35,CC1CCC(C(C)(C)S)C(=O)C1
CCCC(=O)OCCC(C)CCCC(C)S,0.6578947368421053,C=C(C)CCCC(C)CCOC(=O)CCC
C=C(C)OC(CS)CCC,0.34375,CCCC(C)OC(C)=O
CCC(C)Cc1ccc(CC(C)C)cc1,0.3870967741935484,CC(C)Cc1cccnc1
COC1=CC(C)=CCC1,0.42857142857142855,COC1=CCCCC1
CCCC(O)CC(C)CC,0.5714285714285714,CCCC(O)CC
CC(CC1C=COC=C1)c1ccccc1,0.4375,CC(CO)c1ccccc1
CC(C)CC(C)S,0.4666666666666667,CC(S)CS
CC=CC1=CC(OC)C(CC(C)O)C=C1,0.2542372881355932,C/C=C/c1ccc(OC(=O)Cc2ccccc2)c(OC)c1
C=C(O)C(=CC(C)O)CC(=O)O,0.3548387096774194,O=C(O)C=C(CC(=O)O)C(=O)O
CCCCC(C)CS,0.5217391304347826,CCCCC(CC)CS
C=COC(C)=CCC,0.37037037037037035,C=C(C)/C(=C/CC)CC
