SMILES,MaxSimilarity,NearestNeighbor
CCCc1cccc(C)c1,0.6666666666666666,CCc1cccc(C)c1
C=CC(C)CCC=C(C)S,0.48148148148148145,C=CC(C)CCO
CCCCCCC1C=CC(=O)C1,0.4,CCCCCC1CC=CC(=O)O1
CC(N)c1cccc(C(C)CC=O)c1,0.39473684210526316,Cc1ccc(C(C)CC=O)o1
CCCCSCCCCCCCC=O,0.6521739130434783,CCCCCCCC=O
CSC(O)c1ccccc1,0.5217391304347826,CC(O)c1ccccc1
CC(=O)CC(C)CCC=C(C)CCCC(C)O,0.4358974358974359,CC(C)=CCCC(C)CC(=O)[O-]
C=C(C)C(C)OCC,0.42857142857142855,CCOC(C)OCC
CCC1CCC(C)O1,0.3448275862068966,CCC1CCC(=O)O1
CC1CNSC1,0.23809523809523808,CC1CCCC1
CC(C)C1CCCCC1,0.3888888888888889,CC1CCCCC1
CC1CCNC1C,0.25,CC1CCCC1
C=CC(C)CCCCCC,0.6,CCCCCCCCCC(C)C=O
O=CC1=CC(O)=CC1,0.2972972972972973,C=C(C)C1CC=C(C=O)CC1
CC(C)OC(O)C(C)C,0.375,CC(C)C(C)O
CCOC(O)C(S)CC,0.34782608695652173,CCOC(C)OCC
CCC(C)OC1CC=CC=CCC1,0.28125,CCC(C)OC
C=C(C)C1CC(C(C)=O)=CC=N1,0.2857142857142857,C=C(C)C1CC=C(C)C(=O)C1
CCCCNC=CC=O,0.4444444444444444,CCCCC=CC=O
C=CCC1=CC2=C(CCC2)CC1CC,0.25,C=CCc1ccc(OC)cc1
CC=C(C)CCC(=O)C(C)CC,0.46153846153846156,CCC(C)C(C)=O
OC(CCCCc1ccccc1)c1ccccc1,0.5172413793103449,OCCCCCc1ccccc1
COC1CC(C=O)CC=C1OC(C)C(C)C,0.25,CC(C)C1CC=C(C=O)CC1
CC(=O)CCSCCCCO,0.46153846153846156,CSCCC(C)=O
CC1CCCC(C)(C)CC1S,0.30303030303030304,CC1CCCC(C)(C)C1=O
C=C(C)C1(OC(C)=O)CCCCC1,0.32142857142857145,C=C(C)OC(C)=O
CCC(C)C(C)CCCCCO,0.5652173913043478,CC(C)CCCCCCCCCCCCO
CCCCCC1C(C)CCC1C,0.37037037037037035,CCCCC1CCCCC1
CC(CC(C)(O)COC(=O)C1CC1)C1CCCC(C)(C)C1,0.3333333333333333,CCOC(=O)C1CCCCC1
CCCCN=CCO,0.37037037037037035,CCCCCC=CCO
CC(C)CCC(=O)C(C)C,0.5714285714285714,CC(=O)CCC(C)C
CC1CCC2C(C)CCC(C(C)C)C2C1,0.5,CC1CCC(C(C)C)C(O)C1
CC(C)SC(S)CC1CCCCC1,0.3125,CCCCC1CCCCC1
CCCCCC1CC(O)CC(C)C1C(O)CCC,0.3076923076923077,CCCCCCCCCCC(O)CCC
COC1C=CC(C)C1,0.2692307692307692,CC1C=CCC1
CCC(C)C(C)CC,0.6428571428571429,CCCC(C)C(C)CC
CC1CCC2=C(CCC2C)O1,0.42857142857142855,CC1CCC(=O)O1
CCCC(O)CCCc1ccccc1,0.5714285714285714,CCCCc1ccccc1
CC(C)CC(C)(C)C,1.0,CC(C)CC(C)(C)C
C=C1CCC(CCCCCC)CC1,0.4482758620689655,CCCCC1CCCCC1
CC(C)CCCCCC(C)O,0.65,CCCCCCCC(C)O
O=C1CCC2C=CCCC2O1,0.375,CC1CCC(=O)O1
CSC(C)O,0.45454545454545453,CC(C)O
CC(S)C1CCCCC1,0.35,CC1CCCCC1
CCCNCC1CCCC(=O)O1,0.6176470588235294,CCCC1CCCC(=O)O1
CCC(C)COc1ccco1,0.36363636363636365,CCc1ccco1
CC=CC1=CC(SC)C(CC)C(CC)=C1,0.19607843137254902,CC=Cc1ccc(OCC)c(O)c1
COCCCCO,0.47619047619047616,COCCOCCO
CCCC(=O)CCC(C)C,0.6818181818181818,CCC(=O)CCC(C)C
CCC1C=CCC(O)C1,0.26666666666666666,CCC1CCC1O
CC(=O)OCC(C)CC(C)C,0.6521739130434783,CC(=O)OCC(C)C
CCCCCCCCCCCCC(C)O,1.0,CCCCCCCC(C)O
