SMILES,MaxSimilarity,NearestNeighbor
CCCc1cccc(C)c1,0.6538461538461539,Cc1cccc(CCO)c1
C=CC(C)CCC=C(C)S,0.6923076923076923,C=CC(C)CCC=C(C)C
CCCCCCC1C=CC(=O)C1,0.43243243243243246,CCCCCC1C=CC(=O)O1
CC(N)c1cccc(C(C)CC=O)c1,0.7419354838709677,CC(C)c1cccc(C(C)CC=O)c1
CCCCSCCCCCCCC=O,0.6521739130434783,CCCCCCCC=O
CSC(O)c1ccccc1,0.5217391304347826,CC(O)c1ccccc1
CC(=O)CC(C)CCC=C(C)CCCC(C)O,0.5,CC(=O)CCCC(C)CCC=C(C)C
C=C(C)C(C)OCC,0.42857142857142855,CCOC(C)OCC
CCC1CCC(C)O1,0.6842105263157895,CCC1CCC(CC)O1
CC1CNSC1,0.24,CC1CSCS1
CC(C)C1CCCCC1,0.5,CC(C)C1CCC(O)CC1
CC1CCNC1C,0.36363636363636365,CC1CCCCN1
C=CC(C)CCCCCC,0.6,CCCCCCC(C)C=O
O=CC1=CC(O)=CC1,0.2972972972972973,C=C(C)C1CC=C(C=O)CC1
CC(C)OC(O)C(C)C,0.375,CC(C)C(C)O
CCOC(O)C(S)CC,0.38461538461538464,CCC(S)C(C)CO
CCC(C)OC1CC=CC=CCC1,0.2857142857142857,COC(=O)OC1CCC=CCCC1
C=C(C)C1CC(C(C)=O)=CC=N1,0.3333333333333333,CC(=O)C1=CCC2C=CCC2C1
CCCCNC=CC=O,0.4444444444444444,CCCCC=CC=O
C=CCC1=CC2=C(CCC2)CC1CC,0.2727272727272727,C=CCC1=C(C)CCC1=O
CC=C(C)CCC(=O)C(C)CC,0.43333333333333335,CC=CC(=O)C(C)CC
OC(CCCCc1ccccc1)c1ccccc1,0.5925925925925926,OC(Cc1ccccc1)c1ccccc1
COC1CC(C=O)CC=C1OC(C)C(C)C,0.2765957446808511,COC1CC2CC1C1CC(C=O)CC21
CC(=O)CCSCCCCO,0.6818181818181818,CC(=O)CCSCCC(C)=O
CC1CCCC(C)(C)CC1S,0.40625,CC(O)C1CCCC(C)(C)C1
C=C(C)C1(OC(C)=O)CCCCC1,0.6923076923076923,CC(=O)OC1(C(C)=O)CCCCC1
CCC(C)C(C)CCCCCO,0.5652173913043478,CC(C)CCCCCO
CCCCCC1C(C)CCC1C,0.45161290322580644,CCCCCC1C(=O)CCC1C
CC(CC(C)(O)COC(=O)C1CC1)C1CCCC(C)(C)C1,0.66,CC(OC(C)(C)COC(=O)C1CC1)C1CCCC(C)(C)C1
CCCCN=CCO,0.38461538461538464,CCCCC=CCO
CC(C)CCC(=O)C(C)C,0.5714285714285714,CC(C)CCC(=O)O
CC1CCC2C(C)CCC(C(C)C)C2C1,0.5,CC1CCC(C(C)C)C(O)C1
CC(C)SC(S)CC1CCCCC1,0.3157894736842105,CC(C)CC1CCCC(C)(O)C1
CCCCCC1CC(O)CC(C)C1C(O)CCC,0.36585365853658536,CCCCCC1CCCC1O
COC1C=CC(C)C1,0.2571428571428571,COC1CC2CC1C1C=CCC21
CCC(C)C(C)CC,0.47058823529411764,CCC(C)C(C)C=O
CC1CCC2=C(CCC2C)O1,0.42857142857142855,CC1CCC(=O)O1
CCCC(O)CCCc1ccccc1,0.6333333333333333,CCCC(O)Cc1ccccc1
CC(C)CC(C)(C)C,0.42857142857142855,CC(CCO)CC(C)(C)C
C=C1CCC(CCCCCC)CC1,0.42857142857142855,CCCCCCCC1CCCC1=O
CC(C)CCCCCC(C)O,0.65,CCCCCCCC(C)O
O=C1CCC2C=CCCC2O1,0.4117647058823529,O=C1CCC2CCCCC2O1
CSC(C)O,0.45454545454545453,CC(C)O
CC(S)C1CCCCC1,0.4583333333333333,CC(CO)C1CCCCC1
CCCNCC1CCCC(=O)O1,0.6176470588235294,CCCC1CCCC(=O)O1
CCC(C)COc1ccco1,0.3888888888888889,CCOC(OCC)c1ccco1
CC=CC1=CC(SC)C(CC)C(CC)=C1,0.19607843137254902,CC=Cc1ccc(OCC)c(O)c1
