MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
150.177,1.7038,1,1,37.3,3,1,11,1,arctander
122.12299999999996,1.2046999999999997,2,1,37.3,1,1,9,1,arctander
62.068000000000005,-1.029,2,2,40.46,1,0,4,0,arctander
60.05200000000001,0.09089999999999993,1,1,37.3,0,0,4,0,arctander
44.053,0.2052,1,0,17.07,0,0,3,0,arctander
88.106,-0.043800000000000006,2,1,37.3,1,0,6,0,arctander
58.08,0.5952999999999999,1,0,17.07,0,0,4,0,arctander
146.142,0.716,2,2,74.6,5,0,10,0,arctander
176.124,-1.4073999999999995,6,4,107.22000000000001,2,0,12,1,arctander
106.12399999999997,1.4990999999999999,1,0,17.07,1,1,8,1,arctander
78.11399999999999,1.6866,0,0,0.0,0,1,6,1,arctander
122.12299999999996,1.3848,1,1,37.3,1,1,9,1,arctander
108.13999999999997,1.1788999999999998,1,1,20.23,1,1,8,1,arctander
72.107,0.9854,1,0,17.07,2,0,5,0,arctander
74.12299999999999,0.7787999999999999,1,1,20.23,2,0,5,0,arctander
88.10599999999998,0.8711,1,1,37.3,2,0,6,0,arctander
46.025000000000006,-0.29919999999999997,1,1,37.3,0,0,3,0,arctander
342.297,-5.397199999999994,11,8,189.52999999999997,4,0,23,2,arctander
174.10799999999998,-0.4433000000000001,3,3,111.89999999999999,4,0,12,0,arctander
192.12300000000002,-1.2485,4,4,132.13,5,0,13,0,arctander
146.14499999999995,1.7929999999999997,2,0,30.21,0,2,11,2,arctander
150.22099999999995,2.3023000000000002,1,1,20.23,2,1,11,1,arctander
148.20499999999996,2.6225000000000014,1,0,17.07,2,1,11,1,arctander
150.17699999999996,2.0438000000000005,2,1,29.46,2,1,11,1,arctander
108.13999999999999,1.70062,1,1,20.23,0,1,8,1,arctander
108.13999999999997,1.7006199999999996,1,1,20.23,0,1,8,1,arctander
144.214,2.4314999999999998,1,1,37.3,6,0,10,0,arctander
34.083,0.11280000000000001,0,0,0.0,0,0,1,0,arctander
182.172,-3.585399999999998,6,6,121.38000000000001,5,0,12,0,arctander
128.215,2.5458000000000007,1,0,17.07,6,0,9,0,arctander
124.13899999999997,1.4008,2,1,29.46,1,1,9,1,arctander
134.087,-1.0934000000000001,3,3,94.83,3,0,9,0,arctander
58.08,0.5952999999999999,1,0,17.07,1,0,4,0,arctander
168.19499999999996,3.586000000000001,1,0,13.14,0,3,13,3,arctander
147.13,-0.736899999999999,3,3,100.61999999999999,4,0,10,0,arctander
90.07799999999999,-0.5482,2,2,57.53,1,0,6,0,arctander
86.08999999999999,0.1644,2,0,34.14,1,0,6,0,arctander
148.16099999999997,1.5381999999999998,2,0,26.3,0,1,11,2,arctander
46.069,-0.0014000000000000123,1,1,20.23,0,0,3,0,arctander
92.09399999999998,-1.6681000000000001,3,3,60.69,2,0,6,0,arctander
27.025999999999996,0.13978,1,0,23.79,0,0,2,0,arctander
110.11199999999997,1.0977999999999999,2,2,40.46,0,1,8,1,arctander
117.15099999999997,2.1678999999999995,0,1,15.79,0,2,9,2,arctander
104.06099999999999,-0.4543,2,2,74.6,2,0,7,0,arctander
150.08599999999998,-2.1225999999999994,4,4,115.06,3,0,10,0,arctander
48.11000000000001,0.546,1,1,0.0,0,0,2,0,arctander
