SMILES,MaxSimilarity,NearestNeighbor
CCCCC=CS(C)=S,0.4074074074074074,CCCC/C=C/C=O
CCCCCOC(=O)O,0.625,CCCCCCCOC(C)=O
CC[NH2+]N,0.2727272727272727,CCCC
CSCCC(C)O,0.45,CC(O)CCO
CCC(=O)S(C)(C)C,0.4117647058823529,CCC(=O)O
CCC[SH+]CC,0.3076923076923077,CCCC
CCC(C)CCC(C)N,0.55,CCC(C)CCO
C=CCOCC(C)C(=O)O,0.4,C=CCOCC=C
CC1=CCC(O)(C(C)C)C[NH2+]1,0.5,CC1=CCC(O)(C(C)C)CC1
COC(=S)C(C)O,0.3181818181818182,COC(=O)C(C)C
CCCCC(C)(CC)C(=O)NCC,0.3125,CCCCCCCC(C)(C)O
CCC(O)CC1=CC=CCC1,0.37142857142857144,CCC(O)Cc1ccccc1
CC1=NC2C=CC=CC2C1,0.2222222222222222,CC1=CCC(C(C)C)C=C1
OC1CCCCC1S,0.391304347826087,OC1CCCCC1C1CCCCC1
CCC(CC)CC,0.38461538461538464,CCC(C)O
CCC(O)C[NH2+]C,0.5294117647058824,CCC(O)CC
CCCCCC,0.875,CCCCCCC
C=S(C)C,0.14285714285714285,C=C(C)C(C)=O
CCC=CCOCS,0.46153846153846156,CCC=CCOC(C)=O
CC(C)CC1=CC2=CC=CNC2=CN1,0.24444444444444444,CC(C)Cc1cc2ccccc2[nH]1
C[NH2+]CC[NH2+]C(CO)C(C)=O,0.35714285714285715,CC(=O)O.CC(=O)O.CC(O)CO
c1c[nH+]ccn1,0.4166666666666667,c1cnccn1
CSOSO,0.23076923076923078,CSC
CC(N)CCOOC(=O)CC(C)O,0.34375,CC(C)CC(=O)OC(=O)CC(C)C
C=[NH+]C1=C(O)C=C(C)NN1,0.20689655172413793,Cc1ccc(O)cc1
C[NH2+]CCCCCCCC(=O)CCCCCCS,0.4444444444444444,CCCCCCC(=O)CCCCCC
C=CCNC(=O)COC1=CC=CCN1,0.25,C=CCOC(=O)COc1ccccc1
C=CCCCN,0.42857142857142855,C=CCCCCCC
C=C(C)S1=CC=C(Cl)C=C1,0.21212121212121213,C=C(C)c1ccc(C)cc1
CCCOC(=N)OCC(C)CC,0.46875,CCCC(=O)OCC(C)CC
C=C(CC)C1=[NH+]CCC1,0.23684210526315788,CCC(=O)C1CCCC1=O
CNCCCCN=CCS,0.18518518518518517,C=CCS
CSCCCC1CC=CO1,0.2903225806451613,CSCCCO
C=CCOC(=O)ONCCC,0.48484848484848486,C=CCOC(=O)CCC
CC1CCOC(CO)O1,0.5151515151515151,CC1CCOC(Cc2ccccc2)O1
CCCCCOC(C)CC,0.6086956521739131,CCCCCCCOC(C)C
C=C(CC)COC(C)=O,0.5217391304347826,CC(=O)COC(C)=O
CC([NH3+])CN,0.2857142857142857,CC(S)CCCN
CCN1C=NN(C)S1,0.16129032258064516,CCc1ccncc1
COCCC=[NH2+],0.3684210526315789,COCCOCCOC
CC(=O)OCC[NH2+]c1ccccc1,0.5454545454545454,CC(=O)OCCc1ccccc1
C=CC1SC=NC1C,0.18421052631578946,C=CCOc1ccccc1OCC
CC(=S)SC(=O)O,0.375,CC(=O)O
CC(S)=CCOC(C)=CCCC=O,0.3333333333333333,CC(=O)OCC=C(C)C
CCCNSC,0.2857142857142857,CCCSSC
[NH3+]c1cccc(C=O)c1,0.5384615384615384,Cc1cccc(C=O)c1
CCCC1=CCC=N1,0.27586206896551724,CCCc1ccccc1
CC1CNC(=O)C1,0.32142857142857145,CC1CCCC(=O)C1
CCCCONO,0.4090909090909091,CCCCOCOCCCC
CC[n+]1cc[nH+]nc1SC,0.2,CCc1ccncc1
CC=CCCC[NH2+]C=N,0.39285714285714285,CC=CCCCCCCCC=O
CCC(C)C(C)C(=O)O,0.5238095238095238,CCC(C)C(=O)O
CCC(C)[NH2+]C=O,0.4090909090909091,CCC(C)C=O
OCCCCc1ccc2ccccc2c1,0.5714285714285714,OCCCCc1ccccc1
CCCC(CC)SC,0.3333333333333333,CCCC(O)CCC
CCC(O)C(C)C=O,0.45454545454545453,CCC(C)C=O
C=[N+](C)c1ccc(C)o1,0.2222222222222222,Cc1cccc(C)n1
CCOC(OOC)C(C)S,0.4,CCCCCCCCCC(C)C(OCC)OCC
CCC[SH2+],0.4444444444444444,CCCC
O=CNCCCC1CCCCC1,0.4482758620689655,OCCCC1CCCCC1
C=C(NCC(C)C)C(C)=CC,0.3333333333333333,C/C=C(/C)C(=O)OCC(C)C
CC=CCN,0.3888888888888889,CC=CCSCC=CC
CCCC=CCCCCC(C)=O,0.7083333333333334,CCCC=CCCC(C)=O
NO,0.2,CO
CNS(=O)CCc1ccccc1,0.42857142857142855,CCCc1ccccc1
CCC(=O)CC(C)N,0.47368421052631576,CCC(=O)CC
CCCCCC(O)C(C)=N,0.5,CCCCCC(C)O
