MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
162.32299999999998,2.4003000000000005,1,0,0.0,4,0,9,0,Generated
132.159,1.8712,2,1,46.53,4,0,9,0,Generated
61.10799999999999,-1.5565999999999987,1,2,42.629999999999995,1,0,4,0,Generated
120.21699999999998,1.1202999999999999,2,1,20.23,3,0,7,0,Generated
134.244,1.617,1,0,17.07,1,0,8,0,Generated
105.22599999999998,1.2312,0,0,0.0,3,0,6,0,Generated
129.24699999999999,2.1599000000000004,1,1,26.02,4,0,9,0,Generated
144.17,0.9097,2,1,46.53,5,0,10,0,Generated
156.24899999999997,0.24440000000000006,1,2,36.84,1,0,11,1,Generated
120.17299999999997,0.341,3,1,29.46,1,0,7,0,Generated
185.31099999999998,2.729000000000001,1,1,29.1,6,0,13,0,Generated
152.23699999999997,2.423800000000001,1,1,20.23,3,0,11,1,Generated
133.19399999999996,1.9618,1,0,12.36,0,0,10,2,Generated
132.228,1.2197,2,2,20.23,0,0,8,1,Generated
100.205,2.832600000000001,0,0,0.0,3,0,7,0,Generated
104.17300000000002,-1.0494999999999994,1,2,36.84,3,0,7,0,Generated
86.178,2.5866000000000007,0,0,0.0,3,0,6,0,Generated
76.164,0.9469000000000001,0,0,0.0,0,0,4,0,Generated
132.228,1.8565,2,1,9.23,4,0,8,0,Generated
188.274,2.4043,2,2,24.06,2,0,14,2,Generated
162.23299999999998,-3.3070999999999966,2,3,70.52000000000001,6,0,11,0,Generated
81.098,-0.1043,1,0,27.03,0,1,6,1,Generated
112.175,1.4022000000000001,4,1,29.46,2,0,5,0,Generated
191.22699999999998,-0.030599999999999683,5,2,81.78,6,0,13,0,Generated
140.16599999999997,-1.493699999999999,3,4,58.260000000000005,1,0,10,1,Generated
274.4939999999999,2.969600000000001,2,2,33.68,14,0,18,0,Generated
194.234,0.3059999999999999,3,2,50.36,5,0,14,1,Generated
85.15,0.9113,1,1,26.02,3,0,6,0,Generated
172.67999999999998,3.241100000000002,0,0,0.0,1,0,10,1,Generated
173.25599999999997,2.410470000000001,3,1,42.31,5,0,12,0,Generated
124.207,0.26800000000000007,0,1,13.97,2,0,9,1,Generated
160.286,0.9865999999999999,3,2,24.39,6,0,10,0,Generated
158.26600000000002,2.432200000000001,2,0,9.23,4,0,10,1,Generated
159.18499999999997,1.2402,4,1,47.56,5,0,11,0,Generated
132.159,0.13020000000000004,3,1,38.69,1,0,9,1,Generated
144.25799999999998,2.9917000000000016,1,0,9.23,6,0,10,0,Generated
128.171,1.5157,2,0,26.3,3,0,9,0,Generated
75.135,-1.4244999999999997,1,2,53.66,1,0,5,0,Generated
131.204,0.7602,4,0,18.84,1,0,8,1,Generated
88.13000000000001,-1.1471999999999989,1,1,34.82,3,0,6,0,Generated
180.22700000000003,0.44459999999999955,2,1,42.91,4,1,13,1,Generated
127.21199999999999,1.7046,2,0,12.36,1,0,8,1,Generated
136.197,1.7449000000000001,3,1,37.3,0,0,7,0,Generated
200.30299999999997,2.719500000000001,3,1,26.3,6,0,13,0,Generated
105.20599999999999,1.264,2,1,12.03,3,0,6,0,Generated
122.14699999999998,0.3724999999999997,1,1,44.71,1,1,9,1,Generated
109.17199999999998,2.1449,1,0,12.36,2,0,8,1,Generated
99.133,0.14239999999999992,1,1,29.1,0,0,7,1,Generated
105.13699999999999,0.6969000000000001,3,2,41.489999999999995,4,0,7,0,Generated
157.242,-0.07500000000000012,2,0,30.91,2,1,10,1,Generated
127.21100000000001,0.5131699999999999,1,2,40.46,5,0,9,0,Generated
130.18699999999998,1.7532,1,1,37.3,3,0,9,0,Generated
102.157,-0.4953000000000005,1,1,33.68,3,0,7,0,Generated
200.281,3.1548000000000016,1,1,20.23,4,2,15,2,Generated
132.272,2.9281000000000015,1,0,0.0,4,0,8,0,Generated
116.15999999999998,0.5923,2,1,37.3,3,0,8,0,Generated
124.16299999999997,1.56242,1,0,16.15,1,1,9,1,Generated
166.24200000000002,1.2452999999999999,4,1,27.69,5,0,10,0,Generated
77.172,0.4079,0,0,0.0,1,0,4,0,Generated
169.26799999999997,2.0929,1,1,29.1,5,0,12,1,Generated
153.26899999999998,2.711900000000001,1,1,12.03,4,0,11,0,Generated
71.123,0.5212000000000001,1,1,26.02,1,0,5,0,Generated
168.28,3.4921000000000024,1,0,17.07,7,0,12,0,Generated
33.03,-0.6657000000000002,2,2,46.25,0,0,2,0,Generated
183.27600000000004,1.1121999999999999,1,1,29.1,4,1,12,1,Generated
115.176,0.7028000000000002,2,1,43.09,3,0,8,0,Generated
143.23,1.96727,2,2,44.08,5,0,10,0,Generated
103.16499999999998,-0.024899999999999867,2,2,32.26,2,0,7,0,Generated
75.136,0.7368,2,0,12.36,1,0,4,0,Generated
129.204,1.26684,1,0,13.14,0,1,8,1,Generated
183.295,2.505000000000001,1,1,29.1,6,0,13,0,Generated
58.123999999999995,1.8064,0,0,0.0,1,0,4,0,Generated
169.26799999999997,2.716100000000001,2,0,15.54,4,0,12,1,Generated
182.30699999999996,3.380200000000002,1,0,9.23,1,0,13,2,Generated
75.11099999999999,-0.544,1,1,39.67,1,0,5,0,Generated
172.29299999999998,3.193500000000002,2,0,9.23,6,0,11,0,Generated
212.31900000000005,2.2452000000000005,3,0,23.37,4,2,13,2,Generated
202.344,2.3435000000000006,2,2,17.07,1,0,12,1,Generated
88.13,-0.13729999999999987,1,2,36.84,2,0,6,0,Generated
129.20299999999997,1.3496,2,1,21.259999999999998,4,0,9,0,Generated
139.202,1.4683,3,0,30.71,4,1,10,1,Generated
178.20899999999997,1.6984000000000001,4,1,63.60000000000001,5,0,11,0,Generated
94.13499999999999,-0.19439999999999996,1,1,37.3,0,0,5,0,Generated
166.26700000000002,1.1253,4,2,26.3,2,0,9,0,Generated
108.16399999999997,0.9940000000000001,0,0,3.88,1,1,8,1,Generated
149.21499999999997,1.1818,4,1,44.480000000000004,3,0,9,0,Generated
220.28899999999993,0.7373999999999994,4,1,53.53,12,0,15,0,Generated
246.376,2.1746,5,3,42.519999999999996,8,0,16,0,Generated
144.17,2.0137,2,1,46.53,1,0,10,1,Generated
162.20999999999998,1.3119,3,1,46.53,5,0,10,0,Generated
136.285,1.8706,2,2,0.0,2,0,7,0,Generated
122.16699999999996,2.6211200000000012,1,0,13.14,1,1,9,1,Generated
157.23799999999997,1.6719000000000002,3,1,21.259999999999998,3,0,10,1,Generated
111.09999999999998,0.79552,3,0,43.1,1,1,8,1,Generated
104.105,-0.4582000000000001,3,1,46.53,2,0,7,0,Generated
102.202,1.9035,1,0,0.0,0,0,6,1,Generated
123.13499999999998,-0.6628000000000003,2,2,37.87,0,0,9,2,Generated
114.144,0.756,2,0,26.3,0,0,8,1,Generated
164.29199999999994,3.945000000000003,0,0,0.0,3,0,12,1,Generated
126.13499999999996,0.9595999999999998,2,1,36.379999999999995,1,1,9,1,Generated
154.253,3.259400000000002,1,0,9.23,4,0,11,1,Generated
163.27100000000004,0.7342,4,2,36.42,1,0,9,1,Generated
212.38199999999998,2.0761000000000003,1,1,16.61,6,0,14,1,Generated
132.272,2.7840000000000016,1,0,0.0,3,0,8,0,Generated
