SMILES,MaxSimilarity,NearestNeighbor
CCCCC=CS(C)=S,0.4074074074074074,CCCCC=CC=O
CCCCCOC(=O)O,0.625,CCCCCCCCCCOC(C)=O
CC[NH2+]N,0.36363636363636365,CCN
CSCCC(C)O,0.45,CC(C)CCC(C)O
CCC(=O)S(C)(C)C,0.4117647058823529,CCC(=O)O
CCC[SH+]CC,0.25,CCCN
CCC(C)CCC(C)N,0.45,CCC(C)CN
C=CCOCC(C)C(=O)O,0.3939393939393939,C=CCOC(=O)C(CC)CC
CC1=CCC(O)(C(C)C)C[NH2+]1,0.5,CC1=CCC(O)(C(C)C)CC1
COC(=S)C(C)O,0.32,COC(=O)CC(C)O
CCCCC(C)(CC)C(=O)NCC,0.2903225806451613,CCCCC(=O)O
CCC(O)CC1=CC=CCC1,0.375,CC1=CC=CCC1
CC1=NC2C=CC=CC2C1,0.22580645161290322,Cc1cnc(C)c(C)n1
OC1CCCCC1S,0.25,O=C(O)C1CCCCC1
CCC(CC)CC,0.3333333333333333,CCC(C)SSC(C)CC
CCC(O)C[NH2+]C,0.391304347826087,CCCCC(O)CC
CCCCCC,0.875,CCCCCCCCCC
C=S(C)C,0.13333333333333333,C=CC(C)O
CCC=CCOCS,0.3333333333333333,CCC=CCCOC(C)=O
CC(C)CC1=CC2=CC=CNC2=CN1,0.18181818181818182,Cc1nc(CC(C)C)sc1C
C[NH2+]CC[NH2+]C(CO)C(C)=O,0.3103448275862069,CCC(O)C(C)=O
c1c[nH+]ccn1,0.4166666666666667,c1cnccn1
CSOSO,0.21428571428571427,CSSC
CC(N)CCOOC(=O)CC(C)O,0.45161290322580644,COC(=O)CC(C)O
C=[NH+]C1=C(O)C=C(C)NN1,0.20689655172413793,Cc1ccc(O)cc1
C[NH2+]CCCCCCCC(=O)CCCCCCS,0.36666666666666664,CCCCCCC(=O)CC
C=CCNC(=O)COC1=CC=CCN1,0.25,C=CCOC(=O)COc1ccccc1
C=CCCCN,0.42857142857142855,C=CCCCCCC
C=C(C)S1=CC=C(Cl)C=C1,0.21212121212121213,C=C(C)c1ccc(C)cc1
CCCOC(=N)OCC(C)CC,0.29411764705882354,CCCCOC(=O)C(C)C
C=C(CC)C1=[NH+]CCC1,0.2777777777777778,CCC(=O)C1=NCCC1
CNCCCCN=CCS,0.18518518518518517,C=CCS
CSCCCC1CC=CO1,0.2903225806451613,CSCCCN
C=CCOC(=O)ONCCC,0.48484848484848486,C=CCOC(=O)CCC
CC1CCOC(CO)O1,0.2857142857142857,CC(C)=CC1CC(C)CCO1
CCCCCOC(C)CC,0.5,CCCCCCOC(C)OCCC(C)C
C=C(CC)COC(C)=O,0.4074074074074074,CCCCOC(C)=O
CC([NH3+])CN,0.4117647058823529,CCC(C)CN
CCN1C=NN(C)S1,0.1724137931034483,CCc1nccnc1CC
COCCC=[NH2+],0.23333333333333334,CCC=CCCOC(C)=O
CC(=O)OCC[NH2+]c1ccccc1,0.48484848484848486,CC(=O)OCc1ccccc1
C=CC1SC=NC1C,0.17142857142857143,C=Cc1sc(C)nc1C
CC(=S)SC(=O)O,0.375,CC(=O)O
CC(S)=CCOC(C)=CCCC=O,0.3076923076923077,CC(=O)OCC=C(C)CCC=C(C)C
CCCNSC,0.23809523809523808,CCCC(O)CCC
[NH3+]c1cccc(C=O)c1,0.4782608695652174,O=Cc1ccccc1
CCCC1=CCC=N1,0.2727272727272727,CCCc1ccccn1
CC1CNC(=O)C1,0.2903225806451613,CC1CCC(C(C)C)C(=O)C1
CCCCONO,0.4,CCCCOC(C)=O
CC[n+]1cc[nH+]nc1SC,0.21212121212121213,CCc1nccnc1CC
CC=CCCC[NH2+]C=N,0.39285714285714285,CC=CCCCCCCCC=O
CCC(C)C(C)C(=O)O,0.5238095238095238,CCC(C)C(=O)O
CCC(C)[NH2+]C=O,0.4090909090909091,CCC(C)C=O
OCCCCc1ccc2ccccc2c1,0.36666666666666664,OCCc1ccccc1
CCCC(CC)SC,0.3333333333333333,CCCC(O)CCC
CCC(O)C(C)C=O,0.45454545454545453,CCC(C)C=O
C=[N+](C)c1ccc(C)o1,0.3448275862068966,Cc1ccc(C=O)o1
CCOC(OOC)C(C)S,0.391304347826087,CCOC(C)OCC
CCC[SH2+],0.3333333333333333,CCCN
O=CNCCCC1CCCCC1,0.3333333333333333,CC(=O)OCCC1CCCCC1
C=C(NCC(C)C)C(C)=CC,0.3333333333333333,C/C=C/C=C\CC/C=C/C(=O)NCC(C)C
CC=CCN,0.30434782608695654,CC=CCCCCCCCC=O
CCCC=CCCCCC(C)=O,0.5833333333333334,CCCCCC(C)=O
NO,0.14285714285714285,NCCC(=O)O
CNS(=O)CCc1ccccc1,0.4117647058823529,COC(=O)CCc1ccccc1
CCC(=O)CC(C)N,0.4090909090909091,CC(C)CC(=O)CC(C)C
CCCCCC(O)C(C)=N,0.5,CCCCCC(C)O
CNC(C)C(C)O,0.42857142857142855,C[C@H](O)[C@@H](C)O
CCN=S,0.25,CCN
Cc1cc([SH2+])c(C)o1,0.4074074074074074,CC(=O)c1cc(C)oc1C
CCCC=CCNC(=O)C(C)CC,0.3939393939393939,CCCC=CCC(=O)O
CCCC,0.4444444444444444,CCCN
CC(C)=CCCC(C)(C)N1CO1,0.42424242424242425,C=CC(C)(O)CCC=C(C)C
CCC1(C)C2(C)CCC(O2)C1(C)C,0.3,CCC1OC(C)(CC)CCC1C(C)C
CC(C)[NH2+][O-],0.23076923076923078,C[C@H](O)[C@@H](C)O
C=C(C=CSCCC)OCC,0.30303030303030304,C=CC(=O)OCC
