MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
290.271,1.5460999999999998,6,5,110.38000000000001,1,2,21,3,chebi
152.237,2.401700000000001,1,0,17.07,0,0,11,2,chebi
118.088,-0.4859,4,1,55.760000000000005,4,0,8,0,chebi
286.371,2.788200000000001,3,2,57.53,0,1,21,4,chebi
172.01399999999998,2.8650800000000007,1,0,23.79,0,1,10,1,chebi
104.10499999999999,-0.15810000000000002,2,2,57.53,2,0,7,0,chebi
655.0640000000004,14.691999999999963,2,2,40.46,23,1,48,1,chebi
162.232,2.9009000000000014,1,1,20.23,2,1,12,1,chebi
402.66300000000024,6.5036000000000085,2,2,40.46,5,0,29,4,chebi
273.44,4.936000000000004,1,0,17.07,0,0,20,4,chebi
318.5010000000001,4.595200000000005,2,1,37.3,1,0,23,4,chebi
273.44,4.647900000000004,1,1,20.23,0,0,20,4,chebi
252.269,3.468600000000002,3,0,39.44,2,3,19,3,chebi
122.16699999999999,1.48732,1,1,20.23,1,1,9,1,chebi
126.119,-0.9092000000000005,3,3,97.79,1,1,9,1,chebi
311.26300000000003,-4.269499999999998,10,6,158.3,4,0,21,2,chebi
304.43,2.850000000000002,3,2,57.53,0,0,22,4,chebi
338.35900000000004,4.040400000000003,5,3,90.9,3,3,25,3,chebi
264.32099999999997,2.2499,3,2,74.6,3,0,19,1,chebi
645.6080000000004,-8.564500000000011,19,14,321.17,9,0,44,4,chebi
225.20799999999997,-1.3318000000000003,7,3,119.04999999999998,4,2,16,2,chebi
273.1889999999999,-0.4397000000000001,7,3,136.38000000000002,5,2,18,2,chebi
538.4640000000002,5.134000000000007,10,6,181.8,3,6,40,6,chebi
229.63099999999997,-1.0823299999999998,6,5,156.79,1,1,15,1,chebi
365.4110000000001,0.023700000000000443,6,4,132.96,4,1,25,3,chebi
924.0910000000002,0.7117000000000053,17,12,319.60999999999996,3,0,65,3,chebi
187.202,1.0191,3,2,71.77,1,2,14,2,chebi
347.5430000000001,5.240600000000005,2,2,49.33,16,0,25,0,chebi
1046.1969999999997,-1.1050300000000128,13,14,406.34,29,3,75,4,chebi
548.6330000000003,3.480400000000002,9,3,157.32999999999998,12,1,39,2,chebi
539.5830000000003,-6.949300000000007,16,11,283.64000000000004,6,0,37,4,chebi
488.7090000000003,5.0327000000000055,4,4,97.99000000000001,2,0,35,5,chebi
294.307,-0.31109999999999954,5,3,118.72000000000001,7,1,21,1,chebi
929.161,8.06550000000001,12,0,126.44000000000004,24,4,67,6,chebi
748.9960000000001,1.9007000000000054,14,5,180.08,7,0,52,3,chebi
461.50000000000017,0.0942000000000009,6,4,148.14999999999998,5,1,32,4,chebi
274.228,2.071600000000001,6,3,100.13000000000001,1,3,20,3,chebi
421.4220000000001,1.6254000000000004,5,3,118.35999999999999,3,2,27,3,chebi
307.43700000000007,4.417800000000004,2,0,12.47,4,2,23,4,chebi
307.434,2.3933999999999997,4,2,50.72,11,1,22,2,chebi
161.22499999999997,0.1764,2,1,52.32,3,0,11,0,chebi
456.7110000000003,7.089500000000009,2,2,57.53,2,0,33,5,chebi
311.46900000000005,3.9624000000000033,2,1,23.47,5,1,23,4,chebi
1415.5760000000005,-7.703580000000035,31,20,627.07,35,4,96,6,chebi
383.5170000000001,0.08690000000000164,7,2,118.79999999999998,7,1,23,2,chebi
319.246,3.9277000000000024,2,0,16.130000000000003,5,2,19,2,chebi
364.42300000000006,3.036500000000001,5,3,118.71999999999998,8,2,25,2,chebi
467.6500000000003,4.413800000000004,5,2,62.16,4,1,34,8,chebi
317.476,5.769300000000006,1,0,3.24,4,3,24,3,chebi
411.7850000000001,6.637000000000003,3,0,17.82,7,3,25,3,chebi
327.46800000000013,3.3656000000000015,3,2,43.7,2,1,24,5,chebi
477.5540000000005,1.2429999999999992,7,6,158.76000000000002,5,1,34,5,chebi
844.2700000000001,2.8038000000000003,15,5,217.79999999999998,6,2,60,8,chebi
994.8649999999999,1.9644000000000037,25,0,305.00999999999993,22,3,71,5,chebi
1368.3689999999997,3.196820000000005,27,8,308.44,22,1,84,7,chebi
515.6470000000004,4.070000000000002,6,2,111.16000000000001,12,1,37,4,chebi
399.48400000000026,2.0603,5,3,122.16000000000001,11,0,28,2,chebi
182.65099999999998,-3.2080999999999973,2,1,52.32,3,0,11,0,chebi
236.274,3.3872000000000018,1,1,46.330000000000005,0,2,18,3,chebi
244.24699999999999,-0.8778000000000001,5,5,147.31,4,1,17,1,chebi
290.794,3.4026000000000023,3,0,25.36,6,2,20,2,chebi
260.334,2.0227,4,2,90.65,7,0,18,0,chebi
367.814,0.6213000000000004,5,3,112.73,4,1,24,3,chebi
395.4220000000001,-0.17179999999999884,9,4,158.21000000000004,5,1,26,3,chebi
645.6800000000003,-1.1119999999999965,13,4,220.25999999999996,9,2,44,5,chebi
575.6320000000002,-1.3974999999999984,14,4,219.92999999999995,9,1,36,4,chebi
427.4640000000001,-0.539199999999999,10,3,156.44,7,1,28,3,chebi
410.4330000000001,-0.0481999999999998,8,4,162.92,6,1,27,3,chebi
504.4380000000002,-7.572999999999988,16,11,268.67999999999995,7,0,34,3,chebi
415.4960000000001,-0.3177999999999983,6,1,93.42,6,2,28,4,chebi
459.5580000000002,4.8807000000000045,5,3,99.88000000000001,11,2,33,2,chebi
364.45599999999996,3.177900000000001,0,0,0.0,15,0,21,0,chebi
307.22099999999995,2.8426000000000005,4,1,55.56,6,1,19,1,chebi
295.72900000000004,0.12990000000000046,5,2,118.69,1,1,17,2,chebi
202.63700000000003,1.072,3,2,49.69,4,1,13,1,chebi
276.745,1.7379,3,2,75.27000000000001,4,1,17,1,chebi
169.56699999999998,2.1868,3,1,46.260000000000005,0,2,11,2,chebi
625.0790000000001,13.420899999999975,2,0,26.3,20,0,45,4,chebi
279.18899999999996,-1.6618000000000002,7,4,147.89999999999998,6,1,18,1,chebi
358.46000000000004,1.4326000000000003,5,4,129.72,11,0,24,1,chebi
262.22099999999995,0.8432999999999997,6,1,90.65,2,2,19,3,chebi
465.9530000000003,3.358100000000002,6,2,86.05,9,2,32,3,chebi
747.9640000000002,2.439700000000004,14,4,182.91,8,0,52,3,chebi
343.898,5.104400000000005,2,0,12.47,6,2,24,3,chebi
352.45400000000006,2.7045000000000012,3,1,46.53,4,2,26,5,chebi
424.99100000000016,0.38950000000000035,7,4,102.26,7,0,27,2,chebi
473.40700000000015,7.489800000000005,4,1,42.21,4,3,33,5,chebi
315.716,3.037700000000001,4,1,84.6,2,2,22,3,chebi
248.32199999999995,2.4995000000000003,3,0,43.370000000000005,0,0,18,3,chebi
232.32299999999992,3.5508000000000024,2,0,26.3,0,0,17,2,chebi
232.28599999999997,3.8313000000000024,2,0,17.82,0,2,18,4,chebi
538.4640000000003,5.134000000000007,10,6,181.79999999999995,3,6,40,6,chebi
266.38800000000003,3.0234000000000014,2,0,6.48,3,2,20,3,chebi
275.39500000000004,4.553800000000004,1,0,3.24,3,2,21,3,chebi
1202.634999999999,3.2690000000000046,12,5,278.8,15,0,85,1,chebi
287.4060000000001,4.697900000000004,1,0,3.24,0,2,22,4,chebi
125.06399999999998,-0.5311999999999999,2,3,83.55000000000001,1,0,7,0,chebi
358.3530000000001,-0.9648999999999996,6,6,145.19,10,0,22,0,chebi
690.8600000000002,2.269300000000002,11,2,176.42,7,1,48,3,chebi
337.46300000000014,4.221000000000004,3,1,46.260000000000005,0,1,25,5,chebi
248.30700000000002,1.6838000000000002,4,2,86.18,2,2,17,2,chebi
246.262,1.8673999999999995,4,1,59.67,0,2,18,3,chebi
552.6790000000003,2.2211,8,4,164.79999999999998,6,3,37,4,chebi
464.8580000000002,0.2649000000000006,9,6,181.61999999999998,2,1,32,4,chebi
271.404,3.3834000000000026,2,0,12.47,1,1,20,4,chebi
245.366,3.113600000000001,2,2,46.25,0,1,18,3,chebi
230.676,1.6818,3,1,58.53,0,1,14,2,chebi
336.29900000000004,2.9014000000000006,6,2,100.88,2,4,25,4,chebi
309.4940000000001,4.402200000000004,3,0,29.54,7,0,22,2,chebi
780.9490000000002,2.218100000000003,14,6,203.05999999999997,7,0,55,8,chebi
583.6890000000001,2.0811000000000024,6,3,118.21000000000001,4,3,43,8,chebi
414.6300000000003,5.713900000000006,3,1,38.69,0,0,30,6,chebi
301.386,2.956800000000002,4,4,72.72,7,2,22,2,chebi
324.44900000000007,0.612,6,2,106.32999999999998,3,1,19,2,chebi
379.4350000000002,3.6784000000000026,4,1,58.1,6,3,28,4,chebi
254.24599999999998,-2.213099999999999,8,2,102.28,3,2,18,2,chebi
292.244,-2.0711999999999957,6,4,155.68,11,0,20,0,chebi
