SMILES,MaxSimilarity,NearestNeighbor
CCCCC=CS(C)=S,0.4583333333333333,CC/C=C\CCCC
CCCCCOC(=O)O,0.6521739130434783,CCCCCOC(C)=O
CC[NH2+]N,0.4166666666666667,CC[NH2+]CC
CSCCC(C)O,0.5294117647058824,CC(O)CCC(C)O
CCC(=O)S(C)(C)C,0.4117647058823529,CCC(C)=O
CCC[SH+]CC,0.3076923076923077,CCCC
CCC(C)CCC(C)N,0.55,CCC(C)CCO
C=CCOCC(C)C(=O)O,0.39285714285714285,C[C@H](CN)C(=O)O
CC1=CCC(O)(C(C)C)C[NH2+]1,0.5,CC1=CCC(O)(C(C)C)CC1
COC(=S)C(C)O,0.42857142857142855,COC(=O)[C@@H](C)O
CCCCC(C)(CC)C(=O)NCC,0.3448275862068966,CCNC(C)=O
CCC(O)CC1=CC=CCC1,0.32142857142857145,CCC(O)CC
CC1=NC2C=CC=CC2C1,0.22580645161290322,Cc1cnc(C)c(C)n1
OC1CCCCC1S,0.5625,O[C@@H]1CCCC[C@H]1O
CCC(CC)CC,1.0,CCC(CC)CC
CCC(O)C[NH2+]C,0.5294117647058824,CCC(O)CC
CCCCCC,1.0,CCCCCC
C=S(C)C,0.3333333333333333,CS(C)=O
CCC=CCOCS,0.4444444444444444,CC/C=C\CC
CC(C)CC1=CC2=CC=CNC2=CN1,0.23684210526315788,CC(C)Cc1ccccc1
C[NH2+]CC[NH2+]C(CO)C(C)=O,0.3793103448275862,CC(=O)[C@@H](O)[C@H](O)CO
c1c[nH+]ccn1,0.4166666666666667,c1cnccn1
CSOSO,0.38461538461538464,CSO
CC(N)CCOOC(=O)CC(C)O,0.46875,CCOC(=O)C[C@@H](C)O
C=[NH+]C1=C(O)C=C(C)NN1,0.22580645161290322,Cc1ccc(O)c(O)c1
C[NH2+]CCCCCCCC(=O)CCCCCCS,0.4482758620689655,C[NH2+]CCCC(=O)[O-]
C=CCNC(=O)COC1=CC=CCN1,0.2711864406779661,C=CCNC(=O)SCc1c[nH]c2ccccc12
C=CCCCN,0.6,C=CCCCCC=C
C=C(C)S1=CC=C(Cl)C=C1,0.25,C=C(C)C1=CC=C(C)CC1
CCCOC(=N)OCC(C)CC,0.4666666666666667,CCC(C)COC(C)=O
C=C(CC)C1=[NH+]CCC1,0.43333333333333335,O=C([O-])C1=[NH+]CCC1
CNCCCCN=CCS,0.35714285714285715,CNCCCCN
CSCCCC1CC=CO1,0.2903225806451613,CSCCCN
C=CCOC(=O)ONCCC,0.42105263157894735,C=CCOC(=O)C(=O)OCCCCCCCCCCCCCCCCCC
CC1CCOC(CO)O1,0.3448275862068966,OCC1CCCO1
CCCCCOC(C)CC,0.56,CCCCCOC(C)OCC
C=C(CC)COC(C)=O,0.4782608695652174,CCOC(C)=O
CC([NH3+])CN,0.5384615384615384,CC(C)CN
CCN1C=NN(C)S1,0.21875,CCn1cc[n+](C)c1
COCCC=[NH2+],0.4375,COCCOC
CC(=O)OCC[NH2+]c1ccccc1,0.5454545454545454,CC(=O)OCCc1ccccc1
C=CC1SC=NC1C,0.2,C=CCC
CC(=S)SC(=O)O,0.375,CC(=O)O
CC(S)=CCOC(C)=CCCC=O,0.3125,CC(=O)CCC=O
CCCNSC,0.29411764705882354,CCSC
[NH3+]c1cccc(C=O)c1,0.5384615384615384,O=Cc1cccc(O)c1
CCCC1=CCC=N1,0.27586206896551724,CCCc1ccccc1
CC1CNC(=O)C1,0.375,CC1CC(=O)CC(C)C1
CCCCONO,0.4166666666666667,CCCCOCCO
CC[n+]1cc[nH+]nc1SC,0.20512820512820512,CCNc1nc(NCC)nc(SC)n1
CC=CCCC[NH2+]C=N,0.4230769230769231,C/C=C\CCCCC
CCC(C)C(C)C(=O)O,0.5909090909090909,CC[C@@H](O)[C@H](C)C(=O)O
CCC(C)[NH2+]C=O,0.4090909090909091,CCC(C)C=O
OCCCCc1ccc2ccccc2c1,0.6071428571428571,OCc1ccc2ccccc2c1
