SMILES,MaxSimilarity,NearestNeighbor
CCCCC=CS(C)=S,0.4230769230769231,CCCC/C=C\CCO
CCCCCOC(=O)O,0.6521739130434783,CCCCCOC(C)=O
CC[NH2+]N,0.36363636363636365,CCN
CSCCC(C)O,0.45,CC(O)CCO
CCC(=O)S(C)(C)C,0.4117647058823529,CCC(=O)O
CCC[SH+]CC,0.26666666666666666,CCCCC
CCC(C)CCC(C)N,0.55,CCC(C)CCO
C=CCOCC(C)C(=O)O,0.5357142857142857,C=CCC(C)C(=O)O
CC1=CCC(O)(C(C)C)C[NH2+]1,0.5,CC1=CCC(O)(C(C)C)CC1
COC(=S)C(C)O,0.32,COC(=O)CC(C)O
CCCCC(C)(CC)C(=O)NCC,0.30303030303030304,CCCCC(=O)OC
CCC(O)CC1=CC=CCC1,0.375,CC1=CC=CCC1
CC1=NC2C=CC=CC2C1,0.25,CC1=NC(C)OC1
OC1CCCCC1S,0.3888888888888889,SC1CCCC1
CCC(CC)CC,0.38461538461538464,CCC(C)O
CCC(O)C[NH2+]C,0.5294117647058824,CCC(O)CC
CCCCCC,1.0,CCCCCC
C=S(C)C,0.3333333333333333,CS(C)=O
CCC=CCOCS,0.41379310344827586,CC/C=C\CC/C=C/COC(C)=O
CC(C)CC1=CC2=CC=CNC2=CN1,0.21428571428571427,Cc1nccnc1CC(C)C
C[NH2+]CC[NH2+]C(CO)C(C)=O,0.3548387096774194,CC(=O)[C@@H](O)[C@H](O)[C@H](O)CO
c1c[nH+]ccn1,0.4166666666666667,c1cnccn1
CSOSO,0.23076923076923078,CSC
CC(N)CCOOC(=O)CC(C)O,0.46875,CCOC(=O)CC(C)O
C=[NH+]C1=C(O)C=C(C)NN1,0.22580645161290322,Cc1ccc(O)cc1C
C[NH2+]CCCCCCCC(=O)CCCCCCS,0.4074074074074074,CCCCCC(=O)CCCCC
C=CCNC(=O)COC1=CC=CCN1,0.3050847457627119,C=CCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)OC
C=CCCCN,0.45,C=CCCCCO
C=C(C)S1=CC=C(Cl)C=C1,0.25,C=C(C)C1=CC=C(C)CC1
CCCOC(=N)OCC(C)CC,0.4666666666666667,CCC(C)COC(C)=O
C=C(CC)C1=[NH+]CCC1,0.2777777777777778,CCC(=O)C1=NCCC1
CNCCCCN=CCS,0.23529411764705882,CC(C)CC=NCCC(C)C
CSCCCC1CC=CO1,0.30952380952380953,CCCCCC1CC=CC(=O)O1
C=CCOC(=O)ONCCC,0.48484848484848486,C=CCOC(=O)CCC
CC1CCOC(CO)O1,0.35714285714285715,CC1OCCC1S
CCCCCOC(C)CC,0.6086956521739131,CCCCCCOC(C)OCCCCCC
C=C(CC)COC(C)=O,0.5217391304347826,CC(=O)COC(C)=O
CC([NH3+])CN,0.5384615384615384,CC(C)CN
CCN1C=NN(C)S1,0.2222222222222222,CCn1cccc1
COCCC=[NH2+],0.34782608695652173,COCCC(C)(C)S
CC(=O)OCC[NH2+]c1ccccc1,0.5454545454545454,CC(=O)OCCc1ccccc1
C=CC1SC=NC1C,0.2,C=Cc1scnc1C
CC(=S)SC(=O)O,0.375,CC(=O)O
CC(S)=CCOC(C)=CCCC=O,0.3333333333333333,CC(=O)OCC=C(C)C
CCCNSC,0.3157894736842105,CCCSC
[NH3+]c1cccc(C=O)c1,0.5384615384615384,Cc1cccc(C=O)c1
CCCC1=CCC=N1,0.29411764705882354,CCCc1nc(C)cnc1C
CC1CNC(=O)C1,0.32142857142857145,CC1CCCC(=O)C1
CCCCONO,0.4,CCCCOC(C)=O
CC[n+]1cc[nH+]nc1SC,0.2222222222222222,CSc1nccnc1C
CC=CCCC[NH2+]C=N,0.4230769230769231,C/C=C/CCCO
CCC(C)C(C)C(=O)O,0.5652173913043478,CCC(C)C(N)C(=O)O
CCC(C)[NH2+]C=O,0.4090909090909091,CCC(C)C=O
OCCCCc1ccc2ccccc2c1,0.5517241379310345,OCCCCCc1ccccc1
CCCC(CC)SC,0.5909090909090909,CCCC(CCO)SC
CCC(O)C(C)C=O,0.52,CC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C=O
C=[N+](C)c1ccc(C)o1,0.47619047619047616,Cc1ccc(C)o1
