SMILES,MaxSimilarity,NearestNeighbor
CCCCC=CS(C)=S,0.44,CCCCC=CO
CCCCCOC(=O)O,0.6521739130434783,CCCCCOC(C)=O
CC[NH2+]N,0.4166666666666667,CC[NH2+]CC
CSCCC(C)O,0.45,CCCC(C)O
CCC(=O)S(C)(C)C,0.4117647058823529,CCC(C)=O
CCC[SH+]CC,0.26666666666666666,CCCCC
CCC(C)CCC(C)N,0.55,CCC(C)CCO
C=CCOCC(C)C(=O)O,0.42424242424242425,C=CCOC(=O)CC(C)C
CC1=CCC(O)(C(C)C)C[NH2+]1,0.5,CC1=CCC(O)(C(C)C)CC1
COC(=S)C(C)O,0.32,COC(=O)CC(C)O
CCCCC(C)(CC)C(=O)NCC,0.30303030303030304,CCCCC(=O)OC
CCC(O)CC1=CC=CCC1,0.32142857142857145,CCC(O)CC
CC1=NC2C=CC=CC2C1,0.22580645161290322,Cc1cnc(C)c(C)n1
OC1CCCCC1S,0.3684210526315789,OC1CCCCC1
CCC(CC)CC,0.45454545454545453,CCC(C)C
CCC(O)C[NH2+]C,0.5294117647058824,CCC(O)CC
CCCCCC,1.0,CCCCCC
C=S(C)C,0.3333333333333333,CS(C)=O
CCC=CCOCS,0.41379310344827586,CCC=CCCC=CCOC(C)=O
CC(C)CC1=CC2=CC=CNC2=CN1,0.20930232558139536,CC(C)Cc1nccs1
C[NH2+]CC[NH2+]C(CO)C(C)=O,0.3103448275862069,CCC(O)C(C)=O
c1c[nH+]ccn1,0.3333333333333333,c1ccncc1
CSOSO,0.23076923076923078,CSC
CC(N)CCOOC(=O)CC(C)O,0.46875,CCOC(=O)CC(C)O
C=[NH+]C1=C(O)C=C(C)NN1,0.22580645161290322,Cc1ccc(O)cc1C
C[NH2+]CCCCCCCC(=O)CCCCCCS,0.4444444444444444,CCCCCCCCCC(=O)CCCCCCCCC
C=CCNC(=O)COC1=CC=CCN1,0.25,C=CCOC(=O)COc1ccccc1
C=CCCCN,0.47368421052631576,C=CCCCC
C=C(C)S1=CC=C(Cl)C=C1,0.25,C=C(C)C1=CC=C(C)CC1
CCCOC(=N)OCC(C)CC,0.4666666666666667,CCC(C)COC(C)=O
C=C(CC)C1=[NH+]CCC1,0.21621621621621623,CCC(=O)OC1CCCCC1
CNCCCCN=CCS,0.16129032258064516,CCCCCCS
CSCCCC1CC=CO1,0.30952380952380953,CCCCCC1CC=CC(=O)O1
C=CCOC(=O)ONCCC,0.48484848484848486,C=CCOC(=O)CCC
CC1CCOC(CO)O1,0.3448275862068966,OCC1CCCO1
CCCCCOC(C)CC,0.43333333333333335,CCCCCCOC(=O)C(C)CC
C=C(CC)COC(C)=O,0.4782608695652174,CCOC(C)=O
CC([NH3+])CN,1.0,CC([NH3+])CN
CCN1C=NN(C)S1,0.17142857142857143,CCOc1nccs1
COCCC=[NH2+],0.2916666666666667,COCCOCCO
CC(=O)OCC[NH2+]c1ccccc1,0.5454545454545454,CC(=O)OCCc1ccccc1
C=CC1SC=NC1C,0.2,C=CCC(C)C(C)C
CC(=S)SC(=O)O,0.3157894736842105,COC(C)=O
CC(S)=CCOC(C)=CCCC=O,0.3333333333333333,CC(=O)OCC=C(C)C
CCCNSC,0.29411764705882354,CCSC
[NH3+]c1cccc(C=O)c1,0.5384615384615384,Cc1cccc(C=O)c1
CCCC1=CCC=N1,0.2727272727272727,CCCc1cnccn1
CC1CNC(=O)C1,0.32142857142857145,CC1CCCC(=O)C1
