MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
75.11099999999999,-0.6741,2,2,46.25,1,0,5,0,sharma_2021
116.11599999999997,0.2961,2,1,54.370000000000005,2,0,8,0,sharma_2021
102.08899999999998,0.05009999999999998,2,1,54.370000000000005,2,0,7,0,sharma_2021
130.143,0.6861999999999999,2,1,54.370000000000005,3,0,9,0,sharma_2021
154.12099999999998,0.7959999999999998,3,3,77.76,1,1,11,1,sharma_2021
150.177,1.7038,1,1,37.3,3,1,11,1,sharma_2021
103.12100000000001,-0.19009999999999982,2,2,63.31999999999999,3,0,7,0,sharma_2021
124.13899999999997,0.8844999999999994,2,2,40.46,1,1,9,1,sharma_2021
122.12299999999996,1.2046999999999997,2,1,37.3,1,1,9,1,sharma_2021
138.12199999999999,1.0903999999999996,2,2,57.53,1,1,10,1,sharma_2021
60.05200000000001,0.09089999999999993,1,1,37.3,0,0,4,0,sharma_2021
44.053,0.2052,1,0,17.07,0,0,3,0,sharma_2021
88.106,-0.043800000000000006,2,1,37.3,1,0,6,0,sharma_2021
58.08,0.5952999999999999,1,0,17.07,0,0,4,0,sharma_2021
17.031,0.16199999999999998,1,1,35.0,0,0,1,0,sharma_2021
106.12399999999997,1.4990999999999999,1,0,17.07,1,1,8,1,sharma_2021
78.11399999999999,1.6866,0,0,0.0,0,1,6,1,sharma_2021
122.12299999999996,1.3848,1,1,37.3,1,1,9,1,sharma_2021
108.13999999999997,1.1788999999999998,1,1,20.23,1,1,8,1,sharma_2021
117.14799999999998,-1.5574999999999983,2,0,40.129999999999995,2,0,8,0,sharma_2021
72.107,0.9854,1,0,17.07,2,0,5,0,sharma_2021
90.12199999999999,-0.252,2,2,40.46,1,0,6,0,sharma_2021
74.12299999999999,0.7787999999999999,1,1,20.23,2,0,5,0,sharma_2021
88.10599999999998,0.8711,1,1,37.3,2,0,6,0,sharma_2021
102.18100000000001,0.07410000000000017,2,2,52.04,4,0,7,0,sharma_2021
46.025000000000006,-0.29919999999999997,1,1,37.3,0,0,3,0,sharma_2021
36.461000000000006,0.4218,0,0,0.0,0,0,1,0,sharma_2021
146.14499999999995,1.7929999999999997,2,0,30.21,0,2,11,2,sharma_2021
150.22099999999995,2.3023000000000002,1,1,20.23,2,1,11,1,sharma_2021
148.20499999999996,2.6225000000000014,1,0,17.07,2,1,11,1,sharma_2021
150.17699999999996,2.0438000000000005,2,1,29.46,2,1,11,1,sharma_2021
108.13999999999999,1.70062,1,1,20.23,0,1,8,1,sharma_2021
138.12199999999999,1.0903999999999998,2,2,57.53,1,1,10,1,sharma_2021
108.13999999999997,1.7006199999999996,1,1,20.23,0,1,8,1,sharma_2021
