SMILES,MaxSimilarity,NearestNeighbor
CCCCC=CS(C)=S,0.4230769230769231,CCCCC=CCO
CCCCCOC(=O)O,0.6521739130434783,CCCCCOC(C)=O
CC[NH2+]N,0.36363636363636365,CCN
CSCCC(C)O,0.45,CCCC(C)O
CCC(=O)S(C)(C)C,0.4117647058823529,CCC(=O)O
CCC[SH+]CC,0.26666666666666666,CCCCCC
CCC(C)CCC(C)N,0.55,CCC(C)CCO
C=CCOCC(C)C(=O)O,0.5357142857142857,C=CCC(C)C(=O)O
CC1=CCC(O)(C(C)C)C[NH2+]1,0.5,CC1=CCC(O)(C(C)C)CC1
COC(=S)C(C)O,0.32,COC(=O)CC(C)O
CCCCC(C)(CC)C(=O)NCC,0.42424242424242425,CCNC(=O)C(CC)(C(C)C)C(C)C
CCC(O)CC1=CC=CCC1,0.375,CC1=CC=CCC1
CC1=NC2C=CC=CC2C1,0.25,CC1=NC(C)OC1
OC1CCCCC1S,0.3888888888888889,SC1CCCC1
CCC(CC)CC,0.5384615384615384,CCC(CC)CO
CCC(O)C[NH2+]C,0.5294117647058824,CCC(O)CC
CCCCCC,1.0,CCCCCC
C=S(C)C,0.3333333333333333,CS(C)=O
CCC=CCOCS,0.41379310344827586,CCC=CCCC=CCOC(C)=O
CC(C)CC1=CC2=CC=CNC2=CN1,0.21428571428571427,Cc1nccnc1CC(C)C
C[NH2+]CC[NH2+]C(CO)C(C)=O,0.3103448275862069,CCC(O)C(C)=O
c1c[nH+]ccn1,0.4166666666666667,c1cnccn1
CSOSO,0.23076923076923078,CSC
CC(N)CCOOC(=O)CC(C)O,0.46875,CCOC(=O)CC(C)O
C=[NH+]C1=C(O)C=C(C)NN1,0.22580645161290322,Cc1ccc(O)cc1C
C[NH2+]CCCCCCCC(=O)CCCCCCS,0.4444444444444444,CCCCCCC(=O)CCCCCC
C=CCNC(=O)COC1=CC=CCN1,0.25,C=CCOC(=O)COc1ccccc1
C=CCCCN,0.45,C=CCCCCO
C=C(C)S1=CC=C(Cl)C=C1,0.25,C=C(C)C1=CC=C(C)CC1
CCCOC(=N)OCC(C)CC,0.46875,CCCC(=O)OCC(C)CC
C=C(CC)C1=[NH+]CCC1,0.2777777777777778,CCC(=O)C1=NCCC1
CNCCCCN=CCS,0.23529411764705882,CC(C)CC=NCCC(C)C
CSCCCC1CC=CO1,0.30952380952380953,CCCCCC1CC=CC(=O)O1
C=CCOC(=O)ONCCC,0.48484848484848486,C=CCOC(=O)CCC
CC1CCOC(CO)O1,0.5483870967741935,CCCCCCC1OCCC(C)O1
CCCCCOC(C)CC,0.6086956521739131,CCCCCCOC(C)OCCCCCC
C=C(CC)COC(C)=O,0.5217391304347826,CC(=O)COC(C)=O
CC([NH3+])CN,0.5384615384615384,CC(C)CN
CCN1C=NN(C)S1,0.18181818181818182,CCc1nccs1
COCCC=[NH2+],0.5238095238095238,CCC=CCCOC
CC(=O)OCC[NH2+]c1ccccc1,0.5454545454545454,CC(=O)OCCc1ccccc1
C=CC1SC=NC1C,0.2,C=Cc1scnc1C
CC(=S)SC(=O)O,0.375,CC(=O)O
CC(S)=CCOC(C)=CCCC=O,0.37142857142857144,CC(C)=CCCC(C)=CCCC=O
CCCNSC,0.3157894736842105,CCCSC
[NH3+]c1cccc(C=O)c1,0.5384615384615384,Cc1cccc(C=O)c1
CCCC1=CCC=N1,0.29411764705882354,CCCc1nc(C)cnc1C
CC1CNC(=O)C1,0.32142857142857145,CC1CCCC(=O)C1
CCCCONO,0.4,CCCCOC(C)=O
CC[n+]1cc[nH+]nc1SC,0.2777777777777778,CCc1nccnc1SC
CC=CCCC[NH2+]C=N,0.4230769230769231,CC=CCCCO
CCC(C)C(C)C(=O)O,0.5238095238095238,CCC(C)C(=O)O
CCC(C)[NH2+]C=O,0.4090909090909091,CCC(C)C=O
OCCCCc1ccc2ccccc2c1,0.5714285714285714,OCCCCc1ccccc1
CCCC(CC)SC,0.5909090909090909,CCCC(CCO)SC
CCC(O)C(C)C=O,0.5454545454545454,CCC(C)C(C)C=O
C=[N+](C)c1ccc(C)o1,0.47619047619047616,Cc1ccc(C)o1
CCOC(OOC)C(C)S,0.391304347826087,CCOC(C)OCC
CCC[SH2+],0.36363636363636365,CCCCCC
O=CNCCCC1CCCCC1,0.5,O=COCCCC1CCCCC1
C=C(NCC(C)C)C(C)=CC,0.3333333333333333,CC=C(C)C(=O)OCC(C)C
CC=CCN,0.35,CC=CCCC=O
CCCC=CCCCCC(C)=O,0.8,CCCCCCC=CCCCCC(C)=O
NO,0.2727272727272727,CC(O)CN
CNS(=O)CCc1ccccc1,0.4117647058823529,COC(=O)CCc1ccccc1
CCC(=O)CC(C)N,0.5652173913043478,CCC(=O)CC(C)CC
CCCCCC(O)C(C)=N,0.6,CCCCCC(O)C(C)=O
CNC(C)C(C)O,0.42857142857142855,CC(O)C(C)O
CCN=S,0.375,CCN=C=S
Cc1cc([SH2+])c(C)o1,0.5,Cc1cc(S)c(C)o1
CCCC=CCNC(=O)C(C)CC,0.5142857142857142,CCCC=CCOC(=O)C(C)CC
CCCC,0.5,CCCCCC
CC(C)=CCCC(C)(C)N1CO1,0.45714285714285713,CC(C)=CCCC(C)(O)C1CO1
CCC1(C)C2(C)CCC(O2)C1(C)C,0.3,CC1(C)CCC2OC23C(C)(C)C2CCC13C2
CC(C)[NH2+][O-],0.25,CC(C)O
C=C(C=CSCCC)OCC,0.34285714285714286,CCOC(=O)C=CSC
c1csc(OCCc2c[nH+]cs2)c1,0.2926829268292683,CCCCc1cccs1
CC1=CC(S)C(C)C(C(=O)S)C1,0.4857142857142857,CC(=O)C1CC(C)=CC(C)C1C
CCC=C[NH2+]O,0.4,CCC=CCO
C=C(NC)OCC(C)C,0.4230769230769231,CC(C)COC(=O)C(C)C
CCCCCn1nccn1,0.3684210526315789,CCCCCC
CCCC(=O)CSOC(=O)O,0.4583333333333333,CCCC(=O)CCC
C=S(C)(=O)O,0.45454545454545453,CS(C)(=O)=O
CCOC(=O)C(C)(S)S,0.7272727272727273,CCOC(=O)C(C)(C)S
CC[n+]1ccccc1,0.24,CSCc1ccccc1
CC(C)CC(=S)OON,0.32142857142857145,COC(=O)CC(C)C
C=COOCOCOC[NH2+]CCCCC,0.3157894736842105,C=COCCCCCCCCCC
CCOC(C=C(C)NNC=C(C)S)OCC,0.38461538461538464,CCOC(C=C(C)CCC=C(C)C)OCC
O=C(O)OC1CCCCC1,0.6086956521739131,CC(=O)OC1CCCCC1
CCSOCC=CC(=O)O,0.48148148148148145,CCC=CC(=O)O
CC(S)C(C)CS,0.5,CC(O)C(C)CS
C=C(C)c1occc1C,0.4,CC(=O)c1occc1O
CCOCC1=CNC=CS1,0.3235294117647059,CCOCc1ccccc1
Cc1cnc(C=O)o1,0.3793103448275862,Cc1ccc(C=O)o1
COC(=O)CCO,0.7058823529411765,COC(=O)CCC(=O)OC
C1CCSCC1,0.8888888888888888,C1CCSC1
C1=CC2=CNO[NH2+]C2=C1,0.15789473684210525,O=C1C=CCCCCCCCCCCCCO1
O=C1CCCOCC1,0.5,O=C1CCCC1
