SMILES,MaxSimilarity,NearestNeighbor
CCCCC(O)O,0.7647058823529411,CCCCCCCCCC(O)O
CC1C=CCC=C1,0.2222222222222222,C1=CC2C=CC1C2
CC1=CC(C(C)(C)C)=CCC1,0.2903225806451613,CC1=CC(=O)CCCCCCCCCCCC1
CC1CC1,0.4666666666666667,CC1CCC(C(C)C)CC1
CCOc1ccsc1,0.46153846153846156,CCOc1ccccc1
CCCSCS,0.4117647058823529,CCCSSCCC
C=CCNCCCCCCCC,0.48,C=CCCCCCC
CCCC(C)C,0.4375,CCCC(O)CCC
C=C(C)O,0.4166666666666667,C=C(C)C(C)=O
CCC1=CC=CC1,0.24,CCc1ccccc1
C1=CC=S2SC=CC=C2C=1,0.10526315789473684,c1ccc(C2CO2)cc1
C1COSC1,0.23529411764705882,C1CCOC1
c1csc2cccc-2c1,0.4090909090909091,Sc1cccs1
CC(C)CC(C)S,0.4117647058823529,CC(C)CC(C)O
CC1CCOC1,0.3,CC(C)=CC1CC(C)CCO1
COCC(O)S,0.35,COCCO
CCCC(C)SCS,0.30434782608695654,CCCC(O)CCC
CCCCC(C)S,0.55,CC(S)CCCN
SS,0.25,CS
CCSC1C=CCCC1,0.37142857142857144,CC(C)(CO)C1C=CCCC1
SC1CCCSC1,0.18181818181818182,C1CCC(C2CCCCC2)CC1
C1CCSCC1,0.2,C1CCC(C2CCCCC2)CC1
CCCCC(S)OC,0.4583333333333333,CCCCCC(OC)OC
CCCCc1ccccc1,0.7,CCCc1ccccc1
CC(S)CSC1CCCS1,0.21621621621621623,CC(CO)C1CCCCC1
SOSCCC1C=CCS1,0.15555555555555556,CC(C)(CO)C1C=CCCC1
CCSO,0.36363636363636365,CCO
CC(O)CC1C=CC=CC1,0.2894736842105263,CC(C)C1=CCC(CO)C=C1
CCc1coc(C)c1,0.42857142857142855,CCc1ccc(=O)oc1
C1CC1,0.3333333333333333,C1CCC(C2CCCCC2)CC1
CC1CCC(C(C)C)C1,0.6842105263157895,CC1CCC(C(C)C)CC1
CCCCC(C)OC,0.4782608695652174,CCCCCC(OC)OC
c1ccccc1,1.0,c1ccccc1
CCSCCCSS,0.38095238095238093,CCCCSCCCC
Cc1cnc2c(c1)=CCCC=2,0.3076923076923077,Cc1cnc(C)cn1
CCCCCCC(CC)Cc1ccccc1,0.71875,CCCCCC(CO)Cc1ccccc1
CC1C=CCS1,0.1935483870967742,CC1C=CC(C=O)CC1C
CCCCOC,0.75,CCCCCCOC
C=CCCCCCCCCSSC,0.48,C=CCCCCCC
SN1CCCCCC1,0.3125,CN1CCCC1
SC1=CC2C=CCC2=CC1,0.15789473684210525,CC1=CCC(C(C)C)C=C1
CCC(C)C,0.5,CCC(C)O
CCSSO,0.29411764705882354,CCCSSCCC
CCC,0.5,CCCC
CSCCS(C)(C)S,0.30434782608695654,CSCCCO
CC1C=C(S)CS1,0.19444444444444445,CC1=CC(C)C(C=O)CC1
CCCCCSCC,0.5882352941176471,CCCCSCCCC
CCCCOCC,0.7647058823529411,CCCCCCCCCCOCC
C=C=C,0.14285714285714285,S=C=S
CCCCCOC,0.9333333333333333,CCCCCCOC
CC1CCCCC1,0.5238095238095238,CC1CCCCCCCCCCC(=O)CC1
C1CCCC1,0.3333333333333333,C1CCC(C2CCCCC2)CC1
CCCc1ccccc1,1.0,CCCc1ccccc1
CCCCCCSC,0.5333333333333333,CCCCCCC
CC(C)C,0.42857142857142855,CC(C)O
CCCCSC1=C=S=C=CS1,0.2903225806451613,CCCCSCCCC
CC(C)(O)S,0.5555555555555556,CC(C)(C)O
C=CCCCCSC,0.4782608695652174,C=CCCCCCC
CCCCC,0.6666666666666666,CCCCCCC
CSSC(C)C,0.3333333333333333,CSSC
CCCC(CCC)C1=CC=CC1,0.2692307692307692,CCCC(O)CCC
CCCC(C)CC,0.5555555555555556,CCC(C)CCO
C1=CCSC1,0.15,c1ccc2c(c1)oc1ccccc12
CC1=CSCC1C,0.225,CC1=CC(O)CC(C)C2CC(=C(C)C)CC12
CC1CC(C(C)C)CS1,0.36,CC1CCC(C(C)C)CC1
C1=CC1,0.16666666666666666,C1=CC2C=CC1C2
CC(C)(C)C,0.42857142857142855,CC(C)(C)O
CCCC(C)c1ccccc1,0.64,CC(CCO)c1ccccc1
