SMILES,MaxSimilarity,NearestNeighbor
CCCCC(O)O,0.6111111111111112,CCCCC(C)O
CC1C=CCC=C1,0.22857142857142856,C/C=C/C(=O)C1C(C)C=CCC1(C)C
CC1=CC(C(C)(C)C)=CCC1,0.3235294117647059,CC(C)=C1C/C=C(\C)CC/C=C(\C)CC1
CC1CC1,0.3333333333333333,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
CCOc1ccsc1,0.28,Cc1cscc1C
CCCSCS,0.3333333333333333,CCCCSSCCC
C=CCNCCCCCCCC,0.48,C=CCCCCCC
CCCC(C)C,0.5,CCCC(C)O
C=C(C)O,0.4,CC(=O)O
CCC1=CC=CC1,0.3076923076923077,CC1=CC=CCC1
C1=CC=S2SC=CC=C2C=1,0.11627906976744186,CC(C)C1=CC=C(C=O)CC1
C1COSC1,0.1875,C1CSCCS1
c1csc2cccc-2c1,0.3157894736842105,c1ccc(-c2ccccc2)cc1
CC(C)CC(C)S,0.30434782608695654,CC(C)C[C@H](N)C(=O)O
CC1CCOC1,0.3,CC(C)=CC1CC(C)CCO1
COCC(O)S,0.2692307692307692,COC(=O)CC(C)O
CCCC(C)SCS,0.34782608695652173,CCCC(C)O
CCCCC(C)S,0.5,CCCCC(C)O
SS,0.1,c1ccc(-c2ccccc2)cc1
CCSC1C=CCCC1,0.21621621621621623,CCC(=O)OC1CCCCC1
SC1CCCSC1,0.21052631578947367,C1CSCCS1
C1CCSCC1,0.5,C1CSCCS1
CCCCC(S)OC,0.44,CCCCCCCCCC(OC)OC
CCCCc1ccccc1,0.5333333333333333,CCCCOC(C)OCCc1ccccc1
CC(S)CSC1CCCS1,0.18604651162790697,CCC(C)C1CCCCC1=O
SOSCCC1C=CCS1,0.11320754716981132,CC(=O)OCC[C@@H]1CC=C(C)C1(C)C
CCSO,0.4166666666666667,CCSSCC
CC(O)CC1C=CC=CC1,0.2894736842105263,CC(C)C1=CCC(CO)C=C1
CCc1coc(C)c1,0.2571428571428571,c1coc(Cc2coc(Cc3ccco3)c2)c1
C1CC1,0.2727272727272727,O=C1CCCCC1
CC1CCC(C(C)C)C1,0.52,CC(C)[C@H]1CC[C@H](C)[C@@H](O)C1
CCCCC(C)OC,0.4583333333333333,CCCCCCCCCC(OC)OC
c1ccccc1,1.0,c1ccccc1
CCSCCCSS,0.25,CCSSCC
Cc1cnc2c(c1)=CCCC=2,0.3076923076923077,Cc1cnc(C)cn1
CCCCCCC(CC)Cc1ccccc1,0.47058823529411764,CCCC(O)Cc1ccccc1
CC1C=CCS1,0.1794871794871795,C/C=C/C(=O)C1C(C)C=CCC1(C)C
CCCCOC,0.4090909090909091,CCCCOC(C)=O
C=CCCCCCCCCSSC,0.48,C=CCCCCCC
SN1CCCCCC1,0.15789473684210525,O=C1CCCCC1
SC1=CC2C=CCC2=CC1,0.15789473684210525,CC1=CCC(C(C)C)C=C1
CCC(C)C,0.42857142857142855,CCC(C)SSC(C)CC
CCSSO,0.5384615384615384,CCSSCC
CCC,0.42857142857142855,CCN
CSCCS(C)(C)S,0.30434782608695654,CSCCCN
CC1C=C(S)CS1,0.18421052631578946,CC1=CC2OCC(C)C2CC1
CCCCCSCC,0.4375,CCCCCCCCCC
CCCCOCC,0.4230769230769231,CCCCOCc1ccccc1
C=C=C,0.1111111111111111,C=CCN=C=S
CCCCCOC,0.4666666666666667,CCCCCCCCCC
CC1CCCCC1,0.30434782608695654,CC(=O)OC1CCCCC1
C1CCCC1,0.2727272727272727,O=C1CCCCC1
CCCc1ccccc1,0.5238095238095238,NCCc1ccccc1
CCCCCCSC,0.5333333333333333,CCCCCCCCCC
CC(C)C,0.375,C[C@H](O)[C@@H](C)O
CCCCSC1=C=S=C=CS1,0.2727272727272727,CCCCSSCCC
CC(C)(O)S,0.35714285714285715,CC(C)C(C)(O)C(C)C
C=CCCCCSC,0.4782608695652174,C=CCCCCCC
CCCCC,0.6666666666666666,CCCCCCCCCC
CSSC(C)C,0.5833333333333334,CC(C)SSC(C)C
CCCC(CCC)C1=CC=CC1,0.2692307692307692,CCCC(O)CCC
CCCC(C)CC,0.4444444444444444,CCC(C)CN
C1=CCSC1,0.25,C1CSCCS1
CC1=CSCC1C,0.21621621621621623,CC1=COC(=O)C2C(C)CCC12
CC1CC(C(C)C)CS1,0.3333333333333333,CC(C)[C@H]1CC[C@H](C)[C@@H](O)C1
C1=CC1,0.3,C1=CCCC=C1
CC(C)(C)C,0.25,CC(C)C(C)(O)C(C)C
CCCC(C)c1ccccc1,0.43333333333333335,CCCC(O)Cc1ccccc1
C=C1C=C(CS)CC1,0.2222222222222222,SCc1ccccc1
OCCCSCS,0.2857142857142857,CCCCO
CCCCSS,0.47368421052631576,CCCCSSCCC
CC(C)SS,0.4166666666666667,CC(C)SSC(C)C
CC1CCCC1,0.2916666666666667,CC1CCCC(C)(C)C1=O
CCCC,0.4444444444444444,CCCN
C1=CCC=C1,0.45454545454545453,C1=CCCC=C1
CCCCCC,0.875,CCCCCCCCCC
CCC(C)CC(C)C,0.4444444444444444,CCC(C)CN
CCCC(C)SC,0.4,CCCC(C)O
CCOC,0.3333333333333333,CCOC(C)OCC
C=C(C)C(C)C,0.3333333333333333,CC(C)C(=O)O
CS1=NC=CS1,0.15384615384615385,c1cnc2c(n1)CCCC2
C=CC,0.3333333333333333,CC=O
CCCC(C)CSC,0.38095238095238093,CCCC(C)O
C=CCOCCC1=CCCSC1,0.2127659574468085,C=CCOC(=O)Cc1ccccc1
Sc1cc2c(s1)=COSC=2,0.12903225806451613,Sc1cccc[13cH]1
C=C(C)C,0.3,CC(=O)O
CC1(S)C=CCCC1,0.21621621621621623,CC1(C)CCCC2(C)OC(=O)C=C12
CC=CCCC,0.47368421052631576,CCC/C=C/CO
C=S=S=CCCCC,0.34615384615384615,C=CCCCCCC
C=CSCC,0.3125,CCSSCC
C=CC(C)(C)S,0.2916666666666667,C=CC(C)(C)C(=O)C=C(C)C
C=S(CCC)C(S)(CCCS)SS,0.3,CCCCS
C=[SH](=C=CC)CC,0.19230769230769232,CCC(C)C=O
CSCCC=S,0.3181818181818182,CSCCCN
CC(C)CCCC(C)S,0.43478260869565216,CC(C)CCCC(C)CCO
CCCC(C)C1=CC=CSC1,0.25806451612903225,CCCC(C)O
CSO,0.375,CSSC
CCCSSSCO,0.4090909090909091,CCCCSSCCC
C=CCC,0.3888888888888889,C=CCCCCCC
CCCCCCC(C)CC(C)S,0.46153846153846156,CCCCCCC(C)O
CC1CCC(CO)C1,0.4230769230769231,CC(C)C1CCC(CO)CC1
OS,0.11764705882352941,N[C@@H](CS)C(=O)O
COS,0.25,COC(C)OC
CCC1=S(O)C=C(C)C1,0.24242424242424243,CCc1cnc(C)cn1
CCSCC(C)O,0.38095238095238093,CCCC(C)O
S=S1C=CCSO1,0.125,C1=CCCC=C1
CC1CCSC1,0.23529411764705882,C1CSCCS1
CCCC(C)C(CC)CC,0.4,CCCC(C)O
CS1=CC=C(S2=CC=CC=C2)C=C1,0.16666666666666666,CC1=CC=CCC1
CCCCC(C)C(C)CCS,0.45,CCCCS
CSNCS,0.2,CCCCS
CCCC(CCC)CCSC,0.3181818181818182,CCCC(O)CCC
CCSCO,0.3333333333333333,CCSSCC
CC1=CCC=C1,0.32142857142857145,CC1=CCC(C(C)C)C=C1
CC1SC=CSS1,0.20833333333333334,CCC1SSC(CC)S1
CCCCCCSCC,0.5,CCCCCCCCCC
CCCSCCCS,0.47368421052631576,CCCCS
CC1CCCC(C)C1,0.32,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
CSc1cccs1,0.25,CSCc1ccccc1
CC(O)CCCCCCCCS,0.5909090909090909,CCCCCCC(C)O
CCC(C)C(C)C,0.35294117647058826,CCC(C)SSC(C)CC
CCCCCc1ccccc1,0.5161290322580645,CCCCOC(C)OCCc1ccccc1
CC,0.16666666666666666,CSSC
SCCCC1=CCC=C1,0.2222222222222222,CCCCS
COCC1CSCCS1,0.21739130434782608,C1CSCCS1
CCCC=S(=S)=CSS,0.25925925925925924,CCCC=O
CCCCC(C)CCO,0.6363636363636364,CC(C)CCCC(C)CCO
OC(CS)C1C=CC=CC1,0.225,CC(C)C1=CCC(CO)C=C1
COC1C=CSC(C)C1,0.1891891891891892,CC(C)=C1CCC(C)CC1O
CC=S(C)CSC,0.2,CSCCCN
CCCSCO,0.3333333333333333,CCCCSSCCC
CCCSC=S,0.32,C=CCSSCCC
C=C(CCCO)CCCOCC,0.3076923076923077,CCCCO
CC(C)C1CCCOC1(C)C,0.25,CCC1OC(C)(CC)CCC1C(C)C
