SMILES,MaxSimilarity,NearestNeighbor
CCCCC(O)O,0.6470588235294118,CCCCC(O)CCCC
CC1C=CCC=C1,0.4444444444444444,*C1C=CCC=C1
CC1=CC(C(C)(C)C)=CCC1,0.3611111111111111,C/C1=C\CC/C(C)=C/C[C@H](C(C)(C)O)CC/C(C)=C/CC1
CC1CC1,0.875,CC1CCC(C)CC1
CCOc1ccsc1,0.46153846153846156,CCOc1ccccc1
CCCSCS,0.5294117647058824,CCSCS
C=CCNCCCCCCCC,0.5909090909090909,CCCCCCCCCCCNCCCCCCCCCCC
CCCC(C)C,0.5714285714285714,CCCC(C)CCC
C=C(C)O,0.625,C=C(C)C
CCC1=CC=CC1,0.3333333333333333,C1=CCC2=CC=CC2=C1
C1=CC=S2SC=CC=C2C=1,0.1388888888888889,O=S1c2ccccc2-c2ccccc21
C1COSC1,0.3684210526315789,C1COCCCSC1
c1csc2cccc-2c1,0.7058823529411765,c1csc(-c2cccs2)c1
CC(C)CC(C)S,0.4117647058823529,CC(C)CC(C)C(C)C
CC1CCOC1,0.35294117647058826,CC1CCC(C)CC1
COCC(O)S,0.36,COC[C@H](N)C(=O)O
CCCC(C)SCS,0.38095238095238093,CCCC(C)CCC
CCCCC(C)S,0.5,CCCCC(C)O
SS,1.0,SS
CCSC1C=CCCC1,0.3939393939393939,CC(C)CC1C=CCCC1
SC1CCCSC1,0.35294117647058826,C1CSC1
C1CCSCC1,0.8888888888888888,C1CCSC1
CCCCC(S)OC,0.4230769230769231,CCCCC(S)CCCO
CCCCc1ccccc1,1.0,CCCCc1ccccc1
CC(S)CSC1CCCS1,0.21621621621621623,CCCC(C)C1CCCC1
SOSCCC1C=CCS1,0.15789473684210525,CCOC(=O)CSCCC1NC(C(=O)O)CS1
CCSO,0.5,CCCSO
CC(O)CC1C=CC=CC1,0.3333333333333333,*C1C=CC=CC1
CCc1coc(C)c1,0.4782608695652174,Cc1coc(C)c1
C1CC1,1.0,C1CCCCC1
CC1CCC(C(C)C)C1,0.6842105263157895,CC1CCC(C(C)C)CC1
CCCCC(C)OC,0.5,COC(C)CCO
c1ccccc1,1.0,c1ccccc1
CCSCCCSS,0.47619047619047616,CCSCCS
Cc1cnc2c(c1)=CCCC=2,0.3235294117647059,Cc1cnc2ccccc2c1
CCCCCCC(CC)Cc1ccccc1,0.5294117647058824,CCCCCCCC(CC)c1ccccc1
CC1C=CCS1,0.25925925925925924,CC1SCCC1=O
CCCCOC,0.5,CCCCOP(=O)(OCCCC)OCCCC
C=CCCCCCCCCSSC,0.48,C=CCCCCCCCCCCCCCCC
SN1CCCCCC1,0.42857142857142855,C1CCN(N2CCCCC2)CC1
SC1=CC2C=CCC2=CC1,0.20512820512820512,NC1C(=O)CC=CC1C(=O)O
CCC(C)C,1.0,CCC(C)C
CCSSO,0.3333333333333333,CCSCC
CCC,1.0,CCC
CSCCS(C)(C)S,0.43478260869565216,CSCCS(=O)(=O)O
CC1C=C(S)CS1,0.23333333333333334,CC1SCCC1=O
CCCCCSCC,0.5,CCCCCSCC(=O)O
CCCCOCC,0.5789473684210527,CCOCCCO
C=C=C,1.0,C=C=C
CCCCCOC,0.5,CCCCCC
CC1CCCCC1,1.0,CC1CCCCC1
C1CCCC1,1.0,C1CCCCC1
CCCc1ccccc1,1.0,CCCc1ccccc1
CCCCCCSC,0.55,CSCCCCCCCCN
CC(C)C,1.0,CC(C)C
CCCCSC1=C=S=C=CS1,0.25,CCCCSP(=O)(SCCCC)SCCCC
CC(C)(O)S,0.5555555555555556,CC(C)(C)O
C=CCCCCSC,0.56,CSCCCCC=NO
CCCCC,1.0,CCCCC
CSSC(C)C,0.3333333333333333,CSSC
CCCC(CCC)C1=CC=CC1,0.2903225806451613,C1=CCC2=CC=CC2=C1
CCCC(C)CC,1.0,CCCC(C)CC
C1=CCSC1,0.2727272727272727,C1CS1
CC1=CSCC1C,0.22857142857142856,Cc1cncc2c1CC[C@@H]2C
CC1CC(C(C)C)CS1,0.36,CC1CCC(C(C)C)CC1
C1=CC1,1.0,C1=CC1
CC(C)(C)C,1.0,CC(C)(C)C
CCCC(C)c1ccccc1,0.6521739130434783,CCC(C)c1ccccc1
C=C1C=C(CS)CC1,0.2702702702702703,C=C1C=C2[C@@H](CC1)[C@H](C)CC[C@@H]2C(C)C
OCCCSCS,0.5789473684210527,OCCCSCCO
CCCCSS,0.4090909090909091,CCCCSP(=O)(SCCCC)SCCCC
CC(C)SS,0.36363636363636365,CC(C)S
CC1CCCC1,1.0,CC1CCCC1
CCCC,1.0,CCCC
C1=CCC=C1,1.0,C1=CCC=C1
CCCCCC,1.0,CCCCCC
CCC(C)CC(C)C,1.0,CCC(C)CC(C)C
CCCC(C)SC,0.4444444444444444,CCCC(C)CCC
CCOC,1.0,CCOC
C=C(C)C(C)C,0.45454545454545453,C=C(C)C
CS1=NC=CS1,0.16666666666666666,C1=CS1
C=CC,1.0,C=CC
CCCC(C)CSC,0.5882352941176471,CCCC(C)CCC
C=CCOCCC1=CCCSC1,0.2222222222222222,C=C(CCC=C(C)C)C1CCC=C(CCC=C(C)C)C1
Sc1cc2c(s1)=COSC=2,0.18421052631578946,Sc1nc2ccccc2s1
C=C(C)C,1.0,C=C(C)C
CC1(S)C=CCCC1,0.2962962962962963,CC1(C)CCC=N1
CC=CCCC,0.6428571428571429,CC=CCCC=CC
C=S=S=CCCCC,0.43478260869565216,C=CCCCC
C=CSCC,0.375,C=CCC
C=CC(C)(C)S,0.4666666666666667,C=CC(C)(C)O
C=S(CCC)C(S)(CCCS)SS,0.28125,CCCCCCCCS
C=[SH](=C=CC)CC,0.3,C=C=CC
CSCCC=S,0.5,CSCCC=O
CC(C)CCCC(C)S,0.5555555555555556,CC(C)CCCC(C)CCCC(C)CCCC(C)C
CCCC(C)C1=CC=CSC1,0.27586206896551724,CCCC(C)CCC
CSO,1.0,CSO
CCCSSSCO,0.5,CCCSSCCC
C=CCC,1.0,C=CCC
CCCCCCC(C)CC(C)S,0.6666666666666666,CCCCCCC(C)CC(C)CCC
CC1CCC(CO)C1,0.7,CC1CCC(CO)CC1
OS,1.0,OS
COS,0.42857142857142855,COC
CCC1=S(O)C=C(C)C1,0.24242424242424243,CCc1cnc(C)cn1
CCSCC(C)O,0.4444444444444444,C[C@H](O)CSCCS(=O)(=O)O
S=S1C=CCSO1,0.17391304347826086,C1=COC1
CC1CCSC1,0.35294117647058826,CC1CCC(C)CC1
CCCC(C)C(CC)CC,0.47368421052631576,CCCC(C)CC
CS1=CC=C(S2=CC=CC=C2)C=C1,0.1935483870967742,C1=CC=C2C=CC=CC=C2C=C1
CCCCC(C)C(C)CCS,0.4583333333333333,CCCC(C)C(C)CCCC(C)C
CSNCS,0.3125,SCNCS
CCCC(CCC)CCSC,0.35714285714285715,CSCC[C@H](N)C(=O)O
CCSCO,0.5384615384615384,CCSCC
CC1=CCC=C1,0.36,C1=CC2=CCC=CC2=C1
CC1SC=CSS1,0.16666666666666666,C1=CS1
CCCCCCSCC,0.5,CCCCCCCCCCCCCCCCC
CCCSCCCS,0.42857142857142855,CCCCCCCCS
CC1CCCC(C)C1,0.5714285714285714,CC1CCCC1
CSc1cccs1,0.43478260869565216,Cc1cccs1
CC(O)CCCCCCCCS,0.5909090909090909,CCCCCCC(C)O
CCC(C)C(C)C,1.0,CCC(C)C(C)C
CCCCCc1ccccc1,0.85,CCCCc1ccccc1
CC,1.0,CC
SCCCC1=CCC=C1,0.28125,C1=CC2=CCC=CC2=C1
COCC1CSCCS1,0.2647058823529412,COC[C@@H]1CCCN1
CCCC=S(=S)=CSS,0.25925925925925924,CCCC=O
CCCCC(C)CCO,0.6363636363636364,CC(C)CCCC(C)CCCC(C)CCO
OC(CS)C1C=CC=CC1,0.3333333333333333,*C1C=CC=CC1
COC1C=CSC(C)C1,0.2222222222222222,CO[C@@H]1O[C@H](C)[C@@H](O)C[C@@H]1O
CC=S(C)CSC,0.2631578947368421,CCSC
CCCSCO,0.4444444444444444,CCCSO
CCCSC=S,0.3888888888888889,CCCSSCCC
C=C(CCCO)CCCOCC,0.625,CCOCCCO
CC(C)C1CCCOC1(C)C,0.3333333333333333,CC(C)C1OCCO1
CCCCSCSCCCC(C)C,0.5,CCCCCCCCCCCC(C)C
CCCCCCCSS,0.5,CCCCCCCCCCCCCCCCC
CCCCOC1CCCC1,0.37037037037037035,CCCCOCCO
C=S1CCCCC1,0.2727272727272727,C1CCCCC1
CC1CCCC1S(C)=O,0.2727272727272727,CC1CCCC1
CC1CS1,0.3076923076923077,CC1CCC(C)CC1
