SMILES,MaxSimilarity,NearestNeighbor
CCCCC(O)O,0.6111111111111112,CCCCC(C)O
CC1C=CCC=C1,0.23529411764705882,CC1CCC(C)CC1
CC1=CC(C(C)(C)C)=CCC1,0.3548387096774194,C/C1=C/C=C\CC/C(C)=C\CC1
CC1CC1,0.875,CC1CCC(C)CC1
CCOc1ccsc1,0.42857142857142855,CCOc1ccc(O)cc1
CCCSCS,0.6,CCCSCCC
C=CCNCCCCCCCC,0.48,C=CCCCCCC
CCCC(C)C,0.5294117647058824,CCCCCCCCCCCCC(C)C
C=C(C)O,0.4,CC(=O)O
CCC1=CC=CC1,0.3076923076923077,CC1=CC=CCC1
C1=CC=S2SC=CC=C2C=1,0.13953488372093023,NN1C(=O)c2ccccc2S1=O
C1COSC1,0.23529411764705882,C1CCSC1
c1csc2cccc-2c1,0.4090909090909091,Cc1cccs1
CC(C)CC(C)S,0.4666666666666667,CC(S)CS
CC1CCOC1,0.35294117647058826,CC1CCC(C)CC1
COCC(O)S,0.375,CCCOCC(C)O
CCCC(C)SCS,0.4090909090909091,CCCC(C)S
CCCCC(C)S,0.8235294117647058,CCCCCC(C)S
SS,0.25,CS
CCSC1C=CCCC1,0.23333333333333334,CCC1CCCCC1
SC1CCCSC1,0.42105263157894735,SC1CCCC1
C1CCSCC1,0.8888888888888888,C1CCSC1
CCCCC(S)OC,0.5,CCCC[C@H](S)CCOC
CCCCc1ccccc1,0.8095238095238095,CCCCCCCCCCCCc1ccccc1
CC(S)CSC1CCCS1,0.2413793103448276,CC(S)CS
SOSCCC1C=CCS1,0.13636363636363635,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1OS
CCSO,0.4166666666666667,CCSSCC
CC(O)CC1C=CC=CC1,0.27586206896551724,CCCC(C)O
CCc1coc(C)c1,0.32,CCc1ccccc1
C1CC1,0.3333333333333333,C1CCNCC1
CC1CCC(C(C)C)C1,0.6842105263157895,CC1CCC(C(C)C)CC1
CCCCC(C)OC,0.52,CCC[C@@H](CCC(C)OC)C(C)C
c1ccccc1,0.3333333333333333,c1ccncc1
CCSCCCSS,0.3888888888888889,CCSCC
Cc1cnc2c(c1)=CCCC=2,0.3076923076923077,Cc1cnc(C)cn1
CCCCCCC(CC)Cc1ccccc1,0.5161290322580645,CCCCCCCCCCCCc1ccccc1
CC1C=CCS1,0.2857142857142857,CC1SCCS1
CCCCOC,0.75,CCCCCCOC
C=CCCCCCCCCSSC,0.48,C=CCCCCCC
SN1CCCCCC1,0.2222222222222222,C1CCc2nnnn2CC1
SC1=CC2C=CCC2=CC1,0.16216216216216217,C/C1=C/C=C\CC/C(C)=C\CC1
CCC(C)C,0.5,CCC(C)O
CCSSO,0.5384615384615384,CCSSCC
CCC,0.42857142857142855,CCO
CSCCS(C)(C)S,0.4117647058823529,CSCCSC
CC1C=C(S)CS1,0.25,CC1SCCS1
CCCCCSCC,0.5882352941176471,CCCCSCCCC
CCCCOCC,0.5789473684210527,CCOCCCO
C=C=C,1.0,C=C=C
CCCCCOC,0.9333333333333333,CCCCCCOC
CC1CCCCC1,1.0,CC1CCCCC1
C1CCCC1,0.3333333333333333,C1CCNCC1
CCCc1ccccc1,1.0,CCCc1ccccc1
CCCCCCSC,0.55,CCCCCSSC
CC(C)C,0.42857142857142855,CC(C)O
CCCCSC1=C=S=C=CS1,0.2903225806451613,CCCCSCCCC
CC(C)(O)S,0.5555555555555556,CC(C)(C)O
C=CCCCCSC,0.4782608695652174,C=CCCCCCC
CCCCC,1.0,CCCCC
CSSC(C)C,0.5833333333333334,CC(C)SSC(C)C
CCCC(CCC)C1=CC=CC1,0.26666666666666666,CCCC(CCC)C(N)=O
CCCC(C)CC,0.5789473684210527,CCCCCCCCCCCCC(C)CC
C1=CCSC1,0.25,C1CSCCS1
CC1=CSCC1C,0.26666666666666666,CC1=C(O)C(=O)CC1C
CC1CC(C(C)C)CS1,0.36,CC1CCC(C(C)C)CC1
C1=CC1,0.16666666666666666,O=C1C=CCO1
CC(C)(C)C,0.42857142857142855,CC(C)(C)O
CCCC(C)c1ccccc1,0.56,CC(CO)c1ccccc1
C=C1C=C(CS)CC1,0.2413793103448276,C=C1C=CCCC1
OCCCSCS,0.42857142857142855,CSCCCO
CCCCSS,0.5294117647058824,CCCCSCCCC
CC(C)SS,0.4166666666666667,CC(C)SC(C)C
CC1CCCC1,0.9090909090909091,CC1CCCCC1
CCCC,0.5,CCCCC
C1=CCC=C1,0.19047619047619047,CC1=CC=CCC1
CCCCCC,1.0,CCCCCC
CCC(C)CC(C)C,0.4444444444444444,CCC(C)CN
CCCC(C)SC,0.4166666666666667,CCCC(CCO)SC
CCOC,0.35294117647058826,CCCCCCOC
C=C(C)C(C)C,0.42857142857142855,CC(=O)C(C)C
CS1=NC=CS1,0.17391304347826086,Cc1ccc(C)s1
C=CC,0.375,C=CC=C
CCCC(C)CSC,0.45454545454545453,CCCC(C)CCO
C=CCOCCC1=CCCSC1,0.2222222222222222,C=CCOC(=O)c1ccccc1
Sc1cc2c(s1)=COSC=2,0.18181818181818182,Sc1cccs1
C=C(C)C,0.35714285714285715,C=C(C)CCO
CC1(S)C=CCCC1,0.23809523809523808,C/C1=C\CCC2(C)O[C@@H]2CC(C)(C)/C=C/C1
CC=CCCC,0.47368421052631576,C/C=C/CCC=O
C=S=S=CCCCC,0.375,CCCCC=O
C=CSCC,0.3125,CCSSCC
C=CC(C)(C)S,0.4666666666666667,C=CC(C)(C)O
C=S(CCC)C(S)(CCCS)SS,0.3,CCCCS
C=[SH](=C=CC)CC,0.22727272727272727,CCCN(CCC)CCC
CSCCC=S,0.5,CSCCC=O
CC(C)CCCC(C)S,0.5555555555555556,CC(C)CCCC(C)CCCC(C)CCCC(C)C
CCCC(C)C1=CC=CSC1,0.25806451612903225,CCCC(C)O
CSO,0.42857142857142855,CSC
CCCSSSCO,0.7058823529411765,CCCSSSCCC
C=CCC,0.3888888888888889,C=CCCCCCC
CCCCCCC(C)CC(C)S,0.6086956521739131,CCCCCC(C)S
CC1CCC(CO)C1,0.4,CC1CCC(O)C(C)C1
OS,0.375,CC(=O)S
COS,0.2857142857142857,CS
CCC1=S(O)C=C(C)C1,0.24242424242424243,CCc1cnc(C)cn1
CCSCC(C)O,0.4444444444444444,CCC(C)O
S=S1C=CCSO1,0.12903225806451613,O=C1C=CCO1
CC1CCSC1,0.35294117647058826,CC1CCC(C)CC1
CCCC(C)C(CC)CC,0.5,CCCC(C)C(C)O
CS1=CC=C(S2=CC=CC=C2)C=C1,0.16666666666666666,CC1=CC=CCC1
CCCCC(C)C(C)CCS,0.45,CCCCS
CSNCS,0.375,CSCS
CCCC(CCC)CCSC,0.47368421052631576,CCCSC
CCSCO,0.5384615384615384,CCSCC
CC1=CCC=C1,0.55,CC1=CCCC=C1
CC1SC=CSS1,0.3,CC1SSC(C)S1
CCCCCCSCC,0.5555555555555556,CCCCSCCCC
CCCSCCCS,0.5882352941176471,CCCSCCC
CC1CCCC(C)C1,0.5333333333333333,CC1CCCCC1
CSc1cccs1,0.6190476190476191,c1csc(SSc2cccs2)c1
CC(O)CCCCCCCCS,0.5909090909090909,CCCCCCCC(C)O
CCC(C)C(C)C,0.4444444444444444,CCC(C)C(O)S
CCCCCc1ccccc1,0.95,CCCCCCCCCCCCc1ccccc1
CC,0.25,CS
SCCCC1=CCC=C1,0.2608695652173913,SCCCS
COCC1CSCCS1,0.2692307692307692,CC1SCCS1
CCCC=S(=S)=CSS,0.25925925925925924,CCCC=O
CCCCC(C)CCO,0.7,CCCC(C)CCO
OC(CS)C1C=CC=CC1,0.21052631578947367,CC1=CCC(C(C)C)C=C1
COC1C=CSC(C)C1,0.2222222222222222,CO[C@H]1O[C@H](C)[C@@H](O)C[C@H]1O
CC=S(C)CSC,0.2916666666666667,CC=C(C)CSC
CCCSCO,0.6,CCCSCCC
CCCSC=S,0.3888888888888889,CCCSCCC
C=C(CCCO)CCCOCC,0.625,CCOCCCO
CC(C)C1CCCOC1(C)C,0.2727272727272727,CC1CCC(C(C)C)C2(C1)OCC(CO)O2
CCCCSCSCCCC(C)C,0.5,CCCCSCCCC
CCCCCCCSS,0.5,CCCCCCCC
CCCCOC1CCCC1,0.375,CCCC(=O)OC1CCCCC1
C=S1CCCCC1,0.19047619047619047,O=C(C1CCCCC1)C1CCCCC1
CC1CCCC1S(C)=O,0.2916666666666667,CC1CCCC(C)N1
CC1CS1,0.42857142857142855,CC1SCCS1
