MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
134.268,1.0645,1,2,27.64,4,0,8,0,fragrancedb
97.09299999999999,0.6616199999999999,2,0,36.2,0,1,7,1,fragrancedb
182.263,2.8301000000000016,2,0,29.6,8,0,13,1,fragrancedb
140.182,1.6598,2,0,29.6,5,0,10,1,fragrancedb
250.362,1.8718999999999995,2,1,42.91,8,1,18,1,fragrancedb
148.209,2.1562,2,0,25.78,3,1,11,1,fragrancedb
232.41099999999994,5.505400000000005,0,0,0.0,1,0,17,2,fragrancedb
147.199,-0.5553000000000001,4,1,60.160000000000004,4,0,9,0,fragrancedb
121.15899999999995,1.7100000000000002,1,0,9.23,3,1,9,1,fragrancedb
129.22899999999998,1.9623199999999998,2,0,0.0,0,1,7,1,fragrancedb
141.171,1.30632,3,0,30.21,1,1,9,1,fragrancedb
148.227,1.2579,3,1,26.3,5,0,9,0,fragrancedb
386.62000000000023,7.326100000000009,2,0,18.46,1,0,28,2,fragrancedb
168.236,2.4400000000000004,2,0,29.6,7,0,12,1,fragrancedb
144.17,0.7268999999999999,3,0,35.53,2,0,10,1,fragrancedb
114.124,0.9242,3,0,52.489999999999995,2,0,8,0,fragrancedb
326.52100000000013,5.103500000000005,3,1,46.53,13,0,23,1,fragrancedb
126.17899999999999,-0.8631999999999991,1,1,31.04,2,0,9,1,fragrancedb
195.28199999999995,2.2092,2,0,40.129999999999995,8,0,14,0,fragrancedb
113.09199999999998,0.3727199999999999,3,1,50.44,0,1,8,1,fragrancedb
154.20899999999997,2.0499,2,0,29.6,6,0,11,1,fragrancedb
141.146,0.93512,3,1,50.440000000000005,1,1,10,1,fragrancedb
163.156,0.7021999999999999,3,1,78.51,2,1,12,1,fragrancedb
175.11599999999999,-1.2044000000000004,6,4,111.13,2,1,12,1,fragrancedb
169.15599999999998,0.90084,4,0,56.51,1,1,12,1,fragrancedb
127.18799999999997,1.80224,2,0,13.14,0,1,8,1,fragrancedb
124.13899999999997,0.8844999999999994,2,2,40.46,1,1,9,1,fragrancedb
59.044000000000004,-1.2438,2,0,40.129999999999995,0,0,4,0,fragrancedb
44.053,0.2052,1,0,17.07,0,0,3,0,fragrancedb
59.068,-0.5084,1,1,43.09,0,0,4,0,fragrancedb
88.106,-0.043800000000000006,2,1,37.3,1,0,6,0,fragrancedb
58.08,0.5952999999999999,1,0,17.07,0,0,4,0,fragrancedb
106.12399999999997,1.4990999999999999,1,0,17.07,1,1,8,1,fragrancedb
78.11399999999999,1.6866,0,0,0.0,0,1,6,1,fragrancedb
121.11499999999997,0.05009999999999992,2,0,40.129999999999995,1,1,9,1,fragrancedb
108.13999999999997,1.1788999999999998,1,1,20.23,1,1,8,1,fragrancedb
72.107,0.9854,1,0,17.07,2,0,5,0,fragrancedb
90.12199999999999,-0.252,2,2,40.46,1,0,6,0,fragrancedb
74.12299999999999,0.7787999999999999,1,1,20.23,2,0,5,0,fragrancedb
45.017,-1.6339000000000001,2,0,40.129999999999995,0,0,3,0,fragrancedb
110.11199999999997,1.0977999999999994,2,2,40.46,0,1,8,1,fragrancedb
132.16199999999995,1.8987,1,0,17.07,2,1,10,1,fragrancedb
134.17799999999997,1.6921000000000002,1,1,20.23,2,1,10,1,fragrancedb
146.14499999999995,1.7929999999999997,2,0,30.21,0,2,11,2,fragrancedb
150.22099999999995,2.3023000000000002,1,1,20.23,2,1,11,1,fragrancedb
148.20499999999996,2.6225000000000014,1,0,17.07,2,1,11,1,fragrancedb
150.17699999999996,2.0438000000000005,2,1,29.46,2,1,11,1,fragrancedb
108.13999999999999,1.70062,1,1,20.23,0,1,8,1,fragrancedb
108.13999999999997,1.7006199999999996,1,1,20.23,0,1,8,1,fragrancedb
114.232,3.3668000000000022,0,0,0.0,5,0,8,0,fragrancedb
182.172,-3.585399999999998,6,6,121.38000000000001,5,0,12,0,fragrancedb
128.215,2.5458000000000007,1,0,17.07,6,0,9,0,fragrancedb
124.13899999999997,1.4008,2,1,29.46,1,1,9,1,fragrancedb
58.08,0.5952999999999999,1,0,17.07,1,0,4,0,fragrancedb
86.08999999999999,0.1644,2,0,34.14,1,0,6,0,fragrancedb
148.16099999999997,1.5381999999999998,2,0,26.3,0,1,11,2,fragrancedb
78.13600000000001,-0.005299999999999971,1,0,17.07,0,0,4,0,fragrancedb
46.069,-0.0014000000000000123,1,1,20.23,0,0,3,0,fragrancedb
30.026,-0.1849,1,0,17.07,0,0,2,0,fragrancedb
92.09399999999998,-1.6681000000000001,3,3,60.69,2,0,6,0,fragrancedb
68.079,0.40969999999999995,1,1,28.68,0,1,5,1,fragrancedb
117.15099999999997,2.1678999999999995,0,1,15.79,0,2,9,2,fragrancedb
48.11000000000001,0.546,1,1,0.0,0,0,2,0,fragrancedb
72.063,-0.2257,2,0,34.14,1,0,5,0,fragrancedb
32.042,-0.3915,1,1,20.23,0,0,2,0,fragrancedb
128.17399999999995,2.839800000000001,0,0,0.0,0,2,10,2,fragrancedb
130.23100000000002,2.3392000000000013,1,1,20.23,6,0,9,0,fragrancedb
240.43099999999993,5.666600000000005,1,0,17.07,14,0,17,0,fragrancedb
130.14299999999997,-0.06970000000000015,3,1,46.53,0,0,9,1,fragrancedb
150.13,-2.5823,5,4,90.15,1,0,10,1,fragrancedb
94.11299999999997,1.3921999999999997,1,1,20.23,0,1,7,1,fragrancedb
120.15099999999997,1.428,1,0,17.07,2,1,9,1,fragrancedb
76.095,-0.6405,2,2,40.46,1,0,5,0,fragrancedb
60.096,0.3887,1,1,20.23,1,0,4,0,fragrancedb
68.079,0.40969999999999995,1,1,28.68,0,1,5,1,fragrancedb
79.10199999999998,1.0816,1,0,12.89,0,1,6,1,fragrancedb
62.137,0.9792,1,0,0.0,0,0,3,0,fragrancedb
88.175,1.5133999999999999,1,0,0.0,0,0,5,1,fragrancedb
143.211,0.9863199999999999,3,1,33.120000000000005,2,1,9,1,fragrancedb
92.14099999999999,1.99502,0,0,0.0,0,1,7,1,fragrancedb
152.14899999999997,1.2133,3,1,46.53,2,1,11,1,fragrancedb
182.307,3.1178000000000017,1,1,20.23,0,0,13,2,fragrancedb
156.26899999999998,2.4395000000000007,1,1,20.23,1,0,11,1,fragrancedb
166.17599999999996,1.6033999999999997,3,1,46.53,2,1,12,1,fragrancedb
212.248,3.0436000000000014,2,0,26.3,3,2,16,2,fragrancedb
152.237,2.401700000000001,1,0,17.07,0,0,11,2,fragrancedb
242.44699999999992,5.460000000000006,1,1,20.23,14,0,17,0,fragrancedb
154.25300000000001,2.7441000000000013,1,0,9.23,0,0,11,3,fragrancedb
108.13999999999999,1.7006199999999996,1,1,20.23,0,1,8,1,fragrancedb
278.348,3.600400000000003,4,0,52.60000000000001,8,1,20,1,fragrancedb
182.222,2.917600000000001,1,0,17.07,2,2,14,2,fragrancedb
164.20399999999998,2.1293,2,1,29.46,3,1,12,1,fragrancedb
222.37199999999999,4.3979000000000035,1,1,20.23,7,0,16,0,fragrancedb
204.35699999999994,5.0354000000000045,0,0,0.0,1,0,15,1,fragrancedb
100.11699999999999,0.5545,2,0,34.14,4,0,7,0,fragrancedb
60.096000000000004,0.38710000000000006,1,1,20.23,0,0,4,0,fragrancedb
152.14899999999997,1.1787999999999998,3,1,46.53,1,1,11,1,fragrancedb
192.21399999999994,2.1524,3,0,27.69,3,1,14,2,fragrancedb
191.274,2.4770200000000004,1,0,20.310000000000002,3,1,14,1,fragrancedb
612.5810000000007,-1.342,15,9,245.28999999999996,10,2,43,4,fragrancedb
154.253,2.671400000000001,1,1,20.23,4,0,11,0,fragrancedb
147.004,2.9934000000000003,0,0,0.0,0,1,8,1,fragrancedb
285.3430000000001,2.997200000000001,3,0,38.77,3,1,21,3,fragrancedb
178.27499999999998,3.6390000000000033,1,1,20.23,2,1,13,1,fragrancedb
212.201,1.3702,5,3,86.99000000000001,3,1,15,1,fragrancedb
110.11199999999997,1.0977999999999994,2,2,40.46,0,1,8,1,fragrancedb
162.18799999999993,2.1437999999999997,2,0,18.46,2,1,12,2,fragrancedb
99.15799999999999,1.2752,2,0,12.36,2,0,6,0,fragrancedb
302.367,2.3849,6,0,78.9,11,0,21,0,fragrancedb
122.16699999999997,1.2213999999999998,1,1,20.23,2,1,9,1,fragrancedb
100.16099999999999,1.7656,1,0,17.07,4,0,7,0,fragrancedb
94.135,-0.33919999999999995,2,0,34.14,0,0,5,0,fragrancedb
73.095,-0.2956000000000001,1,0,20.310000000000002,1,0,5,0,fragrancedb
88.14999999999999,1.1689,1,1,20.23,3,0,6,0,fragrancedb
76.14500000000001,1.0181,2,0,0.0,0,0,3,0,fragrancedb
196.29,2.7643000000000013,2,0,26.3,1,0,14,2,fragrancedb
102.17699999999998,1.5574,1,1,20.23,2,0,7,0,fragrancedb
206.24099999999999,1.8637,3,0,38.83,3,1,15,2,fragrancedb
402.4840000000002,3.0984000000000016,8,0,105.20000000000002,15,0,28,0,fragrancedb
276.28499999999997,0.1870000000000001,7,1,99.13000000000002,8,0,19,0,fragrancedb
138.21,2.3218000000000005,1,0,17.07,0,0,10,1,fragrancedb
158.285,2.9737000000000022,1,1,20.23,5,0,11,0,fragrancedb
154.25300000000001,2.6698000000000013,1,1,20.23,4,0,11,0,fragrancedb
72.151,2.0524,0,0,0.0,1,0,5,0,fragrancedb
68.11900000000001,1.7485,0,0,0.0,1,0,5,0,fragrancedb
74.12299999999999,0.6347,1,1,20.23,1,0,5,0,fragrancedb
72.107,0.8412999999999999,1,0,17.07,1,0,5,0,fragrancedb
70.09100000000001,0.7614000000000001,1,0,17.07,1,0,5,0,fragrancedb
74.12299999999999,0.7771999999999999,1,1,20.23,1,0,5,0,fragrancedb
72.107,0.9854,1,0,17.07,1,0,5,0,fragrancedb
70.09100000000001,0.7614,1,0,17.07,1,0,5,0,fragrancedb
74.07900000000001,0.17930000000000001,2,0,26.3,0,0,5,0,fragrancedb
232.36699999999993,4.460400000000004,1,0,17.07,5,0,17,1,fragrancedb
136.238,2.9987000000000013,0,0,0.0,0,0,10,2,fragrancedb
136.238,2.9987000000000013,0,0,0.0,0,0,10,3,fragrancedb
100.11699999999999,0.7355,2,0,26.3,1,0,7,0,fragrancedb
112.12799999999999,1.1813,2,1,37.3,0,0,8,1,fragrancedb
294.307,3.6199400000000033,5,0,103.35,3,1,21,1,fragrancedb
131.17799999999997,2.4763200000000003,0,1,15.79,0,2,10,2,fragrancedb
268.269,3.1175200000000025,5,0,95.51,3,1,19,1,fragrancedb
222.23999999999995,2.04,4,0,52.60000000000001,4,1,16,1,fragrancedb
165.19199999999998,1.5149,3,1,38.33,2,1,12,1,fragrancedb
196.20199999999997,1.5248999999999997,4,0,44.760000000000005,4,1,14,1,fragrancedb
194.23,2.2050000000000005,3,1,46.53,3,1,14,1,fragrancedb
208.257,2.5951000000000017,3,1,46.53,4,1,15,1,fragrancedb
165.19199999999998,1.4455,3,1,52.32,2,1,12,1,fragrancedb
126.17999999999998,1.9507,2,0,17.07,1,1,8,1,fragrancedb
258.4049999999999,4.800600000000005,1,0,17.07,2,1,19,2,fragrancedb
136.19399999999996,2.5156000000000014,1,1,20.23,1,1,10,1,fragrancedb
204.35699999999997,4.869300000000004,0,0,0.0,0,0,15,2,fragrancedb
148.20499999999998,2.5060400000000005,1,0,17.07,1,1,11,1,fragrancedb
154.253,2.6477000000000013,1,0,17.07,1,0,11,1,fragrancedb
152.237,2.567800000000001,1,0,17.07,1,0,11,1,fragrancedb
152.23699999999997,2.711900000000001,1,0,17.07,0,0,11,1,fragrancedb
150.22099999999998,2.8240200000000013,1,1,20.23,1,1,11,1,fragrancedb
122.16699999999996,1.9545999999999997,1,1,20.23,1,1,9,1,fragrancedb
122.12299999999996,1.2046999999999997,2,1,37.3,1,1,9,1,fragrancedb
267.539,3.6610000000000023,2,0,26.3,2,1,15,1,fragrancedb
170.21099999999996,3.059200000000001,1,1,20.23,1,2,13,2,fragrancedb
154.16499999999996,1.4093999999999995,3,1,38.69,2,1,11,1,fragrancedb
138.16599999999997,1.7038,2,0,18.46,2,1,10,1,fragrancedb
153.13699999999997,1.6033999999999997,3,0,52.370000000000005,2,1,11,1,fragrancedb
160.172,2.1014199999999996,2,0,30.21,0,2,12,2,fragrancedb
158.2,2.8484000000000007,1,0,9.23,1,2,12,2,fragrancedb
170.21099999999998,3.0424000000000015,1,0,17.07,1,2,13,2,fragrancedb
178.23099999999997,2.4323000000000006,2,0,18.46,4,1,13,1,fragrancedb
178.23099999999997,2.736900000000001,2,0,18.46,3,1,13,1,fragrancedb
172.22699999999998,3.238500000000002,1,0,9.23,2,2,13,2,fragrancedb
206.24099999999996,2.349,3,0,35.53,4,1,15,1,fragrancedb
206.24099999999996,2.653600000000001,3,0,35.53,3,1,15,1,fragrancedb
138.16599999999997,1.7092199999999997,2,1,29.46,1,1,10,1,fragrancedb
134.17799999999997,1.9889999999999999,1,0,17.07,2,1,10,1,fragrancedb
136.19399999999996,2.1300000000000003,1,1,20.23,2,1,10,1,fragrancedb
134.17799999999997,2.2793,1,0,17.07,2,1,10,1,fragrancedb
136.14999999999998,1.4732,2,0,26.3,1,1,10,1,fragrancedb
137.138,0.8681999999999999,3,0,39.19,1,1,10,1,fragrancedb
150.177,1.8633,2,0,26.3,2,1,11,1,fragrancedb
192.21400000000003,1.8225,3,0,43.370000000000005,4,1,14,1,fragrancedb
194.23,2.3491000000000004,3,1,46.53,4,1,14,1,fragrancedb
192.258,2.8895000000000017,2,0,26.3,4,1,14,1,fragrancedb
226.275,3.086100000000002,2,0,26.3,4,2,17,2,fragrancedb
135.19099999999997,2.2963000000000005,2,0,12.89,0,2,9,2,fragrancedb
106.16799999999999,2.30344,0,0,0.0,0,1,8,1,fragrancedb
120.19499999999998,2.611860000000001,0,0,0.0,0,1,9,1,fragrancedb
122.16699999999997,2.0090399999999997,1,1,20.23,0,1,9,1,fragrancedb
122.16699999999997,2.00904,1,1,20.23,0,1,9,1,fragrancedb
134.22199999999998,2.920280000000001,0,0,0.0,0,1,10,1,fragrancedb
86.178,2.442500000000001,0,0,0.0,2,0,6,0,fragrancedb
86.13399999999999,1.2314,1,0,17.07,2,0,6,0,fragrancedb
86.134,1.3755,1,0,17.07,2,0,6,0,fragrancedb
84.162,2.1965000000000003,0,0,0.0,0,0,6,1,fragrancedb
86.09,0.3234,2,0,26.3,0,0,6,1,fragrancedb
196.28999999999996,2.7879000000000014,2,0,26.3,3,0,14,1,fragrancedb
194.27399999999997,2.850500000000001,2,0,26.3,2,0,14,1,fragrancedb
208.30099999999996,3.2406000000000024,2,0,26.3,3,0,15,1,fragrancedb
164.20399999999998,2.4339000000000013,2,1,29.46,2,1,12,1,fragrancedb
116.15999999999998,1.2055,2,0,26.3,2,0,8,0,fragrancedb
114.14399999999999,1.1256000000000002,2,0,26.3,2,0,8,0,fragrancedb
118.13199999999998,-0.06970000000000004,3,1,46.53,2,0,8,0,fragrancedb
144.21399999999997,1.8416000000000001,2,0,26.3,3,0,10,0,fragrancedb
144.21399999999997,1.9857,2,0,26.3,4,0,10,0,fragrancedb
100.16099999999999,1.6215,1,0,17.07,3,0,7,0,fragrancedb
102.133,0.1577,2,1,29.46,1,0,7,1,fragrancedb
