SMILES,MaxSimilarity,NearestNeighbor
CCCCC(O)O,0.6111111111111112,CCCCC(C)O
CC1C=CCC=C1,0.4,CC1C=CCC1
CC1=CC(C(C)(C)C)=CCC1,0.3235294117647059,CC1=CCC(=C(C)C)CCC(C)=CCC1
CC1CC1,0.5454545454545454,CC1CCCC1
CCOc1ccsc1,0.3870967741935484,CCOc1ccc2ccccc2c1
CCCSCS,0.35,CCCSSC
C=CCNCCCCCCCC,0.48,C=CCCCCCC
CCCC(C)C,1.0,CCCC(C)C
C=C(C)O,0.5555555555555556,C=C(C)C(=C)C
CCC1=CC=CC1,0.2857142857142857,CCC1=CCCC=C1
C1=CC=S2SC=CC=C2C=1,0.11627906976744186,CC(C)C1=CC=C(C=O)CC1
C1COSC1,0.23529411764705882,C1CCSC1
c1csc2cccc-2c1,0.4090909090909091,Cc1cccs1
CC(C)CC(C)S,0.4117647058823529,CC(C)CC(C)O
CC1CCOC1,0.3157894736842105,CC1CCCC1
COCC(O)S,0.3157894736842105,CC(O)C(C)S
CCCC(C)SCS,0.38095238095238093,CCCC(C)C
CCCCC(C)S,0.5555555555555556,CCCCC(C)C
SS,0.25,CS
CCSC1C=CCCC1,0.3103448275862069,CC1C=CCC1
SC1CCCSC1,0.3157894736842105,C1CCSC1
C1CCSCC1,0.8888888888888888,C1CCSC1
CCCCC(S)OC,0.4090909090909091,CCCCC(C)C
CCCCc1ccccc1,1.0,CCCCc1ccccc1
CC(S)CSC1CCCS1,0.2413793103448276,CSC(C)S
SOSCCC1C=CCS1,0.13513513513513514,CC1C=CCC1
CCSO,0.4166666666666667,CCSC
CC(O)CC1C=CC=CC1,0.27586206896551724,CCCC(C)O
CCc1coc(C)c1,0.42857142857142855,CCc1cc(CC)cc(CC)c1
C1CC1,1.0,C1CCCCC1
CC1CCC(C(C)C)C1,0.46153846153846156,CC1CCC(C(C)C)C(O)C1
CCCCC(C)OC,0.5,CCCCC(C)C
c1ccccc1,1.0,c1ccccc1
CCSCCCSS,0.25,CCSC
Cc1cnc2c(c1)=CCCC=2,0.3076923076923077,Cc1cnc(C)cn1
CCCCCCC(CC)Cc1ccccc1,0.45161290322580644,CCCCc1ccccc1
CC1C=CCS1,0.2916666666666667,CC1C=CCC1
CCCCOC,0.45,COCCCCCS
C=CCCCCCCCCSSC,0.48,C=CCCCCCC
SN1CCCCCC1,0.2727272727272727,C1CCCCC1
SC1=CC2C=CCC2=CC1,0.15789473684210525,CC1=CCC(C(C)C)C=C1
CCC(C)C,1.0,CCC(C)C
CCSSO,0.3333333333333333,CCSC
CCC,0.42857142857142855,CCO
CSCCS(C)(C)S,0.3333333333333333,CSCCO
CC1C=C(S)CS1,0.25,CC1SCCS1
CCCCCSCC,0.4666666666666667,CCCCCC
CCCCOCC,0.7647058823529411,CCCCCCCOCC
C=C=C,0.16666666666666666,C=O
CCCCCOC,0.5,CCCCCC
CC1CCCCC1,1.0,CC1CCCCC1
C1CCCC1,1.0,C1CCCCC1
CCCc1ccccc1,0.7,CCCCc1ccccc1
CCCCCCSC,0.5333333333333333,CCCCCCCC
CC(C)C,0.42857142857142855,CC(C)O
CCCCSC1=C=S=C=CS1,0.21875,CCCCO
CC(C)(O)S,0.375,CC(C)(S)CCO
C=CCCCCSC,0.5,C=CCCCCC
CCCCC,1.0,CCCCC
CSSC(C)C,0.5833333333333334,CC(C)SSC(C)C
CCCC(CCC)C1=CC=CC1,0.28,CCCC(C)C
CCCC(C)CC,0.6470588235294118,CCCCC(C)CC
C1=CCSC1,0.21428571428571427,C1CCSC1
CC1=CSCC1C,0.26666666666666666,CC1=C(O)C(=O)CC1C
CC1CC(C(C)C)CS1,0.25,CC1CCC(C(C)C)C(O)C1
C1=CC1,0.5555555555555556,C1=CC=CCC=C1
CC(C)(C)C,0.25,CCC(C)(O)CC
CCCC(C)c1ccccc1,0.56,CC(CO)c1ccccc1
C=C1C=C(CS)CC1,0.2702702702702703,C=C1C=C2C(C(C)C)CCC(C)C2CC1
OCCCSCS,0.42857142857142855,CSCCCO
CCCCSS,0.4,CCCCC
CC(C)SS,0.4166666666666667,CC(C)SSC(C)C
CC1CCCC1,1.0,CC1CCCC1
CCCC,0.5,CCCCC
C1=CCC=C1,0.8888888888888888,C1=CC=CCC=C1
CCCCCC,1.0,CCCCCC
CCC(C)CC(C)C,0.5714285714285714,CCC(C)CC
CCCC(C)SC,0.4444444444444444,CCCC(C)C
CCOC,0.38461538461538464,CCOCOCC
C=C(C)C(C)C,0.42857142857142855,CC(=O)C(C)C
CS1=NC=CS1,0.14814814814814814,Cc1nc(C)c(C)s1
C=CC,0.38461538461538464,C=CC(C)=CC
CCCC(C)CSC,0.43478260869565216,CCCC(C)CC(C)O
C=CCOCCC1=CCCSC1,0.2127659574468085,C=CCOC(=O)Cc1ccccc1
Sc1cc2c(s1)=COSC=2,0.15384615384615385,O=c1[nH]c2ccccc2s1
C=C(C)C,0.625,C=C(C)C(=C)C
CC1(S)C=CCCC1,0.38461538461538464,C1=CC2(CC1)CCCCC2
CC=CCCC,0.5789473684210527,CC=CCCCCCCCCCC
C=S=S=CCCCC,0.43478260869565216,C=CCCCC
C=CSCC,0.3125,CCSC
C=CC(C)(C)S,0.4666666666666667,C=CC(C)(C)O
C=S(CCC)C(S)(CCCS)SS,0.28125,CCCCCCS
C=[SH](=C=CC)CC,0.2,C=Cc1ccc(CC)cc1
CSCCC=S,0.5,CSCCC=O
CC(C)CCCC(C)S,0.47368421052631576,CCCCC(C)C
CCCC(C)C1=CC=CSC1,0.27586206896551724,CCCC(C)C
CSO,0.42857142857142855,CSC
CCCSSSCO,0.42857142857142855,CCCSSC
C=CCC,0.4375,C=CCCCC
CCCCCCC(C)CC(C)S,0.6363636363636364,CCCCCCC(C)CCCCC
CC1CCC(CO)C1,0.3448275862068966,CC1CCC(C(C)C)C(O)C1
OS,0.2,CS
COS,0.2857142857142857,CS
CCC1=S(O)C=C(C)C1,0.23333333333333334,CCc1ccc(C)cc1
CCSCC(C)O,0.4444444444444444,CCC(C)O
S=S1C=CCSO1,0.16666666666666666,C1=CCOC1
CC1CCSC1,0.3157894736842105,CC1CCCC1
CCCC(C)C(CC)CC,0.7058823529411765,CCCC(C)C(C)CC
CS1=CC=C(S2=CC=CC=C2)C=C1,0.11627906976744186,CC1=CC=CC(C)(C)CC1=O
CCCCC(C)C(C)CCS,0.47619047619047616,CCCCC(C)C
CSNCS,0.23529411764705882,CCSC
CCCC(CCC)CCSC,0.4090909090909091,CCCC(CO)CCC
CCSCO,0.38461538461538464,CCO
CC1=CCC=C1,0.32142857142857145,CC1=CCC(C(C)C)C=C1
CC1SC=CSS1,0.22727272727272727,CC1SCCS1
CCCCCCSCC,0.5,CCCCCCCC
CCCSCCCS,0.42857142857142855,CCCCCCS
CC1CCCC(C)C1,0.5714285714285714,CC1CCCC1
CSc1cccs1,0.43478260869565216,Cc1cccs1
CC(O)CCCCCCCCS,0.5909090909090909,CCCCCCCC(C)O
CCC(C)C(C)C,0.7142857142857143,CCC(C)C(C)C(C)C
CCCCCc1ccccc1,0.85,CCCCc1ccccc1
CC,0.25,CS
SCCCC1=CCC=C1,0.28125,CCC1=CCCC=C1
COCC1CSCCS1,0.2692307692307692,CC1SCCS1
CCCC=S(=S)=CSS,0.25925925925925924,CCCC=O
CCCCC(C)CCO,0.6363636363636364,CC(C)CCCC(C)CCO
OC(CS)C1C=CC=CC1,0.21052631578947367,CC1=CCC(C(C)C)C=C1
COC1C=CSC(C)C1,0.1935483870967742,CC1C=CCC1
CC=S(C)CSC,0.2631578947368421,CCSC
CCCSCO,0.375,CCCO
CCCSC=S,0.3333333333333333,CCCSSC
C=C(CCCO)CCCOCC,0.625,CCOCCCO
CC(C)C1CCCOC1(C)C,0.3,CC1(S)CCCO1
CCCCSCSCCCC(C)C,0.5454545454545454,CCCCC(C)C
CCCCCCCSS,0.5,CCCCCCCC
CCCCOC1CCCC1,0.4074074074074074,CCCCC1CCCCC1
C=S1CCCCC1,0.2727272727272727,C1CCCCC1
CC1CCCC1S(C)=O,0.2727272727272727,CC1CCCC1
CC1CS1,0.42857142857142855,CC1SCCS1
