SMILES,MaxSimilarity,NearestNeighbor
CCCCC(O)O,0.6111111111111112,CCCCC(C)O
CC1C=CCC=C1,0.36363636363636365,CC1C=CCCC1
CC1=CC(C(C)(C)C)=CCC1,0.3235294117647059,CC1=CCC(=C(C)C)CCC(C)=CCC1
CC1CC1,0.4117647058823529,CC1CCC(C(C)(C)O)CC1
CCOc1ccsc1,0.4444444444444444,CCOc1ccc(C)cc1
CCCSCS,0.6,CCCSCCC
C=CCNCCCCCCCC,0.48,C=CCCCCCC
CCCC(C)C,0.5294117647058824,CCCCCCCCCCCCCCCCCCCCC(C)C
C=C(C)O,0.4,CC(=O)O
CCC1=CC=CC1,0.3076923076923077,CC1=CC=CCC1
C1=CC=S2SC=CC=C2C=1,0.125,Cc1ccc(C)s1
C1COSC1,0.23529411764705882,C1CCSC1
c1csc2cccc-2c1,0.4090909090909091,Cc1cccs1
CC(C)CC(C)S,0.4666666666666667,CCC(C)S
CC1CCOC1,0.3,CC(C)=CC1CC(C)CCO1
COCC(O)S,0.4,CC(O)COCC(C)O
CCCC(C)SCS,0.4090909090909091,CCCC(C)S
CCCCC(C)S,0.8235294117647058,CCCCCC(C)S
SS,0.25,CS
CCSC1C=CCCC1,0.42857142857142855,CC1C=CCCC1
SC1CCCSC1,0.42105263157894735,SC1CCCC1
C1CCSCC1,0.8888888888888888,C1CCSC1
CCCCC(S)OC,0.5,CCCCC(S)CCOC
CCCCc1ccccc1,0.6153846153846154,CCCCOCCc1ccccc1
CC(S)CSC1CCCS1,0.2413793103448276,CCC(C)S
SOSCCC1C=CCS1,0.14583333333333334,CCOC(=O)CC1C=CCC1
CCSO,0.4166666666666667,CCSSCC
CC(O)CC1C=CC=CC1,0.27586206896551724,CCCC(C)O
CCc1coc(C)c1,0.32142857142857145,CCc1ccc(C)o1
C1CC1,0.3333333333333333,C1CCNCC1
CC1CCC(C(C)C)C1,0.46153846153846156,CC1CCC(C(C)C)C(O)C1
CCCCC(C)OC,0.5,CCCCC(C)OC(C)=O
c1ccccc1,1.0,c1ccccc1
CCSCCCSS,0.5,CCSCCCO
Cc1cnc2c(c1)=CCCC=2,0.3076923076923077,Cc1cnc(C)cn1
CCCCCCC(CC)Cc1ccccc1,0.47058823529411764,CCCC(O)Cc1ccccc1
CC1C=CCS1,0.2857142857142857,CC1SCCS1
CCCCOC,0.75,CCCCCCCCCCOC
C=CCCCCCCCCSSC,0.48,C=CCCCCCC
SN1CCCCCC1,0.375,CN1CCCCC1
SC1=CC2C=CCC2=CC1,0.1875,CC1=CCC=CC1
CCC(C)C,0.5,CCC(C)O
CCSSO,0.5384615384615384,CCSSCC
CCC,0.42857142857142855,CCO
CSCCS(C)(C)S,0.4117647058823529,CSCCSC
CC1C=C(S)CS1,0.26666666666666666,CC1=CC(S)CS1
CCCCCSCC,0.5882352941176471,CCCCSCCCC
CCCCOCC,0.5789473684210527,CCOCCCO
C=C=C,0.13333333333333333,C=CCCC=O
CCCCCOC,0.9333333333333333,CCCCCCCCCCOC
CC1CCCCC1,0.45454545454545453,CC1CCCCCCCCCCCCC(=O)C1
C1CCCC1,0.3333333333333333,C1CCNCC1
CCCc1ccccc1,0.5454545454545454,CCCc1ccc(O)cc1
CCCCCCSC,1.0,CCCCCCCCSC
CC(C)C,0.42857142857142855,CC(C)O
CCCCSC1=C=S=C=CS1,0.2903225806451613,CCCCSCCCC
CC(C)(O)S,0.5555555555555556,CC(C)(C)O
C=CCCCCSC,0.4782608695652174,C=CCCCCCC
CCCCC,0.75,CCCCCC
CSSC(C)C,0.5833333333333334,CC(C)SSC(C)C
CCCC(CCC)C1=CC=CC1,0.26666666666666666,CC1=CC=CCC1
CCCC(C)CC,0.5555555555555556,CCC(C)CCO
C1=CCSC1,0.25,C1CSCCS1
CC1=CSCC1C,0.27586206896551724,CC1=CC(S)CS1
CC1CC(C(C)C)CS1,0.3076923076923077,CC1CSCS1
C1=CC1,0.23529411764705882,CC1=CCC=CC1
CC(C)(C)C,0.42857142857142855,CC(C)(C)O
