SMILES,MaxSimilarity,NearestNeighbor
CCCC(C)C1CCCCC1C,0.3125,CC(CO)C1CCCCC1
CCCCCCC1CCCC1C,0.6206896551724138,CCCCCCCC1CCCC1O
CCC(C)CCCC(C)CCCC(C)C,0.52,CC(C)CCCC(C)CCCC(C)C=O
CCCC(CCC)C1CCC2CCCC2C1,0.3125,OC1CCC2CCCCC2C1
CC1CCCC2(C)CCCCC12C,0.30303030303030304,CC1CCCC(C)(C)C1C=O
CCC(CC)C1CCC(C)C1,0.5555555555555556,CCC(CO)C1CCC(C)CC1
CCCCCCCCC1CCCC(C)C1,0.47058823529411764,CCC(=O)O.CCCCCC1CCCCC1
CCCC(C)C(C)CCCC(C)CCCC(C)C,0.4642857142857143,CC(C)CCCC(C)CCCC(C)C=O
CCC(C)CC1CCCCCCCCCCC1,0.39285714285714285,CC(C)C1CCCCC1.CCO
CCCC(C)CC1(C)CCC(C)C1,0.2558139534883721,CCC(=O)C1(C)CCC(C(C)C)CC1
CCCCC(CC)CCCC,0.6842105263157895,CCCCC(CC)CO
CCCC1(C)CCC2C(C)C1CCC2(C)C,0.2564102564102564,CC1CCCC(C)(C)C1C=O
CCCCC(C)C1CCC(C)CC1,0.4838709677419355,CC1CCC(C(C)CC=O)CC1
CCC1(C)CCC(C(C)C)CC1C(C)C,0.40540540540540543,CCC(=O)C1(C)CCC(C(C)C)CC1
CC(C)CCCC(C)CCCC(C)C(C)C(C)C,0.4642857142857143,CC(C)CCCC(C)CCCC(C)C=O
CC(C)CC1CCCC(C(C)(C)C)C1,0.3333333333333333,CC(O)CC(C)(C)C1CCCCC1
CCCCC(C)CCC1CCCCC1,0.47058823529411764,CCC(=O)O.CCCCCC1CCCCC1
CCCC(C)CC(CC(C)C)C(C)C,0.32142857142857145,CC(C)CCC(CO)C(C)C
CCC(C)C1CC1(C)CCC1C(C)CCCC1(C)C,0.48936170212765956,CCC(C=O)CCC1C(C)CCCC1(C)C
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCC
CC(C)CC1C(C)C2CC1C1CCC(C)C21,0.23809523809523808,CC(C)CC1CCC(=O)O1
CCC12CCC(C1)C(C1(C)CCCCC1)C2,0.22916666666666666,CCC(=O)OC1CC2(C)CCC1C2(C)C
CC(C)C1CCCCC1C(C)C,0.4166666666666667,CC1CCC(C(C)C)C(O)C1
CCC1CCC(C)CC1CC,0.34615384615384615,CCOC1CCC(C)CC1
CCCCC(C)CCCCCC1CCCCC1,0.5294117647058824,CCC(=O)O.CCCCCC1CCCCC1
CCCCCCCCCCC(C)CCCCC,0.7,CCCCCCCCCC(C)CO
CCCCC1CCC(CC(C)C)CC1C,0.3076923076923077,CCCCCCCC1CCC(O)CC1
CCC(C)CC1CCCCC1C(C)CC,0.35135135135135137,CCC(C)C1CCCCC1=O
CC(C)CCCC(C)CCCC(C)C(C)C,0.5,CC(C)CCCC(C)CCCC(C)C=O
CCCCCC(C)C(C)C(C)C,0.5,CCCCCCCCCC(C)C(OC)OC
CCCCCC(C)CCCCC1CCCCC1,0.59375,CCC(=O)O.CCCCCC1CCCCC1
CC(C)C1CCC(C(C)(C)C)CC1,0.5,CC1CCC(C(C)C)CC1
CCC1CC(C)CC(C)C1,0.34782608695652173,CCC1CCC(O)CC1
CCCCCC(C)CC(C)CC(C)C,0.5,CCCCCCCCCC(C)CO
CCCCCC(CCC)CC(C)C,0.44,CCCCCC(C)O
CCCCCC(C)CCCC(C)CCCC(C)C,0.5416666666666666,CCCCCCCCCC(C)CO
OOOOO,0.23076923076923078,CCOO
CCC(C)CCC(C)CC(C)C1CCCC(C)(C)C1,0.28205128205128205,CC(CO)C1CCCCC1
CC1CCC(C(C)C)C(C(C)CCCC2CCCCC2)C1,0.38461538461538464,CC1CCC(C(C)C)C(O)C1
CC1CCCC1C,0.3333333333333333,CC(=O)OC1CCCCC1C
CC(C)C(C)CCC(C)C1CCCCC1,0.5185185185185185,CC(CO)C1CCCCC1
CC1CCCC(C)(C)C1C,0.5185185185185185,CC1CCCC(C)(C)C1C=O
CCCCCCCCCCC(C)CCCC,0.6666666666666666,CCCCCCCCCC(C)CO
CCCCC1CC2CC1C1CCCC21,0.40625,OC1CC2CC1C1CCCC21
CCCCCC1CCC(CC(C)C)CC1,0.5517241379310345,CCCCCCCC1CCC(O)CC1
CC1CCC(C2CCC3CCCC3C2)C1,0.4,OC1CCC2CCCCC2C1
CC(C)CCCC1CCCC1C,0.40540540540540543,CC(C)CCCC1CCCCC1=O
CC(C)C(C)CCC1CCC(C)C1(C)C,0.2608695652173913,C=C1CCC(C)C(C)(C)C1CCC(C)=O
CCCCCCCCCC1CCCC(C)C1,0.47058823529411764,CCC(=O)O.CCCCCC1CCCCC1
CCCCCC(CC)CC(C)C(C)CC,0.4444444444444444,CCCCC(CC)CO
CCC(C)CCC(CCC(C)CC)CC(C)CC,0.45454545454545453,CCC(C)CCO
CCCCC(C)C(C)CC,0.45454545454545453,CCCCC(O)CC
CC1CCC2(CC1)CCC(C)CC2,0.3333333333333333,CC1CCC(C(C)C)CC1
CC(C)CC1CC(C)C2CC(C(C)C)CC2C(C)C1,0.3448275862068966,CC1CCC(C(C)C)CC1
