SMILES,MaxSimilarity,NearestNeighbor
CCCC(C)C1CCCCC1C,0.5555555555555556,CCCC(C)C1CCCC1
CCCCCCC1CCCC1C,0.75,CCCCCCCC[C@H]1CCC[C@@H]1CCCCCCC
CCC(C)CCCC(C)CCCC(C)C,1.0,CCC(C)CCCC(C)CCCC(C)C
CCCC(CCC)C1CCC2CCCC2C1,0.375,CCCC(C)C1CCCC1
CC1CCCC2(C)CCCCC12C,0.5555555555555556,C[C@H]1CCC[C@@]2(C)CCCC[C@]12O
CCC(CC)C1CCC(C)C1,0.4,CC1CCC(C(C)C)CC1
CCCCCCCCC1CCCC(C)C1,0.5172413793103449,CCCCCCCC[C@H]1CCC[C@@H]1CCCCCCC
CCCC(C)C(C)CCCC(C)CCCC(C)C,0.85,CCCC(C)C(C)CCCC(C)C
CCC(C)CC1CCCCCCCCCCC1,0.5483870967741935,CCC(C)CC1CCCN(CC)C1
CCCC(C)CC1(C)CCC(C)C1,0.3448275862068966,CCCC(C)CCC
CCCCC(CC)CCCC,0.6842105263157895,CCCCC(CC)CO
CCCC1(C)CCC2C(C)C1CCC2(C)C,0.3181818181818182,C[C@@H]1[C@@H]2CCC(C)(C)[C@H]2CC[C@@]23C[C@@H](CC[C@@H]12)[C@@H](C)C3
CCCCC(C)C1CCC(C)CC1,0.7037037037037037,CC(C)CCCC(C)C1CCC(C)CC1
CCC1(C)CCC(C(C)C)CC1C(C)C,0.42105263157894735,CC(C)[C@@H]1CC[C@@]2(C)CCC[C@@H](C)[C@@H]2C1
CC(C)CCCC(C)CCCC(C)C(C)C(C)C,0.65,CC(C)CCCC(C)CCCC(C)CCCC(C)C
CC(C)CC1CCCC(C(C)(C)C)C1,0.2972972972972973,CC(C)CC1C=CCCC1
CCCCC(C)CCC1CCCCC1,0.4,CCCCCCCC(C)CCC
CCCC(C)CC(CC(C)C)C(C)C,0.6666666666666666,CCCC(C)CC(C)C
CCC(C)C1CC1(C)CCC1C(C)CCCC1(C)C,0.38461538461538464,CC[C@@H](C)CC[C@H]1[C@@H](C)CC[C@H]2C(C)(C)CCC[C@]12C
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCCCCCCCCCCCC
CC(C)CC1C(C)C2CC1C1CCC(C)C21,0.32432432432432434,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)[C@@H]2C1
CCC12CCC(C1)C(C1(C)CCCCC1)C2,0.3333333333333333,CC[C@]1(C)CC[C@H]2[C@@H](CC[C@H]3C(C)(C)CCC[C@]23C)C1
CC(C)C1CCCCC1C(C)C,0.4166666666666667,CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O
CCC1CCC(C)CC1CC,0.38461538461538464,CCCC1CCCCC1CC
CCCCC(C)CCCCCC1CCCCC1,0.4666666666666667,CCCCCCCC(C)CCC
CCCCCCCCCCC(C)CCCCC,0.8823529411764706,CCCCCCCC(C)CCC
CCCCC1CCC(CC(C)C)CC1C,0.3333333333333333,CCCCCCCC[C@H]1CCC[C@@H]1CCCCCCC
CCC(C)CC1CCCCC1C(C)CC,0.358974358974359,CCC(C)CC1CCCN(CC)C1
CC(C)CCCC(C)CCCC(C)C(C)C,0.7222222222222222,CC(C)CCCC(C)CCCC(C)CCCC(C)C
