SMILES,MaxSimilarity,NearestNeighbor
CCCC(C)C1CCCCC1C,0.3103448275862069,CCCC(C)C(C)O
CCCCCCC1CCCC1C,0.3888888888888889,CCCCCCC1OC(=O)CC1C
CCC(C)CCCC(C)CCCC(C)C,1.0,CCC(C)CCCC(C)CCCC(C)CCCC(C)C
CCCC(CCC)C1CCC2CCCC2C1,0.3,CC(C)C1CCC2CC(=O)CCC2C1
CC1CCCC2(C)CCCCC12C,0.5555555555555556,CC1CCCC2(C)CCCCC12O
CCC(CC)C1CCC(C)C1,0.4,CC1CCC(C(C)C)CC1
CCCCCCCCC1CCCC(C)C1,0.36363636363636365,CCCCCCC1OC(C)C(C)O1
CCCC(C)C(C)CCCC(C)CCCC(C)C,0.65,CC(C)CCCC(C)CCCC(C)CCCC(C)C
CCC(C)CC1CCCCCCCCCCC1,0.4782608695652174,CCC1CCCCC1
CCCC(C)CC1(C)CCC(C)C1,0.29411764705882354,CCCC(C)CCO
CCCCC(CC)CCCC,0.6842105263157895,CCCCC(CC)CO
CCCC1(C)CCC2C(C)C1CCC2(C)C,0.23809523809523808,CC(C)=CCCC1(C)CC1C=O
CCCCC(C)C1CCC(C)CC1,0.46153846153846156,CC1CCC(C(C)C)CC1
CCC1(C)CCC(C(C)C)CC1C(C)C,0.3055555555555556,CC(C)[C@@H]1CC[C@@H](C)[C@H](O)C1
CC(C)CCCC(C)CCCC(C)C(C)C(C)C,0.65,CC(C)CCCC(C)CCCC(C)CCCC(C)C
CC(C)CC1CCCC(C(C)(C)C)C1,0.3142857142857143,CNC(C)CC1CCCC1.Cl
CCCCC(C)CCC1CCCCC1,0.39285714285714285,CCC1CCCCC1
CCCC(C)CC(CC(C)C)C(C)C,0.38461538461538464,CCCC(C)CCO
CCC(C)C1CC1(C)CCC1C(C)CCCC1(C)C,0.24489795918367346,CCC(C)C1CCCCC1=O
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCCC
CC(C)CC1C(C)C2CC1C1CCC(C)C21,0.2564102564102564,CC(C)[C@@H]1CC[C@@H](C)[C@H](O)C1
CCC12CCC(C1)C(C1(C)CCCCC1)C2,0.2619047619047619,CCC1(O)C2(C)CCC(C2)C1(C)C
CC(C)C1CCCCC1C(C)C,0.4166666666666667,CC1CCC(C(C)C)C(O)C1
CCC1CCC(C)CC1CC,0.4166666666666667,CCC1CCC1O
CCCCC(C)CCCCCC1CCCCC1,0.41935483870967744,CCCCCCCCCCCCC(C)CC
CCCCCCCCCCC(C)CCCCC,0.7777777777777778,CCCCCCCCCCCCC(C)CC
CCCCC1CCC(CC(C)C)CC1C,0.2857142857142857,CCCC[C@H]1OC(=O)C[C@H]1C
CCC(C)CC1CCCCC1C(C)CC,0.35135135135135137,CCC(C)C1CCCCC1=O
CC(C)CCCC(C)CCCC(C)C(C)C,0.7222222222222222,CC(C)CCCC(C)CCCC(C)CCCC(C)C
CCCCCC(C)C(C)C(C)C,0.5,CCCCCCCCCCCCC(C)C
CCCCCC(C)CCCCC1CCCCC1,0.43333333333333335,CCCCCCCCCCCCC(C)CC
CC(C)C1CCC(C(C)(C)C)CC1,0.5,CC1CCC(C(C)C)CC1
CCC1CC(C)CC(C)C1,0.38095238095238093,CCC1CCCCC1
CCCCCC(C)CC(C)CC(C)C,0.5416666666666666,CCCCCCCCCCCCC(C)CC
CCCCCC(CCC)CC(C)C,0.5217391304347826,CCCCCCCCCCCCC(C)C
CCCCCC(C)CCCC(C)CCCC(C)C,0.7368421052631579,CCCCCCCCCCCCC(C)C
OOOOO,0.21428571428571427,CC(C)(OO)OO
CCC(C)CCC(C)CC(C)C1CCCC(C)(C)C1,0.35135135135135137,CC1(C)CCCC(O)C1
CC1CCC(C(C)C)C(C(C)CCCC2CCCCC2)C1,0.38461538461538464,CC1CCC(C(C)C)C(O)C1
CC1CCCC1C,0.4375,CC1CCCC(C)N1
CC(C)C(C)CCC(C)C1CCCCC1,0.4666666666666667,CNCC(C)C1CCCCC1.Cl
CC1CCCC(C)(C)C1C,0.3448275862068966,CC1CCCC(C)(C)C1=O
