SMILES,MaxSimilarity,NearestNeighbor
CCCOCC,0.6,CCCOCOCCC
COCCO,1.0,COCCO
CSS1=C(C)COC1,0.15,Cc1ccc2c(c1)CCC(=O)O2
NCS,0.2727272727272727,CCCS
C=CC(S)CNCCCC,0.3333333333333333,C=CC(O)CCCCC
CCCCCCCC=CSO,0.56,CCCCCCCCCCC=CO
CCCOOC(C)OC,0.43478260869565216,CCCOC(C)OCCC
CCSSCO,0.35714285714285715,CCO
CCOCCOC,0.6666666666666666,COCCOCCOC
COCCCO,0.625,COCCO
CCCOC[NH-],0.5294117647058824,CCCOCOCCC
CCCC(C)=S,0.4444444444444444,CCCC(C)=O
CCS1=CCC(O)C=C1,0.23076923076923078,CC(C)C1=CCC(CO)C=C1
CCC(=O)C=O,0.4117647058823529,CC(=O)C=O
C=CCC=CCC,0.5,CC/C=C\CC=O
CC1C=CN=CC1,0.2,CC1=CCC2C(=O)C1C2(C)C
C=C(CCCSCCCCC)OC(C)CCC,0.39473684210526316,CCCC(=O)OC(C)CCC
Cc1occc1CS,0.36666666666666664,Cc1occc(=O)c1O
NCCCCO,0.4375,CCCCO
C=C1CCCC(CO)O1,0.41379310344827586,OCC1CCCO1
C=C(C)C(C)C(C)=O,0.5,CC(=O)[C@H](C)C(=O)C(C)C
CSC=C(C)C,0.2631578947368421,CC(=O)C=C(C)C
C1CC1,0.3333333333333333,C1CCC(C2CCCCC2)CC1
C=C(SC)C1C=COCC1,0.21951219512195122,C=C(C)C1C=C(C)CCC1
CC(C)OC=N,0.4444444444444444,CC(C)OC=O
C=CC(C)CC,0.47368421052631576,CCC(C)C=O
OCS1=CCC=CO1,0.15789473684210525,OCc1ccc2c(c1)OCO2
CCCCCSC(=O)CC,0.44,CCCCCC(=O)CC
CC1CCCC1=S,0.4,CC1CCCCC1=O
CC,0.25,CS
CC=CC(C)S,0.23809523809523808,CC=CCSCC=CC
C=C(C)C(C)OC,0.2777777777777778,COC(OC)OC
CCOCC(=O)O,0.52,CCCCCCCOCC(=O)O
CCCCCSC,0.47368421052631576,CSCCCO
C=C(C)C,0.45454545454545453,C=C(C)C(C)=O
C1CSCCN1,0.35714285714285715,C1CCNC1
CC(CCO)CCCSO,0.4827586206896552,C=C(C)CCC[C@H](C)CCO
CCOC(=S)CC(O)CC,0.4090909090909091,CCC(O)CC
C=C(O)CCC,0.4444444444444444,CCCC(=O)O
CCCCCCC(C)SCC,0.48,CCCCCCCC(C)O
COC(C)(C)O,0.5384615384615384,CC(C)(O)C(C)(C)O.COC
CCC(=O)C1=CCC(OC)=CC1,0.3684210526315789,CCC(=O)c1ccccc1OC
CC1CCOC1,0.3,CC(C)=CC1CC(C)CCO1
CC=NSCS,0.21739130434782608,C/C=C(\C)C=O
CCC=C(C)C(=O)SC,0.4642857142857143,CCC=C(C)C(=O)OCC
C=CCOCC=CC,0.6111111111111112,C=CCOCC=C
CC(=O)CCC(O)SCCO,0.36,CC(=O)CCC(C)=O
C=C(O)CCOCC,0.45454545454545453,CCOCCO
CC(=O)OCC1C=CC2=C(C1)OCC2,0.4666666666666667,CC(=O)OCC1C=CC(C(C)C)=CC1
CCCCC,0.6666666666666666,CCCCCCC
CCOCC(C)O,0.4444444444444444,CCC(C)O
C=C(CCC)C(O)CC,0.37037037037037035,CCCC(=O)C(O)CCC
OCC=CCO,0.6153846153846154,CCC=CCO
O=C(O)O,0.8333333333333334,N.N.O=C(O)O
OSCS,0.26666666666666666,O=C(O)CS
C=CCCCC=O,0.8235294117647058,C=CCCCCCCCCC=O
CC1=CC=CC1,0.2692307692307692,CC1=CCC(C(C)C)=CC1
CC(O)S,0.5555555555555556,CC(C)O
NCCCC(=O)S,0.30434782608695654,CCCCC(=O)CCCC
CCC(CC)CCCS,0.42105263157894735,CCCCS
C=C1CC2CCC1C2(C)S,0.6296296296296297,C=C1CC2CCC1C2(C)C
CCC(O)CC1=CCC=CS1,0.3611111111111111,CCC(O)Cc1ccccc1
CCCCCC1OCCC1O,0.5,CCCCCCC1OCCO1
CCC=CC(C)OCS,0.36666666666666664,CC/C=C\CCOC(C)OCC/C=C\CC
CCC(O)SC,0.4117647058823529,CCC(C)O
CSCSCSS,0.20833333333333334,CSCCCO
CCCC=CCC(=N)O,0.4782608695652174,CCC/C=C/CO
OS1=NC(OS)C(S)C=C1,0.13953488372093023,COC(=O)C1CC2C=CC1C2
C1CO1,1.0,C1CO1
CCCCc1cncs1,0.3333333333333333,CCCCCc1ccncc1
CN(C)N,0.14285714285714285,CC(C)C(=O)O
C=C(C)c1cnc(C)o1,0.3103448275862069,C=C(C)c1ccc(C)cc1
C=CCN,0.38461538461538464,C=CCS
CCCCCC1=CC(C)=CC1,0.3611111111111111,CCCCCC1=CCCC1=O
COCCSO,0.42105263157894735,COCCO
CC1=CC=CC(C)S1,0.1935483870967742,CC1C=CC(=O)O1
CC1=CC=C(CO)OC1,0.25,OCc1ccco1
CC1CC(C)(C)CCO1,0.2903225806451613,CC1CC(=O)CC(C)(C)C1
C=C1C(S)OC(C)C1NC,0.18421052631578946,CC1OC(Cc2ccccc2)OC1C
CC(O)CCO,1.0,CC(O)CCO
CSCN,0.3,CSC
CCOC,0.45454545454545453,CCOCC
CCOCCCCS,0.5714285714285714,CCCCCCCCCCOCC
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,0.2,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2(C)C
CCCCC(CC)NO,0.4583333333333333,CCCCC(O)CC
CCC1=CC=CC1,0.24,CCc1ccccc1
CCC(C)CCC(C)(C)CC,0.5,CCC(C)CCCC(C)(C)O
CC1CCCCO1,0.5,CC1OCCCCCO1
CC=CC(=O)SCCC(C)N,0.3235294117647059,C/C=C/C(=O)OCC
CCCCCSO,0.4375,CCCCCCC
CNCCC=CCCCCCCCCCC=O,0.5384615384615384,CC=CCCCCCCCC=O
CC1CCC(N)CS1,0.17857142857142858,CC1CCC(C(C)C)CC1
CC(=O)CSC(N)=O,0.35,CCC(C)=O
C=CNCCCCCCCSC(C)C,0.23809523809523808,C=CCCCCCCCCC(=O)OC(C)C
CC1=CCC=C1,0.32142857142857145,CC1=CCC(C(C)C)C=C1
OCCCS,0.375,CCCCO
CCC(=O)C(N)CC,0.5714285714285714,CCC(N)C(=O)O
CNC(=O)CC(C)C,0.5,CC(C)CC(=O)CC(C)C
CC1OCCO1,0.6666666666666666,CC1OCCCCCO1
CCCCC1C=NOO1,0.2682926829268293,CCCCC1OC(=O)c2ccccc21
CCC=CCC,0.6153846153846154,CCC=CCO
CSC(C)C(C)(C)O,0.3125,CC(C)(C)O
CCCCCC=CCS,0.5416666666666666,CCCCCCCCC=CCO
CSCCSCCCCCCCCS,0.375,CCCCCCS
CCC1=CN=C(C)SO1,0.22857142857142856,CCc1ccncc1C
C=CCCC,0.5555555555555556,C=CCCCCCC
CC1=CCS2(O)CC1C2(C)S,0.32432432432432434,CC1=CCC2CC1C2(C)C
CNC(=O)C1CC2CC1C(C)(C)C2,0.275,COC(=O)C1CC2CCC1C2
CC1CCSCC1,0.4,CC1CCC(C(C)C)CC1
CCC=CCCCSCC(=S)CC,0.41935483870967744,CCC=CCCCO
NC1CCOC1,0.25,C1CO1
CC1CCSCC1=S,0.22857142857142856,CC(C)=C1CCC(C)C2=C(C1)C(C)CC2
CCC(C)OC(=O)C=C(C)C,0.4117647058823529,CCCCCCOC(=O)C=C(C)C
CC1=CSC(CCO)=CS1,0.36666666666666664,Cc1cccc(C)c1CCO
CSOO,0.3,CSC
CCCCCC,0.875,CCCCCCC
CNCCCCCO,0.45,CCCCCCCCO
CC=CC(N)=O,0.42857142857142855,C/C=C/C(=O)OC
