SMILES,MaxSimilarity,NearestNeighbor
CCCOCC,0.2916666666666667,CCOCc1ccccc1
COCCO,0.2777777777777778,CCCCO
CSS1=C(C)COC1,0.16129032258064516,Cc1ccccc1SSc1ccccc1C
NCS,0.3333333333333333,CCN
C=CC(S)CNCCCC,0.34375,C=CC(O)CCCC
CCCCCCCC=CSO,0.5384615384615384,CCCCCCCC=CCO
CCCOOC(C)OC,0.4,COC(C)OC
CCSSCO,0.6153846153846154,CCSSCC
CCOCCOC,0.2692307692307692,CCOCc1ccccc1
COCCCO,0.3888888888888889,CCCCO
CCCOC[NH-],0.3157894736842105,CCCC[NH-]
CCCC(C)=S,0.3888888888888889,CCCC(=O)C(=O)CCC
CCS1=CCC(O)C=C1,0.23076923076923078,CC(C)C1=CCC(CO)C=C1
CCC(=O)C=O,0.4117647058823529,CC(=O)C=O
C=CCC=CCC,0.4,CCC=CCC=CC=CC=O
CC1C=CN=CC1,0.1794871794871795,CC1=C2CC[C@@H](C)C=C2OC1=O
C=C(CCCSCCCCC)OC(C)CCC,0.3076923076923077,C=CC(O)CCCCC
Cc1occc1CS,0.2857142857142857,Cc1occc1SC(C(=O)CC(C)C)C(C)C
NCCCCO,0.4375,CCCCO
C=C1CCCC(CO)O1,0.325,C=CCCCC1CCCC(=O)O1
C=C(C)C(C)C(C)=O,0.4444444444444444,CC(=O)C(C)O
CSC=C(C)C,0.2631578947368421,CC(C)=CCO
C1CC1,0.2727272727272727,O=C1CCCCC1
C=C(SC)C1C=COCC1,0.22727272727272727,C=C(C)C1C=CC(C)(OO)CC1
CC(C)OC=N,0.3157894736842105,CCOC(C)OCC
C=CC(C)CC,0.47368421052631576,CCC(C)C=O
OCS1=CCC=CO1,0.15625,OCCc1ccccc1
CCCCCSC(=O)CC,0.44,CCCCCC(=O)CC
CC1CCCC1=S,0.3103448275862069,CC1CCCC(C)(C)C1=O
CC,0.16666666666666666,CSSC
CC=CC(C)S,0.2,C=CC(C)O
C=C(C)C(C)OC,0.3333333333333333,COC(C)OC
CCOCC(=O)O,0.4444444444444444,CCC(=O)O
CCCCCSC,0.47368421052631576,CSCCCN
C=C(C)C,0.3,CC(=O)O
C1CSCCN1,0.4166666666666667,C1CNCCN1
CC(CCO)CCCSO,0.56,CC(C)CCCC(C)CCO
CCOC(=S)CC(O)CC,0.37037037037037035,CCOC(=O)C(O)C(O)C(=O)OCC
C=C(O)CCC,0.4444444444444444,CCCC(=O)O
CCCCCCC(C)SCC,0.48,CCCCCCC(C)O
COC(C)(C)O,0.3125,CC(C)C(C)(O)C(C)C
CCC(=O)C1=CCC(OC)=CC1,0.28205128205128205,CCC(=O)C1=NCCC1
CC1CCOC1,0.3,CC(C)=CC1CC(C)CCO1
CC=NSCS,0.21739130434782608,CC=C(C)C=O
CCC=C(C)C(=O)SC,0.38461538461538464,CCC=C(C)C=O
C=CCOCC=CC,0.34375,C=CCOC(=O)/C=C/C=C/C
CC(=O)CCC(O)SCCO,0.3076923076923077,CC(=O)CO
C=C(O)CCOCC,0.27586206896551724,CCOCc1ccccc1
CC(=O)OCC1C=CC2=C(C1)OCC2,0.36363636363636365,CC(=O)OCC1CCCO1
CCCCC,0.6666666666666666,CCCCCCCCCC
CCOCC(C)O,0.38095238095238093,CCCC(C)O
C=C(CCC)C(O)CC,0.375,CCC(O)C(C)=O
OCC=CCO,0.5333333333333333,CCC/C=C/CO
O=C(O)O,0.5,CC(=O)O
OSCS,0.2,C=CCS
C=CCCCC=O,0.42857142857142855,CCCCCC=O
CC1=CC=CC1,0.55,CC1=CC=CCC1
CC(O)S,0.5,C[C@H](O)[C@@H](C)O
NCCCC(=O)S,0.38095238095238093,NCCC(=O)O
CCC(CC)CCCS,0.42105263157894735,CCCCS
C=C1CC2CCC1C2(C)S,0.36363636363636365,C=C1CCC2CC1C2(C)C
CCC(O)CC1=CCC=CS1,0.2571428571428571,CCCCC(O)CC
CCCCCC1OCCC1O,0.34210526315789475,CCCCCC1CCC(=O)O1
CCC=CC(C)OCS,0.2692307692307692,CCOC(C)OCC
CCC(O)SC,0.3181818181818182,CCC(O)C(C)=O
CSCSCSS,0.20833333333333334,CSCCCN
CCCC=CCC(=N)O,0.5833333333333334,CCCC=CCC(=O)O
OS1=NC(OS)C(S)C=C1,0.10810810810810811,OCOc1ccccc1
C1CO1,0.17647058823529413,O=C1CCCO1
CCCCc1cncs1,0.3235294117647059,CCCCc1ccco1
CN(C)N,0.2,CCN
C=C(C)c1cnc(C)o1,0.34375,C=C(C)c1cnccn1
C=CCN,0.38461538461538464,C=CCS
CCCCCC1=CC(C)=CC1,0.3888888888888889,CCCCCC1=CCC(=O)O1
COCCSO,0.25925925925925924,CSCCOC(C)=O
CC1=CC=CC(C)S1,0.2,Cc1cscc1C
CC1=CC=C(CO)OC1,0.25,OCc1ccco1
CC1CC(C)(C)CCO1,0.2857142857142857,CC1COC(C)(C)O1
C=C1C(S)OC(C)C1NC,0.16216216216216217,CC1CCC(=O)OC1C
CC(O)CCO,0.5294117647058824,CC(C)CCC(C)O
CSCN,0.4375,CSCCCN
CCOC,0.3333333333333333,CCOC(C)OCC
CCOCCCCS,0.45,CCCCCS
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,0.1956521739130435,CC1=CCC(C(C)C)C=C1
CCCCC(CC)NO,0.4583333333333333,CCCCC(O)CC
CCC1=CC=CC1,0.3076923076923077,CC1=CC=CCC1
CCC(C)CCC(C)(C)CC,0.3333333333333333,CCC(C)CN
CC1CCCCO1,0.2916666666666667,CC1COC(C)O1
CC=CC(=O)SCCC(C)N,0.2777777777777778,C/C=C/C(=O)CCCC
CCCCCSO,0.4375,CCCCCCCCCC
CNCCC=CCCCCCCCCCC=O,0.5384615384615384,CC=CCCCCCCCC=O
CC1CCC(N)CS1,0.17647058823529413,CC(C)=C1CCC(C)CC1O
CC(=O)CSC(N)=O,0.35,CCC(C)=O
C=CNCCCCCCCSC(C)C,0.21052631578947367,C=CC(O)CCCCCCC
CC1=CCC=C1,0.32142857142857145,CC1=CCC(C(C)C)C=C1
OCCCS,0.375,CCCCO
CCC(=O)C(N)CC,0.35,CCC(=O)O
CNC(=O)CC(C)C,0.5,CC(C)CC(=O)CC(C)C
CC1OCCO1,0.3684210526315789,CC1COC(C)O1
CCCCC1C=NOO1,0.2682926829268293,CCCCC1OC(=O)c2ccccc21
CCC=CCC,0.5333333333333333,CC/C=C\CCO
CSC(C)C(C)(C)O,0.3684210526315789,CC(C)C(C)(O)C(C)C
CCCCCC=CCS,0.5416666666666666,CCCCCC=CCCC=O
CSCCSCCCCCCCCS,0.3333333333333333,CCCCCS
CCC1=CN=C(C)SO1,0.25,CCc1nccnc1C
C=CCCC,0.5555555555555556,C=CCCCCCC
CC1=CCS2(O)CC1C2(C)S,0.32432432432432434,CC1=CCC2CC1C2(C)C
CNC(=O)C1CC2CC1C(C)(C)C2,0.20930232558139536,CC1(C)C2CCC1(C)C(C(=O)O)C2
CC1CCSCC1,0.35714285714285715,C1CSCCS1
CCC=CCCCSCC(=S)CC,0.37142857142857144,CC/C=C\CCCC(=O)O
NC1CCOC1,0.16,CCC1CCC(CC)O1
CC1CCSCC1=S,0.22857142857142856,CC(C)=C1CC[C@H](C)C2=C(C1)[C@@H](C)CC2
CCC(C)OC(=O)C=C(C)C,0.34375,CC(=O)OCC(C)OC(C)=O
CC1=CSC(CCO)=CS1,0.26666666666666666,OCCc1ccccc1
CSOO,0.2727272727272727,CSSC
CCCCCC,0.875,CCCCCCCCCC
CNCCCCCO,0.45,CCCCCCCCO
CC=CC(N)=O,0.36,C/C=C/C(=O)CCCC
CCC(O)CCCCO,0.6190476190476191,CCCCC(O)CC
C=CC=CC,0.3333333333333333,C/C=C/C=C/C=O
C=CC(=C)CCCC(C)(S)CC,0.35294117647058826,C=CC(=C)CCC=C(C)C
CC1(C)C2CCC(C2)C1O,0.4,C=C1CCC2CC1C2(C)C
CC=COC,0.24,C/C=C/c1ccc(OC)cc1
CCCCC1=C(C)SC(C)S1,0.25,CCCCc1ccco1
CC1(C)C2=CC1C(OCC=O)=CC2,0.32558139534883723,CC1=CCC(CC=O)C1(C)C
CC(=O)OCO,0.45454545454545453,CCCCOC(C)=O
CC(N)CO,0.3181818181818182,CC(C)C[C@H](N)C(=O)O
CCCCCCC(C)C,0.6,CCCCCCC(C)O
O=S(CO)c1ncco1,0.23529411764705882,OCc1ccco1
CC1CCSC1,0.23529411764705882,C1CSCCS1
CC(S)c1ccc(O)cn1,0.2857142857142857,Cc1ccc(O)cc1
CC(=S)CC(C)S,0.28,CC(=O)C(=O)CC(C)C
CCCCC(C)C,0.5555555555555556,CCCCC(C)O
C=C(SC)C(S)CCCCCCCC,0.4,CCCCCCC(C)O
CCC(=O)SC(C)C,0.35,CCC(=O)O
CCNCCCC(O)C=O,0.3548387096774194,C=CC(O)CCCC
COCCOC(C)O,0.375,COCCOC(C)OCc1ccccc1
C=CC(=C)NCC,0.2962962962962963,C=CC(=O)OCC
CC1=CSCCN1,0.4827586206896552,CC(=O)C1=CSCCN1
CSC(=O)CCCS,0.3181818181818182,CCCCS
C=CCOOC,0.34615384615384615,C=CCOC(=O)CC
CC1CCCC1,0.2916666666666667,CC1CCCC(C)(C)C1=O
C=C(O)C=CC(CCC(=C)O)C(C)C,0.23684210526315788,C=C(C)CCC[C@H](C)CCO
CC(O)CCC(O)SCCN,0.4,CC(C)CCC(C)O
OCCCc1cccnc1,0.3793103448275862,OCCc1ccccc1
C=CCOCCCCCCCC,0.48,C=CCCCCCC
C1=COCC1,0.23529411764705882,C1=CCCC=C1
CCC(O)S,0.3684210526315789,CCC(O)C(C)=O
CC=CC=CC(=O)CSCC,0.4,C=CCOC(=O)/C=C/C=C/C
CC=COCC,0.23809523809523808,CCOC(C)OCC
CCC(CC)CS,0.2777777777777778,CCCCS
C=CCCSC,0.34782608695652173,C=CCCCCCC
[NH-]CCCS,0.375,CCCCS
OCCC(O)S,0.2916666666666667,CC(C)CCCC(C)CCO
CC(C)=CC=N,0.3333333333333333,C/C=C(C)/C=C/C=C(C)C
CC(C)OC(C)C,0.3076923076923077,COC(C)OC
CCC(C)C=S,0.47368421052631576,CCC(C)C=O
O=CCCC=O,0.5384615384615384,CCCC=O
CCCCCC=COC1CCCC1C,0.41025641025641024,CCCCCCC/C=C/C1CCCCC1
COC1=C=C=C(CCCS)N=C1,0.21212121212121213,CCCCS
OOCC(O)O,0.21739130434782608,CCOC(=O)C(O)C(O)C(=O)OCC
C1COSSC1,0.16666666666666666,C1CSCCS1
C=CCCCOCCCC,0.5652173913043478,C=CCCCCCC
C=CC1=COSC=C1C,0.22857142857142856,C=Cc1sc(C)nc1C
CC1=CC(C)CC1,0.43333333333333335,CC1=CC2OCC(C)C2CC1
C=C1OCC(C)=C1CCCCC,0.42857142857142855,CCCCCC1=C(C)CCC1=O
Cn1cccn1,0.18181818181818182,Cc1nccnc1C
CSCO,0.2777777777777778,CSCCCN
CC(C=O)CCCCO,0.5185185185185185,CCC(C)CCCC(C)C=O
CSCCC(C)O,0.45,CC(C)CCC(C)O
C=CCC(C)C(=C)OCC,0.36666666666666664,C=CC(=O)OCC
CCC,0.42857142857142855,CCN
CCCS(=O)N1OC=CS1,0.18181818181818182,CCCC/C=C1/OC(=O)C(C)=C1C
CCCCOC,0.4090909090909091,CCCCOC(C)=O
CSC(C)CO,0.3,CCC(C)SSC(C)CC
CC1CC(C)SC(O)N1,0.2727272727272727,CC(C)=C1CCC(C)CC1O
C=CCC=CCCC(=O)NCC,0.34285714285714286,C=CCCC(=O)OC
CCCOSC,0.23333333333333334,CCCCOC(=O)CC(C)C
C=C(CCCC)OCC,0.4444444444444444,CCCCCC(=O)OCC
C1ONSCSO1,0.125,CC(C)C12CCC(C)(CC1)O2
CCCCNSCCC,0.391304347826087,CCCCSSCCC
COC(C)C(C)O,0.42857142857142855,C[C@H](O)[C@@H](C)O
CNCCCC1OC(C)C(C)O1,0.16666666666666666,CCC1CCC(CC)O1
S=C1CCCCCC1,0.375,O=C1CCCCC1
CC1=C(C)SC2=C(CCC2)N1,0.1956521739130435,CC1=C2C[C@H](C(C)(C)O)CC[C@]2(C)CCC1
CCCCCCCC(C)CC,0.5454545454545454,CCCCCCC(C)O
C=CC(C)(C)S(=O)CC(C)C,0.25,CC(C)CC=O
OO,0.2857142857142857,CC(=O)O
CCCOCCC,0.2857142857142857,CCCN
CC(S)CCCC(C)S,0.30434782608695654,CC(C)CCCC(C)CCO
CC1CCC(S)S1,0.22580645161290322,CC(C)=C1CCC(C)CC1O
O=C(CCO)C1=NC=CC1,0.23076923076923078,CCC(=O)C1=NCCC1
CSC(=O)O,0.4166666666666667,CC(=O)O
CCc1cc(C)cnc1N,0.3125,CCc1cnc(C)cn1
CC(C)COC1=CC=S2C=CC=CC2=C1,0.21739130434782608,CC(C)COC(Cc1ccccc1)OCC(C)C
CCCCS(C)=O,0.35294117647058826,CCCCCCCCCC
CCC(C)(O)SO,0.23809523809523808,CC(C)C(C)(O)C(C)C
CC1C=CC(C)O1,0.23809523809523808,CC1COC(C)O1
COSC,0.3,CSSC
C=C(O)c1ccccc1,0.47368421052631576,O=C(O)c1ccccc1
CSCC=CNC(C)=O,0.3225806451612903,CSCCOC(C)=O
C[SH](=O)=Cc1ccccc1,0.43478260869565216,O=Cc1ccccc1
CCCSC(=O)O,0.38095238095238093,CCCC(=O)O
CC1C=CC(CC(C)C=O)C=C1,0.37037037037037035,CCC(C)C=O
CCC(C)CNC=O,0.3793103448275862,CCC(C)CCCC(C)C=O
C=CCCC(=C)S,0.38461538461538464,C=CCCC(=O)OC
CCCCOCSSS,0.3333333333333333,CCCCOCc1ccccc1
C=CC1C=CN(C)C=C1S,0.17307692307692307,C=C[C@]1(C)Cc2occ(C)c2CC1C(=C)C
CC(C=S)c1ccccc1,0.5833333333333334,CC(C=O)c1ccccc1
C=CC=C,0.2727272727272727,C=CCS
Cc1cc(CC(C)C)ccc1CCCO,0.2894736842105263,CC(C)c1ccc(CO)cc1
CCCCCOC(=O)OCCS,0.5357142857142857,CCCCCCCCCCOC(C)=O
CC1CCC(=S)C1=S,0.2903225806451613,CC(C)=C1CC[C@H](C)C2=C(C1)[C@@H](C)CC2
CCCOC,0.26666666666666666,CCCN
SC1CCSC1,0.23529411764705882,C1CSCCS1
CCSC(=O)CC1CCCCC1,0.37142857142857144,CC(=O)OCCC1CCCCC1
C1=CCCC1,0.3888888888888889,O=C1CCCCCCCC=CCCCCCCC1
CSCS(C)=O,0.2222222222222222,CSCCOC(C)=O
COCCN=CCCCC=O,0.34375,CC=CCCCCCCCC=O
CCC(C)CCC(C)C,0.42105263157894735,CCC(C)CN
CC(C)=COC(C)C,0.2692307692307692,CC(C)=CCCC(C)O
C=C(CCC)OCCCCOCCCC,0.4666666666666667,CCCCOC(=O)CCC
Cc1cc(N)cc(S)n1,0.2692307692307692,Cc1cccc(C)n1
CCOCC1=C(N)C=CCC1,0.3142857142857143,CCOCc1ccccc1
COc1ccc(C)c(C)n1,0.32142857142857145,COc1ccccc1C
C=CC(C)(O)CNC=S(C)C,0.3611111111111111,C=CC(C)(O)CC/C=C(\C)CO
CC(C)C,0.375,C[C@H](O)[C@@H](C)O
C=C(CC)CO,0.2777777777777778,CCC(=O)O
CC1=CCC(C)C(C)C1O,0.35294117647058826,C=C(C)C1CC=C(C)C(O)C1
CC1=CC(O)OC1C,0.2727272727272727,CC1=CC(O)C2CC1C2(C)C
CCS(=O)CCC(=O)NC,0.25925925925925924,CCCC(=O)C(=O)CCC
CSCCC[O-],0.47368421052631576,CSCCCN
CCCCSCCC,0.5555555555555556,CCCCSSCCC
CCNC(N)=O,0.38095238095238093,CCCC(N)=O
COC(OC)OCCCCN,0.3333333333333333,CCCCCN
CCSC(C)S(O)(O)CC,0.24,CCC(C)SSC(C)CC
CNN1CC=CC1C(C)=O,0.21428571428571427,CC(=O)C=O
CC(CC(=O)O)CS(C)(C)C,0.4782608695652174,CC(C)CC(=O)O
CCOC(=O)C1=CC=CCC1,0.40625,CC1=CC=CCC1
