SMILES,MaxSimilarity,NearestNeighbor
CCCOCC,0.6428571428571429,CCOCCOCCOCCOCCOCCOCC
COCCO,1.0,COCCO
CSS1=C(C)COC1,0.1875,CSc1ccc(C)o1
NCS,0.5555555555555556,NCCS
C=CC(S)CNCCCC,0.36666666666666664,CCCCNC=O
CCCCCCCC=CSO,0.5909090909090909,CCCCCCCC/C=C\CCCCCCCC
CCCOOC(C)OC,0.4,COC(C)OC
CCSSCO,0.35714285714285715,CCO
CCOCCOC,0.6666666666666666,COCCOCCOC
COCCCO,0.625,COCCO
CCCOC[NH-],0.375,CCCOCCC(C)=O
CCCC(C)=S,0.5333333333333333,CCC(C)=S
CCS1=CCC(O)C=C1,0.24390243902439024,O=C([O-])C(=O)CC1=CCC(O)C=C1
CCC(=O)C=O,0.5263157894736842,C=CC(=O)CC
C=CCC=CCC,0.5333333333333333,CC/C=C\CC
CC1C=CN=CC1,0.2916666666666667,C1=CN=CC1
C=C(CCCSCCCCC)OC(C)CCC,0.36585365853658536,CCCCCCCCC(C)OC(=O)CC
Cc1occc1CS,0.4074074074074074,Cc1occc1SSc1ccoc1C
NCCCCO,0.7692307692307693,NCCCO
C=C1CCCC(CO)O1,0.41379310344827586,OCC1CCCO1
C=C(C)C(C)C(C)=O,0.5263157894736842,CC(=O)C(C)C(=O)O
CSC=C(C)C,0.35714285714285715,CC=C(C)C
C1CC1,1.0,C1CCCCC1
C=C(SC)C1C=COCC1,0.2727272727272727,CC1C=COC1
CC(C)OC=N,0.3125,COC(C)C
C=CC(C)CC,0.47368421052631576,CCC(C)C=O
OCS1=CCC=CO1,0.28,C1=COC=CC1
CCCCCSC(=O)CC,0.625,CCCCCCCCSC(C)=O
CC1CCCC1=S,0.4,CC1CCCCC1=O
CC,1.0,CC
CC=CC(C)S,0.36363636363636365,C=C(C)C(C)/C=C/C
C=C(C)C(C)OC,0.35294117647058826,COC(C)C
CCOCC(=O)O,0.75,CCOCCOCC(=O)O
CCCCCSC,0.5,CCCCCC
C=C(C)C,1.0,C=C(C)C
C1CSCCN1,1.0,C1CSCCN1
CC(CCO)CCCSO,0.56,CC(C)CCCC(C)CCCC(C)CCO
CCOC(=S)CC(O)CC,0.4090909090909091,CCC(O)CC
C=C(O)CCC,0.5294117647058824,C=C(C)CCC
CCCCCCC(C)SCC,0.5217391304347826,CCCCCCCCCCCC(C)C
COC(C)(C)O,0.5,COC(C)(C)C
CCC(=O)C1=CCC(OC)=CC1,0.36585365853658536,CCC(=O)c1cc(OC)c(O)c(OC)c1O
CC1CCOC1,0.35294117647058826,CC1CCC(C)CC1
CC=NSCS,0.2727272727272727,CCSCS
CCC=C(C)C(=O)SC,0.36363636363636365,CSC(C)=O
C=CCOCC=CC,0.3333333333333333,CC=CCCC=CC
CC(=O)CCC(O)SCCO,0.4642857142857143,CC(=O)CCC(C)O
C=C(O)CCOCC,0.45454545454545453,CCOCCO
CC(=O)OCC1C=CC2=C(C1)OCC2,0.30434782608695654,CC(=O)OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
CCCCC,1.0,CCCCC
CCOCC(C)O,0.5454545454545454,CC(O)COCC(COCC(C)O)(COCC(C)O)COCC(C)O
C=C(CCC)C(O)CC,0.4090909090909091,C=C(C)CCC
OCC=CCO,0.6153846153846154,CC/C=C/CO
O=C(O)O,1.0,O=C(O)O
OSCS,0.3125,CCSCS
C=CCCCC=O,0.8235294117647058,C=CCCCCCCCCCCCCCCC=O
CC1=CC=CC1,0.4375,CC1=CC1
CC(O)S,0.5555555555555556,CC(C)O
NCCCC(=O)S,0.55,NCCCC(=O)O
CCC(CC)CCCS,0.4166666666666667,CCCCC(CC)CO
C=C1CC2CCC1C2(C)S,0.36363636363636365,C=C1CC[C@H]2C[C@@H]1C2(C)C
CCC(O)CC1=CCC=CS1,0.3103448275862069,CCC(O)CC
CCCCCC1OCCC1O,0.38235294117647056,CCCCC1CCCO1
CCC=CC(C)OCS,0.3181818181818182,CC/C=C\CC
CCC(O)SC,0.4117647058823529,CC[C@H](C)O
CSCSCSS,0.2777777777777778,CCSC
CCCC=CCC(=N)O,0.4782608695652174,CCC/C=C/CO
OS1=NC(OS)C(S)C=C1,0.13333333333333333,O[C@@H]1C=CC=C[C@@H]1O
C1CO1,1.0,C1CO1
CCCCc1cncs1,0.5714285714285714,OCCc1cncs1
CN(C)N,1.0,CN(C)N
C=C(C)c1cnc(C)o1,0.2727272727272727,CC(=O)c1ccc(C)o1
C=CCN,0.38461538461538464,C=CCO
CCCCCC1=CC(C)=CC1,0.34210526315789475,CCCCCCCCCCC1=CC(=O)C(C)=C(C)C1=O
COCCSO,0.4375,COCCOC
CC1=CC=CC(C)S1,0.3103448275862069,CC1=CC=C[C@H](O)[C@@H]1O
CC1=CC=C(CO)OC1,0.3333333333333333,CC1=C(CO)C(=O)OC1
CC1CC(C)(C)CCO1,0.3333333333333333,C[C@H]1CO1
C=C1C(S)OC(C)C1NC,0.2222222222222222,CC1OC(C)C(C)O1
CC(O)CCO,1.0,C[C@H](O)CCO
CSCN,0.4375,CSCCCN
CCOC,1.0,CCOC
CCOCCCCS,0.5,CCOCCCO
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,0.21428571428571427,CC(=O)c1cc2c(cc1C)C(C)(C)[C@@H](C)[C@@H]2C(C)C
CCCCC(CC)NO,0.4583333333333333,CCCCC(O)CC
CCC1=CC=CC1,0.3333333333333333,C1=CCC2=CC=CC2=C1
CCC(C)CCC(C)(C)CC,0.45454545454545453,CCCC(C)(C)CC
CC1CCCCO1,0.3888888888888889,C[C@H]1CO1
CC=CC(=O)SCCC(C)N,0.36363636363636365,CC(N)CCC(N)C(=O)O
CCCCCSO,0.5882352941176471,CCCSO
CNCCC=CCCCCCCCCCC=O,0.5769230769230769,CCCC/C=C\CCCCCCCCCC=O
CC1CCC(N)CS1,0.3157894736842105,NC1CC1
CC(=O)CSC(N)=O,0.4090909090909091,CC(=O)CC(N)=O
C=CNCCCCCCCSC(C)C,0.2727272727272727,CCCCNC=O
CC1=CCC=C1,0.36,C1=CC2=CCC=CC2=C1
OCCCS,0.5833333333333334,OCCS
CCC(=O)C(N)CC,0.5714285714285714,CC[C@@H](N)C(=O)O
CNC(=O)CC(C)C,0.52,CNC(=O)C[C@H](N)C(=O)O
CC1OCCO1,0.42857142857142855,C[C@H]1CO1
CCCCC1C=NOO1,0.2857142857142857,CCCCC1CCCO1
CCC=CCC,1.0,CC/C=C\CC
CSC(C)C(C)(C)O,0.3125,CC(C)(C)O
CCCCCC=CCS,0.6842105263157895,CCCCCCCC/C=C\CCCCCCCC
CSCCSCCCCCCCCS,0.38461538461538464,CSCCCCCCCCN
CCC1=CN=C(C)SO1,0.25,CCc1ccc(C)o1
C=CCCC,0.625,C=CCCCC
CC1=CCS2(O)CC1C2(C)S,0.32432432432432434,CC1=CC[C@@H]2C[C@H]1C2(C)C
CNC(=O)C1CC2CC1C(C)(C)C2,0.2903225806451613,CC12CC3CC(CC(C3)C1)C2
CC1CCSCC1,0.5,CC1CCC(C)CC1
CCC=CCCCSCC(=S)CC,0.4,CC/C=C\CCCC
NC1CCOC1,0.375,NC1CC1
CC1CCSCC1=S,0.2702702702702703,O=C(O)C1=N[C@@H](C(=O)O)CCSC1
CCC(C)OC(=O)C=C(C)C,0.4666666666666667,CCCC(=O)OC(C)CC
CC1=CSC(CCO)=CS1,0.3235294117647059,Cc1ncsc1CCO
CSOO,0.36363636363636365,CSO
CCCCCC,1.0,CCCCCC
CNCCCCCO,0.5555555555555556,CNCCO
CC=CC(N)=O,0.5,CC=CC(=O)O
CCC(O)CCCCO,0.9473684210526315,CCC(O)CCCCCCCCCO
C=CC=CC,1.0,C=C/C=C/C
C=CC(=C)CCCC(C)(S)CC,0.6,C=CC(=C)CCCC(C)(C)O
CC1(C)C2CCC(C2)C1O,0.4,C=C1CC[C@H]2C[C@@H]1C2(C)C
CC=COC,0.3333333333333333,CC=CC
CCCCC1=C(C)SC(C)S1,0.28125,CCCCc1ccccc1
CC1(C)C2=CC1C(OCC=O)=CC2,0.32558139534883723,CC1=CCC(CC=O)C1(C)C
CC(=O)OCO,0.5555555555555556,CCOC(C)=O
CC(N)CO,1.0,C[C@H](N)CO
CCCCCCC(C)C,1.0,CCCCCCCCCCCC(C)C
O=S(CO)c1ncco1,0.25806451612903225,OCc1ncccn1
CC1CCSC1,0.35294117647058826,CC1CCC(C)CC1
CC(S)c1ccc(O)cn1,0.4444444444444444,Oc1ccc(O)nc1
CC(=S)CC(C)S,0.3684210526315789,CCC(C)=S
CCCCC(C)C,0.75,CCCCCCCCCCCC(C)C
C=C(SC)C(S)CCCCCCCC,0.41379310344827586,CCCCCCCCC(O)CCCCCCC
CCC(=O)SC(C)C,0.36,CCC(=O)C(C)C(=O)O
CCNCCCC(O)C=O,0.5714285714285714,CCCCCCCCCCCCCCC(O)C=O
COCCOC(C)O,0.52,COCCOC(C)C(=O)O
C=CC(=C)NCC,0.36363636363636365,CCNC(=S)NCC
CC1=CSCCN1,0.24324324324324326,Cc1cccc2c1CCNC2=O
CSC(=O)CCCS,0.5,O=C(O)CCCS
C=CCOOC,0.3333333333333333,C=CCC
CC1CCCC1,1.0,CC1CCCC1
C=C(O)C=CC(CCC(=C)O)C(C)C,0.2558139534883721,CC(C)[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O
CC(O)CCC(O)SCCN,0.45454545454545453,CC(O)CCC(C)O
OCCCc1cccnc1,0.6296296296296297,OCc1cccnc1
C=CCOCCCCCCCC,0.5483870967741935,C=CCOC(=O)C(=O)OCCCCCCCCCCCCCCCCCC
C1=COCC1,1.0,C1=COCC1
CCC(O)S,0.5,CC[C@H](C)O
CC=CC=CC(=O)CSCC,0.4375,CC=CC=CC(=O)OCC
CC=COCC,0.42105263157894735,CCOC=O
