SMILES,MaxSimilarity,NearestNeighbor
CCCOCC,0.47368421052631576,CCOCCCO
COCCO,0.35,CCCCCCOC
CSS1=C(C)COC1,0.22580645161290322,Cc1cc(SSc2cc(C)oc2C)c(C)o1
NCS,0.42857142857142855,SCS
C=CC(S)CNCCCC,0.34375,C=CC(O)CCCC
CCCCCCCC=CSO,0.5909090909090909,CCCCCCC=CCCCCCCCCC
CCCOOC(C)OC,0.4,COC(C)OC
CCSSCO,0.6153846153846154,CCSSCC
CCOCCOC,0.42857142857142855,CCOCCCO
COCCCO,0.5,CCOCCCO
CCCOC[NH-],0.391304347826087,CCCOCC(C)O
CCCC(C)=S,0.4444444444444444,CCCC(C)=O
CCS1=CCC(O)C=C1,0.21875,CCC1CCC1O
CCC(=O)C=O,0.5263157894736842,C=CC(=O)CC
C=CCC=CCC,0.5,CC/C=C/CC=O
CC1C=CN=CC1,0.1875,CC(=O)C1CCC=N1
C=C(CCCSCCCCC)OC(C)CCC,0.4,CCCCCC(C)OC(=O)CCC
Cc1occc1CS,0.48,Cc1occc1S
NCCCCO,0.5384615384615384,OCCCCCO
C=C1CCCC(CO)O1,0.41379310344827586,OCC1CCCO1
C=C(C)C(C)C(C)=O,0.47058823529411764,CC(=O)C(C)C
CSC=C(C)C,0.29411764705882354,CSC(C)=O
C1CC1,0.3333333333333333,C1CCNCC1
C=C(SC)C1C=COCC1,0.24390243902439024,C=C(C)[C@H]1C=C[C@](C)(O)CC1
CC(C)OC=N,0.4444444444444444,CC(C)OC=O
C=CC(C)CC,0.47368421052631576,CCC(C)C=O
OCS1=CCC=CO1,0.17142857142857143,OCC1CC(O)CC(O)O1
CCCCCSC(=O)CC,0.4444444444444444,C=CCSC(=O)CC
CC1CCCC1=S,0.44,CC1CCCC(=O)C1=O
CC,0.25,CS
CC=CC(C)S,0.4444444444444444,C/C=C/C(C)O
C=C(C)C(C)OC,0.3333333333333333,COC(C)OC
CCOCC(=O)O,0.4444444444444444,CCC(=O)O
CCCCCSC,0.5789473684210527,CCCCCSSC
C=C(C)C,0.35714285714285715,C=C(C)CCO
C1CSCCN1,0.4166666666666667,C1CNCCN1
CC(CCO)CCCSO,0.56,CC(C)CCCC(C)CCO
CCOC(=S)CC(O)CC,0.4090909090909091,CCC(O)CC
C=C(O)CCC,0.4444444444444444,CCCC(=O)O
CCCCCCC(C)SCC,0.5217391304347826,CCCCCCCCCCCCC(C)C
COC(C)(C)O,0.45454545454545453,CC(C)(C)O
CCC(=O)C1=CCC(OC)=CC1,0.3142857142857143,CCC(=O)c1ccccc1
CC1CCOC1,0.35294117647058826,CC1CCC(C)CC1
CC=NSCS,0.3157894736842105,CSCS
CCC=C(C)C(=O)SC,0.5416666666666666,CC/C=C(\C)C(=O)O
C=CCOCC=CC,0.3793103448275862,C=CCOC(=O)/C=C/C
CC(=O)CCC(O)SCCO,0.39285714285714285,CC(=O)CCSCCC(C)=O
C=C(O)CCOCC,0.4166666666666667,CCOCCCO
CC(=O)OCC1C=CC2=C(C1)OCC2,0.36363636363636365,CC(=O)OCC1CCCO1
CCCCC,1.0,CCCCC
CCOCC(C)O,0.6190476190476191,CCCOCC(C)O
C=C(CCC)C(O)CC,0.375,C=CC(O)CC
OCC=CCO,0.6153846153846154,CC/C=C\CO
O=C(O)O,0.5714285714285714,O=C(O)C(=O)O
OSCS,0.38461538461538464,CSCS
C=CCCCC=O,0.8235294117647058,C=CCCCCCCCCC=O
CC1=CC=CC1,0.55,CC1=CC=CCC1
CC(O)S,0.6363636363636364,CC(O)C(C)S
NCCCC(=O)S,0.55,NCCCC(=O)O
