MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
88.14999999999999,1.4329,1,0,9.23,3,0,6,0,Generated
76.095,-0.37489999999999996,2,1,29.46,2,0,5,0,Generated
150.268,1.7133,2,0,9.23,1,0,8,1,Generated
63.125,-0.16759999999999992,2,2,26.02,0,0,3,0,Generated
159.29799999999997,1.8604999999999998,2,2,12.03,6,0,10,0,Generated
174.309,4.066800000000003,2,1,20.23,7,0,11,0,Generated
134.17499999999998,1.337,3,0,27.69,5,0,9,0,Generated
124.22999999999999,1.3375,3,1,20.23,3,0,6,0,Generated
104.149,0.6693,2,0,18.46,4,0,7,0,Generated
90.122,0.015200000000000047,2,1,29.46,3,0,6,0,Generated
88.13,1.4227,1,0,33.03,3,0,6,0,Generated
102.202,2.1763000000000003,1,0,0.0,2,0,6,0,Generated
144.239,1.3557,1,1,20.23,1,0,9,1,Generated
86.08999999999999,0.1644,2,0,34.14,2,0,6,0,Generated
96.17299999999999,2.5287000000000006,0,0,0.0,3,0,7,0,Generated
95.145,1.6107,1,0,12.36,0,0,7,1,Generated
258.47099999999995,5.408900000000005,2,0,9.23,12,0,17,0,Generated
128.196,2.01782,2,1,13.14,1,1,8,1,Generated
89.13799999999999,-0.28239999999999993,2,2,46.25,3,0,6,0,Generated
128.171,1.0615,2,1,29.46,1,0,9,1,Generated
112.17199999999998,1.7876,1,0,17.07,2,0,8,0,Generated
102.202,2.2731000000000003,1,0,0.0,1,0,6,0,Generated
42.080999999999996,1.1703,0,0,0.0,0,0,3,1,Generated
156.24999999999994,2.4133000000000004,2,0,9.23,2,0,10,1,Generated
87.122,1.01847,2,1,33.08,2,0,6,0,Generated
84.16199999999999,2.2184999999999997,0,0,0.0,2,0,6,0,Generated
132.18399999999997,0.8563,2,1,29.46,1,0,8,1,Generated
160.28199999999998,2.846400000000001,2,0,17.07,5,0,10,0,Generated
114.213,2.1763000000000003,1,0,0.0,0,0,7,1,Generated
30.07,1.0262,0,0,0.0,0,0,2,0,Generated
102.20200000000001,1.8808000000000002,1,1,0.0,1,0,6,0,Generated
100.16099999999999,1.5974,1,0,9.23,2,0,7,0,Generated
