SMILES,MaxSimilarity,NearestNeighbor
CCCOCC,0.5555555555555556,CCCCCCCOCC
COCCO,0.6470588235294118,COCCOCCO
CSS1=C(C)COC1,0.17142857142857143,CSSc1ccoc1C
NCS,0.375,SCCS
C=CC(S)CNCCCC,0.34375,C=CC(O)CCCC
CCCCCCCC=CSO,0.5909090909090909,CCCCCC=CCCCCCC
CCCOOC(C)OC,0.3333333333333333,CCC(C)OC
CCSSCO,0.35714285714285715,CCO
CCOCCOC,0.5,COCCOCCO
COCCCO,0.5,CCOCCCO
CCCOC[NH-],0.3181818181818182,CCCOC=O
CCCC(C)=S,0.4444444444444444,CCCC(C)=O
CCS1=CCC(O)C=C1,0.23529411764705882,CC(C)(C)C1C=CC(O)CC1
CCC(=O)C=O,0.5263157894736842,C=CC(=O)CC
C=CCC=CCC,0.5,CCC=CCC=O
CC1C=CN=CC1,0.2692307692307692,CC1C=CCC1
C=C(CCCSCCCCC)OC(C)CCC,0.47368421052631576,CCCCCC(=O)OC(C)CCC
Cc1occc1CS,0.4230769230769231,Cc1occc1[S-]
NCCCCO,0.5833333333333334,OCCCCO
C=C1CCCC(CO)O1,0.41379310344827586,OCC1CCCO1
C=C(C)C(C)C(C)=O,0.47058823529411764,CC(=O)C(C)C
CSC=C(C)C,0.29411764705882354,CSC(C)=O
C1CC1,1.0,C1CCCCC1
C=C(SC)C1C=COCC1,0.21951219512195122,C=C(C)C1C=CC(C)=CC1
CC(C)OC=N,0.3157894736842105,CCOC(C)OCC
C=CC(C)CC,0.47619047619047616,C=CC(C)CCO
OCS1=CCC=CO1,0.15625,OCCc1ccccc1
CCCCCSC(=O)CC,0.44,CCCCCC(=O)CC
CC1CCCC1=S,0.4782608695652174,CC1CCCC1=O
CC,0.25,CS
CC=CC(C)S,0.4444444444444444,CC=CC(C)O
C=C(C)C(C)OC,0.3076923076923077,C=C(C)C(C)CC=C(C)C
CCOCC(=O)O,0.38095238095238093,CCOC(=O)OCC
CCCCCSC,0.5263157894736842,CSCCCCO
C=C(C)C,0.625,C=C(C)C(=C)C
C1CSCCN1,0.35714285714285715,C1CCSC1
CC(CCO)CCCSO,0.56,CC(C)CCCC(C)CCO
CCOC(=S)CC(O)CC,0.4090909090909091,CCC(O)CC
C=C(O)CCC,1.0,C=C(O)CCC
CCCCCCC(C)SCC,0.5217391304347826,CCCCCCCCCCCCCCCC(C)C
COC(C)(C)O,0.3888888888888889,COC(=O)C(C)(C)O
CCC(=O)C1=CCC(OC)=CC1,0.3142857142857143,CCC(=O)c1ccccc1
CC1CCOC1,0.3157894736842105,CC1CCCC1
CC=NSCS,0.25,CC=CCCS
CCC=C(C)C(=O)SC,0.52,CCC=C(C)C(=O)[O-]
C=CCOCC=CC,0.34615384615384615,C=CC=CCC=CC
CC(=O)CCC(O)SCCO,0.42857142857142855,CC(=O)CCC(C)C
C=C(O)CCOCC,0.47619047619047616,C=C(O)CCC
CC(=O)OCC1C=CC2=C(C1)OCC2,0.36363636363636365,CC(=O)OCC1CCCO1
CCCCC,1.0,CCCCC
CCOCC(C)O,0.4444444444444444,CCC(C)O
C=C(CCC)C(O)CC,0.4090909090909091,C=C(C)CCC
OCC=CCO,0.6153846153846154,CCC=CCO
O=C(O)O,0.375,CC(C)=O
OSCS,0.2727272727272727,SCCS
C=CCCCC=O,0.8235294117647058,C=CCCCCCCCCC=O
CC1=CC=CC1,0.2903225806451613,CC1=CCCC(C)=CCC(C)(C)C=CC1
CC(O)S,0.6363636363636364,CC(O)C(C)S
NCCCC(=O)S,0.2916666666666667,CCCCCC(=O)CCCCC
CCC(CC)CCCS,0.4166666666666667,CCCCC(CC)CO
C=C1CC2CCC1C2(C)S,0.6296296296296297,C=C1CC2CCC1C2(C)C
CCC(O)CC1=CCC=CS1,0.3103448275862069,CCC(O)CC
CCCCCC1OCCC1O,0.34210526315789475,CCCCCC1CCC(=O)O1
CCC=CC(C)OCS,0.27586206896551724,CCC=CC(C)=O
CCC(O)SC,0.4117647058823529,CCC(C)O
CSCSCSS,0.5,CSCSCSSC
CCCC=CCC(=N)O,0.4782608695652174,CCCC=CCO
OS1=NC(OS)C(S)C=C1,0.10256410256410256,OCCOc1ccccc1
C1CO1,0.8333333333333334,C1COCCO1
CCCCc1cncs1,0.3939393939393939,CCCCCc1cccs1
CN(C)N,0.25,CN(C)C=O
C=C(C)c1cnc(C)o1,0.3103448275862069,C=C(C)c1ccc(C)cc1
C=CCN,0.2777777777777778,C=CCCCC
CCCCCC1=CC(C)=CC1,0.3783783783783784,CCCCCCCCC1=CCC(=O)O1
COCCSO,0.34782608695652173,COCCOCCO
CC1=CC=CC(C)S1,0.18421052631578946,Cc1coc2c1CCC(C)C2
CC1=CC=C(CO)OC1,0.2647058823529412,C=C(C)C1=CC=C(C)CC1
CC1CC(C)(C)CCO1,0.25,CC1(C)CC2C(C1)C1(C)CCCC2(C)C1O
C=C1C(S)OC(C)C1NC,0.175,C=C1C(O)CC2(C(C)C)CC12
CC(O)CCO,0.5625,CC(C)CCO
CSCN,0.4166666666666667,CCSC
CCOC,0.38461538461538464,CCOCOCC
CCOCCCCS,0.5714285714285714,CCCCCCCOCC
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,0.20754716981132076,Cc1ccc2c(c1O)C(C(C)C)CCC2C
CCCCC(CC)NO,0.4583333333333333,CCCCC(O)CC
CCC1=CC=CC1,0.2857142857142857,CCC1=CCCC=C1
CCC(C)CCC(C)(C)CC,0.5,CCC(C)CCCC(C)(C)O
CC1CCCCO1,0.3684210526315789,CC1CCCC1
CC=CC(=O)SCCC(C)N,0.35294117647058826,CC=CC(=O)C(C)CC
CCCCCSO,0.4666666666666667,CCCCCC
CNCCC=CCCCCCCCCCC=O,0.5384615384615384,CCCC=CCCCCC=O
CC1CCC(N)CS1,0.2608695652173913,CC1SCCS1
CC(=O)CSC(N)=O,0.3888888888888889,CC(N)=O
C=CNCCCCCCCSC(C)C,0.225,C=CCCCCCCCCC(=O)OC
CC1=CCC=C1,0.32142857142857145,CC1=CCC(C(C)C)C=C1
OCCCS,0.7142857142857143,OCCCCCS
CCC(=O)C(N)CC,0.5,CCC(=O)C(O)CC
CNC(=O)CC(C)C,0.5,CC(C)CC(=O)CC(C)C
CC1OCCO1,0.3333333333333333,CC1OCCC1=O
CCCCC1C=NOO1,0.28125,CCCCC1CCCCC1
CCC=CCC,0.6153846153846154,CCC=CCO
CSC(C)C(C)(C)O,0.3157894736842105,CSC(C)S
CCCCCC=CCS,0.6842105263157895,CCCCCC=CCCCCCC
CSCCSCCCCCCCCS,0.375,CCCCCCS
CCC1=CN=C(C)SO1,0.24242424242424243,CCc1sc(C)nc1C
C=CCCC,0.625,C=CCCCC
CC1=CCS2(O)CC1C2(C)S,0.34210526315789475,CC1=CCC2(O)CC1C2(C)C
CNC(=O)C1CC2CC1C(C)(C)C2,0.22727272727272727,CC12CCCC(O)(C1)C1CC(C)(C)C1CC2
CC1CCSCC1,0.4375,CC1CCCC1
CCC=CCCCSCC(=S)CC,0.3548387096774194,CCC=CCCO
NC1CCOC1,0.23529411764705882,C1COCCO1
CC1CCSCC1=S,0.25,O=C1CCSC1
CCC(C)OC(=O)C=C(C)C,0.5769230769230769,CCC(C)OC(C)=O
CC1=CSC(CCO)=CS1,0.3235294117647059,Cc1ncsc1CCO
CSOO,0.3,CSC
CCCCCC,1.0,CCCCCC
CNCCCCCO,0.5,OCCCCCCCCCCCCCCO
CC=CC(N)=O,0.5,CC=CC(C)=O
CCC(O)CCCCO,0.6666666666666666,CCCCCC(O)CC
C=CC=CC,0.47368421052631576,C=CC=CCC=CC
C=CC(=C)CCCC(C)(S)CC,0.35294117647058826,C=CC(=C)CCC=C(C)C
CC1(C)C2CCC(C2)C1O,0.4,C=C1CCC2CC1C2(C)C
CC=COC,0.3333333333333333,COC=O
CCCCC1=C(C)SC(C)S1,0.28125,CCCCc1ccccc1
CC1(C)C2=CC1C(OCC=O)=CC2,0.2391304347826087,CC1=C(CC=O)C(C)(C)CCC1
CC(=O)OCO,0.5555555555555556,CCOC(C)=O
CC(N)CO,0.5384615384615384,CC(C)CO
CCCCCCC(C)C,1.0,CCCCCCCCCCCCCCCC(C)C
O=S(CO)c1ncco1,0.23529411764705882,OCc1ccco1
CC1CCSC1,0.3157894736842105,CC1CCCC1
CC(S)c1ccc(O)cn1,0.3448275862068966,CC(C)c1ccc(O)cc1
CC(=S)CC(C)S,0.3333333333333333,CC(=O)C(C)S
CCCCC(C)C,1.0,CCCCC(C)C
C=C(SC)C(S)CCCCCCCC,0.4,CCCCCC([NH3+])S
CCC(=O)SC(C)C,0.391304347826087,CCC(=O)C(C)O
CCNCCCC(O)C=O,0.3548387096774194,C=CC(O)CCCC
COCCOC(C)O,0.375,COCCOCCO
C=CC(=C)NCC,0.35,C=CC(=C)C
CC1=CSCCN1,0.20689655172413793,Cc1nccs1
CSC(=O)CCCS,0.34615384615384615,CCCC(=O)CCS
C=CCOOC,0.34615384615384615,C=CCOC(=O)CC
CC1CCCC1,1.0,CC1CCCC1
C=C(O)C=CC(CCC(=C)O)C(C)C,0.3103448275862069,C=C(O)CCC
CC(O)CCC(O)SCCN,0.34615384615384615,CCCC(C)O
OCCCc1cccnc1,0.5555555555555556,OCCCc1ccccc1
C=CCOCCCCCCCC,0.5416666666666666,CCCCCCCOCC
C1=COCC1,0.23529411764705882,C1=CCCCC1
CCC(O)S,0.5,CCC(C)O
CC=CC=CC(=O)CSCC,0.4375,CC=CC=CC(=O)OCC
CC=COCC,0.42105263157894735,CCOC=O
CCC(CC)CS,0.3333333333333333,CCC(C)C
C=CCCSC,0.5,CSCCC=O
[NH-]CCCS,0.5,SCCCS
OCCC(O)S,0.42857142857142855,CCCC(S)CCO
CC(C)=CC=N,0.4117647058823529,CC(C)=CC=O
CC(C)OC(C)C,0.29411764705882354,CC(=O)OC(C)C
CCC(C)C=S,0.47368421052631576,CCC(C)C=O
O=CCCC=O,0.6363636363636364,O=CCCCC=O
CCCCCC=COC1CCCC1C,0.4166666666666667,CCCCCCC=COO
COC1=C=C=C(CCCS)N=C1,0.25,COCCCCCS
