SMILES,MaxSimilarity,NearestNeighbor
CCCOCC,0.5384615384615384,CCOCC
COCCO,0.6470588235294118,COCCOCCO
CSS1=C(C)COC1,0.24242424242424243,CSSc1cc(C)oc1C
NCS,0.42857142857142855,SCS
C=CC(S)CNCCCC,0.34375,C=CC(O)CCCC
CCCCCCCC=CSO,0.5909090909090909,CCCCCCC=CCCCCCCCCC
CCCOOC(C)OC,0.43478260869565216,CCCOC(C)OCCC
CCSSCO,0.6153846153846154,CCSSCC
CCOCCOC,0.5,COCCOCCO
COCCCO,0.5,CCOCCCO
CCCOC[NH-],0.3333333333333333,CCCOC(C)OCCC
CCCC(C)=S,0.4444444444444444,CCCC(C)=O
CCS1=CCC(O)C=C1,0.20512820512820512,C=C(C)C1C=CC(C)=CC1
CCC(=O)C=O,0.5263157894736842,C=CC(=O)CC
C=CCC=CCC,0.5,CCC=CCC=O
CC1C=CN=CC1,0.25,CC1C=CCCC1
C=C(CCCSCCCCC)OC(C)CCC,0.4,CCCCCC(C)OC(=O)CCC
Cc1occc1CS,0.48,Cc1occc1S
NCCCCO,0.5833333333333334,NCCCCN
C=C1CCCC(CO)O1,0.41379310344827586,OCC1CCCO1
C=C(C)C(C)C(C)=O,0.47058823529411764,CC(=O)C(C)C
CSC=C(C)C,0.29411764705882354,CSC(C)=O
C1CC1,0.3333333333333333,C1CCNCC1
C=C(SC)C1C=COCC1,0.24390243902439024,C=C(C)C1C=CC(C)(O)CC1
CC(C)OC=N,0.4444444444444444,CC(C)OC=O
C=CC(C)CC,0.47368421052631576,CCC(C)C=O
OCS1=CCC=CO1,0.16666666666666666,C1=CCOC=C1
CCCCCSC(=O)CC,0.4444444444444444,C=CCSC(=O)CC
CC1CCCC1=S,0.44,CC1CCCC(=O)C1=O
CC,0.25,CS
CC=CC(C)S,0.4444444444444444,CC=CC(C)O
C=C(C)C(C)OC,0.3333333333333333,COC(C)OC
CCOCC(=O)O,0.4444444444444444,CCC(=O)O
CCCCCSC,0.9333333333333333,CCCCCCCCSC
C=C(C)C,0.4166666666666667,C=C(C)C=O
C1CSCCN1,0.4166666666666667,C1CNCCN1
CC(CCO)CCCSO,0.56,CC(C)CCCC(C)CCO
CCOC(=S)CC(O)CC,0.41379310344827586,CCCCCC(=S)OCC
C=C(O)CCC,0.4444444444444444,CCCC(=O)O
CCCCCCC(C)SCC,0.5217391304347826,CCCCCCCCCCCCCCCCCCCCC(C)C
COC(C)(C)O,0.5,COC(C)(C)C
CCC(=O)C1=CCC(OC)=CC1,0.3888888888888889,CCC(=O)c1ccc(OC)cc1
CC1CCOC1,0.3,CC(C)=CC1CC(C)CCO1
CC=NSCS,0.3157894736842105,CSCS
CCC=C(C)C(=O)SC,0.5416666666666666,CCC=C(C)C(=O)O
C=CCOCC=CC,0.4,C=CCOCCO
CC(=O)CCC(O)SCCO,0.39285714285714285,CC(=O)CCSCCC(C)=O
C=C(O)CCOCC,0.4166666666666667,CCOCCCO
CC(=O)OCC1C=CC2=C(C1)OCC2,0.3829787234042553,CC(=O)OCC1CC(C)=CC(C)C1
CCCCC,0.75,CCCCCC
CCOCC(C)O,0.7058823529411765,CC(O)COCC(C)O
C=C(CCC)C(O)CC,0.375,C=CC(O)CC
OCC=CCO,0.6153846153846154,CCC=CCO
O=C(O)O,0.5,CC(=O)O
OSCS,0.38461538461538464,CSCS
C=CCCCC=O,0.8235294117647058,C=CCCCCCCCCC=O
CC1=CC=CC1,0.55,CC1=CC=CCC1
CC(O)S,0.6363636363636364,CC(O)C(C)S
NCCCC(=O)S,0.55,NCCCC(=O)O
CCC(CC)CCCS,0.5454545454545454,CCCCC(CC)CS
C=C1CC2CCC1C2(C)S,0.36363636363636365,C=C1CCC2CC1C2(C)C
CCC(O)CC1=CCC=CS1,0.3611111111111111,CCC(O)Cc1ccccc1
CCCCCC1OCCC1O,0.5,CCCCCCC1OCCO1
CCC=CC(C)OCS,0.36666666666666664,CCC=CCCOC(C)OCCC=CCC
CCC(O)SC,0.4117647058823529,CCC(C)O
CSCSCSS,0.6666666666666666,CSCSCSC
CCCC=CCC(=N)O,0.5833333333333334,CCCC=CCC(=O)O
OS1=NC(OS)C(S)C=C1,0.13043478260869565,CCOC(=O)C1CC2C=CC1C2
C1CO1,0.19047619047619047,O=C1CCCCCCCCCOCCCCCO1
CCCCc1cncs1,0.46875,CCCCc1ncsc1C
CN(C)N,0.42857142857142855,CN(C)C
C=C(C)c1cnc(C)o1,0.6296296296296297,CC(=O)c1cnc(C)o1
C=CCN,0.38461538461538464,C=CCO
CCCCCC1=CC(C)=CC1,0.3888888888888889,CCCCCC1=CCC(=O)O1
COCCSO,0.34782608695652173,COCCOCCO
CC1=CC=CC(C)S1,0.22580645161290322,CC1=NC(C)SC(C)S1
CC1=CC=C(CO)OC1,0.26666666666666666,Cc1ccc(CO)cc1
CC1CC(C)(C)CCO1,0.41379310344827586,CC1CC(C)(C)CC(=O)O1
C=C1C(S)OC(C)C1NC,0.25,CC1CC(S)C(C)O1
CC(O)CCO,0.5625,CC(C)CCO
CSCN,0.4375,CSCCCN
CCOC,0.45454545454545453,CCOCC
CCOCCCCS,0.5,CCOCCCO
CC(C)C1=CN2C(=CS1)C(C)(C)C(C)S2(C)C,0.21428571428571427,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)C2C(C)C
CCCCC(CC)NO,0.4583333333333333,CCCCC(O)CC
CCC1=CC=CC1,0.3076923076923077,CC1=CC=CCC1
CCC(C)CCC(C)(C)CC,0.6,CCC(C)CCC(C)(O)CC
CC1CCCCO1,0.38461538461538464,CC1CCCC(=O)O1
CC=CC(=O)SCCC(C)N,0.35294117647058826,CC=CC(=O)C(C)CC
CCCCCSO,0.5,CCCCCCCCSC
CNCCC=CCCCCCCCCCC=O,0.5769230769230769,CCCCCCCCC=CCCCCCCCC=O
CC1CCC(N)CS1,0.32,CC1CSCS1
CC(=O)CSC(N)=O,0.47619047619047616,CSCC(C)=O
C=CNCCCCCCCSC(C)C,0.2619047619047619,C=CCCCCCCCCC(=O)OCC(C)C
CC1=CCC=C1,0.4090909090909091,CC1=CCC=CC1
OCCCS,0.5,SCCCS
CCC(=O)C(N)CC,0.47619047619047616,CCC(=O)C(C)C
CNC(=O)CC(C)C,0.5,CC(C)CC(=O)CC(C)C
CC1OCCO1,0.3684210526315789,CC1COC(C)O1
CCCCC1C=NOO1,0.34210526315789475,CCCCC1C=C(C)CC(C)O1
CCC=CCC,0.6153846153846154,CCC=CCO
CSC(C)C(C)(C)O,0.3684210526315789,CC(C)C(C)(O)C(C)C
CCCCCC=CCS,0.6842105263157895,CCCCCCC=CCCCCCCCCC
CSCCSCCCCCCCCS,0.4,SCCCCCCS
CCC1=CN=C(C)SO1,0.3125,CCc1cnc(C)s1
C=CCCC,0.5555555555555556,C=CCCCCCC
CC1=CCS2(O)CC1C2(C)S,0.32432432432432434,CC1=CCC2CC1C2(C)C
CNC(=O)C1CC2CC1C(C)(C)C2,0.6363636363636364,COC(=O)C1CC2CC1C(C)(C)C2
CC1CCSCC1,0.35714285714285715,C1CSCCS1
CCC=CCCCSCC(=S)CC,0.41935483870967744,CCC=CCCCO
NC1CCOC1,0.2608695652173913,C1CCCCCC2COCC2CCCC1
CC1CCSCC1=S,0.25,O=C1CCSC1
CCC(C)OC(=O)C=C(C)C,0.6153846153846154,CC(C)=CC(=O)OC(C)C
CC1=CSC(CCO)=CS1,0.3548387096774194,Cc1ccccc1CCO
CSOO,0.3,CSC
CCCCCC,1.0,CCCCCC
CNCCCCCO,0.45,CCCCCCCCO
CC=CC(N)=O,0.5,CC=CC(=O)O
CCC(O)CCCCO,0.6666666666666666,CCCCCC(O)CC
C=CC=CC,1.0,C=CC=CC
C=CC(=C)CCCC(C)(S)CC,0.6,C=CC(=C)CCCC(C)(C)O
CC1(C)C2CCC(C2)C1O,0.5172413793103449,CC(O)C1C2CCC(C2)C1(C)C
CC=COC,0.3333333333333333,COC=O
CCCCC1=C(C)SC(C)S1,0.3055555555555556,CCCCc1ncsc1C
CC1(C)C2=CC1C(OCC=O)=CC2,0.325,Cc1ccc(OCC=O)cc1
CC(=O)OCO,0.5882352941176471,CC(=O)OCCOC(C)=O
CC(N)CO,0.5384615384615384,CC(C)CO
CCCCCCC(C)C,1.0,CCCCCCCCCCCCCCCCCCCCC(C)C
O=S(CO)c1ncco1,0.36363636363636365,CC(=O)c1ncco1
CC1CCSC1,0.30434782608695654,CC1CSCS1
CC(S)c1ccc(O)cn1,0.3448275862068966,CC(C)c1ccc(O)cc1
CC(=S)CC(C)S,0.5238095238095238,CC(=O)CC(C)S
CCCCC(C)C,0.75,CCCCCCCCCCCCCCCCCCCCC(C)C
C=C(SC)C(S)CCCCCCCC,0.41379310344827586,CCCCCC(C)S
CCC(=O)SC(C)C,0.5909090909090909,CC(C)CC(=O)SC(C)C
CCNCCCC(O)C=O,0.3548387096774194,C=CC(O)CCCC
COCCOC(C)O,0.375,COCCOCCO
C=CC(=C)NCC,0.3333333333333333,C=CC(=O)CC
CC1=CSCCN1,0.4827586206896552,CC(=O)C1=CSCCN1
CSC(=O)CCCS,0.5652173913043478,CCCCCC(=O)SC
C=CCOOC,0.42857142857142855,C=CCOC=O
CC1CCCC1,0.42105263157894735,CC1CCCC(O)C1
C=C(O)C=CC(CCC(=C)O)C(C)C,0.5294117647058824,C=C(C)C=CC(CCC(C)=O)C(C)C
CC(O)CCC(O)SCCN,0.43478260869565216,CC(O)CN
OCCCc1cccnc1,0.5862068965517241,CCCc1cccnc1
C=CCOCCCCCCCC,0.6153846153846154,CCCCCCCCOCC=O
C1=COCC1,0.2857142857142857,C1=CCOC=C1
CCC(O)S,0.5384615384615384,CCC(S)S
CC=CC=CC(=O)CSCC,0.4375,CC=CC=CC(=O)OCC
CC=COCC,0.42105263157894735,CCOC=O
CCC(CC)CS,0.5789473684210527,CCCCC(CC)CS
C=CCCSC,0.5,CSCCC=O
[NH-]CCCS,0.5,SCCCS
OCCC(O)S,0.42857142857142855,CCCC(S)CCO
CC(C)=CC=N,0.4117647058823529,CC(C)=CC=O
CC(C)OC(C)C,0.3125,CC(C)OC=O
CCC(C)C=S,0.47368421052631576,CCC(C)C=O
O=CCCC=O,0.6363636363636364,O=CCCCC=O
CCCCCC=COC1CCCC1C,0.42857142857142855,CCCCCCCCC=COC
COC1=C=C=C(CCCS)N=C1,0.23076923076923078,COc1ccc(CS)cc1
OOCC(O)O,0.3157894736842105,CC(O)COCC(C)O
C1COSSC1,0.21052631578947367,C1CCSC1
C=CCCCOCCCC,0.5652173913043478,C=CCCCCCC
