SMILES,MaxSimilarity,NearestNeighbor
C=CC(CC)CCCCCCCCCC,0.5555555555555556,C=CC(O)CCCCCC
CCCC(CC)CCC,0.42857142857142855,CCCCC(CC)CO
C=C(C)CC(CCCCCCCCCC)C(C)CC,0.41935483870967744,CCCCCCCC(C)O
C=C(C)CCCC,0.4583333333333333,C=C(C)CCCCC(C)O
CC(C)CCC(C)C(C)C,0.42857142857142855,CC(C)CCC(CO)C(C)C
CC1C=CCC(C)C1,0.25,C1=CC2C(C1)C1CC2C2C3C=CC(C3)C12
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCC
CCCCCC(C)CCC(C)C,0.5416666666666666,CCCCCCCCCC(C)CO
C1=CCC(CCC2CCCCC2)CC1,0.4074074074074074,OCCC1CCCCC1
C=C(C)CCCC(C)(C)CC,0.4,C=C(CC)CCCC(C)(C)O
C=CCC(=C)CCC,0.4,C=CC(=O)CCC
CCC(C)C(CC)CC,0.4,CCC(C)O
C=C(C)CCCCCCCC,0.5454545454545454,CCCCCCC(C)=O
C=C(CCCCCCC)CCC1C=CC=C1,0.34375,CCCCCCC(=O)CCCCCC
CCC1C=CC=CCCCCCCC1,0.2857142857142857,CC(=O)O.CCC1CCCCC1
CC1CCCC=CCCCCCCCC1,0.39285714285714285,CC1CCCCCCCCCCC(=O)CC1
CCCCCCC=CC=N,0.6,CCCCCCC=CC=O
C=CC(CC)CCCCC,0.5384615384615384,C=CC(O)CCCCC
CC=CCCCCCC(CC)CC,0.48148148148148145,CC=CCCCCCCCC=O
CCCCCCCCCC(C)C(CC)CC,0.5384615384615384,CCCCCCCCCC(C)C(OC)OC
C=C(C)C(CC)CCCC,0.4642857142857143,CCCCC(CO)C(C)=O
CC1C=CCC1,0.30303030303030304,CCOC(=O)CC1C=CCC1
CCC(C)C(C)CC=N,0.2916666666666667,CCC(C)C=O
CCCCCCCC1C=CC(C)C1,0.375,CCCCCCC1OCCO1
C=C(C)CCC(CC)CC,0.4074074074074074,C=C(C)CCCCC(C)O
C=C(CCCCC(C)CC(C)C)CC(C)C,0.36363636363636365,C=C(C)CCCCC(C)O
