MW,LogP,HBA,HBD,TPSA,RotBonds,AromaticRings,HeavyAtoms,RingCount,Source
210.40499999999994,5.729400000000005,0,0,0.0,11,0,15,0,Generated
128.259,3.6128000000000027,0,0,0.0,5,0,9,0,Generated
266.5129999999999,7.145700000000007,0,0,0.0,13,0,19,0,Generated
98.189,2.752700000000001,0,0,0.0,3,0,7,0,Generated
142.28599999999997,3.714700000000003,0,0,0.0,4,0,10,0,Generated
110.2,2.608600000000001,0,0,0.0,0,0,8,1,Generated
268.5289999999999,7.657900000000008,0,0,0.0,16,0,19,0,Generated
170.34,4.639000000000005,0,0,0.0,7,0,12,0,Generated
192.34599999999995,4.703200000000004,0,0,0.0,3,0,14,2,Generated
154.29699999999997,4.169000000000003,0,0,0.0,5,0,11,0,Generated
110.19999999999999,2.918800000000002,0,0,0.0,4,0,8,0,Generated
128.259,3.468700000000003,0,0,0.0,4,0,9,0,Generated
154.297,4.313100000000003,0,0,0.0,7,0,11,0,Generated
218.38400000000001,5.425500000000005,0,0,0.0,9,0,16,1,Generated
192.34599999999992,4.869300000000004,0,0,0.0,1,0,14,1,Generated
208.38899999999992,5.483400000000005,0,0,0.0,0,0,15,1,Generated
139.242,3.1625700000000014,1,1,23.85,6,0,10,0,Generated
140.27,3.778900000000003,0,0,0.0,6,0,10,0,Generated
182.35099999999997,4.949200000000005,0,0,0.0,8,0,13,0,Generated
226.44799999999998,6.199400000000007,0,0,0.0,11,0,16,0,Generated
140.27,3.778900000000003,0,0,0.0,5,0,10,0,Generated
82.14600000000002,1.9725,0,0,0.0,0,0,6,1,Generated
127.23099999999998,2.7082700000000006,1,1,23.85,4,0,9,0,Generated
180.33499999999998,4.559100000000004,0,0,0.0,6,0,13,1,Generated
140.26999999999998,3.778900000000003,0,0,0.0,5,0,10,0,Generated
224.432,5.831300000000006,0,0,0.0,9,0,16,0,Generated
184.36699999999996,4.885000000000005,0,0,0.0,7,0,13,0,Generated
68.119,1.7265,0,0,0.0,0,0,5,1,Generated
267.5009999999999,6.753370000000007,1,1,23.85,15,0,19,0,Generated
96.173,2.3736000000000006,0,0,0.0,2,0,7,0,Generated
182.35099999999997,4.949200000000005,0,0,0.0,9,0,13,0,Generated
152.28099999999998,3.778900000000003,0,0,0.0,2,0,11,1,Generated
98.18899999999998,2.4645,0,0,0.0,2,0,7,0,Generated
168.32399999999998,4.703200000000004,0,0,0.0,8,0,12,0,Generated
210.40499999999994,5.563300000000005,0,0,0.0,8,0,15,1,Generated
99.17699999999999,2.07217,1,1,23.85,3,0,7,0,Generated
152.28099999999998,3.800900000000003,0,0,0.0,5,0,11,0,Generated
