SMILES,MaxSimilarity,NearestNeighbor
C=CC(CC)CCCCCCCCCC,0.5555555555555556,C=CC(O)CCCCCCC
CCCC(CC)CCC,0.4117647058823529,CCCC(O)CCC
C=C(C)CC(CCCCCCCCCC)C(C)CC,0.41935483870967744,CCCCCCC(C)O
C=C(C)CCCC,0.42857142857142855,CCCCC(=O)O
CC(C)CCC(C)C(C)C,0.4444444444444444,CC(C)CCC(C)O
CC1C=CCC(C)C1,0.1875,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCCCCC
CCCCCC(C)CCC(C)C,0.4782608695652174,CCCCCC(C)O
C1=CCC(CCC2CCCCC2)CC1,0.3142857142857143,CC(=O)OCCC1CCCCC1
C=C(C)CCCC(C)(C)CC,0.34375,C=C(C)CCC[C@H](C)CCO
C=CCC(=C)CCC,0.3793103448275862,C=CCOC(=O)CCC
CCC(C)C(CC)CC,0.35294117647058826,CCC(C)SSC(C)CC
C=C(C)CCCCCCCC,0.5454545454545454,CCCCCCC(C)=O
C=C(CCCCCCC)CCC1C=CC=C1,0.3333333333333333,CCCCCCCC(=O)O
CCC1C=CC=CCCCCCCC1,0.2702702702702703,CCC(=O)OC1CCCCC1
CC1CCCC=CCCCCCCCC1,0.34615384615384615,O=C1CCCCCCCC=CCCCCCCC1
CCCCCCC=CC=N,0.6,CCCCCCCC=CC=O
C=CC(CC)CCCCC,0.5384615384615384,C=CC(O)CCCCC
CC=CCCCCCC(CC)CC,0.48148148148148145,CC=CCCCCCCCC=O
CCCCCCCCCC(C)C(CC)CC,0.5,CCCCCCC(C)O
C=C(C)C(CC)CCCC,0.5384615384615384,CCCCC(CC)C(=O)O
CC1C=CCC1,0.21052631578947367,C1=CCCC=C1
CCC(C)C(C)CC=N,0.2916666666666667,CCC(C)C=O
CCCCCCCC1C=CC(C)C1,0.3333333333333333,CCCCCCCCCC
C=C(C)CCC(CC)CC,0.3793103448275862,C=C(C)CCC[C@H](C)CCO
C=C(CCCCC(C)CC(C)C)CC(C)C,0.34285714285714286,C=C(C)CCC[C@H](C)CCO
CCCC(C)CC(C)C(C)CCC,0.36363636363636365,CCCC(C)O
C1=CCCC1,0.3888888888888889,O=C1CCCCCCCC=CCCCCCCC1
CCCCCCCCCCCCCCCC(C)C=N,0.48,CCCCCCC(C)O
C=C=CC(C)CC,0.42857142857142855,CCC(C)C=O
C=CC(CCC)CCCCCCC,0.5555555555555556,C=CC(O)CCCCCCC
CC(C)CC1=CCCC(C)C1,0.3055555555555556,CC1CCC(C(C)C)C(=O)C1
C=CC(C)C(C)C,0.4375,C=CC(C)O
CCCC=CCCCCCCC,0.6666666666666666,CCCCCCCC=CCO
