SMILES,MaxSimilarity,NearestNeighbor
C=CC(CC)CCCCCCCCCC,0.5185185185185185,C=CC(O)CCCCC
CCCC(CC)CCC,0.5384615384615384,CCC(CC)CC
C=C(C)CC(CCCCCCCCCC)C(C)CC,0.4375,C=C(C)CC(C)CCC
C=C(C)CCCC,0.6470588235294118,C=C(C)CCC
CC(C)CCC(C)C(C)C,0.7692307692307693,CC(C)C(C)CCC(C)C(C)C
CC1C=CCC(C)C1,0.32142857142857145,C[C@@H]1C=C[C@@H]2[C@H](C1)C2(C)C
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCCCCCCCCCCCC
CCCCCC(C)CCC(C)C,0.9473684210526315,CCCCCCC(C)CCC(C)C
C1=CCC(CCC2CCCCC2)CC1,0.3225806451612903,O=C(O)CCC1CCCC1
C=C(C)CCCC(C)(C)CC,0.48,CCCCCC(C)(C)CC
C=CCC(=C)CCC,0.4090909090909091,C=C(C)CCC
CCC(C)C(CC)CC,0.5714285714285714,CCC(C)C(C)C
C=C(C)CCCCCCCC,0.5789473684210527,C=C(C)CCC
C=C(CCCCCCC)CCC1C=CC=C1,0.3870967741935484,C=C(CC)CCCC
CCC1C=CC=CCCCCCCC1,0.37142857142857144,CC(C)CC1C=CCCC1
CC1CCCC=CCCCCCCCC1,0.6111111111111112,CC1CCCCC1
CCCCCCC=CC=N,0.6190476190476191,CCCCCCCC/C=C\CCCCCCCC
C=CC(CC)CCCCC,0.5384615384615384,C=CC(O)CCCCC
CC=CCCCCCC(CC)CC,0.56,CC=CCCCCCCCCCCCCCCC
CCCCCCCCCC(C)C(CC)CC,0.5454545454545454,CCCCCCCCCCCC(C)C
C=C(C)C(CC)CCCC,0.44,CCCCC(O)CC
CC1C=CCC1,0.375,C1=CC2OC2CC1
CCC(C)C(C)CC=N,0.4,CCC(C)C(C)C
CCCCCCCC1C=CC(C)C1,0.3870967741935484,CCCCCCCC[C@H]1CCC[C@@H]1CCCCCCC
C=C(C)CCC(CC)CC,0.47619047619047616,C=C(C)CCC
C=C(CCCCC(C)CC(C)C)CC(C)C,0.42424242424242425,CCCCCC(C)CCCC(C)CC(C)CC(C)C
CCCC(C)CC(C)C(C)CCC,0.6,CCCC(C)CC(C)C
C1=CCCC1,1.0,C1=CCCC1
CCCCCCCCCCCCCCCC(C)C=N,0.6,CCCCCCCCCCCCCC(C)C=O
C=C=CC(C)CC,0.42857142857142855,CCC(C)C=O
C=CC(CCC)CCCCCCC,0.5185185185185185,C=CC(O)CCCCC
CC(C)CC1=CCCC(C)C1,0.3055555555555556,CC(C)[C@@H]1CC[C@@H](C)CC1=O
C=CC(C)C(C)C,0.5,C=CC(C)C
CCCC=CCCCCCCC,0.875,CCCCCCCC/C=C\CCCCCCCC
CCCCCCCC(C)CC1CCCC1,0.5,CCCCCCCC(C)CCC
CC(C)CCC=N,0.5,CC(C)CCC=O
C=CCC(=C)C(C)CC(C)C,0.3793103448275862,C=CCC(C)CC(C)CC(C)C
CC1CC=CCCCC=CCCCCCCC1,0.45454545454545453,CC1CCCCC1
CCCCCC(CCC)CCCC(C)C,0.6666666666666666,CCCCCCCCCCCC(C)C
CCCCCC(CCCC)CCCCC,0.65,CCCCCCC(CO)CCCC
C=C(CCC(C)CC)C(C)C,0.4583333333333333,CCC(C)CCO
CCCCCCCCCCN,1.0,CCCCCCN
C=CCCCC(C)C,0.8,C=CCCCCCCCCCCCCCCCC(C)C
NCCCC1CCCCCCCCCCC1,0.41379310344827586,O=C(O)CCCCCCCCCC1CCCC1
C=C1C=CCC(CCCCC)=C1,0.3333333333333333,CCCCCc1cc(O)cc(O)c1
C=CCC(C)C,0.5555555555555556,C=CCC(C)C(C)C
CCCCCC=CCCC(CCC)CCC,0.5909090909090909,CCCCCCCC/C=C\CCCCCCCC
C=C1C=CC=C1CCCCCC,0.3684210526315789,CCCCCCCCCCC1=CC(=O)C(C)=C(C)C1=O
CCCC=CC1C=CC(C)CC1,0.3235294117647059,CC(C)[C@H]1C=C[C@H](C)CC1
