SMILES,MaxSimilarity,NearestNeighbor
C=CC(CC)CCCCCCCCCC,0.5555555555555556,C=CC(O)CCCCCC
CCCC(CC)CCC,0.4444444444444444,CCCC(O)CC
C=C(C)CC(CCCCCCCCCC)C(C)CC,0.41935483870967744,CCCCCCCC(C)O
C=C(C)CCCC,0.5,CCCCC(C)=O
CC(C)CCC(C)C(C)C,0.3888888888888889,CC(C)CCN
CC1C=CCC(C)C1,0.25,CC1CCC(C)CC1
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCCC
CCCCCC(C)CCC(C)C,0.65,CCCCCCCCCCCCC(C)C
C1=CCC(CCC2CCCCC2)CC1,0.3333333333333333,OCC1CCCCC1
C=C(C)CCCC(C)(C)CC,0.36,C=C(C)CCO
C=CCC(=C)CCC,0.4,C=CC(=O)CCC
CCC(C)C(CC)CC,0.4444444444444444,CCC(C)C(O)S
C=C(C)CCCCCCCC,0.5454545454545454,CCCCCCC(C)=O
C=C(CCCCCCC)CCC1C=CC=C1,0.34285714285714286,C=C(CCCCC)C(C)=O
CCC1C=CC=CCCCCCCC1,0.3448275862068966,CCC1CCCCC1
CC1CCCC=CCCCCCCCC1,0.6111111111111112,CC1CCCCC1
CCCCCCC=CC=N,0.6190476190476191,CCCCCCC=CCCCCCCCCC
C=CC(CC)CCCCC,0.5384615384615384,C=CC(O)CCCCC
CC=CCCCCCC(CC)CC,0.48148148148148145,C/C=C/CCCCCCCC=O
CCCCCCCCCC(C)C(CC)CC,0.5652173913043478,CCCCCCCCCCCCC(C)CC
C=C(C)C(CC)CCCC,0.4827586206896552,CCCCC(CC)C(=O)OCC
CC1C=CCC1,0.2777777777777778,CC1CCC(C)CC1
CCC(C)C(C)CC=N,0.3333333333333333,CCC(C)C(O)S
CCCCCCCC1C=CC(C)C1,0.375,CCCCCCC1OC(C)C(C)O1
C=C(C)CCC(CC)CC,0.4090909090909091,C=C(C)CCO
C=C(CCCCC(C)CC(C)C)CC(C)C,0.35714285714285715,C=C(C)CCCC(C)CCOC(=O)CC(C)C
CCCC(C)CC(C)C(C)CCC,0.45454545454545453,CCCC(C)C(C)O
C1=CCCC1,0.3888888888888889,O=C1CCCCCCC/C=C\CCCCCCC1
CCCCCCCCCCCCCCCC(C)C=N,0.6,CCCCCCC(C)C=O
C=C=CC(C)CC,0.42857142857142855,CCC(C)C=O
C=CC(CCC)CCCCCCC,0.5555555555555556,C=CC(O)CCCCCC
CC(C)CC1=CCCC(C)C1,0.3055555555555556,CC1CCC(C(C)C)C(=O)C1
C=CC(C)C(C)C,0.2857142857142857,C=CC(O)CC
CCCC=CCCCCCCC,0.875,CCCCCCC=CCCCCCCCCC
CCCCCCCC(C)CC1CCCC1,0.5,CCCCCCCCCCCCC(C)CC
CC(C)CCC=N,0.38461538461538464,CC(=O)/C=C/CCC(C)C
C=CCC(=C)C(C)CC(C)C,0.3333333333333333,C=CCC(C)O
CC1CC=CCCCC=CCCCCCCC1,0.45454545454545453,CC1CCCCC1
CCCCCC(CCC)CCCC(C)C,0.6666666666666666,CCCCCCCCCCCCC(C)C
CCCCCC(CCCC)CCCCC,0.6,CCCCCCCCC(CO)CCCCCC
C=C(CCC(C)CC)C(C)C,0.4583333333333333,CCC(C)CCO
CCCCCCCCCCN,1.0,CCCCCCN
