SMILES,MaxSimilarity,NearestNeighbor
C=CC(CC)CCCCCCCCCC,0.5555555555555556,C=CC(O)CCCCCCC
CCCC(CC)CCC,0.5294117647058824,CCCC(CO)CCC
C=C(C)CC(CCCCCCCCCC)C(C)CC,0.41935483870967744,CCCCCCCC(C)O
C=C(C)CCCC,0.6470588235294118,C=C(C)CCC
CC(C)CCC(C)C(C)C,0.4117647058823529,CCCC(C)C
CC1C=CCC(C)C1,0.391304347826087,CC1C=CCC1
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCCC
CCCCCC(C)CCC(C)C,0.9473684210526315,CCCCCCCCC(C)CCC(C)C
C1=CCC(CCC2CCCCC2)CC1,0.4074074074074074,OCCC1CCCCC1
C=C(C)CCCC(C)(C)CC,0.4166666666666667,CCCC(C)(C)CC
C=CCC(=C)CCC,0.47619047619047616,C=C(O)CCC
CCC(C)C(CC)CC,0.5,CCC(C)C(C)O
C=C(C)CCCCCCCC,0.5789473684210527,C=C(C)CCC
C=C(CCCCCCC)CCC1C=CC=C1,0.34375,CCCCCCCCCC(=O)CCCCCCCCC
CCC1C=CC=CCCCCCCC1,0.2702702702702703,CCC(=O)OC1CCCCC1
CC1CCCC=CCCCCCCCC1,0.6111111111111112,CC1CCCCC1
CCCCCCC=CC=N,0.6190476190476191,CCCCCC=CCCCCCC
C=CC(CC)CCCCC,0.5384615384615384,C=CC(O)CCCCC
CC=CCCCCCC(CC)CC,0.56,CC=CCCCCCCCCCC
CCCCCCCCCC(C)C(CC)CC,0.5454545454545454,CCCCCCCCCCCCCCCC(C)C
C=C(C)C(CC)CCCC,0.5185185185185185,CCCCC(CC)C(=O)[O-]
CC1C=CCC1,1.0,CC1C=CCC1
CCC(C)C(C)CC=N,0.4090909090909091,CCCC(C)C(C)CC
CCCCCCCC1C=CC(C)C1,0.3333333333333333,CCCCCCCC
C=C(C)CCC(CC)CC,0.47619047619047616,C=C(C)CCC
C=C(CCCCC(C)CC(C)C)CC(C)C,0.34285714285714286,C=C(C)CCCC(C)CCO
CCCC(C)CC(C)C(C)CCC,0.55,CCCC(C)C(C)CC
C1=CCCC1,0.7777777777777778,C1=CCCCC1
CCCCCCCCCCCCCCCC(C)C=N,0.6,CCCCCCCCCC(C)C=O
C=C=CC(C)CC,0.42857142857142855,CCC(C)C=O
C=CC(CCC)CCCCCCC,0.5555555555555556,C=CC(O)CCCCCCC
CC(C)CC1=CCCC(C)C1,0.3055555555555556,CC1CCC(C(C)C)C(=O)C1
C=CC(C)C(C)C,0.35,C=CCC(C)C(C)C
CCCC=CCCCCCCC,0.875,CCCCCC=CCCCCCC
CCCCCCCC(C)CC1CCCC1,0.5384615384615384,CCCCCCC(C)CCCCC
CC(C)CCC=N,0.3684210526315789,CCCC(C)C
C=CCC(=C)C(C)CC(C)C,0.3333333333333333,C=CCC(C)O
CC1CC=CCCCC=CCCCCCCC1,0.45454545454545453,CC1CCCCC1
CCCCCC(CCC)CCCC(C)C,0.6666666666666666,CCCCCCCCCCCCCCCC(C)C
CCCCCC(CCCC)CCCCC,0.5789473684210527,CCCCCC(O)CCCC
C=C(CCC(C)CC)C(C)C,0.5,CCC(C)CCC(C)=O
CCCCCCCCCCN,0.6153846153846154,CCCCCCCC
C=CCCCC(C)C,0.47619047619047616,C=CCCCC
NCCCC1CCCCCCCCCCC1,0.5652173913043478,CCCCC1CCCCC1
C=C1C=CCC(CCCCC)=C1,0.3170731707317073,CCCCCCCCC1=CCC(=O)O1
C=CCC(C)C,0.5555555555555556,C=CCC(C)O
CCCCCC=CCCC(CCC)CCC,0.5909090909090909,CCCCCC=CCCCCCC
C=C1C=CC=C1CCCCCC,0.32,CCCCCCCC
CCCC=CC1C=CC(C)CC1,0.2903225806451613,CCCC=CO
CC(C)CC1CCCC1,0.38095238095238093,CCC1CCC1
