SMILES,MaxSimilarity,NearestNeighbor
C=CC(CC)CCCCCCCCCC,0.5555555555555556,C=CC(O)CCCCCC
CCCC(CC)CCC,0.5714285714285714,CCCC(CC)CCC(=O)O
C=C(C)CC(CCCCCCCCCC)C(C)CC,0.41935483870967744,CCCCCCCC(C)O
C=C(C)CCCC,0.5,CCCCC(C)=O
CC(C)CCC(C)C(C)C,0.4090909090909091,CC(C)C(C)CCC(C)(C)O
CC1C=CCC(C)C1,0.375,CC1CC=CCC1
CCCCCCCCCCCCCCCCCCC,1.0,CCCCCCC
CCCCCC(C)CCC(C)C,0.65,CCCCCCCCCCCCCCCCCCCCC(C)C
C1=CCC(CCC2CCCCC2)CC1,0.4074074074074074,OCCC1CCCCC1
C=C(C)CCCC(C)(C)CC,0.45714285714285713,C=CCOC(=O)CCCC(C)(C)CC
C=CCC(=C)CCC,0.4,C=CC(=O)CCC
CCC(C)C(CC)CC,0.42105263157894735,CCC(C)C(C)C=O
C=C(C)CCCCCCCC,0.5454545454545454,CCCCCCC(C)=O
C=C(CCCCCCC)CCC1C=CC=C1,0.34375,CCCCCCC(=O)CCCCCC
CCC1C=CC=CCCCCCCC1,0.3157894736842105,C1=CC2COCC2CCCCCCCC1
CC1CCCC=CCCCCCCCC1,0.4583333333333333,CC1C=CCCC1
CCCCCCC=CC=N,0.6190476190476191,CCCCCCC=CCCCCCCCCC
C=CC(CC)CCCCC,0.5384615384615384,C=CC(O)CCCCC
CC=CCCCCCC(CC)CC,0.56,CC=CCCCCCC
CCCCCCCCCC(C)C(CC)CC,0.5454545454545454,CCCCCCCCCCCCCCCCCCCCC(C)C
C=C(C)C(CC)CCCC,0.5384615384615384,CCCCC(CC)C(=O)O
CC1C=CCC1,0.6842105263157895,CC1C=CCCC1
CCC(C)C(C)CC=N,0.375,CCC(C)C(C)C=O
CCCCCCCC1C=CC(C)C1,0.375,CCCCCCC1OCCO1
C=C(C)CCC(CC)CC,0.4090909090909091,C=C(C)CCO
C=C(CCCCC(C)CC(C)C)CC(C)C,0.4666666666666667,CC(C)CC(C)CCCC(C)O
CCCC(C)CC(C)C(C)CCC,0.4,CCCC(C)CC=O
C1=CCCC1,0.3888888888888889,O=C1CCCCCCCC=CCCCCCCC1
CCCCCCCCCCCCCCCC(C)C=N,0.6,CCCCCCC(C)C=O
