,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_patience,state
0,0,0.1247925023548305,2024-12-25 11:15:28.857942,2024-12-25 11:33:43.651988,0 days 00:18:14.794046,16,448,32,0.023763956682179514,5,COMPLETE
1,1,0.12453760637925203,2024-12-25 11:15:28.873576,2024-12-25 11:50:51.356122,0 days 00:35:22.482546,8,512,96,0.009958961728776203,9,COMPLETE
2,2,0.09031850829099615,2024-12-25 11:15:28.873576,2024-12-25 11:34:34.902036,0 days 00:19:06.028460,32,448,64,0.005503967618321748,4,COMPLETE
3,3,0.0971866765835633,2024-12-25 11:15:28.873576,2024-12-25 11:33:16.307846,0 days 00:17:47.434270,16,128,96,0.0027882769999004573,6,COMPLETE
4,4,0.09169692168943584,2024-12-25 11:15:28.873576,2024-12-25 12:54:22.960207,0 days 01:38:54.086631,16,256,32,1.5109907732722764e-05,8,COMPLETE
5,5,0.08804170739216109,2024-12-25 11:15:28.889190,2024-12-25 13:06:52.433891,0 days 01:51:23.544701,16,512,96,3.749678578080826e-05,9,COMPLETE
6,6,0.08707892304907243,2024-12-25 11:15:28.889190,2024-12-25 11:52:43.112991,0 days 00:37:14.223801,64,448,96,0.0022865421710479084,8,COMPLETE
7,7,0.08868699847180553,2024-12-25 11:15:28.889190,2024-12-25 14:33:51.373458,0 days 03:18:22.484268,8,384,32,7.229104856020079e-05,10,COMPLETE
8,8,0.08798320981053015,2024-12-25 11:15:28.889190,2024-12-25 13:01:00.854874,0 days 01:45:31.965684,16,384,128,2.5487172890904083e-05,9,COMPLETE
9,9,0.08838797568654021,2024-12-25 11:15:28.889190,2024-12-25 12:47:52.740075,0 days 01:32:23.850885,16,128,128,0.0008100832751453042,7,COMPLETE
10,10,0.08743465612759861,2024-12-25 11:15:28.889190,2024-12-25 12:35:27.961386,0 days 01:19:59.072196,8,128,32,0.0018136979144540316,7,COMPLETE
11,11,0.09101295458773771,2024-12-25 11:15:28.904816,2024-12-25 11:34:29.464509,0 days 00:19:00.559693,64,64,64,0.020128804514307028,8,COMPLETE
12,12,0.08928877608850598,2024-12-25 11:15:28.904816,2024-12-25 11:58:17.701312,0 days 00:42:48.796496,32,384,32,0.01003682799036904,5,COMPLETE
13,13,0.08579807535220846,2024-12-25 11:15:28.904816,2024-12-25 14:37:43.351828,0 days 03:22:14.447012,8,320,128,0.00021251091009141248,10,COMPLETE
14,14,0.12391778845340014,2024-12-25 11:15:28.904816,2024-12-25 11:20:54.266550,0 days 00:05:25.361734,32,128,128,0.045840309081227326,4,COMPLETE
15,15,0.08917433582246304,2024-12-25 11:15:28.920440,2024-12-25 11:29:22.899127,0 days 00:13:53.978687,32,256,64,0.005828667604840031,3,COMPLETE
16,16,,2024-12-25 11:20:54.266550,2024-12-25 11:30:29.836633,0 days 00:09:35.570083,32,448,128,0.034473704541370706,9,FAIL
17,17,0.08908699226255218,2024-12-25 11:29:22.914750,2024-12-25 13:11:22.939377,0 days 01:42:00.024627,16,192,96,0.0006941539901604934,7,COMPLETE
18,18,0.09097592605588337,2024-12-25 11:30:29.852257,2024-12-25 12:30:12.211166,0 days 00:59:42.358909,16,256,32,0.012834950144245372,8,COMPLETE
19,19,0.09014548243333896,2024-12-25 11:33:16.307846,2024-12-25 11:53:56.129856,0 days 00:20:39.822010,64,512,32,0.00039200780819989486,10,COMPLETE
20,20,0.0876862117399772,2024-12-25 11:33:43.651988,2024-12-25 13:23:37.762033,0 days 01:49:54.110045,16,320,32,0.000914077799797678,9,COMPLETE
21,21,0.09350783340632915,2024-12-25 11:34:29.464509,2024-12-25 11:39:57.574357,0 days 00:05:28.109848,64,512,64,0.0031891269044568736,6,COMPLETE
22,22,0.08724579375487666,2024-12-25 11:34:34.917611,2024-12-25 14:39:35.459867,0 days 03:05:00.542256,8,256,32,7.347298463985663e-05,6,COMPLETE
23,23,0.08687125941117604,2024-12-25 11:39:57.589972,2024-12-25 12:14:51.638597,0 days 00:34:54.048625,64,512,128,1.849087108231044e-05,10,COMPLETE
24,24,0.08620089082978666,2024-12-25 11:50:51.365448,2024-12-25 13:30:05.088388,0 days 01:39:13.722940,16,128,32,0.000543414634372745,7,COMPLETE
25,25,0.12635454144328834,2024-12-25 11:52:43.120139,2024-12-25 12:06:07.544500,0 days 00:13:24.424361,32,320,64,0.019888710566904923,4,COMPLETE
26,26,0.08725706145887364,2024-12-25 11:53:56.137139,2024-12-25 15:02:08.541543,0 days 03:08:12.404404,8,320,128,6.66240237762767e-05,8,COMPLETE
27,27,0.08731643261560121,2024-12-25 11:58:17.707298,2024-12-25 15:02:23.718365,0 days 03:04:06.011067,8,256,128,3.050596609101144e-05,8,COMPLETE
28,28,0.08852493184610825,2024-12-25 12:06:07.555787,2024-12-25 15:10:40.016981,0 days 03:04:32.461194,8,256,128,2.3803619784888663e-05,8,COMPLETE
29,29,0.09189421112338701,2024-12-25 12:14:51.645741,2024-12-25 12:50:00.607627,0 days 00:35:08.961886,64,384,128,1.45959142771615e-05,8,COMPLETE
30,30,0.09110148623585701,2024-12-25 12:30:12.218255,2024-12-25 13:17:20.013402,0 days 00:47:07.795147,64,384,128,1.1349642331817468e-05,10,COMPLETE
31,31,0.09156936345001061,2024-12-25 12:35:27.968603,2024-12-25 13:23:35.083966,0 days 00:48:07.115363,64,384,128,1.4170698137743428e-05,10,COMPLETE
32,32,0.09243120203415553,2024-12-25 12:47:52.748585,2024-12-25 13:40:45.784901,0 days 00:52:53.036316,64,384,128,3.332714199718079e-05,10,COMPLETE
33,33,0.0881241229052345,2024-12-25 12:50:00.617639,2024-12-25 13:40:54.601189,0 days 00:50:53.983550,64,448,96,0.00010567788048327053,10,COMPLETE
34,34,0.0883436959857742,2024-12-25 12:54:22.963285,2024-12-25 13:48:13.712960,0 days 00:53:50.749675,64,448,96,0.00013614612181466352,10,COMPLETE
35,35,0.08778476764758428,2024-12-25 13:01:00.861438,2024-12-25 13:53:34.180939,0 days 00:52:33.319501,64,448,96,0.00011946399603070812,10,COMPLETE
36,36,0.08799709553519884,2024-12-25 13:06:52.440324,2024-12-25 13:58:40.720096,0 days 00:51:48.279772,64,448,96,0.00015701580380896268,10,COMPLETE
37,37,0.08718670623674363,2024-12-25 13:11:22.960868,2024-12-25 16:02:35.186562,0 days 02:51:12.225694,8,448,96,0.00020377199066468437,10,COMPLETE
38,38,0.08475383251373257,2024-12-25 13:17:20.023935,2024-12-25 16:07:45.159816,0 days 02:50:25.135881,8,448,96,0.00018393207063419938,10,COMPLETE
39,39,0.08621605194541586,2024-12-25 13:23:35.095523,2024-12-25 16:05:53.199277,0 days 02:42:18.103754,8,448,96,9.728128404188691e-05,7,COMPLETE
40,40,0.08902268157097973,2024-12-25 13:23:37.771563,2024-12-25 16:06:39.552143,0 days 02:43:01.780580,8,448,96,0.00012835355752823484,7,COMPLETE
41,41,0.09167849098642668,2024-12-25 13:30:05.097910,2024-12-25 14:11:35.533727,0 days 00:41:30.435817,64,448,96,0.00013887638966748688,6,COMPLETE
42,42,0.087769280684491,2024-12-25 13:40:45.795430,2024-12-25 14:10:11.257244,0 days 00:29:25.461814,64,448,96,0.00014882174180671283,6,COMPLETE
43,43,0.08780454758930356,2024-12-25 13:40:54.615731,2024-12-25 15:26:56.326919,0 days 01:46:01.711188,8,64,96,0.00018151611274558156,6,COMPLETE
44,44,0.09327798672020435,2024-12-25 13:48:13.721497,2024-12-25 14:13:07.901550,0 days 00:24:54.180053,64,64,96,0.00021040590140836564,6,COMPLETE
45,45,0.08813108069462185,2024-12-25 13:53:34.203060,2024-12-25 15:29:26.406835,0 days 01:35:52.203775,8,64,64,0.00034607499085083767,6,COMPLETE
46,46,0.08811493198379498,2024-12-25 13:58:40.720096,2024-12-25 15:36:01.501533,0 days 01:37:20.781437,8,64,64,0.0004011217199363147,6,COMPLETE
47,47,0.08868902247054737,2024-12-25 14:10:11.272870,2024-12-25 16:21:14.691637,0 days 02:11:03.418767,8,64,32,0.001627101987675682,7,COMPLETE
48,48,0.08903525005869505,2024-12-25 14:11:35.533727,2024-12-25 16:23:15.478325,0 days 02:11:39.944598,8,64,32,0.0014810944924760821,7,COMPLETE
49,49,0.08835995976789658,2024-12-25 14:13:07.901550,2024-12-25 16:32:35.052530,0 days 02:19:27.150980,8,192,32,0.001911758859317673,7,COMPLETE
50,50,0.08602892936935194,2024-12-25 14:33:51.389084,2024-12-25 17:03:02.721761,0 days 02:29:11.332677,8,192,64,0.0021885174776645855,7,COMPLETE
51,51,0.0898135947611402,2024-12-25 14:37:43.351828,2024-12-25 17:08:09.108553,0 days 02:30:25.756725,8,192,128,0.001645940022841685,9,COMPLETE
52,52,0.08976778949164793,2024-12-25 14:39:35.475511,2024-12-25 17:07:41.608064,0 days 02:28:06.132553,8,192,128,0.0014036311634002907,9,COMPLETE
53,53,0.0886009579461788,2024-12-25 15:02:08.549658,2024-12-25 16:38:48.877216,0 days 01:36:40.327558,8,192,64,0.0004870662781788226,9,COMPLETE
54,54,0.08838637829014734,2024-12-25 15:02:23.726492,2024-12-25 17:38:17.148770,0 days 02:35:53.422278,8,192,64,0.00033745085329025187,9,COMPLETE
55,55,0.0877566682800901,2024-12-25 15:10:40.024102,2024-12-25 17:52:25.933533,0 days 02:41:45.909431,8,192,64,0.00042135540627421397,9,COMPLETE
56,56,0.08865231669818362,2024-12-25 15:26:56.335018,2024-12-25 16:00:32.714414,0 days 00:33:36.379396,16,192,64,0.000431089274318065,9,COMPLETE
57,57,0.08932500053197145,2024-12-25 15:29:26.413939,2024-12-25 17:22:44.628631,0 days 01:53:18.214692,8,192,32,0.0004044315704658379,5,COMPLETE
58,58,0.08998080397009098,2024-12-25 15:36:01.508751,2024-12-25 16:51:15.278781,0 days 01:15:13.770030,8,192,32,0.0015844997266661375,9,COMPLETE
59,59,0.09039479074608378,2024-12-25 16:00:32.721583,2024-12-25 19:05:10.013515,0 days 03:04:37.291932,8,512,32,5.713042516886249e-05,7,COMPLETE
60,60,0.0882243812866822,2024-12-25 16:02:35.192913,2024-12-25 17:14:09.935412,0 days 01:11:34.742499,8,512,128,0.001616508977158685,9,COMPLETE
61,61,0.08838790295024714,2024-12-25 16:05:53.205435,2024-12-25 17:49:10.796238,0 days 01:43:17.590803,16,512,128,0.0011981583467258446,7,COMPLETE
62,62,0.08834534236229956,2024-12-25 16:06:39.558142,2024-12-25 17:50:22.671911,0 days 01:43:43.113769,16,512,128,0.0014842210435206719,9,COMPLETE
63,63,0.08603298392522485,2024-12-25 16:07:45.170993,2024-12-25 19:25:39.699939,0 days 03:17:54.528946,8,512,128,0.001346671201959356,9,COMPLETE
64,64,0.08795018868223459,2024-12-25 16:21:14.698795,2024-12-25 19:42:22.871173,0 days 03:21:08.172378,8,512,128,5.1033518220484913e-05,9,COMPLETE
65,65,0.09007873594140013,2024-12-25 16:23:15.486453,2024-12-25 18:09:54.242847,0 days 01:46:38.756394,16,512,128,4.834853121989768e-05,9,COMPLETE
66,66,0.08801508038304746,2024-12-25 16:32:35.061645,2024-12-25 18:20:19.972282,0 days 01:47:44.910637,16,512,128,5.280561015521878e-05,9,COMPLETE
67,67,0.08796874703839422,2024-12-25 16:38:48.886758,2024-12-25 18:26:24.144391,0 days 01:47:35.257633,16,512,128,4.991666136760707e-05,9,COMPLETE
68,68,0.0873685519521435,2024-12-25 16:51:15.286978,2024-12-25 18:40:37.460969,0 days 01:49:22.173991,16,512,128,5.5329058234987245e-05,5,COMPLETE
69,69,0.09050387445216378,2024-12-25 17:03:02.732556,2024-12-25 17:23:37.251587,0 days 00:20:34.519031,16,512,128,0.00027900573783936315,5,COMPLETE
70,70,0.08727158242836594,2024-12-25 17:07:41.615193,2024-12-25 18:53:40.662480,0 days 01:45:59.047287,16,512,128,5.5519509662696955e-05,5,COMPLETE
71,71,0.0922966827172786,2024-12-25 17:08:09.115963,2024-12-25 17:28:31.513796,0 days 00:20:22.397833,16,512,64,0.004071293571451812,5,COMPLETE
72,72,0.08887346715976795,2024-12-25 17:14:09.941413,2024-12-25 18:46:43.763283,0 days 01:32:33.821870,16,128,64,5.103231718270787e-05,5,COMPLETE
73,73,0.08932973357538382,2024-12-25 17:22:44.637030,2024-12-25 18:18:26.107054,0 days 00:55:41.470024,16,128,64,5.002130006440433e-05,3,COMPLETE
74,74,0.08783571931223075,2024-12-25 17:23:37.264748,2024-12-25 18:55:53.693547,0 days 01:32:16.428799,16,128,64,5.220846395520711e-05,8,COMPLETE
75,75,0.09056422368933757,2024-12-25 17:28:31.523273,2024-12-25 18:07:13.498615,0 days 00:38:41.975342,32,128,64,4.9321469452221804e-05,3,COMPLETE
76,76,0.09328770264983177,2024-12-25 17:38:17.157102,2024-12-25 18:07:53.936345,0 days 00:29:36.779243,32,128,96,6.980515089302481e-05,3,COMPLETE
77,77,0.09122366048395633,2024-12-25 17:49:10.799237,2024-12-25 18:43:50.544161,0 days 00:54:39.744924,32,320,96,0.0006926663670418635,8,COMPLETE
78,78,0.08727340884506703,2024-12-25 17:50:22.685300,2024-12-25 18:26:45.371838,0 days 00:36:22.686538,32,128,96,0.0006467287377838397,8,COMPLETE
79,79,0.09021882916179796,2024-12-25 17:52:25.938534,2024-12-25 19:22:58.490172,0 days 01:30:32.551638,16,128,96,4.6571026398171726e-05,8,COMPLETE
80,80,0.08834843433772524,2024-12-25 18:07:13.498615,2024-12-25 19:02:09.504395,0 days 00:54:56.005780,32,320,96,0.0006281533087691913,8,COMPLETE
81,81,0.08859547000999252,2024-12-25 18:07:53.936345,2024-12-25 19:41:22.452784,0 days 01:33:28.516439,16,320,96,0.005836489366369535,8,COMPLETE
82,82,0.088263116342326,2024-12-25 18:09:54.242847,2024-12-25 18:18:54.288662,0 days 00:09:00.045815,64,320,96,0.0006730957475492206,8,COMPLETE
83,83,0.08713059630244971,2024-12-25 18:18:26.107054,2024-12-25 18:51:41.311071,0 days 00:33:15.204017,64,320,96,0.0006751708601815811,8,COMPLETE
84,84,0.08980575188373525,2024-12-25 18:18:54.304250,2024-12-25 18:44:07.924918,0 days 00:25:13.620668,32,384,96,0.006806874675787905,8,COMPLETE
85,85,0.09212159806241592,2024-12-25 18:20:19.987899,2024-12-25 18:43:26.628802,0 days 00:23:06.640903,32,384,96,0.005545356202324048,7,COMPLETE
86,86,0.08982682550946872,2024-12-25 18:26:24.159996,2024-12-25 18:44:07.940546,0 days 00:17:43.780550,32,384,96,0.00705054495605532,7,COMPLETE
87,87,0.0888057119064346,2024-12-25 18:26:45.387487,2024-12-25 20:16:45.871882,0 days 01:50:00.484395,8,448,96,0.00024445485171591504,10,COMPLETE
88,88,0.088613774134394,2024-12-25 18:40:37.460969,2024-12-25 21:43:04.866369,0 days 03:02:27.405400,8,384,96,0.0002262742126226148,10,COMPLETE
89,89,0.08612908307118576,2024-12-25 18:43:26.628802,2024-12-25 21:47:28.268038,0 days 03:04:01.639236,8,448,96,0.0028483503573352334,10,COMPLETE
90,90,0.08605250664556227,2024-12-25 18:43:50.544161,2024-12-25 21:48:14.872799,0 days 03:04:24.328638,8,448,96,0.002388663040806176,10,COMPLETE
91,91,0.08799374530076229,2024-12-25 18:44:07.940546,2024-12-25 21:47:36.446369,0 days 03:03:28.505823,8,448,96,0.00023290199719319164,10,COMPLETE
92,92,0.08965045386659247,2024-12-25 18:44:07.956187,2024-12-25 21:47:50.259752,0 days 03:03:42.303565,8,448,96,9.511324027718978e-05,10,COMPLETE
