number,value,datetime_start,datetime_complete,duration,params_batch_size,params_hidden_dim,params_latent_dim,params_learning_rate,params_num_flows,params_patience,state
0,0.0622362419962883,2024-12-09 11:10:52.864490,2024-12-09 11:21:12.478140,0 days 00:10:19.613650,32,512,64,0.07962310458958034,6,3,COMPLETE
1,0.044723874827226,2024-12-09 11:10:52.864490,2024-12-09 11:15:36.468736,0 days 00:04:43.604246,32,64,96,0.0025706218456524365,8,3,COMPLETE
2,0.044055181990067166,2024-12-09 11:10:52.885005,2024-12-09 11:15:32.283034,0 days 00:04:39.398029,64,384,96,0.0011371096824911845,1,6,COMPLETE
3,0.004034585397069653,2024-12-09 11:10:52.887359,2024-12-09 12:01:32.045681,0 days 00:50:39.158322,8,320,128,3.27637599001451e-05,1,9,COMPLETE
4,0.043294910605375964,2024-12-09 11:10:52.893404,2024-12-09 11:43:14.342755,0 days 00:32:21.449351,8,448,96,0.00035084023406263,4,7,COMPLETE
5,0.02042915647228559,2024-12-09 11:10:52.898516,2024-12-09 11:30:19.580055,0 days 00:19:26.681539,32,320,128,2.1694590472484512e-05,3,5,COMPLETE
6,-0.16900960008303326,2024-12-09 11:10:52.901791,2024-12-09 11:51:30.948639,0 days 00:40:38.046848,16,320,32,1.5611361908683547e-05,6,3,COMPLETE
7,-0.054001768088589114,2024-12-09 11:10:52.926906,2024-12-09 12:34:51.649420,0 days 01:23:58.722514,8,192,64,3.787955658273143e-05,8,8,COMPLETE
8,0.0631121148665746,2024-12-09 11:10:52.946221,2024-12-09 11:14:09.914597,0 days 00:03:16.968376,16,64,96,0.04703980056207048,5,4,COMPLETE
9,0.04401138089597225,2024-12-09 11:10:52.983761,2024-12-09 12:02:35.309400,0 days 00:51:42.325639,16,320,96,0.009241003825809405,10,7,COMPLETE
10,-0.05964411795139313,2024-12-09 11:14:09.919597,2024-12-09 11:38:15.465675,0 days 00:24:05.546078,32,64,128,0.0004694515826096881,8,6,COMPLETE
11,0.04439111986818413,2024-12-09 11:15:32.288260,2024-12-09 12:15:54.993964,0 days 01:00:22.705704,8,384,128,0.0001505874711742707,3,7,COMPLETE
12,-0.012502167125542958,2024-12-09 11:15:36.474855,2024-12-09 11:22:01.164539,0 days 00:06:24.689684,32,512,96,8.538688908449778e-05,5,6,COMPLETE
13,-0.17754509647687275,2024-12-09 11:21:12.483249,2024-12-09 11:46:05.924075,0 days 00:24:53.440826,32,64,32,0.00022130702791746642,9,8,COMPLETE
14,0.0021064303815364837,2024-12-09 11:22:01.169641,2024-12-09 11:38:54.477810,0 days 00:16:53.308169,32,384,96,7.672798228689481e-05,1,10,COMPLETE
15,0.044454634794965385,2024-12-09 11:30:19.585195,2024-12-09 11:44:15.237730,0 days 00:13:55.652535,8,192,96,0.025281190341365604,2,6,COMPLETE
16,-0.02891024959584077,2024-12-09 11:38:15.471776,2024-12-09 11:52:42.062902,0 days 00:14:26.591126,16,384,96,0.00023783737771605434,6,7,COMPLETE
17,0.04415191163619359,2024-12-09 11:38:54.482927,2024-12-09 11:42:31.056746,0 days 00:03:36.573819,32,64,96,0.007524490025573367,5,6,COMPLETE
18,-0.13339169025421144,2024-12-09 11:42:31.061745,2024-12-09 12:00:18.820326,0 days 00:17:47.758581,32,512,32,0.0005859387472025953,1,10,COMPLETE
19,-0.07826242769757906,2024-12-09 11:43:14.346851,2024-12-09 11:53:26.529622,0 days 00:10:12.182771,16,192,32,0.006665418971063776,10,8,COMPLETE
20,-0.22922240396340687,2024-12-09 11:44:15.242827,2024-12-09 11:59:13.497959,0 days 00:14:58.255132,64,192,32,0.00018596061237981693,10,8,COMPLETE
21,-0.3343478500843048,2024-12-09 11:46:05.931203,2024-12-09 12:36:13.237615,0 days 00:50:07.306412,16,192,32,0.00020423778605456008,10,8,COMPLETE
22,-0.17210467904806137,2024-12-09 11:51:30.956000,2024-12-09 12:20:46.940572,0 days 00:29:15.984572,16,192,32,1.7907478882903397e-05,10,9,COMPLETE
23,-0.24872023363908133,2024-12-09 11:52:42.067901,2024-12-09 12:43:33.631738,0 days 00:50:51.563837,16,192,32,1.4429318885753019e-05,10,9,COMPLETE
24,-0.11031197408835093,2024-12-09 11:53:26.534726,2024-12-09 12:02:57.985547,0 days 00:09:31.450821,64,192,32,1.0736803054032525e-05,10,9,COMPLETE
25,-0.4417135059833527,2024-12-09 11:59:13.504287,2024-12-09 12:14:11.194923,0 days 00:14:57.690636,64,192,32,0.00010585374573846981,10,9,COMPLETE
26,0.015064670145511628,2024-12-09 12:00:18.826409,2024-12-09 12:09:14.551354,0 days 00:08:55.724945,64,192,64,9.076558317404377e-05,10,9,COMPLETE
27,-0.09129139284292857,2024-12-09 12:01:32.051041,2024-12-09 12:16:38.814443,0 days 00:15:06.763402,64,192,64,0.00010072923082496444,10,8,COMPLETE
28,-0.09519092291593552,2024-12-09 12:02:35.314570,2024-12-09 12:16:52.204074,0 days 00:14:16.889504,64,192,64,0.00012350988235200174,8,8,COMPLETE
29,-0.04640523095925649,2024-12-09 12:02:57.992645,2024-12-09 12:16:26.203304,0 days 00:13:28.210659,64,128,64,0.00012830986759251265,8,8,COMPLETE
30,-0.2035763164361318,2024-12-09 12:09:14.555488,2024-12-09 12:23:15.095894,0 days 00:14:00.540406,64,128,32,0.00011386710922876015,8,8,COMPLETE
31,-0.113261346022288,2024-12-09 12:14:11.200000,2024-12-09 12:21:49.621288,0 days 00:07:38.421288,64,128,64,0.00015040243255715803,8,8,COMPLETE
32,-0.20051992734273275,2024-12-09 12:15:54.999057,2024-12-09 12:29:33.764162,0 days 00:13:38.765105,64,128,64,0.0012735830847631965,8,8,COMPLETE
33,-0.06416600743929544,2024-12-09 12:16:26.207412,2024-12-09 12:30:42.696824,0 days 00:14:16.489412,64,128,32,4.518564850678533e-05,9,8,COMPLETE
34,-0.10874407390753428,2024-12-09 12:16:38.819450,2024-12-09 12:24:50.244702,0 days 00:08:11.425252,64,128,32,4.090462056858659e-05,9,9,COMPLETE
35,-0.15918860534826915,2024-12-09 12:16:52.210186,2024-12-09 12:21:57.154191,0 days 00:05:04.944005,64,128,32,0.00127177223611492,9,9,COMPLETE
36,-0.17359138230482737,2024-12-09 12:20:46.943689,2024-12-09 12:36:20.615490,0 days 00:15:33.671801,64,128,32,4.610547715762939e-05,9,10,COMPLETE
37,-0.053393868108590446,2024-12-09 12:21:49.627475,2024-12-09 12:27:21.433834,0 days 00:05:31.806359,64,256,32,4.279758926283419e-05,9,10,COMPLETE
38,-0.13749086161454518,2024-12-09 12:21:57.159385,2024-12-09 12:31:38.829878,0 days 00:09:41.670493,64,256,32,4.45828519122203e-05,9,8,COMPLETE
39,-0.39695008397102355,2024-12-09 12:23:15.100985,2024-12-09 12:38:47.470633,0 days 00:15:32.369648,64,256,32,4.567648679163321e-05,7,10,COMPLETE
40,-0.09045095890760421,2024-12-09 12:24:50.250700,2024-12-09 12:30:07.815502,0 days 00:05:17.564802,64,256,32,4.708173389532036e-05,9,10,COMPLETE
41,-0.23744785686333975,2024-12-09 12:27:21.438833,2024-12-09 12:35:51.211371,0 days 00:08:29.772538,64,256,32,0.0002611609528574632,7,8,COMPLETE
42,-0.2846409837404887,2024-12-09 12:29:33.769249,2024-12-09 12:38:27.484899,0 days 00:08:53.715650,64,256,32,0.0018155102494459927,7,7,COMPLETE
43,0.042653853197892506,2024-12-09 12:30:07.819500,2024-12-09 12:45:48.183922,0 days 00:15:40.364422,64,256,64,0.001588631469994704,7,7,COMPLETE
44,-0.026744102189938227,2024-12-09 12:30:42.703913,2024-12-09 12:46:13.785146,0 days 00:15:31.081233,64,256,64,0.0011182792159533576,7,7,COMPLETE
45,-0.032796292255322136,2024-12-09 12:31:38.834872,2024-12-09 12:44:29.852892,0 days 00:12:51.018020,64,128,64,0.002117832559470504,6,7,COMPLETE
46,-0.12809291779994963,2024-12-09 12:34:51.654978,2024-12-09 12:45:10.496225,0 days 00:10:18.841247,64,128,64,0.0012588341036957721,7,7,COMPLETE
47,-0.5456504583358764,2024-12-09 12:35:51.222343,2024-12-09 12:50:09.755401,0 days 00:14:18.533058,64,256,32,0.0007335519798377545,7,7,COMPLETE
48,-0.07973117157816886,2024-12-09 12:36:13.240617,2024-12-09 12:52:05.096877,0 days 00:15:51.856260,16,256,32,0.000662874453854522,7,7,COMPLETE
